# index, organization, location, vid, name, gender, _pos
0,879447992,0667 OSLO,1,24SEVENOFFICE ASA,0,"array([ -5.988774  , -13.14537241])"
1,0,,2019,Hege Christin Lien,2,"array([ -7.0553274, -13.1732076])"
2,0,,2576,Jo Arnstad,1,"array([ -6.88210179, -14.23637697])"
3,0,,3754,Michael Grant Jacobs,1,"array([ -5.79104461, -14.21016437])"
4,0,,3777,Mimi Kristine Berdal,2,"array([ -4.88695077, -11.71304116])"
5,990031479,0355 OSLO,2,A-COM NORGE ASA,0,"array([-1.84926699, 53.88676961])"
6,0,,2241,Inger Alice Torskangerpoll Valerio,2,"array([-0.7917795 , 53.75794958])"
7,0,,2902,Karin Lovisa Grip,2,"array([-2.50797661, 53.04843547])"
8,0,,4993,Sture Fredrik Sandelin,1,"array([-2.25543797, 54.87785433])"
9,890687792,0230 OSLO,3,ABERDEEN EIENDOMSFOND ASIA ASA,0,"array([16.50769757, 35.50164599])"
10,0,,1420,Espen Klevmark,1,"array([15.59885067, 36.29644291])"
11,0,,2198,Ina Michaloff Pettersen,2,"array([16.10146427, 34.31146787])"
12,0,,5240,Thomas Riddervold Wolff,1,"array([17.02693406, 34.79404754])"
13,989761390,0255 OSLO,4,ABERDEEN EIENDOMSFOND NORDEN/BALTIKUM ASA,0,"array([15.73790507, 35.10850476])"
14,988671258,0255 OSLO,5,ABERDEEN EIENDOMSFOND NORGE II ASA,0,"array([15.03689342, 37.67223349])"
15,0,,1290,Else Bugge Fougner,2,"array([15.23244904, 38.78667474])"
16,0,,1576,Gabriel Smith,1,"array([16.36144319, 38.0184967 ])"
17,0,,2242,Inger Beate Svenneby Herland,2,"array([14.09006509, 36.98787524])"
18,0,,2606,Johan Solbu Braaten,1,"array([13.81719177, 38.58915066])"
19,989180797,0230 OSLO,6,ABERDEEN PROPERTY INVESTORS CORPORATE ASA,0,"array([ 31.08775185, -10.0335709 ])"
20,0,,2745,Jørgen Aaby,1,"array([ 30.22506541, -10.64858657])"
21,0,,3302,Lars Henrik Otterbeck,1,"array([ 32.03114499, -10.47633281])"
22,0,,3558,Malin Birgitta Af Petersens,2,"array([31.16252649, -8.99465249])"
23,961095026,0250 OSLO,7,ABG SUNDAL COLLIER HOLDING ASA,0,"array([23.83134823,  0.15844294])"
24,0,,313,Arild Abel Engh,1,"array([23.05695436, -0.33972012])"
25,0,,409,Arnold Rørholt,1,"array([25.48348907, -0.31367672])"
26,0,,951,Cecilie Steenhoff Lind,2,"array([21.35227287,  1.84030462])"
27,0,,1640,Georg Edvard Gunnerød,1,"array([25.0750209 ,  0.51751777])"
28,0,,2814,Judith Lee Bollinger,2,"array([24.06737223, -1.27656461])"
29,0,,4285,Per Anders Grudén,1,"array([24.98162398, -1.05591028])"
30,883603362,0250 OSLO,8,ABG SUNDAL COLLIER NORGE ASA,0,"array([22.06903835,  0.27681864])"
31,0,,4916,Steinar Nordengen,1,"array([22.24304451, -1.05946472])"
32,989761846,5353 STRAUME,9,ABILITY DRILLING ASA,0,"array([-14.40465206,  44.66163386])"
33,0,,1250,Elin Steinsland Vasstrand,2,"array([-13.89539522,  43.60867736])"
34,0,,1616,Geir Nordahl-Pedersen,1,"array([-13.17663777,  44.68696884])"
35,0,,3556,Maj Elisabeth Vangsnes,2,"array([-15.17329401,  45.54357858])"
36,0,,4972,Stig Hetlevik,1,"array([-13.89202692,  45.76919355])"
37,0,,5613,Trygve Arnesen,1,"array([-15.59481606,  43.92533118])"
38,979626878,4006 STAVANGER,10,ACTA ASSET MANAGEMENT ASA,0,"array([ 16.14137877, -31.86292704])"
39,0,,3672,Marita Nesvik,2,"array([ 17.18088994, -31.23718772])"
40,0,,4775,Simen Mørdre,1,"array([ 15.16074705, -31.45659516])"
41,0,,5234,Thomas Jan Folke Karlsson,1,"array([ 15.91913016, -32.92254642])"
42,979867654,4006 STAVANGER,11,ACTA HOLDING ASA,0,"array([16.05054821,  5.01787703])"
43,0,,64,Alfred Ydstebø,1,"array([17.14331564,  6.37183589])"
44,0,,1286,Ellen Susanne Math Henrichsen,2,"array([17.24899653,  4.9554449 ])"
45,0,,1521,Fred Anton Ingebrigtsen,1,"array([15.67676167,  5.99025927])"
46,0,,3648,Marit Arnstad,2,"array([16.72045089,  9.43802322])"
47,0,,4432,Petter Berge,1,"array([13.03600973,  1.94646243])"
48,0,,4478,Ragnhild Kvålshaugen,2,"array([16.82713532,  3.94681688])"
49,0,,4870,Stein Aukner,1,"array([17.71936085,  2.20185517])"
50,979871384,4006 STAVANGER,12,ACTA KAPITALFORVALTNING ASA,0,"array([ 18.23027685, -30.56769515])"
51,0,,2810,Jostein Viken,1,"array([ 19.21470669, -29.97360389])"
52,0,,3824,Morten Flørenæss,1,"array([ 18.97538623, -31.43494415])"
53,0,,4884,Stein Morten Bjelland,1,"array([ 17.7548464 , -29.56970111])"
54,938702675,0485 OSLO,13,AF GRUPPEN ASA,0,"array([11.14621585, -2.90272615])"
55,0,,256,Anne Mürer,2,"array([ 7.52463823, -1.61909937])"
56,0,,905,Carl Henrik Eriksen,1,"array([12.61954062, -3.12640502])"
57,0,,3278,Lars August Christensen,1,"array([10.58939708, -3.71643568])"
58,0,,3392,Leif Jørgen Moger,1,"array([14.32189341, -3.04229313])"
59,0,,3393,Leif Karl Robert Andersson,1,"array([11.36734067, -4.44258939])"
60,0,,3477,Litt Woon Long,2,"array([12.10380696, -3.91882862])"
61,0,,3583,Mari Elisabeth Broman,2,"array([12.01219864, -2.44056333])"
62,986922113,5342 STRAUME,14,AGR GROUP ASA,0,"array([ 3.91983102, -7.8894253 ])"
63,0,,175,Anna Cecilie Holst,2,"array([  5.02498293, -10.11608635])"
64,0,,1496,Fiona Forbes Walker,2,"array([ 3.59350633, -8.7629074 ])"
65,0,,1536,Fredrik Strömholm,1,"array([ 5.33780265, -8.07547929])"
66,0,,1584,Gavin Maitland Kerr,1,"array([ 4.14066021, -9.48477995])"
67,0,,2171,Hugo Lund Maurstad,1,"array([ 4.74282693, -7.28265909])"
68,0,,4350,Per Jonny Hanøy,1,"array([ 2.80727065, -7.83697409])"
69,0,,5027,Svein Eggen,1,"array([ 4.849915  , -8.84869233])"
70,0,,5134,Synne Syrrist,2,"array([ 3.40876992, -4.1367637 ])"
71,0,,5539,Tove Magnussen,2,"array([ 3.15638687, -9.61817204])"
72,0,,5731,William Gregory Coleman,1,"array([ 2.58993107, -8.80287987])"
73,886581432,0250 OSLO,15,AKER ASA,0,"array([ 7.09773433, 17.56099046])"
74,0,,767,Bjørn Ivar Flatgård,1,"array([ 9.22508454, 17.15678148])"
75,0,,1856,Hanne Harlem,2,"array([ 8.15030184, 20.20718534])"
76,0,,2702,Jon Fredrik Baksaas,1,"array([ 7.6475866 , 18.45134139])"
77,0,,3027,Kjell Arvid Storeide,1,"array([10.66755729, 19.24590841])"
78,0,,3218,Kristin Margrethe Devold,2,"array([ 5.46383429, 16.23450363])"
79,0,,3369,Leif Arne Langøy,1,"array([10.12533301, 16.16806398])"
80,0,,3503,Lone Fønss Gjørup Schrøder,2,"array([ 1.7829606 , 16.11387009])"
81,986221530,0250 OSLO,16,AKER ASSET MANAGEMENT ASA,0,"array([ 6.78868833, 22.64160547])"
82,0,,577,Bengt Arve Rem,1,"array([ 6.51308257, 23.79058755])"
83,0,,1577,Gabriella Teodora Bastiani,2,"array([ 7.57142737, 24.70318714])"
84,0,,3892,Nils Are Karstad Lysø,1,"array([ 6.2026266 , 20.02617106])"
85,950293225,0250 OSLO,17,AKER BIOMARINE ASA,0,"array([ 8.78302581, 18.73758013])"
86,0,,2105,Helle Kruse Nielsen,2,"array([ 9.19747302, 20.32748589])"
87,0,,5441,Tore Heldrup Rasmussen,1,"array([ 9.88834198, 18.47647714])"
88,0,,5715,Wenche Nelly A Eimo,2,"array([ 9.62871943, 19.56239799])"
89,989061879,0277 OSLO,18,AKER CONTRACTING FP ASA,0,"array([ 8.41527258, 26.36117033])"
90,0,,1085,David Anla Llewelyn Bandele,1,"array([ 9.49020717, 27.15704647])"
91,0,,5058,Svein Olsen,1,"array([ 8.43379759, 27.63332612])"
92,982000564,4032 STAVANGER,19,AKER DRILLING ASA,0,"array([6.09539624, 8.49840393])"
93,0,,2916,Karl Erik Kjelstad,1,"array([5.05433958, 6.06163663])"
94,0,,2965,Katrine Riddervold Mourud,2,"array([6.21228926, 7.42145393])"
95,0,,3704,Martinus Brandal,1,"array([ 7.02185053, 11.15427266])"
96,989795848,4003 STAVANGER,20,AKER EXPLORATION ASA,0,"array([ 5.58785616, 18.17489947])"
97,0,,3726,May Britt Myhr,2,"array([ 4.71967886, 18.90161219])"
98,0,,3948,Nina Udnes Tronstad,2,"array([ 1.03696481, 19.48404546])"
99,0,,4145,Oluf Ulseth,1,"array([ 4.57489237, 17.78041821])"
100,989628615,0277 OSLO,21,AKER FLOATING PRODUCTION ASA,0,"array([ 5.73433635, 11.2164362 ])"
