# index, _pos
0,"[-5.988774, -13.14537241]"
1,"[-7.0553274, -13.1732076]"
2,"[-6.88210179, -14.23637697]"
3,"[-5.79104461, -14.21016437]"
4,"[-4.88695077, -11.71304116]"
5,"[23.83134823, 0.15844294]"
6,"[23.05695436, -0.33972012]"
7,"[25.48348907, -0.31367672]"
8,"[21.35227287, 1.84030462]"
9,"[25.0750209, 0.51751777]"
10,"[24.06737223, -1.27656461]"
11,"[24.98162398, -1.05591028]"
12,"[22.06903835, 0.27681864]"
13,"[22.24304451, -1.05946472]"
14,"[16.05054821, 5.01787703]"
15,"[17.14331564, 6.37183589]"
16,"[17.24899653, 4.9554449]"
17,"[15.67676167, 5.99025927]"
18,"[16.72045089, 9.43802322]"
19,"[13.03600973, 1.94646243]"
20,"[16.82713532, 3.94681688]"
21,"[17.71936085, 2.20185517]"
22,"[11.14621585, -2.90272615]"
23,"[7.52463823, -1.61909937]"
24,"[12.61954062, -3.12640502]"
25,"[10.58939708, -3.71643568]"
26,"[14.32189341, -3.04229313]"
27,"[11.36734067, -4.44258939]"
28,"[12.10380696, -3.91882862]"
29,"[12.01219864, -2.44056333]"
30,"[3.91983102, -7.8894253]"
31,"[5.02498293, -10.11608635]"
32,"[3.59350633, -8.7629074]"
33,"[5.33780265, -8.07547929]"
34,"[4.14066021, -9.48477995]"
35,"[4.74282693, -7.28265909]"
36,"[2.80727065, -7.83697409]"
37,"[4.849915, -8.84869233]"
38,"[3.40876992, -4.1367637]"
39,"[3.15638687, -9.61817204]"
40,"[2.58993107, -8.80287987]"
41,"[7.09773433, 17.56099046]"
42,"[9.22508454, 17.15678148]"
43,"[8.15030184, 20.20718534]"
44,"[7.6475866, 18.45134139]"
45,"[10.66755729, 19.24590841]"
46,"[5.46383429, 16.23450363]"
47,"[10.12533301, 16.16806398]"
48,"[1.7829606, 16.11387009]"
49,"[6.78868833, 22.64160547]"
50,"[6.51308257, 23.79058755]"
51,"[7.57142737, 24.70318714]"
52,"[6.2026266, 20.02617106]"
53,"[8.78302581, 18.73758013]"
54,"[9.19747302, 20.32748589]"
55,"[9.88834198, 18.47647714]"
56,"[9.62871943, 19.56239799]"
57,"[8.41527258, 26.36117033]"
58,"[9.49020717, 27.15704647]"
59,"[8.43379759, 27.63332612]"
60,"[6.09539624, 8.49840393]"
61,"[5.05433958, 6.06163663]"
62,"[6.21228926, 7.42145393]"
63,"[7.02185053, 11.15427266]"
64,"[5.58785616, 18.17489947]"
65,"[4.71967886, 18.90161219]"
66,"[1.03696481, 19.48404546]"
67,"[4.57489237, 17.78041821]"
68,"[5.73433635, 11.2164362]"
69,"[5.90861572, 10.21556727]"
70,"[7.30850169, 12.37592837]"
71,"[3.81448499, 0.47580214]"
72,"[4.22371235, -5.49483229]"
73,"[-0.0976751, 2.94932356]"
74,"[6.12776308, -2.14987201]"
75,"[4.96017088, 0.57839118]"
76,"[15.81391385, 13.44261647]"
77,"[17.65429543, 15.51216709]"
78,"[18.25857741, 9.4163963]"
79,"[16.45850027, 14.26414684]"
80,"[15.00143086, 14.12125784]"
81,"[19.43871815, 15.97836009]"
82,"[8.36523983, 13.76228331]"
83,"[4.635675, 10.95413709]"
84,"[12.06068402, 14.61118585]"
85,"[17.51498048, 18.02266245]"
86,"[16.76111292, 20.66066388]"
87,"[18.472615, 18.9163273]"
88,"[16.71815364, 18.83208369]"
89,"[17.68503133, 19.44115894]"
90,"[17.84933723, 14.69398909]"
91,"[-20.83045266, 8.37900309]"
92,"[-23.78277208, 9.43681089]"
93,"[-20.50375053, 9.47587873]"
94,"[-17.14843997, 8.23169063]"
95,"[-21.57084525, 9.26539018]"
96,"[-21.45867435, 7.16595253]"
97,"[-20.49204975, 7.17787988]"
98,"[-22.29033767, 7.56671425]"
99,"[-19.84067217, 8.10667279]"
100,"[-22.18995044, 8.48426534]"
101,"[12.93986608, 25.25192991]"
102,"[12.09229058, 22.7724463]"
103,"[13.51689587, 26.78710636]"
104,"[12.575836, 26.73202493]"
105,"[13.98471064, 25.04110786]"
106,"[14.11723918, 26.09752704]"
107,"[12.01937918, 25.89976594]"
