# source, target, _graphml_edge_id, weight
0,206,,1
0,185,,1
0,185,,1
0,206,,1
0,227,,1
0,217,,1
0,226,,1
0,217,,1
0,226,,1
0,227,,1
0,229,,1
0,217,,1
0,228,,1
0,217,,1
0,228,,1
0,229,,1
1,2,,1
1,185,,1
1,407,,1
2,185,,1
2,407,,1
2,6,,1
2,242,,1
2,237,,1
2,237,,1
2,6,,1
2,242,,1
3,146,,1
3,403,,1
3,144,,1
3,144,,1
3,146,,1
3,403,,1
3,242,,1
3,5,,1
3,240,,1
3,5,,1
3,240,,1
3,242,,1
4,147,,1
4,185,,1
4,147,,1
4,185,,1
5,60,,1
5,219,,1
5,221,,1
5,168,,1
5,166,,1
5,169,,1
5,166,,1
5,169,,1
5,168,,1
5,156,,1
5,158,,1
5,168,,1
5,168,,1
5,156,,1
5,158,,1
5,158,,1
5,156,,1
5,169,,1
5,156,,1
5,169,,1
5,158,,1
5,6,,1
5,6,,1
5,244,,1
5,242,,1
5,425,,1
5,242,,1
5,425,,1
5,244,,1
5,242,,1
5,240,,1
5,240,,1
5,242,,1
5,157,,1
5,373,,1
5,373,,1
5,157,,1
5,373,,1
5,373,,1
5,226,,1
5,407,,1
5,107,,1
5,227,,1
5,107,,1
5,227,,1
5,226,,1
5,407,,1
5,157,,1
5,349,,1
5,349,,1
5,157,,1
5,359,,1
5,407,,1
5,107,,1
5,427,,1
5,107,,1
5,427,,1
5,359,,1
5,407,,1
5,349,,1
5,349,,1
6,242,,1
6,237,,1
6,237,,1
6,242,,1
6,226,,1
6,98,,1
6,227,,1
6,98,,1
6,227,,1
6,226,,1
6,146,,1
6,67,,1
6,144,,1
6,67,,1
6,144,,1
6,146,,1
7,22,,1
7,352,,1
7,351,,1
7,352,,1
7,14,,1
7,351,,1
8,11,,1
8,181,,1
8,175,,1
8,181,,1
8,15,,1
8,175,,1
9,386,,1
9,407,,1
9,385,,1
9,385,,1
9,386,,1
9,407,,1
9,298,,1
9,299,,1
9,407,,1
9,299,,1
9,407,,1
9,298,,1
9,407,,1
9,450,,1
9,448,,1
10,299,,1
10,407,,1
10,298,,1
10,298,,1
10,299,,1
10,407,,1
10,383,,1
10,407,,1
10,382,,1
10,382,,1
10,383,,1
10,407,,1
11,181,,1
11,248,,1
11,175,,1
11,181,,1
11,175,,1
12,88,,1
12,192,,1
12,204,,1
12,192,,1
12,204,,1
12,88,,1
12,111,,1
12,185,,1
12,152,,1
12,230,,1
13,146,,1
13,201,,1
13,204,,1
13,144,,1
13,407,,1
13,146,,1
13,375,,1
13,144,,1
13,370,,1
13,407,,1
14,352,,1
14,351,,1
14,355,,1
14,352,,1
14,351,,1
15,181,,1
15,175,,1
15,181,,1
15,16,,1
15,175,,1
16,181,,1
16,175,,1
16,181,,1
16,17,,1
16,175,,1
17,353,,1
17,18,,1
17,351,,1
17,181,,1
17,175,,1
17,181,,1
17,17,,1
17,175,,1
17,181,,1
17,175,,1
18,353,,1
18,351,,1
18,353,,1
18,19,,1
18,351,,1
19,353,,1
19,351,,1
19,353,,1
19,20,,1
19,351,,1
20,353,,1
