# index, _graphml_vertex_id, id, name, x, y, z, _pos
0,n0,v1,v1,0,0,0.5,"array([14.10675775, -1.10522284])"
1,n1,v2,v2,0,0,0.5,"array([14.61210739, -1.27318874])"
2,n2,v3,v3,0,0,0.5,"array([14.55962367, -0.98296158])"
3,n3,v4,v4,0,0,0.5,"array([14.62594831, -0.77737967])"
4,n4,v5,v5,0,0,0.5,"array([14.11246387, -1.42342487])"
5,n5,v6,v6,0,0,0.5,"array([14.41426245, -0.7543163 ])"
6,n6,v7,v7,0,0,0.5,"array([14.39223838, -0.85441739])"
7,n7,v8,v8,0,0,0.5,"array([15.34424809, -0.65798038])"
8,n8,v9,v9,0,0,0.5,"array([14.81934698, -0.67896206])"
9,n9,v10,v10,0,0,0.5,"array([14.51483903, -1.14625362])"
10,n10,v11,v11,0,0,0.5,"array([14.58600829, -1.1090935 ])"
11,n11,v12,v12,0,0,0.5,"array([14.83795774, -0.77820333])"
12,n12,v13,v13,0,0,0.5,"array([14.19884698, -0.79789814])"
13,n13,v14,v14,0,0,0.5,"array([14.4503406 , -0.88928832])"
14,n14,v15,v15,0,0,0.5,"array([15.33681669, -0.75374239])"
15,n15,v16,v16,0,0,0.5,"array([14.75456529, -0.63801822])"
16,n16,v17,v17,0,0,0.5,"array([14.76949434, -0.68466511])"
17,n17,v18,v18,0,0,0.5,"array([14.86528253, -0.72411459])"
18,n18,v19,v19,0,0,0.5,"array([15.10059882, -0.57435105])"
19,n19,v20,v20,0,0,0.5,"array([15.192472  , -0.51394066])"
20,n20,v21,v21,0,0,0.5,"array([15.25816612, -0.52309095])"
21,n21,v22,v22,0,0,0.5,"array([15.30318402, -0.57168943])"
22,n22,v23,v23,0,0,0.5,"array([15.27408685, -0.6332239 ])"
23,n23,v24,v24,0,0,0.5,"array([13.96862124, -0.95546851])"
24,n24,v25,v25,0,0,0.5,"array([13.98677059, -1.07126569])"
25,n25,v26,v26,0,0,0.5,"array([14.02063302, -0.96328823])"
26,n26,v27,v27,0,0,0.5,"array([14.10614254, -1.02032374])"
27,n27,v28,v28,0,0,0.5,"array([14.10420787, -1.05621776])"
28,n28,v29,v29,0,0,0.5,"array([14.00095136, -0.9908247 ])"
29,n29,v30,v30,0,0,0.5,"array([14.01601941, -0.76842578])"
30,n30,v31,v31,0,0,0.5,"array([14.09943184, -0.81955939])"
