# index, _pos
0,"[14.10675775, -1.10522284]"
1,"[14.21767652, -1.00093455]"
2,"[14.25657506, -1.05057547]"
3,"[14.14357109, -0.91241524]"
4,"[13.95227438, -1.10953418]"
5,"[14.15584919, -0.89949183]"
6,"[14.21174896, -1.08888547]"
7,"[14.22807312, -1.0998944]"
8,"[14.61210739, -1.27318874]"
9,"[14.55962367, -0.98296158]"
10,"[14.41301814, -0.96895788]"
11,"[14.39223838, -0.85441739]"
12,"[14.48350187, -0.84038841]"
13,"[14.59825184, -0.97378717]"
14,"[14.62594831, -0.77737967]"
15,"[14.47317584, -0.92111523]"
16,"[14.68078716, -1.04153225]"
17,"[14.49761468, -0.91156829]"
18,"[14.41426245, -0.7543163]"
19,"[14.62202327, -0.63822856]"
20,"[14.11246387, -1.42342487]"
21,"[14.15883057, -1.40003167]"
22,"[14.30699273, -0.61023468]"
23,"[14.28329511, -0.9493412]"
24,"[14.26990924, -0.68196413]"
25,"[14.47305149, -0.63499993]"
26,"[14.50298763, -0.76494807]"
27,"[14.44088012, -0.66463307]"
28,"[14.32786202, -0.82325905]"
29,"[14.41919306, -0.88514656]"
30,"[14.53724586, -0.88192569]"
31,"[14.42983074, -0.85007018]"
32,"[14.46141507, -0.75024436]"
33,"[14.24213112, -0.86785308]"
34,"[14.37307289, -0.79412516]"
35,"[14.50773327, -0.53871787]"
36,"[14.51255065, -0.66258139]"
37,"[14.51532446, -0.61876232]"
38,"[14.25998167, -0.73554536]"
39,"[14.33330444, -0.9712408]"
40,"[15.34424809, -0.65798038]"
41,"[15.27408685, -0.6332239]"
42,"[15.2850219, -0.71130863]"
43,"[15.12774844, -0.68564642]"
44,"[15.33681669, -0.75374239]"
45,"[14.81934698, -0.67896206]"
46,"[14.83795774, -0.77820333]"
47,"[14.68748661, -0.8456612]"
48,"[14.51226392, -0.8590089]"
49,"[14.75456529, -0.63801822]"
50,"[14.51483903, -1.14625362]"
51,"[14.4365924, -1.18483818]"
52,"[14.49098021, -1.23168359]"
53,"[14.48791882, -1.03933729]"
54,"[14.4079308, -1.1064676]"
55,"[14.56428092, -1.07067175]"
56,"[14.3648453, -1.18555644]"
57,"[14.58600829, -1.1090935]"
58,"[14.60664294, -1.14046292]"
59,"[14.54972166, -1.01858091]"
60,"[14.88274537, -0.88898589]"
61,"[14.19884698, -0.79789814]"
62,"[14.19270739, -0.83368369]"
63,"[14.22402593, -0.74067091]"
64,"[14.3177852, -0.87909629]"
65,"[14.16234473, -1.12273618]"
66,"[14.22622697, -0.8306515]"
67,"[14.34712364, -1.02237552]"
68,"[14.4503406, -0.88928832]"
69,"[14.34274747, -1.06903893]"
70,"[14.28553756, -0.90521738]"
71,"[14.29499131, -0.76154268]"
72,"[15.41896974, -0.70154751]"
73,"[14.76949434, -0.68466511]"
74,"[14.86528253, -0.72411459]"
75,"[15.17370015, -0.60680915]"
76,"[15.10059882, -0.57435105]"
77,"[15.192472, -0.51394066]"
78,"[15.25816612, -0.52309095]"
79,"[15.30318402, -0.57168943]"
80,"[13.96862124, -0.95546851]"
81,"[13.85515699, -0.98878551]"
82,"[13.96515652, -0.77787732]"
83,"[13.98677059, -1.07126569]"
84,"[13.89959493, -1.08818047]"
85,"[13.96595217, -0.8966826]"
86,"[14.02063302, -0.96328823]"
87,"[13.89416616, -0.99661328]"
88,"[13.98194012, -0.85515662]"
89,"[14.10614254, -1.02032374]"
90,"[14.12748055, -0.98891479]"
91,"[14.13883256, -0.83854978]"
92,"[14.10420787, -1.05621776]"
93,"[14.06679419, -1.12549229]"
94,"[14.09943184, -0.81955939]"
95,"[14.00095136, -0.9908247]"
96,"[14.01601941, -0.76842578]"
97,"[14.04313446, -1.16255749]"
98,"[14.12235419, -0.64118325]"
99,"[14.17521626, -0.6323285]"
100,"[14.07428758, -1.00310992]"
101,"[14.13062633, -0.88821166]"
102,"[14.15826436, -0.86940335]"
103,"[14.5514166, -0.81820775]"
104,"[14.59320466, -0.93461015]"
105,"[14.55067421, -0.68528252]"
106,"[14.09044902, -0.60661325]"
107,"[13.91963016, -0.31349799]"
108,"[14.2423467, -0.63052463]"
109,"[14.40148779, -0.42233689]"
110,"[14.43282008, -0.70906572]"
111,"[14.29505676, -0.649016]"
112,"[14.3785435, -1.04486794]"
113,"[14.14385193, -1.07606007]"
114,"[14.14736057, -1.03116874]"
115,"[14.24944638, -1.01420005]"
116,"[14.28964705, -0.81011689]"
117,"[14.01075359, -1.11383981]"
118,"[13.95276961, -1.14596363]"
119,"[14.04903693, -0.92599122]"
120,"[13.9996164, -0.93550272]"
121,"[14.06525997, -1.04146261]"
122,"[14.0181123, -0.83996985]"
123,"[13.90117948, -0.90721391]"
124,"[14.05051375, -0.74947538]"
125,"[14.04129683, -0.88762416]"
126,"[13.98574824, -1.03112294]"
127,"[14.05919546, -0.80088112]"
128,"[13.79044413, -0.89867961]"
129,"[14.06408382, -0.96357085]"
130,"[13.9413485, -1.01936029]"
131,"[13.89717913, -1.04193029]"
132,"[13.95502914, -0.82993533]"
133,"[13.94335281, -0.92946237]"
134,"[13.99177225, -0.80576156]"
135,"[13.85794212, -1.03630712]"
136,"[13.96512081, -0.99185329]"
137,"[13.94569598, -1.06497151]"
138,"[13.94212792, -0.86804469]"
139,"[14.26150801, -0.82621819]"
140,"[14.12834867, -0.79433432]"
141,"[14.25634964, -0.93272893]"
142,"[14.30013966, -0.71329854]"
143,"[13.98751712, -1.32489712]"
144,"[13.86043006, -1.36263278]"
145,"[14.01815639, -1.36077698]"
146,"[13.97626898, -1.43370683]"
147,"[14.21333754, -1.40814234]"
148,"[14.2193033, -1.50859452]"
149,"[14.260367, -1.40523346]"
150,"[14.25481321, -1.32436247]"
151,"[14.2955901, -1.33826668]"
152,"[14.6671823, -0.68485373]"
153,"[14.7925068, -0.73989019]"
154,"[14.59264883, -0.83159466]"
155,"[14.58365744, -0.73359957]"
156,"[14.71748842, -0.57602404]"
