# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,234
0,202
1,10
1,11
1,12
1,13
1,14
1,7
1,15
1,16
1,17
1,18
1,96
1,172
1,81
1,82
1,109
1,111
1,94
1,232
1,200
1,201
1,93
1,210
1,184
1,95
1,85
1,56
1,87
1,190
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,12
2,28
2,29
2,4
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,8
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,7
2,96
2,105
2,106
2,170
2,17
2,13
2,164
2,125
2,113
2,155
2,172
2,182
2,205
2,100
2,220
2,14
2,97
2,60
2,85
2,215
2,202
2,221
2,189
2,188
2,177
2,258
2,176
2,173
2,261
2,264
2,274
2,255
2,267
3,20
3,23
3,24
3,12
3,55
3,30
3,31
3,32
3,33
3,39
3,56
3,43
3,44
3,45
3,57
3,49
3,50
3,51
3,53
3,58
3,59
3,5
3,7
3,8
3,62
3,64
3,65
3,135
3,66
3,143
3,169
3,170
3,171
3,166
3,28
3,156
3,168
3,110
3,149
3,113
3,172
3,126
3,82
3,205
3,100
3,153
3,60
3,84
3,183
3,176
3,264
4,20
4,23
4,24
4,29
4,30
4,31
4,32
4,33
4,39
4,56
4,60
4,44
4,61
4,57
4,49
4,50
4,51
4,53
4,58
4,59
4,8
4,9
4,64
4,101
4,103
4,135
4,115
4,142
4,116
4,19
4,118
4,120
4,166
4,13
4,164
4,156
4,110
4,155
4,81
4,82
4,182
4,112
4,43
4,153
4,209
4,178
4,221
4,189
4,188
4,84
4,176
4,261
5,10
5,62
5,12
5,63
5,64
5,8
5,9
5,80
5,121
5,86
5,232
5,202
6,65
6,66
6,67
6,68
6,69
6,70
6,71
6,72
6,73
6,17
6,74
6,75
6,76
6,77
6,18
6,78
6,79
6,7
6,63
6,134
6,142
6,80
6,168
6,155
6,86
6,167
6,198
6,82
6,182
6,204
6,205
6,200
6,153
6,202
6,99
7,80
7,77
7,9
7,135
7,143
7,161
7,166
7,156
7,168
7,155
7,198
7,15
7,234
8,81
8,82
8,83
8,84
8,85
8,64
8,86
8,87
8,88
8,170
8,171
8,19
8,217
8,56
8,221
9,82
9,89
9,84
9,90
9,86
9,91
9,142
9,170
9,19
9,167
9,205
9,85
9,56
10,81
10,92
10,93
10,94
10,95
10,63
10,64
10,11
10,212
10,200
10,201
11,96
11,109
11,212
11,213
11,141
11,100
11,198
11,206
11,93
11,94
11,220
11,232
11,201
12,62
12,96
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,13
12,55
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
12,40
12,97
12,98
12,60
12,44
12,61
12,46
12,47
12,48
12,49
12,50
12,51
12,52
12,53
12,54
12,64
12,105
12,106
12,170
12,19
12,127
12,28
12,168
12,149
12,163
12,205
12,111
12,112
12,43
12,14
12,15
12,16
12,123
12,153
12,93
12,41
12,85
12,215
12,202
12,221
12,180
12,176
12,261
12,264
12,190
12,273
12,255
12,224
12,267
12,276
12,279
13,96
13,151
13,142
13,171
13,175
13,20
13,21
13,24
13,25
13,26
13,27
13,28
13,29
13,178
13,34
13,95
13,46
13,51
13,179
13,59
13,129
13,113
13,172
13,126
13,205
13,111
13,55
13,112
13,114
13,220
13,217
13,43
13,14
13,15
13,123
13,153
13,60
13,85
13,216
13,202
13,195
13,221
13,219
13,196
13,84
13,174
13,176
13,261
13,190
14,170
14,19
14,100
14,28
14,55
14,29
14,153
14,176
14,60
14,264
15,105
15,17
15,156
15,126
15,82
15,205
15,100
15,28
15,112
15,84
15,70
15,71
15,124
15,180
15,177
15,77
15,18
15,117
15,16
15,153
15,95
15,187
15,219
15,174
15,90
16,185
16,100
16,123
16,149
16,211
16,99
16,90
16,208
16,173
17,103
17,67
17,100
17,123
17,87
17,149
17,163
17,148
17,211
17,153
17,84
17,203
18,63
18,103
18,105
18,106
18,135
18,67
18,131
18,117
18,120
18,78
18,166
18,156
18,123
18,180
18,90
18,89
19,145
19,126
19,170
19,29
19,113
19,90
19,143
19,176
19,135
19,80
19,71
19,164
19,177
19,163
19,196
20,28
20,55
20,29
20,43
20,30
20,222
20,117
20,60
20,178
20,268
21,28
21,55
21,29
21,36
21,243
21,244
21,117
21,223
22,55
22,29
22,32
22,37
22,38
22,243
22,193
22,117
22,48
22,223
23,43
23,31
23,58
23,117
23,60
23,268
24,28
24,32
24,58
24,59
24,117
24,152
25,28
25,55
25,29
25,59
25,245
25,117
25,39
26,28
26,55
26,29
26,95
26,33
26,245
26,246
26,117
26,181
26,214
27,28
27,34
27,246
27,247
27,117
27,214
28,64
28,151
28,142
28,116
28,165
28,55
28,178
28,34
28,181
28,46
28,51
28,179
28,59
28,129
28,164
28,149
28,113
28,172
28,126
28,182
28,204
28,205
28,100
28,29
28,112
28,220
28,43
28,123
28,209
28,60
28,187
28,216
28,202
28,221
28,189
28,219
28,196
28,188
28,174
28,176
28,190
29,62
29,64
29,96
29,113
29,182
29,111
29,55
29,30
29,31
29,32
29,33
29,34
29,37
29,38
29,214
29,85
29,41
29,215
29,60
29,44
29,61
29,47
29,49
29,50
29,52
29,53
29,220
29,217
29,43
29,209
29,242
29,97
29,202
29,221
29,189
29,188
29,183
29,258
29,176
29,261
29,265
29,267
30,55
30,222
30,58
30,117
30,196
30,233
31,55
31,43
31,233
31,222
31,58
31,59
31,117
31,60
31,178
32,55
32,33
32,207
32,59
32,245
32,117
33,55
33,34
33,248
33,245
33,246
33,247
33,117
34,55
34,95
34,35
34,249
34,247
34,250
34,117
34,181
35,95
35,36
35,249
35,251
35,244
35,117
35,253
36,37
36,192
36,243
36,193
36,117
36,254
37,192
37,55
37,38
37,193
37,194
37,117
37,48
37,56
37,261
37,265
38,151
38,55
38,192
38,193
38,194
38,117
38,48
38,262
38,277
39,151
39,43
39,153
39,207
39,248
39,59
39,245
39,246
39,247
39,117
39,60
40,43
40,153
40,95
40,252
40,253
40,249
40,254
40,246
40,247
40,250
40,251
40,117
40,60
41,43
41,55
41,113
41,215
41,60
41,151
41,224
41,277
42,151
42,153
42,98
42,60
42,90
42,256
42,257
42,129
42,216
42,84
42,279
43,163
43,113
43,205
43,55
43,112
43,220
43,178
43,152
43,214
43,223
43,153
43,98
43,60
43,151
43,224
43,191
43,156
43,157
43,225
43,226
43,227
43,228
43,229
43,230
43,231
43,48
43,202
43,219
43,196
43,183
43,256
43,176
43,173
43,261
43,274
43,255
43,267
43,276
44,151
44,55
44,211
44,95
44,49
44,178
44,181
45,113
45,55
45,95
45,129
45,181
46,254
46,47
46,117
46,257
47,55
47,192
47,48
47,243
47,193
47,117
47,261
48,153
48,223
48,192
48,97
48,60
48,194
48,54
48,117
48,258
48,225
48,255
48,224
48,267
48,276
48,277
49,55
49,211
49,233
49,50
49,222
49,58
