# index, _pos
0,"[-7.88543459, 2.82128983]"
1,"[-7.98005628, 2.73030094]"
2,"[-8.17231333, 2.92122238]"
3,"[-8.08359818, 2.91190722]"
4,"[-8.09595906, 2.93494408]"
5,"[-7.84444075, 2.84713796]"
6,"[-7.8616956, 2.95551422]"
7,"[-7.90293906, 2.93459487]"
8,"[-7.97467214, 2.88576466]"
9,"[-7.96734279, 2.94142016]"
10,"[-7.89003513, 2.63588904]"
11,"[-7.83780562, 2.61299876]"
12,"[-8.18570021, 2.89943414]"
13,"[-8.11039315, 2.88593212]"
14,"[-8.05319695, 2.81378476]"
15,"[-8.02478165, 2.90300164]"
16,"[-7.94310854, 2.74018141]"
17,"[-7.89465742, 2.86546538]"
18,"[-7.94730512, 3.06490489]"
19,"[-8.03541798, 2.99533422]"
20,"[-8.29582255, 2.82415135]"
21,"[-8.19653553, 3.12063493]"
22,"[-8.28351753, 3.08848902]"
23,"[-8.32347362, 2.99644084]"
24,"[-8.30423787, 2.94315318]"
25,"[-8.3476856, 2.93074243]"
26,"[-8.2443441, 2.96333103]"
27,"[-8.32511881, 3.08612401]"
28,"[-8.12087712, 2.91339869]"
29,"[-8.19486839, 2.86301521]"
30,"[-8.29744943, 2.86492941]"
31,"[-8.33260708, 2.8513562]"
32,"[-8.27170452, 3.00166578]"
33,"[-8.36291198, 3.00678957]"
34,"[-8.29454373, 3.03478541]"
35,"[-8.38144747, 3.14327216]"
36,"[-8.27858006, 3.19215524]"
37,"[-8.29180008, 2.97339415]"
38,"[-8.33224902, 3.03718798]"
39,"[-8.34239293, 2.97049409]"
40,"[-8.3770325, 3.09566562]"
41,"[-8.28129572, 2.75056179]"
42,"[-8.18661553, 3.00573193]"
43,"[-8.24507942, 2.9145726]"
44,"[-8.20290109, 2.73629201]"
45,"[-8.12378936, 2.63937164]"
46,"[-8.20226354, 3.16652744]"
47,"[-8.25337761, 3.0454368]"
48,"[-8.3874795, 2.92369235]"
49,"[-8.30045042, 2.78753919]"
50,"[-8.28337744, 2.89318308]"
51,"[-8.31763076, 2.90774974]"
52,"[-8.390992, 2.96658988]"
53,"[-8.23013837, 3.00268338]"
54,"[-8.45700247, 3.03992921]"
55,"[-8.22272413, 2.85477531]"
56,"[-8.13291379, 2.94807292]"
57,"[-8.24923187, 2.70126999]"
58,"[-8.37835007, 2.84987625]"
59,"[-8.35183119, 2.88724888]"
60,"[-8.26980711, 2.93361516]"
61,"[-8.17583283, 2.64073657]"
62,"[-7.88265222, 2.89600782]"
63,"[-7.85973107, 2.92575515]"
64,"[-7.93119128, 2.95000954]"
65,"[-7.8011766, 3.0353159]"
66,"[-7.93456683, 3.21348349]"
67,"[-7.7785454, 2.96828501]"
68,"[-7.91078323, 3.17065534]"
69,"[-7.85787664, 3.12147047]"
70,"[-7.90187197, 3.06525348]"
71,"[-7.94607265, 3.0223945]"
72,"[-7.8571311, 3.15930329]"
73,"[-7.95588959, 3.18056677]"
74,"[-7.70206412, 3.04358232]"
75,"[-7.65167754, 2.91928797]"
76,"[-7.6698631, 2.85895878]"
77,"[-7.97787331, 3.05225617]"
78,"[-7.89674964, 3.01095752]"
79,"[-7.90526549, 3.09552985]"
80,"[-7.80752622, 3.00180553]"
81,"[-7.90781335, 2.73999174]"
82,"[-7.92889255, 2.78276656]"
83,"[-7.72646328, 2.9339774]"
84,"[-8.04529576, 2.92788176]"
85,"[-8.12864513, 2.84250526]"
86,"[-7.89416687, 2.78155463]"
87,"[-8.04362558, 2.96292622]"
