# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,12
0,25
0,29
0,14
0,36
0,131
0,96
0,156
0,199
1,10
1,12
1,2
1,3
1,13
1,5
1,24
1,8
1,25
1,131
1,96
1,17
2,10
2,11
2,12
2,29
2,25
2,4
2,131
2,96
2,151
2,155
2,197
3,10
3,11
3,12
3,25
3,7
3,30
3,4
3,96
3,17
3,165
3,144
3,155
3,156
4,10
4,11
4,12
4,13
4,5
4,6
4,30
4,20
4,15
4,16
4,23
4,96
5,10
5,11
5,32
5,24
5,33
5,15
5,34
5,131
5,96
5,17
6,10
6,11
6,12
6,25
6,29
6,131
6,96
6,24
6,6
6,30
6,154
6,15
6,77
6,78
6,37
6,17
6,8
6,151
6,18
6,19
6,165
6,144
6,62
6,156
6,148
6,199
6,200
7,10
7,11
7,12
7,36
7,131
7,37
7,156
7,17
7,30
7,155
7,199
7,200
8,11
8,12
8,29
8,13
8,122
8,131
8,96
8,37
8,30
8,26
8,27
8,154
8,15
8,16
8,77
8,78
8,22
8,18
8,117
8,88
8,199
8,200
9,12
9,37
9,17
9,30
9,75
9,96
9,105
9,126
9,128
9,116
9,117
9,92
9,140
9,157
9,153
9,155
9,156
9,15
9,88
9,90
9,60
9,199
10,11
10,12
10,13
10,14
10,15
10,16
10,25
10,155
11,12
11,13
11,14
11,17
11,18
11,19
11,20
11,15
11,16
11,21
11,22
11,23
11,25
11,131
11,37
11,156
11,90
11,160
11,197
11,199
12,17
12,15
12,16
12,23
12,25
12,29
12,37
12,155
12,199
13,25
13,13
13,14
13,96
13,17
14,25
14,29
14,31
14,15
14,131
14,26
14,155
14,197
15,25
15,29
15,32
15,36
15,131
15,96
15,37
15,17
15,151
15,153
15,117
15,155
15,156
15,93
15,18
15,26
15,115
15,118
15,88
15,77
15,90
15,78
15,22
15,79
15,63
15,80
15,129
15,149
15,34
15,44
15,160
15,28
15,175
15,177
15,89
15,91
15,58
15,60
15,139
15,140
15,178
15,191
15,41
15,182
15,189
15,192
15,185
15,197
15,199
15,198
15,200
16,25
16,29
16,131
16,17
16,30
16,18
16,26
16,165
16,144
16,155
16,75
16,102
16,103
16,20
16,106
16,97
16,118
16,88
16,89
16,77
16,90
16,78
16,22
16,79
16,53
16,54
16,129
16,149
16,150
16,160
16,174
16,176
16,184
16,21
16,60
16,148
16,34
16,191
16,23
16,28
16,175
16,182
16,177
16,189
16,192
16,197
16,199
16,198
17,36
17,24
17,72
17,37
17,30
17,18
17,26
17,153
17,154
17,21
17,77
17,90
17,78
17,22
17,23
18,131
18,96
18,37
18,151
18,124
18,20
18,27
18,157
18,22
18,19
18,117
18,155
18,123
18,77
18,149
18,197
18,199
19,29
19,75
19,131
19,151
19,165
19,144
19,157
19,156
19,88
19,90
19,197
19,199
20,100
20,131
20,117
20,155
20,156
20,21
20,95
20,197
20,199
20,198
20,200
21,64
21,81
21,109
21,121
21,122
21,136
21,131
21,30
21,172
21,117
21,154
21,69
21,75
21,119
21,152
21,143
21,166
21,108
21,94
21,106
21,97
21,62
21,116
21,88
21,91
21,63
21,57
21,53
21,58
21,60
21,139
21,98
21,129
21,141
21,142
21,149
21,158
21,150
21,34
21,176
21,189
21,179
21,186
21,190
21,181
21,123
21,90
21,140
21,44
21,41
21,182
22,69
22,82
22,121
22,122
22,75
22,111
22,104
22,131
22,165
22,144
22,106
22,117
22,155
22,156
22,154
22,118
22,123
22,88
22,77
22,91
22,85
22,143
22,164
22,166
22,114
22,108
22,138
22,126
22,116
22,89
22,78
22,79
22,92
22,57
22,95
22,80
22,53
22,58
22,54
22,60
22,129
22,141
22,142
22,34
22,176
22,189
22,98
22,107
22,150
22,191
22,160
22,41
22,174
22,23
22,175
22,182
22,192
22,197
22,199
23,31
23,24
23,42
23,38
23,151
23,155
23,156
23,148
23,150
23,34
23,178
23,191
23,44
23,160
23,41
23,174
23,88
23,183
23,177
23,185
23,179
23,180
23,187
23,194
23,195
23,196
23,197
23,198
23,189
23,199
23,200
24,42
24,43
24,40
24,131
24,37
24,33
24,155
25,26
25,27
25,28
25,96
25,37
26,122
26,131
26,96
26,105
26,161
26,106
26,89
26,58
26,141
26,107
26,117
26,155
26,54
26,129
26,148
26,149
26,199
26,200
27,131
27,100
27,70
27,83
27,110
27,76
27,132
27,152
27,145
27,137
27,108
27,162
27,147
27,116
27,117
27,91
27,92
27,57
27,53
27,58
27,140
27,129
27,141
27,107
27,142
27,156
28,81
28,151
28,117
28,154
28,123
28,88
28,90
28,34
28,178
28,191
28,44
28,160
28,174
28,176
28,177
28,184
28,192
28,179
28,186
28,190
28,188
28,199
28,200
28,175
28,198
29,96
30,36
30,131
30,96
30,37
30,30
30,157
30,153
30,79
30,95
30,80
30,98
30,99
30,149
30,158
30,150
30,34
30,165
30,144
30,117
30,156
30,148
30,199
31,38
31,39
31,40
31,41
31,155
31,148
32,35
32,36
32,96
32,37
32,155
33,36
33,151
33,156
33,79
33,91
34,109
34,136
34,37
34,161
34,138
34,117
34,155
34,88
34,77
34,90
34,91
34,95
34,53
34,54
34,99
34,142
34,149
34,158
34,154
34,178
34,160
34,41
34,174
34,175
34,189
34,180
35,153
35,69
35,96
35,146
35,62
35,116
35,89
35,53
35,154
36,37
36,131
37,131
37,96
37,151
37,153
37,154
37,79
37,155
37,156
37,123
37,77
37,197
37,199
38,42
38,44
38,43
38,160
39,42
39,40
39,160
40,43
40,45
40,46
41,155
41,156
41,90
41,150
41,178
41,44
41,160
41,154
41,118
41,123
41,88
41,77
41,41
41,189
41,176
41,192
41,197
41,199
41,200
42,43
42,160
43,45
43,178
43,160
44,117
44,123
44,90
44,149
44,178
44,191
44,160
44,182
44,183
44,179
44,180
44,190
44,199
46,47
46,48
46,49
46,50
46,51
46,52
46,53
46,54
47,55
47,59
47,47
47,51
47,53
47,48
47,57
48,48
48,49
48,63
48,54
48,68
48,94
49,59
49,61
49,51
49,68
50,61
50,51
50,64
50,54
50,80
51,61
51,65
51,54
52,61
52,69
52,74
52,110
52,135
52,136
52,159
52,113
52,143
52,164
52,66
52,105
52,108
52,162
52,106
52,116
52,92
52,63
52,57
52,95
52,80
52,58
52,148
52,67
52,167
52,94
52,62
52,78
53,61
53,64
53,69
53,70
53,121
53,74
53,84
53,110
53,125
53,75
53,86
53,119
53,76
53,104
53,133
53,66
53,145
53,67
53,94
53,97
53,155
53,156
53,118
53,89
53,78
53,79
53,92
53,63
53,95
53,80
53,73
53,112
53,96
53,105
53,169
53,137
53,62
53,116
53,117
53,91
53,57
53,53
53,54
53,139
53,140
53,129
53,141
53,107
53,148
53,99
53,142
53,158
53,173
53,150
53,177
53,189
53,180
53,58
53,98
53,187
53,197
54,56
54,61
54,68
54,69
54,109
54,74
54,110
54,86
54,133
54,169
54,164
54,165
54,66
54,87
54,67
54,126
54,128
54,89
54,77
54,78
54,79
54,92
54,57
54,95
54,58
54,82
54,70
54,105
54,143
54,108
54,106
54,80
