# index, name, color, _pos
0,pns1,FFCCFEF7,"array([-0.19201638, 22.47989432])"
1,pns10,FFCCFEF7,"array([-0.20896129, 22.43430293])"
2,pns11,FFCCFEF7,"array([-0.14798998, 22.44261972])"
3,pns12,FFCCFEF7,"array([-0.17476145, 22.46089482])"
4,pns13,FFCCFEF7,"array([-0.23826991, 22.51707751])"
5,pns14,FFCCFEF7,"array([-0.16720968, 22.49647421])"
6,pns2,FFCCFEF7,"array([-0.21749878, 22.49955974])"
7,pns3,FFCCFEF7,"array([-0.18830593, 22.5298162 ])"
8,pns4,FFCCFEF7,"array([-0.19284011, 22.50608983])"
9,pns5,FFCCFEF7,"array([-0.17764547, 22.43797758])"
10,pns6,FFCCFEF7,"array([-0.2474532 , 22.47495088])"
11,pns7,FFCCFEF7,"array([-0.18379734, 22.41259085])"
12,pns9,FFCCFEF7,"array([-0.20941809, 22.46641882])"
13,ATEN1,FF40B7AC,"array([-0.21413796, 22.55285275])"
14,ATEN2,FF40B7AC,"array([-0.23081264, 22.44476767])"
15,ATEN3,FF40B7AC,"array([-0.1776396 , 22.35160289])"
16,ATEN4,FF40B7AC,"array([-0.21021465, 22.39342202])"
17,pna,FF40B7AC,"array([-0.19663757, 22.28934194])"
18,pnb,FF40B7AC,"array([-0.15222345, 22.2809463 ])"
19,pnc,FF40B7AC,"array([-0.23295905, 22.31971276])"
20,pnf,FF40B7AC,"array([-0.2694087 , 22.32831378])"
21,pnh,FF40B7AC,"array([-0.28751286, 22.43095796])"
22,pnu,FF40B7AC,"array([-0.36015881, 22.32462979])"
23,pnx,FF40B7AC,"array([-0.14148284, 22.67174831])"
24,coronet1,FFFF6C00,"array([-1.63172204e-02,  2.27290824e+01])"
25,coronet11,FFFF6C00,"array([ 0.0826979 , 22.75064242])"
26,coronet12,FFFF6C00,"array([-0.18341647, 22.73425393])"
27,coronet14,FFFF6C00,"array([-0.06622454, 22.70815802])"
28,coronet16,FFFF6C00,"array([-0.11170442, 22.7272723 ])"
29,coronet2,FFFF6C00,"array([-0.07241224, 22.74374411])"
30,coronet3,FFFF6C00,"array([-0.13569117, 22.80154486])"
31,coronet4,FFFF6C00,"array([9.65036867e-03, 2.27432201e+01])"
32,coronet6,FFFF6C00,"array([ 0.03503388, 22.79621066])"
33,coronet7,FFFF6C00,"array([-0.03038817, 22.76747223])"
34,coronet8,FFFF6C00,"array([-0.0731805 , 22.78686355])"
35,coronet9,FFFF6C00,"array([ 0.10372171, 22.61388518])"
36,pr1,FFAE56FF,"array([ 0.07568061, 22.48722334])"
37,pr10,FFAE56FF,"array([ 0.08655166, 22.54393158])"
38,pr11,FFAE56FF,"array([ 0.05438222, 22.56972756])"
39,pr12,FFAE56FF,"array([ 0.09575466, 22.49801109])"
40,pr13,FFAE56FF,"array([ 0.1439479 , 22.57098395])"
