# index, _pos
0,"[-0.19201638, 22.47989432]"
1,"[-0.23826991, 22.51707751]"
2,"[-0.18830593, 22.5298162]"
3,"[-0.19284011, 22.50608983]"
4,"[-0.17764547, 22.43797758]"
5,"[-0.20941809, 22.46641882]"
6,"[-0.14184303, 22.49014926]"
7,"[-0.15999645, 22.40411959]"
8,"[-0.11896986, 22.49004634]"
9,"[-0.09782749, 22.54229839]"
10,"[-0.20896129, 22.43430293]"
11,"[-0.14798998, 22.44261972]"
12,"[-0.17476145, 22.46089482]"
13,"[-0.2474532, 22.47495088]"
14,"[-0.18379734, 22.41259085]"
15,"[-0.07494179, 22.46904573]"
16,"[-0.05303648, 22.46882733]"
17,"[-0.13745132, 22.46603465]"
18,"[-0.09794727, 22.48420926]"
19,"[-0.13872804, 22.51644563]"
20,"[-0.04527482, 22.44749352]"
21,"[-0.00919188649, 22.5118352]"
22,"[-0.02823193, 22.51282169]"
23,"[-0.08868427, 22.38468125]"
24,"[-0.21021465, 22.39342202]"
25,"[-0.16720968, 22.49647421]"
26,"[-0.08328083, 22.5126353]"
27,"[-0.0171395443, 22.5813724]"
28,"[-0.04177504, 22.39731706]"
29,"[-0.21749878, 22.49955974]"
30,"[-0.10973094, 22.51122503]"
31,"[-0.1776396, 22.35160289]"
32,"[-0.21413796, 22.55285275]"
33,"[-0.13537504, 22.38502245]"
34,"[-0.05666137, 22.48558047]"
35,"[-0.11833309, 22.62259613]"
36,"[-0.23081264, 22.44476767]"
37,"[-0.12564315, 22.44441867]"
38,"[-0.15222345, 22.2809463]"
39,"[-0.2694087, 22.32831378]"
40,"[-0.28751286, 22.43095796]"
41,"[-0.06527228, 22.40040811]"
42,"[-0.19663757, 22.28934194]"
43,"[-0.23295905, 22.31971276]"
44,"[-0.06277428, 22.37439557]"
45,"[-0.36015881, 22.32462979]"
46,"[-0.14148284, 22.67174831]"
47,"[-0.11170442, 22.7272723]"
48,"[-0.07241224, 22.74374411]"
49,"[-0.13569117, 22.80154486]"
50,"[0.00965036867, 22.7432201]"
51,"[-0.0731805, 22.78686355]"
52,"[0.00933884277, 22.6308665]"
53,"[0.00938021316, 22.5549311]"
54,"[-0.00323897685, 22.5952768]"
55,"[-0.0163172204, 22.7290824]"
56,"[0.0826979, 22.75064242]"
57,"[0.00364831841, 22.5749688]"
58,"[0.03388133, 22.5645607]"
59,"[-0.18341647, 22.73425393]"
60,"[-0.04311092, 22.55703062]"
61,"[-0.06622454, 22.70815802]"
62,"[-0.00923555974, 22.6136927]"
63,"[-0.00391525324, 22.5609775]"
64,"[0.10372171, 22.61388518]"
65,"[0.03503388, 22.79621066]"
66,"[0.05125914, 22.61823281]"
67,"[0.0122944771, 22.6480352]"
68,"[-0.03038817, 22.76747223]"
69,"[0.05438222, 22.56972756]"
70,"[0.10438846, 22.59014226]"
71,"[0.11645504, 22.50781036]"
72,"[0.06061206, 22.50098278]"
73,"[0.1110738, 22.54355584]"
74,"[0.09442292, 22.56615629]"
75,"[0.06046358, 22.54021315]"
76,"[0.13028992, 22.55117157]"
77,"[-0.0114190693, 22.4815754]"
78,"[-0.03450864, 22.52512251]"
79,"[-0.000719897583, 22.5404825]"
80,"[0.0163545375, 22.5385007]"
81,"[0.07568061, 22.48722334]"
82,"[0.09575466, 22.49801109]"
83,"[0.15698328, 22.54141501]"
84,"[0.11718095, 22.56751831]"
85,"[0.06436391, 22.58694867]"
86,"[0.0813849, 22.59125192]"
87,"[0.02307645, 22.59094535]"
88,"[0.00897766039, 22.4809063]"
89,"[0.03487092, 22.52989135]"
90,"[-0.02463118, 22.46685388]"
91,"[0.03757627, 22.50999711]"
92,"[0.0187985377, 22.5698616]"
93,"[0.08655166, 22.54393158]"
94,"[0.03485225, 22.63396153]"
95,"[0.0253802, 22.55041703]"
96,"[-0.08354589, 22.55757697]"
97,"[-0.03502983, 22.5845686]"
98,"[0.0216011946, 22.4935892]"
99,"[0.0197857531, 22.5113388]"
100,"[0.1439479, 22.57098395]"
101,"[0.15307652, 22.51249122]"
102,"[0.12039602, 22.45197125]"
103,"[0.1409512, 22.49191218]"
104,"[0.09413001, 22.46197219]"
105,"[0.04309173, 22.5946614]"
106,"[0.04421016, 22.54879333]"
107,"[0.00677514815, 22.5172276]"
108,"[-0.0105390829, 22.6364864]"
109,"[0.07137342, 22.5622564]"
110,"[0.07710479, 22.61666904]"
111,"[0.12368453, 22.4778376]"
112,"[0.09926035, 22.6684105]"
113,"[-0.000676985228, 22.6914058]"
114,"[0.05311319, 22.65990412]"
115,"[-0.0615168, 22.60723563]"
116,"[0.0107482968, 22.605508]"
117,"[-0.03526095, 22.54282832]"
118,"[0.03184678, 22.47071351]"
119,"[0.08417182, 22.51585776]"
120,"[0.13192923, 22.52704839]"
121,"[0.10186379, 22.52222333]"
122,"[0.05858625, 22.52277945]"
123,"[0.0138460189, 22.460738]"
124,"[0.07803618, 22.44437343]"
125,"[0.12684452, 22.59173252]"
126,"[0.02649231, 22.68144348]"
127,"[0.0644333, 22.64030557]"
128,"[-0.02981095, 22.63198707]"
129,"[-0.02428593, 22.56144864]"
130,"[0.20666706, 22.60233054]"
131,"[-0.07741023, 22.53174537]"
132,"[0.03274575, 22.61241548]"
133,"[0.06858443, 22.68939839]"
134,"[0.14387126, 22.72388271]"
135,"[0.13040189, 22.6523881]"
136,"[-0.0223412032, 22.6001906]"
137,"[-0.06228591, 22.63351525]"
138,"[-0.09650126, 22.64690496]"
139,"[-0.0186399544, 22.5447787]"
140,"[-0.0114867691, 22.5261647]"
141,"[-0.0182222788, 22.4990094]"
142,"[0.00298499498, 22.5000994]"
143,"[-0.00217117238, 22.6607172]"
144,"[-0.13169939, 22.58111211]"
145,"[-0.04769941, 22.64729623]"
146,"[-0.09918814, 22.68155005]"
147,"[0.0365093, 22.72182911]"
148,"[-0.04271873, 22.50405623]"
149,"[-0.057, 22.53934516]"
150,"[-0.05848066, 22.51729396]"
151,"[-0.10884189, 22.4641011]"
152,"[-0.02738469, 22.65564049]"
153,"[-0.12006024, 22.53891457]"
154,"[-0.0734754, 22.49112689]"
155,"[-0.09004609, 22.45612858]"
156,"[-0.08001116, 22.43506855]"
157,"[-0.15463989, 22.55119178]"
158,"[-0.03147265, 22.48694488]"
159,"[-0.14676509, 22.60817962]"
160,"[-0.09999819, 22.40538291]"
161,"[-0.04352315, 22.61559119]"
162,"[-0.0195402517, 22.675888]"
163,"[-0.07163893, 22.65849014]"
164,"[-0.06102808, 22.58539339]"
165,"[-0.08457952, 22.58049111]"
166,"[-0.0807988, 22.62161645]"
167,"[-0.03833774, 22.69530052]"
168,"[-0.04415196, 22.66702432]"
169,"[0.03158881, 22.65704245]"
170,"[-0.08064156, 22.60128637]"
171,"[0.09568188, 22.88446929]"
172,"[-0.11316743, 22.5952623]"
173,"[0.05293265, 22.45888206]"
174,"[-0.06182309, 22.4360495]"
