# index, _pos
0,"[0.24481976, -7.8427597]"
1,"[-1.74748861, -7.96593344]"
2,"[2.64758194, -5.34596667]"
3,"[0.70117707, -6.87919439]"
4,"[-0.75536848, -10.20073117]"
5,"[2.11997908, -8.68193523]"
6,"[-0.24992501, -8.88695774]"
7,"[5.13533018, -4.37130817]"
8,"[6.07976216, -2.80580854]"
9,"[-1.2884553, -6.93100444]"
10,"[-1.95915657, -9.28049764]"
11,"[1.91175082, -9.997563]"
12,"[0.2223816, -10.99011179]"
13,"[2.06864605, -12.76355151]"
14,"[7.88012816, -6.90327517]"
15,"[13.26707557, -21.44214382]"
16,"[14.23325063, -21.3300886]"
17,"[13.07418834, -20.58943052]"
18,"[14.38283127, -20.92180744]"
19,"[13.55726529, -21.8340959]"
20,"[13.82141926, -21.3552562]"
21,"[13.91914581, -20.788045]"
22,"[14.68066422, -21.90676607]"
23,"[12.57146183, -20.21716051]"
24,"[14.84796108, -19.32515817]"
25,"[14.87444907, -21.48019631]"
26,"[14.25270392, -22.34091127]"
27,"[13.6764809, -22.31722477]"
28,"[11.91775394, -20.71781245]"
29,"[12.2065374, -19.98305525]"
30,"[12.62342622, -20.82387695]"
31,"[14.58702985, -20.17855064]"
32,"[12.34108657, -20.50713522]"
33,"[14.12635416, -19.69821095]"
34,"[11.16456396, -18.32887187]"
35,"[12.949008, -19.63791196]"
36,"[13.55403026, -20.10567248]"
37,"[12.93768083, -20.08460759]"
38,"[11.13495252, -19.86268245]"
39,"[9.62754979, -19.82521009]"
40,"[15.21716078, -22.41467159]"
41,"[15.74393409, -22.86936496]"
42,"[16.31186422, -21.53955528]"
43,"[18.48667013, -19.98429397]"
44,"[17.3883054, -20.45526913]"
45,"[18.46776123, -20.4723733]"
46,"[16.90795083, -18.78110609]"
47,"[17.68336173, -19.66358333]"
48,"[17.25046625, -19.97134591]"
49,"[17.53806877, -20.87825415]"
50,"[17.81066164, -20.25067813]"
51,"[17.97051658, -20.74501011]"
52,"[18.19964249, -19.61117246]"
53,"[16.81932156, -20.43712473]"
54,"[-9.29984933, -20.44992229]"
55,"[-8.3587833, -19.18167309]"
56,"[-7.66953497, -19.7769487]"
57,"[18.29341543, -18.67942485]"
58,"[18.74909954, -17.45030573]"
59,"[19.27746019, -18.04973723]"
60,"[17.96429124, -18.05354387]"
61,"[20.16454179, -19.22317918]"
62,"[19.32674466, -18.73659264]"
63,"[20.0400281, -18.41920682]"
64,"[20.06442964, -16.1106748]"
65,"[17.72620907, -17.13038344]"
66,"[20.73988807, -17.36582174]"
67,"[20.94229611, -18.16007998]"
68,"[16.49003477, -15.53315663]"
69,"[20.92611787, -16.58460494]"
70,"[21.74995278, -17.45365624]"
71,"[18.51939703, -15.91869493]"
72,"[16.91512747, -17.44711448]"
73,"[15.54179254, -21.55928127]"
74,"[18.89626754, -21.43166716]"
75,"[21.94632727, -20.08221597]"
76,"[13.02106078, 1.39855036]"
77,"[12.18495308, 0.468495]"
78,"[13.45626043, 1.16759049]"
79,"[12.85879373, 0.57593842]"
80,"[11.68476828, 0.96270137]"
81,"[12.50991727, 0.45215527]"
82,"[12.82316313, 2.12543092]"
83,"[11.49747377, 1.22634017]"
84,"[13.94943986, 1.4707417]"
85,"[11.38704636, 0.89157925]"
86,"[12.5772745, 1.16346357]"
87,"[12.11740211, 0.81520451]"
88,"[11.41323975, 1.77583585]"
89,"[12.70962298, 1.71768115]"
90,"[12.21470419, 2.07810527]"
91,"[12.24436403, 1.10190176]"
92,"[11.70702623, 1.97269293]"
93,"[12.61160006, 0.80773162]"
94,"[10.61632871, -2.42473439]"
95,"[11.81035402, 0.4766576]"
96,"[9.69402165, 0.16184287]"
97,"[10.00696932, 1.81793713]"
98,"[10.67648954, 2.10519847]"
99,"[11.56353273, 2.42888733]"
100,"[11.5575004, 1.45906143]"
101,"[11.34777696, -0.16323488]"
102,"[11.94631622, 2.31852169]"
103,"[10.88697285, 1.75398155]"
104,"[10.45295022, 1.43563843]"
105,"[10.42608153, 1.84456333]"
