# index, _pos
0,"[0.06259288, -1.12057376]"
1,"[0.02730776, -1.22324909]"
2,"[0.00958028, -1.15603878]"
3,"[0.06121852, -1.09993819]"
4,"[0.02118901, -1.07735305]"
5,"[0.06355262, -1.06487191]"
6,"[-0.06554789, -1.07307774]"
7,"[0.10974597, -1.10586813]"
8,"[0.00974226, -1.18810617]"
9,"[0.217517, -1.21141765]"
10,"[-0.0677546, -1.15118136]"
11,"[0.01890692, -1.13903714]"
12,"[-0.01974708, -1.097556]"
13,"[-0.04775746, -1.22799035]"
14,"[0.01919881, -1.23181861]"
15,"[0.05110014, -1.10874038]"
16,"[0.16001138, -1.09619747]"
17,"[0.04199957, -1.15678736]"
18,"[0.17095348, -1.18502214]"
19,"[0.04095016, -1.04918225]"
20,"[-0.23531045, -1.02688029]"
21,"[-0.10664074, -1.16983686]"
22,"[-0.12017253, -1.01577907]"
23,"[-0.1375933, -1.10492163]"
24,"[-0.04854993, -1.09051876]"
25,"[-0.12822023, -1.12203111]"
26,"[-0.39699774, -0.94025231]"
27,"[0.21942824, -0.94986472]"
28,"[0.21407093, -0.99166021]"
29,"[0.19631409, -1.0726823]"
30,"[0.158178, -1.02757709]"
31,"[0.21141259, -0.91312384]"
32,"[0.13478881, -1.06545161]"
33,"[0.14540976, -1.08613368]"
34,"[-0.05695344, -1.17929604]"
35,"[0.004393, -1.22538542]"
36,"[-0.09623686, -1.22337541]"
37,"[0.05896924, -1.15140145]"
38,"[-0.01906168, -1.12742329]"
39,"[-0.05252475, -1.19022453]"
40,"[0.04577926, -1.22210885]"
41,"[0.00362096, -1.31101184]"
42,"[-0.04593058, -1.16308843]"
43,"[0.07456419, -1.15492309]"
44,"[-0.00483777, -1.12445286]"
45,"[0.04581976, -1.14609413]"
46,"[-0.00664159, -1.18437223]"
47,"[-0.09541649, -1.24133674]"
48,"[-0.00208475, -1.23488462]"
49,"[0.02561369, -1.3100292]"
50,"[-0.06925692, -1.13240731]"
51,"[0.14004413, -1.20806334]"
52,"[0.0932362, -1.2696213]"
53,"[0.1105797, -1.18194856]"
54,"[0.129399, -1.23658869]"
55,"[0.204739, -1.27474455]"
56,"[-0.02925594, -1.18260619]"
57,"[0.16388531, -1.28808687]"
58,"[0.13314503, -1.19352969]"
59,"[0.09199513, -1.25588429]"
60,"[0.08682763, -1.22916151]"
61,"[0.18148412, -1.22265159]"
62,"[0.11704105, -1.22572995]"
63,"[0.03942829, -1.30181948]"
64,"[0.07706187, -1.1890744]"
65,"[0.13836409, -1.22389314]"
66,"[0.14656183, -1.33507479]"
67,"[0.07600001, -1.25708568]"
68,"[0.06016783, -1.21418524]"
69,"[0.05528052, -1.07828154]"
70,"[0.14533597, -1.24080142]"
71,"[0.12395971, -1.21341451]"
72,"[0.13571386, -1.25109618]"
73,"[0.08634196, -1.17951262]"
74,"[0.03581913, -1.19213662]"
75,"[-0.00992555, -1.10840073]"
76,"[0.096765, -1.17455137]"
77,"[0.13936552, -1.28444829]"
78,"[0.30153526, -1.24207184]"
79,"[0.05218154, -1.17177366]"
80,"[0.1848454, -1.18914696]"
81,"[0.02035283, -1.12074634]"
82,"[0.16409313, -1.22731192]"
83,"[0.15211578, -1.36227688]"
84,"[-0.05382551, -1.13780232]"
85,"[-0.10334913, -1.09110864]"
86,"[-0.05398492, -0.92561908]"
87,"[0.16033487, -1.17667012]"
88,"[-0.06247176, -1.09099956]"
89,"[-0.06353246, -1.16467662]"
90,"[0.27092782, -1.06234097]"
91,"[-0.12272124, -1.19223068]"
92,"[0.0100041, -1.17077381]"
93,"[-0.04413323, -1.12265467]"
94,"[-0.02799711, -1.1141725]"
95,"[0.07901922, -1.03744903]"
96,"[-0.11262661, -1.1069967]"
97,"[-0.05977719, -1.20329762]"
98,"[0.04756334, -1.24366794]"
99,"[0.01578484, -1.21541035]"
100,"[-0.07297911, -1.03513807]"
101,"[-0.09624156, -1.12532217]"
102,"[-0.01463106, -1.23265574]"
103,"[0.00349102, -1.33865734]"
104,"[0.0551062, -1.39931837]"
105,"[0.03285606, -1.37880909]"
106,"[-0.00911895, -1.21644571]"
107,"[0.05477061, -1.256981]"
108,"[0.06508652, -1.29961958]"
109,"[0.0807966, -1.45881449]"
