# index, meta, _pos
0,1,"array([-8.22797576, -4.04145643])"
1,1,"array([-7.58375418,  0.97792422])"
2,1,"array([-5.84433815,  2.8866733 ])"
3,1,"array([-8.13417906,  1.00637475])"
4,1,"array([-7.53485866,  1.51517173])"
5,1,"array([-6.5533177 ,  2.13524308])"
6,0,"array([-8.28832186, -5.05581101])"
7,1,"array([-6.73788229, -4.51009691])"
8,1,"array([-5.88296821, -4.32609349])"
9,1,"array([-3.67734617,  0.30358523])"
10,0,"array([-5.89754889, -4.43844631])"
11,0,"array([-7.62949519, -4.47401389])"
12,0,"array([-7.69582687, -4.83583248])"
13,1,"array([-7.61339054, -4.90415191])"
14,1,"array([-6.10045772,  2.41158065])"
15,1,"array([-2.28648979, -2.13061055])"
16,1,"array([-7.44236994, -2.85137016])"
17,1,"array([-3.47969021,  1.19647691])"
18,0,"array([-13.12799825,  -3.98381806])"
19,1,"array([-13.14830338,  -3.88085655])"
20,0,"array([-6.83607993, -3.5667414 ])"
21,0,"array([-10.07689493,  -1.23747855])"
22,0,"array([-13.05336731,  -3.45497821])"
23,0,"array([-6.9147543 , -4.84899644])"
24,1,"array([-6.93900012, -4.94108688])"
25,1,"array([-2.7559531 , -0.04510616])"
26,0,"array([-4.08126548,  2.19118501])"
27,0,"array([-6.01722625,  1.56184635])"
28,1,"array([-6.19456942, -4.74992652])"
29,1,"array([-3.46611728,  2.04469766])"
30,1,"array([-10.23819989,   0.53785087])"
31,1,"array([-5.41363783,  3.47607409])"
32,1,"array([-7.84480573,  1.06996608])"
33,1,"array([-10.82001786,  -3.60758994])"
34,1,"array([-5.20609948,  3.53983359])"
35,1,"array([-3.97406134, -3.64449761])"
36,1,"array([-3.82391504, -3.27169964])"
37,1,"array([-12.59505004,  -3.46004327])"
38,0,"array([-7.95998485,  1.41257518])"
39,0,"array([-3.68957811, -2.62663348])"
40,1,"array([-3.90872082, -2.45502236])"
41,1,"array([-6.73635777, -4.37374255])"
42,1,"array([-7.16640901, -4.22019563])"
43,0,"array([-8.22102467,  0.31945032])"
44,1,"array([-7.1806907 ,  0.16812029])"
45,0,"array([-6.68695573, -0.73876071])"
46,1,"array([-9.53711195, -3.78246786])"
47,0,"array([-8.26721068,  1.14225171])"
48,0,"array([-5.72083965,  1.20888428])"
49,1,"array([-9.43202435,  2.0535876 ])"
50,1,"array([-4.76861861,  3.22979681])"
51,0,"array([-4.5158688,  2.4926778])"
52,1,"array([-5.92693257,  2.06851335])"
53,1,"array([-6.05689212,  1.71237109])"
54,1,"array([-7.09332942,  0.13061641])"
55,1,"array([-4.24850289,  1.44133271])"
56,0,"array([-3.81376184,  1.3191024 ])"
57,0,"array([-3.75394954,  1.25722088])"
58,0,"array([-5.09500957,  1.95941397])"
59,1,"array([-2.8099788 , -0.41314869])"
60,1,"array([-6.1961447 , -3.42308957])"
61,1,"array([-10.5456218 ,  -3.65921028])"
62,1,"array([-5.93689382,  1.28583404])"
63,1,"array([-6.80274655,  3.02595813])"
64,1,"array([-12.61322513,  -4.451737  ])"
65,1,"array([-3.35784393,  0.48371867])"
66,0,"array([-7.41115424,  0.94933152])"
67,1,"array([-6.48109248, -4.45998245])"
68,1,"array([-3.64192334,  0.58469689])"
69,1,"array([-3.52530632,  0.55475587])"
70,0,"array([-12.5392009 ,  -3.56722031])"
71,1,"array([-4.75433417,  2.73130602])"
72,1,"array([-6.19369347,  2.18517942])"
73,1,"array([-4.94285513,  2.54269679])"
74,1,"array([-3.21735994, -2.36425739])"
75,1,"array([-6.16188782,  1.69751814])"
76,1,"array([-4.02003388,  1.7829039 ])"
77,1,"array([-10.05455907,  -0.24478498])"
78,0,"array([-8.62034315, -2.78706787])"
79,0,"array([-8.38391294,  0.22477129])"
80,0,"array([-3.44502993, -0.06331094])"
81,1,"array([-3.14854946, -0.10414065])"
82,0,"array([-6.60024224,  2.8569861 ])"
83,0,"array([-7.60249596,  2.42799985])"
84,1,"array([-12.02353285,  -3.60747816])"
85,1,"array([-5.51940058,  1.40545004])"
86,1,"array([-6.67281717, -1.4237817 ])"
87,1,"array([-3.66121831, -2.44494426])"
88,0,"array([-3.68682048, -2.07989149])"
89,0,"array([-7.33395268,  0.80007077])"
90,0,"array([-7.27101957, -3.40726433])"
91,0,"array([-7.9504827 , -4.67171633])"
92,1,"array([-8.39833025, -4.30812868])"
93,1,"array([-10.05525195,   1.05150437])"
94,1,"array([-6.31899363,  1.77134127])"
95,1,"array([-4.88122566,  3.50463164])"
96,1,"array([-6.19482171,  2.26311102])"
97,0,"array([-3.89500257,  3.47641871])"
