# index, _pos
0,"[-8.22797576, -4.04145643]"
1,"[-8.39820044, -4.12388498]"
2,"[-8.36633389, -3.99902519]"
3,"[-8.31187211, -4.19398196]"
4,"[-7.98988785, -3.91408328]"
5,"[-7.58375418, 0.97792422]"
6,"[-7.53115895, 1.13590115]"
7,"[-7.65054035, 1.17137682]"
8,"[-7.68372031, 0.91468455]"
9,"[-7.74813217, 0.99720835]"
10,"[-7.60064539, 0.83849466]"
11,"[-7.73251163, 1.07533191]"
12,"[-7.70735311, 1.29608792]"
13,"[-7.51763847, 0.88504604]"
14,"[-7.82104664, 0.92440199]"
15,"[-7.07293752, 1.13854777]"
16,"[-7.4725927, 1.04751893]"
17,"[-7.49431582, 0.97199269]"
18,"[-7.68717109, 0.8000652]"
19,"[-7.630037, 1.06565633]"
20,"[-7.44955368, 1.33042799]"
21,"[-7.43507055, 0.86240561]"
22,"[-7.11486433, 1.28729064]"
23,"[-7.86196714, 1.22113806]"
24,"[-7.71685463, 0.22124767]"
25,"[-8.03088076, 1.05327786]"
26,"[-7.37657087, 1.06724029]"
27,"[-7.82983668, 0.79359345]"
28,"[-5.84433815, 2.8866733]"
29,"[-5.94735036, 2.77752429]"
30,"[-8.13417906, 1.00637475]"
31,"[-7.53485866, 1.51517173]"
32,"[-6.5533177, 2.13524308]"
33,"[-6.37011982, 2.17279898]"
34,"[-8.28832186, -5.05581101]"
35,"[-8.15118098, -4.97401899]"
36,"[-6.73788229, -4.51009691]"
37,"[-6.84379125, -4.40817909]"
38,"[-5.88296821, -4.32609349]"
39,"[-6.0291023, -4.35755375]"
40,"[-3.67734617, 0.30358523]"
41,"[-3.76537375, -0.03868299]"
42,"[-3.83777683, 0.21898266]"
43,"[-3.96211297, 0.86910762]"
44,"[-3.62973696, 0.46163665]"
45,"[-3.33287702, 0.36929929]"
46,"[-3.56706648, 0.30557624]"
47,"[-3.64460752, 0.17943614]"
48,"[-3.47820945, -0.17985978]"
49,"[-5.89754889, -4.43844631]"
50,"[-7.62949519, -4.47401389]"
51,"[-7.70666679, -4.18019637]"
52,"[-7.51504228, -4.59053053]"
53,"[-7.61860003, -4.7313033]"
54,"[-7.69582687, -4.83583248]"
55,"[-7.61339054, -4.90415191]"
56,"[-6.10045772, 2.41158065]"
57,"[-6.00641845, 2.25719531]"
58,"[-2.28648979, -2.13061055]"
59,"[-2.41176005, -2.19328333]"
60,"[-7.44236994, -2.85137016]"
61,"[-7.2189858, -2.87559579]"
62,"[-7.35389846, -3.32039697]"
63,"[-7.71566597, -2.35704142]"
64,"[-7.26723685, -2.98793414]"
65,"[-7.27793919, -2.91905893]"
66,"[-3.47969021, 1.19647691]"
67,"[-3.58786297, 1.2310828]"
68,"[-13.12799825, -3.98381806]"
69,"[-13.01319282, -3.86405381]"
70,"[-13.14830338, -3.88085655]"
71,"[-6.83607993, -3.5667414]"
72,"[-6.54262656, -3.95225747]"
73,"[-7.12823649, -3.16446086]"
74,"[-10.07689493, -1.23747855]"
75,"[-9.93701969, -1.29616278]"
76,"[-13.05336731, -3.45497821]"
77,"[-13.01553613, -3.56253408]"
78,"[-6.9147543, -4.84899644]"
79,"[-7.03796304, -4.79291013]"
80,"[-6.93900012, -4.94108688]"
81,"[-2.7559531, -0.04510616]"
82,"[-2.88751567, -0.11987336]"
83,"[-4.08126548, 2.19118501]"
84,"[-4.20317119, 2.21128296]"
85,"[-6.01722625, 1.56184635]"
86,"[-5.94655148, 1.69009706]"
87,"[-6.19456942, -4.74992652]"
88,"[-6.10276646, -4.63427607]"
89,"[-3.46611728, 2.04469766]"
90,"[-3.48440118, 1.91690904]"
91,"[-5.41363783, 3.47607409]"
92,"[-5.28920683, 3.43512459]"
93,"[-7.84480573, 1.06996608]"
94,"[-10.82001786, -3.60758994]"
95,"[-10.69609386, -3.63910556]"
96,"[-5.20609948, 3.53983359]"
97,"[-3.97406134, -3.64449761]"
98,"[-3.92653991, -3.48909242]"
99,"[-3.82391504, -3.27169964]"
100,"[-3.80129278, -3.37696563]"
101,"[-3.75334363, -3.5328755]"
102,"[-3.64873999, -3.29586574]"
103,"[-3.96877878, -3.34030936]"
104,"[-3.95541384, -3.14227136]"
105,"[-3.69592443, -3.19612447]"
106,"[-3.81414775, -2.93743372]"
107,"[-12.59505004, -3.46004327]"
108,"[-12.66703721, -3.58678959]"
109,"[-7.95998485, 1.41257518]"
110,"[-3.68957811, -2.62663348]"
111,"[-3.5790673, -2.67866745]"
112,"[-3.80705189, -2.55286678]"
113,"[-3.90872082, -2.45502236]"
114,"[-3.99226851, -2.36806591]"
115,"[-6.73635777, -4.37374255]"
116,"[-7.16640901, -4.22019563]"
117,"[-7.09768185, -4.1244178]"
118,"[-8.22102467, 0.31945032]"
119,"[-8.28727445, 0.23123761]"
120,"[-7.1806907, 0.16812029]"
121,"[-7.14969204, 0.28640271]"
122,"[-7.26415014, 0.18203874]"
123,"[-6.68695573, -0.73876071]"
124,"[-6.96362775, -1.29675333]"
125,"[-6.41332514, -0.18416215]"
126,"[-9.53711195, -3.78246786]"
127,"[-9.41169375, -3.71211393]"
128,"[-8.26721068, 1.14225171]"
129,"[-8.41127147, 1.20546124]"
130,"[-5.72083965, 1.20888428]"
131,"[-5.76079528, 1.33764576]"
132,"[-4.76861861, 3.22979681]"
133,"[-4.74861949, 3.60204396]"
134,"[-4.63303066, 3.39078712]"
135,"[-4.85085255, 3.30131125]"
136,"[-4.75957517, 2.91357523]"
137,"[-4.8614446, 2.89786328]"
138,"[-4.80841017, 3.39897156]"
139,"[-4.5158688, 2.4926778]"
140,"[-4.59093673, 2.39693717]"
141,"[-5.92693257, 2.06851335]"
142,"[-5.90460894, 1.95194974]"
143,"[-6.05689212, 1.71237109]"
144,"[-6.14794609, 1.8592077]"
145,"[-5.87112005, 1.79609354]"
146,"[-6.22229818, 1.41965039]"
147,"[-7.09332942, 0.13061641]"
148,"[-4.24850289, 1.44133271]"
149,"[-4.13935033, 1.64954207]"
150,"[-4.35242743, 1.33348866]"
151,"[-4.34008954, 1.54079554]"
152,"[-3.78761013, 1.50846059]"
153,"[-4.24705578, 1.20063008]"
154,"[-4.21608573, 1.34097083]"
155,"[-4.01259764, 1.39460567]"
156,"[-4.22325884, 1.54747907]"
157,"[-4.12696077, 1.47474428]"
158,"[-4.08853874, 1.23307187]"
159,"[-3.96156376, 1.33658197]"
160,"[-3.97565243, 1.62910331]"
161,"[-5.03193515, 1.87060082]"
162,"[-3.81376184, 1.3191024]"
163,"[-3.75394954, 1.25722088]"
164,"[-5.09500957, 1.95941397]"
165,"[-2.8099788, -0.41314869]"
166,"[-2.91892184, -0.48098932]"
167,"[-6.1961447, -3.42308957]"
168,"[-6.32107711, -3.50555799]"
169,"[-10.5456218, -3.65921028]"
