# source, target, weight
0,962,1
0,391,1
0,1945,1
0,1698,1
2,411,1
2,1873,1
10,868,9
10,1439,9
10,826,9
11,1962,39
11,1439,39
11,1585,39
11,456,39
11,1668,39
11,1791,38
11,1750,36
11,1257,36
11,510,36
11,1628,36
11,826,36
11,573,36
11,2005,30
11,119,30
11,1618,27
11,277,27
11,478,27
11,1429,27
11,689,24
11,154,24
11,418,24
11,979,21
11,557,18
11,555,18
11,1873,17
11,903,15
11,2000,15
11,1240,15
11,1401,15
11,1838,15
11,1190,12
11,242,12
11,265,12
11,1669,10
11,1717,9
11,1322,9
11,118,9
11,1080,6
11,63,6
11,1844,6
11,998,4
11,464,4
11,1875,3
11,1010,3
11,1277,3
11,1072,3
11,1986,3
11,1213,3
11,1286,3
11,315,3
11,1485,3
11,1662,3
11,1099,3
11,1832,3
11,164,3
11,1586,1
13,998,29
13,1873,29
13,1986,28
13,328,28
13,1585,28
13,851,28
13,1962,27
13,271,27
13,1257,27
13,1500,27
13,1439,27
13,216,27
13,584,27
13,456,27
13,24,27
13,1521,27
13,1586,27
13,1893,27
13,1466,27
13,1791,26
13,816,26
13,689,26
13,23,26
13,409,26
13,1742,26
13,411,26
13,1433,26
13,557,26
13,1178,26
13,202,26
13,1429,26
13,119,26
13,979,26
13,1322,26
13,452,26
13,1018,26
13,889,26
13,305,26
13,1575,26
13,640,26
13,265,26
13,1669,26
13,418,26
13,46,26
13,1240,26
13,793,26
13,1838,26
13,164,26
13,1975,26
13,510,25
13,1368,2
13,1767,2
13,1268,2
13,1660,1
13,1790,1
13,1935,1
13,343,1
13,1083,1
13,167,1
13,1330,1
13,1277,1
13,604,1
13,535,1
13,1672,1
13,872,1
13,598,1
13,1505,1
13,902,1
13,736,1
13,954,1
13,107,1
13,840,1
13,1941,1
13,1549,1
13,195,1
13,1408,1
13,938,1
13,44,1
13,1531,1
13,1290,1
13,1294,1
13,1452,1
13,217,1
13,1961,1
13,520,1
13,1577,1
13,1128,1
13,722,1
13,1994,1
13,402,1
13,1844,1
13,410,1
13,716,1
13,91,1
13,1238,1
13,1853,1
13,1877,1
13,1997,1
13,649,1
13,1431,1
13,963,1
13,1781,1
13,338,1
13,1063,1
13,1596,1
13,826,1
13,1607,1
13,279,1
13,1193,1
13,960,1
13,1379,1
13,135,1
13,73,1
13,1579,1
14,1207,2
14,1705,2
14,202,2
14,1257,2
14,349,1
14,731,1
14,1873,1
20,1973,15
20,510,14
20,998,11
20,410,10
20,1898,9
20,1873,5
20,1368,4
20,1257,4
20,1997,4
20,1439,2
22,1873,1
23,1439,35
23,1178,26
23,1838,26
23,1975,26
23,510,24
23,868,9
23,826,9
23,1832,9
23,1791,8
23,816,8
23,411,8
23,1986,8
23,1873,8
23,1585,8
23,305,8
23,418,8
23,851,8
23,464,8
23,1767,8
23,1586,8
23,202,2
23,328,2
23,452,2
23,1769,2
23,793,2
24,1439,27
24,456,27
24,1521,27
24,23,26
24,1178,26
24,889,26
24,1240,26
24,1838,26
24,1975,26
24,510,25
24,1997,2
24,1935,1
24,998,1
24,604,1
24,902,1
24,840,1
24,1368,1
24,1290,1
24,1452,1
24,217,1
24,1853,1
24,1431,1
24,851,1
24,338,1
24,826,1
25,1668,3
29,629,1
30,1143,2
33,1197,16
33,1898,11
33,851,11
33,1997,10
33,1579,7
33,1994,6
33,998,4
33,1973,4
33,1143,4
33,1257,3
33,24,2
33,183,1
33,1662,1
33,1379,1
34,92,2
34,349,2
34,322,2
34,1705,1
36,1620,1
37,992,1
38,1873,4
38,1791,3
38,1010,3
38,816,3
38,305,3
38,382,3
