# index, _pos
0,"array([ 36.46328637, 109.54392677])"
1,"array([-79.84802863, -95.1322031 ])"
2,"array([33.81902509, 78.53520142])"
3,"array([-98.07518364, 209.14445343])"
4,"array([201.58546891, 166.24383052])"
5,"array([-148.37074596,  105.17481599])"
6,"array([45.52506617, 26.20776088])"
7,"array([-148.20460346,   75.62569624])"
8,"array([48.2359144 , 29.59989152])"
9,"array([ 112.92522987, -124.15931272])"
10,"array([35.99674426, 50.22139476])"
11,"array([30.91689845, 52.80767414])"
12,"array([-176.51236119,  174.19296116])"
13,"array([35.3266341 , 62.51264248])"
14,"array([23.73790081, 70.84290582])"
15,"array([33.71700144, 24.71087562])"
16,"array([166.11629494,  10.52592367])"
17,"array([-65.69282951, 251.74274527])"
18,"array([ -29.62037697, -142.17794008])"
19,"array([191.27347552, -32.37428167])"
20,"array([45.41876236, 57.23543832])"
21,"array([40.84273271, 75.52200615])"
22,"array([21.8073929 , 82.43368053])"
23,"array([34.04962277, 57.66984044])"
24,"array([37.00183411, 60.68844734])"
25,"array([44.64953684, 32.29146047])"
26,"array([22.97632973, 26.1354322 ])"
27,"array([51.96143553, 75.51250937])"
28,"array([ 89.6929333 , 211.29418282])"
29,"array([10.14599061, 33.26257799])"
30,"array([54.48303631, 59.95942581])"
31,"array([264.85708304,  57.36923912])"
32,"array([-72.69542258, -64.04062184])"
33,"array([44.2902    , 58.50581087])"
34,"array([14.10604731, 67.63307731])"
35,"array([-103.27450788,  -68.92992356])"
36,"array([-206.25535731,   40.54350688])"
37,"array([19.54344491, 35.63723719])"
38,"array([41.03440349, 53.98483347])"
39,"array([-60.89305291, 157.61736433])"
40,"array([ -61.88656761, -106.52948681])"
41,"array([52.19752336, 72.53826168])"
42,"array([141.18312423, -43.33403535])"
43,"array([57.89115554, 45.2609779 ])"
44,"array([42.06153185, 59.51717462])"
45,"array([35.86664101, 29.08287784])"
46,"array([32.46180113, 62.85345744])"
47,"array([227.59803892, 168.03285201])"
48,"array([49.14290164, 32.1086734 ])"
49,"array([-122.43515506,   91.81138167])"
50,"array([-126.31046241,  149.10549902])"
51,"array([21.22899666, 16.19137594])"
52,"array([-108.39744519,  167.8894428 ])"
53,"array([-14.24280179,  44.03251915])"
54,"array([31.96173129, 79.71488788])"
55,"array([41.66195862, 48.47281401])"
56,"array([37.05997523, 16.21498016])"
57,"array([-103.56611816,   68.79647394])"
58,"array([  25.8784282 , -142.88727746])"
59,"array([10.49498774, 66.45568718])"
60,"array([ 1.74875491, 34.4026863 ])"
61,"array([-137.02827326, -109.44896786])"
62,"array([-25.8290323, -79.842706 ])"
63,"array([28.7482678 , 53.77454222])"
64,"array([222.04930642,  27.55631482])"
65,"array([-5.38572466, 35.59295194])"
66,"array([  -6.15251229, -176.26190115])"
67,"array([ -49.07578839, -144.58465188])"
68,"array([-147.57042769,   -6.7276762 ])"
69,"array([ 56.29149477, 189.16647036])"
70,"array([33.35849311, 93.44815606])"
71,"array([228.62265657,  99.62225437])"
72,"array([-93.31908402, 136.07608323])"
73,"array([36.13503309, 65.31928801])"
74,"array([38.53022475, 72.31146831])"
75,"array([16.24456143, 40.0880187 ])"
76,"array([  -0.22272   , -186.96003279])"
77,"array([ 192.212325  , -100.22104604])"
78,"array([ -43.24687038, -116.21832454])"
79,"array([ 9.4044764 , 47.67363627])"
80,"array([-104.65184365,  -47.13277313])"
81,"array([-114.53273855,  196.68121349])"
82,"array([-170.23815933,  108.26220208])"
83,"array([30.22006024, 66.37538171])"
84,"array([-12.79574347, 216.09911642])"
85,"array([-148.4888441 , -117.41862175])"
86,"array([-157.80540662,   46.80084704])"
87,"array([110.47040719, 203.62608936])"
88,"array([16.55455487, 24.28417816])"
89,"array([27.74912328, 54.1720592 ])"
90,"array([58.89254902, 46.49647111])"
91,"array([40.18738368, 64.80376028])"
92,"array([21.92546421, 66.76663787])"
93,"array([-69.43836714, 197.51253381])"
94,"array([  28.47567367, -153.68309263])"
95,"array([44.38314028, 55.79961467])"
96,"array([39.11702963, 39.80532348])"
97,"array([-159.99455576,  153.90948947])"
98,"array([-119.18974033,   81.42420286])"
99,"array([240.89313407,  98.56553232])"
100,"array([-19.00270884, 256.57047893])"
101,"array([ -18.90903826, -174.41890039])"
102,"array([ 187.23700471, -136.75664867])"
103,"array([31.07517526, 60.29909507])"
104,"array([31.01367462, 49.61286193])"
105,"array([ -58.5449785 , -150.45081698])"
106,"array([225.30713814,  15.69768534])"
107,"array([40.28121897, 62.18285716])"
108,"array([25.78641952, 57.71758974])"
109,"array([-183.66540081,  138.46406121])"
110,"array([-11.24958053,  46.43683461])"
111,"array([234.75178342,  45.57878298])"
112,"array([248.52387135, -43.85163946])"
113,"array([190.75606941, 138.9565893 ])"
114,"array([-127.38793585,   25.47719728])"
115,"array([148.68043376, -13.39053049])"
116,"array([34.63414285, 49.14160794])"
117,"array([-130.86263878,   16.23043758])"
118,"array([27.37259991, 58.92245083])"
119,"array([33.14189283, 54.64234955])"
120,"array([30.59717186, 43.73869998])"
121,"array([-128.32379258,  206.74298504])"
122,"array([34.53714852, 15.97985555])"
123,"array([232.67081414, -80.98365643])"
124,"array([-35.08700162, 265.2953326 ])"
125,"array([ 96.1730708 , 230.93125676])"
126,"array([-78.78155501,   1.23396063])"
127,"array([139.13819515, -83.94903096])"
128,"array([243.93029774,  54.03942386])"
129,"array([-130.06708915,   83.3159997 ])"
130,"array([  34.37987571, -164.67406672])"
131,"array([ 0.98346963, 29.20908072])"
132,"array([ -91.31587789, -121.9565086 ])"
133,"array([189.27084911,  65.24447543])"
134,"array([-170.19440211,   77.610378  ])"
135,"array([38.32850908, 67.00736858])"
136,"array([-132.48408902,  122.68074333])"
137,"array([-125.50189656, -114.43891731])"
138,"array([-102.28106671, -105.71219713])"
139,"array([ 6.43688571, 32.90831751])"
140,"array([28.37250977, 31.76614537])"
141,"array([ 1.45112516, 53.12605251])"
142,"array([219.62549272, 155.472875  ])"
143,"array([-85.25399031, 207.9281522 ])"
144,"array([  20.11638166, -133.38996735])"
145,"array([15.69143846, 33.53968113])"
146,"array([ 48.56946488, 279.9603182 ])"
147,"array([39.87466128, 70.86949458])"
148,"array([11.83403302, 78.64791536])"
149,"array([ 41.73727973, 205.2210375 ])"
150,"array([23.90510016, 58.44832643])"
151,"array([-75.83992308, -30.8666347 ])"
152,"array([30.14506939, 64.68776511])"
153,"array([-14.60054371,  48.03392525])"
154,"array([30.01214473, 52.06060121])"
155,"array([ 28.50229724, 221.58164292])"
156,"array([ 53.08610283, 177.17609092])"
157,"array([61.73965016, 87.39479209])"
158,"array([211.13717771, -67.42636637])"
159,"array([-146.71345458,  135.08791338])"
160,"array([228.23398252,   5.11171897])"
161,"array([-119.34035892,    1.07403775])"
162,"array([-174.28835456,   88.48154541])"
163,"array([ 125.50637381, -177.75729666])"
164,"array([30.28250418, 56.3969885 ])"
165,"array([24.57763445, 75.19457701])"
166,"array([-122.95801989,  -92.36031033])"
167,"array([39.76456655, 63.08801977])"
168,"array([ 13.40667232, 249.63347823])"
169,"array([112.81267809, 192.59053235])"
170,"array([23.56092125, 19.5194074 ])"
171,"array([  77.33823898, -124.567864  ])"
172,"array([  -2.95504467, -113.9987226 ])"
173,"array([19.00593675, 58.28520036])"
174,"array([232.85819412,  23.39760726])"
175,"array([159.44423498, -18.62885922])"
176,"array([28.46333735, 57.26631796])"
177,"array([56.9765012 , 35.97407594])"
178,"array([254.09444857, -31.39679185])"
179,"array([173.61745413, 130.31748058])"
180,"array([130.23834898, 159.41960078])"
181,"array([77.71631284, 63.31928229])"
182,"array([171.20706152, -34.00319653])"
183,"array([49.6885272 , 56.49609638])"
184,"array([-170.98806051,   27.00962218])"
185,"array([17.82486299, 78.49967366])"
186,"array([19.19641463, 81.78737032])"
187,"array([27.70251674, 89.22002945])"
188,"array([-11.20103177,  48.42543627])"
189,"array([-82.71785138, 135.32324639])"
190,"array([62.45135166, 46.63055427])"
191,"array([ 39.35654913, -66.79453077])"
192,"array([-151.99242985,   85.81649229])"
193,"array([183.58550701,  21.90238124])"
194,"array([63.47128722, 52.62858865])"
195,"array([42.37548469, 62.91798323])"
196,"array([35.09377734, 75.94126683])"
197,"array([-148.83217401,   26.99828947])"
198,"array([49.90117161, 27.68280015])"
199,"array([-138.92288007,  -23.67922447])"
200,"array([-45.17685657, -81.62428578])"
201,"array([ 164.24842129, -155.42918597])"
202,"array([28.94064723, 60.73021094])"
203,"array([ 9.34209274, 77.20508936])"
204,"array([62.80609804, 55.50885299])"
205,"array([140.06161632, 213.13697867])"
206,"array([37.01491367, 22.47360429])"
207,"array([160.83391695, 187.51519375])"
208,"array([  79.57638236, -141.95759015])"
209,"array([26.03531469, 59.31638817])"
210,"array([14.80663992, 74.55450528])"
211,"array([35.09317006, 31.75257084])"
212,"array([-53.84835976, -41.39773803])"
213,"array([  18.16131533, -122.66127563])"
214,"array([-132.11053002,  -56.06684303])"
215,"array([ 55.04818709, 234.26460688])"
216,"array([36.96668073, 61.5499822 ])"
217,"array([39.20570723, 66.20009883])"
218,"array([29.1713969 , 85.18319645])"
219,"array([ 172.63586098, -120.1470382 ])"
220,"array([21.79939355, 72.27135551])"
221,"array([-3.45461697, 37.8878503 ])"
222,"array([  71.1598898 , -133.67176568])"
223,"array([-109.7417339 ,   30.93313634])"
224,"array([224.07154688, -61.08599037])"
225,"array([-147.91505592,  163.25719966])"
226,"array([55.68753441, 66.57694607])"
