# index, _pos
0,"[36.46328637, 109.54392677]"
1,"[35.86919091, 100.09092292]"
2,"[31.83202146, 111.71096129]"
3,"[38.62074267, 113.54863427]"
4,"[41.23645923, 111.23153378]"
5,"[33.81902509, 78.53520142]"
6,"[32.25237929, 59.64898219]"
7,"[34.17955696, 67.32836124]"
8,"[35.99674426, 50.22139476]"
9,"[27.46625866, 50.17548954]"
10,"[36.80691153, 58.9914878]"
11,"[35.1175677, 57.57991522]"
12,"[30.91689845, 52.80767414]"
13,"[33.40467774, 59.4390057]"
14,"[30.08624745, 57.6298968]"
15,"[34.62538675, 58.38053118]"
16,"[32.24969979, 39.92127708]"
17,"[32.04856158, 58.31454887]"
18,"[28.65691654, 59.09530129]"
19,"[33.65678608, 61.3282594]"
20,"[36.24915871, 58.29678708]"
21,"[26.9792803, 52.07632316]"
22,"[30.82701543, 54.08425857]"
23,"[29.6393871, 54.06173862]"
24,"[33.14189283, 54.64234955]"
25,"[29.18746266, 51.21680552]"
26,"[28.19736102, 51.29836794]"
27,"[32.4082625, 53.41200172]"
28,"[32.48406902, 55.18135164]"
29,"[30.74875176, 57.21371415]"
30,"[30.01214473, 52.06060121]"
31,"[31.66711254, 57.19515761]"
32,"[33.86703563, 56.63289897]"
33,"[31.47358734, 54.76346198]"
34,"[31.49649233, 53.56991281]"
35,"[30.23457047, 54.77029925]"
36,"[28.54719628, 55.83637289]"
37,"[32.30708156, 54.3341667]"
38,"[34.23303049, 52.04446254]"
39,"[29.64171729, 59.70359337]"
40,"[26.7970256, 55.23010591]"
41,"[25.14789724, 55.96927059]"
42,"[32.39175388, 57.64805655]"
43,"[31.87171078, 55.67239414]"
44,"[26.33855363, 56.38303152]"
45,"[31.18709073, 56.33880732]"
46,"[27.37259991, 58.92245083]"
47,"[27.73555864, 55.17393583]"
48,"[28.7482678, 53.77454222]"
49,"[36.02973332, 57.20000342]"
50,"[34.43788823, 59.4454543]"
51,"[32.84015144, 56.10305799]"
52,"[21.13762322, 54.88718791]"
53,"[30.07238723, 53.20480874]"
54,"[35.48470393, 59.0755743]"
55,"[33.244083, 53.64659151]"
56,"[29.60306798, 56.83852376]"
57,"[29.05800918, 54.8354959]"
58,"[23.24381091, 52.31849095]"
59,"[26.52592269, 51.04652015]"
60,"[26.7748895, 57.33841367]"
61,"[33.1028048, 57.08824976]"
62,"[33.71079352, 51.01206494]"
63,"[30.90470316, 58.3878206]"
64,"[30.28250418, 56.3969885]"
65,"[36.35410642, 59.75624058]"
66,"[35.3266341, 62.51264248]"
67,"[28.01470348, 57.86614163]"
68,"[35.82850457, 61.49423147]"
69,"[37.18276299, 58.26797441]"
70,"[38.70427751, 60.85092969]"
71,"[36.96668073, 61.5499822]"
72,"[33.50988028, 60.34261528]"
73,"[37.00183411, 60.68844734]"
74,"[37.80870709, 60.6734453]"
75,"[38.0939764, 59.70896274]"
76,"[36.26822605, 62.40540082]"
77,"[32.45491136, 60.80283321]"
78,"[34.04962277, 57.66984044]"
79,"[34.31020736, 54.74930478]"
80,"[37.39523871, 56.80312663]"
81,"[33.505505, 62.9819545]"
82,"[32.77882393, 61.81574492]"
83,"[28.94064723, 60.73021094]"
84,"[39.04182832, 50.46212065]"
85,"[35.15110514, 55.11495304]"
86,"[36.1176242, 55.78024017]"
87,"[34.52864713, 60.43300746]"
88,"[30.93589038, 55.4613628]"
89,"[31.1350028, 59.22591319]"
90,"[32.46180113, 62.85345744]"
91,"[31.45821622, 61.42304002]"
92,"[30.07964237, 58.8402584]"
93,"[34.96739488, 56.49975686]"
94,"[27.81863198, 60.30635311]"
95,"[37.53577472, 64.62996375]"
96,"[40.97761386, 51.99164101]"
97,"[39.59094459, 67.23094672]"
98,"[39.91496466, 59.19979605]"
99,"[41.08246579, 64.44710954]"
100,"[41.26923796, 65.48418107]"
101,"[39.76456655, 63.08801977]"
102,"[43.87325723, 62.79820449]"
103,"[41.55222816, 62.41741171]"
104,"[42.64483569, 68.71427006]"
105,"[46.13387206, 68.83122268]"
106,"[37.16603734, 66.56989959]"
107,"[38.24727438, 58.43681263]"
108,"[33.94810153, 70.79093117]"
109,"[39.79759884, 60.18191405]"
110,"[41.73925844, 63.62869945]"
111,"[43.93941131, 61.58945434]"
112,"[40.28121897, 62.18285716]"
113,"[37.9932527, 65.99067645]"
114,"[37.77223687, 63.48509266]"
115,"[19.94452262, 53.48715226]"
116,"[42.37548469, 62.91798323]"
117,"[42.52400305, 65.72973504]"
118,"[38.5169668, 64.14256951]"
119,"[42.06153185, 59.51717462]"
120,"[37.15189247, 65.52354891]"
121,"[40.35446, 65.85275567]"
122,"[41.57624651, 66.44802058]"
123,"[43.81625052, 63.77634669]"
124,"[39.20570723, 66.20009883]"
125,"[29.79663059, 55.58542005]"
126,"[39.26475178, 64.03268799]"
127,"[42.20889353, 61.57666323]"
128,"[39.40622577, 61.93895792]"
129,"[43.08158307, 60.91892038]"
130,"[40.95768221, 63.01838062]"
131,"[43.05216751, 59.99903536]"
132,"[35.94266807, 60.5563158]"
133,"[41.19161735, 58.66411534]"
134,"[40.18738368, 64.80376028]"
135,"[41.08304161, 61.53052981]"
136,"[38.77957443, 62.86745737]"
137,"[31.99386444, 56.43486741]"
138,"[37.5899947, 62.62223007]"
139,"[40.64996696, 66.82281617]"
140,"[38.47366988, 65.12726248]"
141,"[42.21456755, 64.74507421]"
142,"[40.14067659, 61.18205612]"
143,"[40.39191235, 63.9148823]"
144,"[42.06962148, 60.5813947]"
145,"[36.72955537, 63.8469631]"
146,"[43.25893526, 64.87819705]"
147,"[40.85085538, 59.70803358]"
148,"[42.76436026, 63.75725439]"
149,"[39.34170015, 65.23543797]"
150,"[42.97954384, 62.15739761]"
151,"[38.32850908, 67.00736858]"
152,"[36.13503309, 65.31928801]"
153,"[41.04352098, 60.57183976]"
154,"[23.73790081, 70.84290582]"
155,"[20.63220075, 75.44309305]"
156,"[23.13473703, 68.6548874]"
157,"[25.49731789, 64.9629544]"
158,"[26.92782563, 64.70884917]"
159,"[45.41876236, 57.23543832]"
160,"[38.1679762, 61.70539232]"
161,"[39.74120693, 57.66543845]"
162,"[21.8073929, 82.43368053]"
163,"[30.86388071, 62.56265616]"
164,"[44.64953684, 32.29146047]"
165,"[10.14599061, 33.26257799]"
166,"[24.42190412, 46.47934672]"
167,"[54.48303631, 59.95942581]"
168,"[42.8183939, 57.99161489]"
169,"[44.2902, 58.50581087]"
170,"[45.47267989, 60.18802622]"
171,"[49.6885272, 56.49609638]"
172,"[14.10604731, 67.63307731]"
173,"[21.92546421, 66.76663787]"
174,"[15.13069177, 69.50355738]"
175,"[19.54344491, 35.63723719]"
176,"[19.06157092, 45.70323505]"
177,"[41.03440349, 53.98483347]"
178,"[36.01713092, 52.23959685]"
179,"[52.19752336, 72.53826168]"
180,"[57.89115554, 45.2609779]"
181,"[58.2719783, 47.67776058]"
182,"[57.11007207, 42.46627235]"
183,"[56.06598702, 43.99083555]"
184,"[56.43685423, 45.33336199]"
185,"[57.3166879, 46.47375776]"
186,"[59.41212666, 45.19412037]"
187,"[60.78756759, 46.51283035]"
188,"[56.99433597, 48.79805179]"
189,"[58.65557158, 42.4394386]"
190,"[55.27830824, 46.43495508]"
191,"[58.89254902, 46.49647111]"
192,"[61.99435582, 43.3617378]"
193,"[63.2035425, 44.93937238]"
194,"[52.70524836, 42.65682145]"
195,"[53.42461955, 47.3399071]"
196,"[53.78479765, 45.40034084]"
