# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
1,14
1,15
1,16
1,10
1,17
1,18
1,19
1,20
1,21
1,22
1,12
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,2
1,30
1,31
1,7
1,32
1,33
1,34
1,35
1,36
1,37
1,13
1,38
1,39
1,40
1,41
1,42
1,5
1,43
1,44
1,45
1,4
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,11
1,95
2,96
2,90
2,14
2,15
2,16
2,83
2,129
2,10
2,17
2,91
2,18
2,19
2,124
2,20
2,21
2,22
2,12
2,23
2,24
2,130
2,25
2,26
2,101
2,28
2,29
2,92
2,30
2,7
2,32
2,33
2,34
2,35
2,37
2,13
2,39
2,40
2,41
2,42
2,5
2,43
2,44
2,45
2,4
2,46
2,47
2,51
2,52
2,53
2,219
2,56
2,180
2,181
2,58
2,59
2,327
2,209
2,61
2,62
2,63
2,65
2,66
2,67
2,239
2,69
2,70
2,104
2,73
2,74
2,105
2,75
2,77
2,208
2,106
2,285
2,148
2,190
2,78
2,79
2,80
2,81
2,182
2,290
2,3
2,38
2,11
2,97
2,159
2,212
2,85
2,86
2,249
2,217
2,108
2,36
2,57
2,323
2,48
2,147
3,96
3,15
3,126
3,10
3,17
3,19
3,20
3,121
3,12
3,23
3,24
3,25
3,26
3,101
3,28
3,102
3,30
3,33
3,123
3,35
3,134
3,95
3,37
3,13
3,38
3,39
3,40
3,207
3,42
3,156
3,5
3,11
3,43
3,45
3,97
3,8
3,47
3,48
3,50
3,52
3,159
3,210
3,9
3,219
3,236
3,54
3,56
3,84
3,57
3,58
3,324
3,184
3,60
3,185
3,248
3,63
3,103
3,66
3,68
3,87
3,70
3,71
3,85
3,187
3,72
3,98
3,73
3,105
3,75
3,76
3,291
3,249
3,77
3,174
3,155
3,208
3,106
3,355
3,250
3,127
3,115
3,258
3,356
3,217
3,261
3,260
3,148
3,78
3,79
3,128
3,244
3,116
3,119
3,259
3,107
3,414
3,117
4,96
4,14
4,15
4,16
4,10
4,17
4,121
4,21
4,22
4,12
4,23
4,24
4,26
4,28
4,30
4,31
4,7
4,34
4,123
4,35
4,13
4,39
4,42
4,5
4,43
4,44
4,45
4,59
4,61
4,63
4,66
4,47
4,50
4,52
4,56
4,57
4,58
4,140
4,239
4,70
4,73
4,77
4,106
4,153
4,356
4,71
4,67
4,157
4,329
4,155
5,96
5,14
5,16
5,10
5,17
5,91
5,124
5,20
5,21
5,22
5,12
5,23
5,24
5,25
5,26
5,28
5,92
5,30
5,31
5,7
5,32
5,33
5,34
5,35
5,37
5,13
5,38
5,39
5,42
5,63
5,66
5,44
5,188
5,52
5,43
5,11
5,45
5,97
5,47
5,49
5,50
5,53
5,343
5,219
5,274
5,212
5,55
5,56
5,181
5,58
5,59
5,293
5,353
5,327
5,62
5,87
5,70
5,104
5,74
5,76
5,354
5,77
5,208
5,285
5,355
5,80
5,290
5,345
5,73
5,57
5,356
5,351
5,54
5,249
5,48
6,112
6,101
6,30
6,35
6,95
6,323
6,42
6,8
6,84
6,163
6,59
6,164
6,98
6,105
7,14
7,16
7,10
7,17
7,124
7,21
7,22
7,12
7,23
7,24
7,25
7,26
7,101
7,28
7,29
7,30
7,31
7,63
7,52
7,43
7,35
7,95
7,13
7,163
7,324
7,164
7,185
7,337
7,73
7,47
7,34
7,36
7,134
7,44
7,46
7,48
7,49
7,51
7,56
7,58
7,62
7,65
7,66
7,70
7,194
7,82
7,197
7,326
7,57
7,42
8,112
8,83
8,10
8,19
8,124
8,21
8,30
8,160
8,35
8,36
8,39
8,11
8,57
8,163
8,164
8,60
8,185
8,166
8,157
8,98
8,167
8,105
8,169
8,170
8,171
8,188
8,173
8,174
8,175
8,178
8,195
8,140
8,142
8,326
8,50
8,114
8,176
8,81
8,89
9,10
9,33
9,11
9,44
9,171
9,354
10,96
10,90
10,14
10,16
10,112
10,63
10,101
10,28
10,41
10,52
10,140
10,22
10,23
10,17
10,75
10,43
10,56
10,35
10,21
10,25
10,30
10,148
10,31
10,134
10,42
10,11
10,44
10,97
10,159
10,210
10,211
10,212
10,213
10,214
10,215
10,216
10,217
10,218
10,12
10,13
10,124
10,34
10,219
10,220
10,221
10,222
10,58
10,223
10,224
10,62
10,225
10,226
10,227
10,228
10,229
10,230
10,231
10,232
10,233
10,234
10,235
11,96
11,112
11,83
11,22
11,101
11,28
11,31
11,134
11,13
11,63
11,52
11,43
11,59
11,159
11,210
11,215
11,212
12,96
12,14
12,112
12,83
12,17
12,124
12,20
12,21
12,22
12,28
12,63
12,142
12,43
12,45
12,56
12,23
12,26
12,240
12,95
12,52
12,164
12,167
12,47
12,30
12,57
12,101
12,70
12,291
12,190
12,24
12,25
12,31
12,160
12,34
12,35
12,37
12,13
12,40
12,44
12,147
12,48
12,49
12,51
12,274
12,58
12,292
12,59
12,293
12,62
12,294
12,66
12,74
12,295
12,296
12,297
12,162
13,96
13,14
13,16
13,112
13,17
13,21
13,22
13,23
13,24
13,26
13,101
13,28
13,30
13,31
13,264
13,33
13,34
13,35
13,95
13,63
13,323
13,140
13,52
13,43
13,56
13,164
13,167
13,106
13,73
13,57
13,59
13,44
13,47
13,343
13,219
13,274
13,180
13,58
13,344
13,66
13,74
13,77
13,285
13,345
13,48
13,45
14,96
14,111
14,125
14,28
14,44
14,63
14,66
14,15
14,126
14,19
14,121
14,23
14,25
14,30
14,35
14,95
14,42
14,47
14,54
14,60
14,140
14,70
14,141
14,73
14,74
14,142
14,143
14,127
14,144
14,145
14,146
14,22
14,16
14,17
14,18
14,20
14,24
14,26
14,27
14,31
14,34
14,41
14,147
14,50
14,52
14,56
14,58
14,59
14,62
14,67
14,75
14,106
14,148
14,78
14,79
14,149
14,150
14,151
14,152
14,43
14,153
14,21
14,85
14,154
14,57
14,155
14,40
14,72
14,48
14,124
15,28
15,35
15,39
15,156
15,140
15,142
15,22
15,52
15,17
15,73
15,21
15,38
15,42
15,70
15,157
15,57
15,124
15,158
16,96
16,111
16,63
16,159
16,59
16,28
16,38
16,112
16,17
16,20
16,21
16,23
16,24
16,26
16,27
16,122
16,30
16,160
16,35
16,95
16,39
16,40
16,42
16,156
16,45
16,47
16,55
16,56
16,161
17,96
17,125
17,90
17,126
17,83
17,66
17,19
17,121
17,101
17,28
17,30
17,35
17,95
17,41
17,45
17,52
17,141
17,142
17,22
17,38
17,39
17,23
17,24
17,26
17,18
17,20
17,21
17,27
17,31
17,33
17,34
17,37
17,40
17,42
17,43
17,44
17,47
17,50
17,236
17,56
17,237
17,59
17,238
17,63
17,68
17,239
