# index, name, nodeLabel, nodeLong, nodeLat, _pos
0,LCLK,LCLK,33.630278,34.87889,"array([-2.12259821,  7.41517474])"
1,EDDF,EDDF,8.570555,50.033333,"array([-1.87252434,  7.47720007])"
2,EDDK,EDDK,7.142779,50.865833,"array([-1.89538651,  7.39802585])"
3,EGNX,EGNX,-1.328055,52.831112,"array([-1.8996653 ,  7.79958029])"
4,EGTE,EGTE,-3.413888,50.734444,"array([-1.92501886,  7.9260332 ])"
5,LTBJ,LTBJ,27.155001,38.289168,"array([-1.96591934,  7.25103983])"
6,LFPG,LFPG,2.547778,49.009721,"array([-1.94492557,  7.54696106])"
7,LFBO,LFBO,1.367778,43.635002,"array([-2.05490961,  7.58875862])"
8,EGNT,EGNT,-1.691667,55.0375,"array([-2.00262715,  7.76928909])"
9,EDDP,EDDP,12.236388,51.423889,"array([-2.01026945,  7.506593  ])"
10,LIME,LIME,9.700279,45.668888,"array([-1.80058885,  7.61725042])"
11,EGSS,EGSS,0.235,51.885002,"array([-1.80856535,  7.70112702])"
12,LTBR,LTBR,29.549445,40.248889,"array([-1.91664061,  6.92681546])"
13,LGAV,LGAV,23.944446,37.936666,"array([-2.20387427,  7.37123375])"
14,EHAM,EHAM,4.764167,52.308057,"array([-1.89949573,  7.54254078])"
15,LTAI,LTAI,30.792778,36.900277,"array([-1.81804358,  7.22859116])"
16,EGBB,EGBB,-1.748055,52.45389,"array([-1.79108372,  7.7347969 ])"
17,EGPH,EGPH,-3.3725,55.95,"array([-1.88247049,  7.74798597])"
18,EBLG,EBLG,5.442779,50.636389,"array([-1.81017587,  7.52751076])"
19,LIPE,LIPE,11.296945,44.530835,"array([-1.87066741,  7.57375094])"
20,EGAA,EGAA,-6.215834,54.657499,"array([-1.94252209,  7.79111904])"
21,EBBR,EBBR,4.484445,50.901388,"array([-1.95637853,  7.51072654])"
22,LTAF,LTAF,35.280278,36.982222,"array([-1.9251784 ,  7.04579608])"
23,LTBA,LTBA,28.814166,40.976111,"array([-2.01776022,  7.23323154])"
24,LTAJ,LTAJ,37.47889,36.947778,"array([-2.17403473,  7.07829251])"
25,LKPR,LKPR,14.26,50.100834,"array([-1.81467657,  7.41782369])"
26,EKCH,EKCH,12.656112,55.618054,"array([-1.78303216,  7.4843006 ])"
27,ESSA,ESSA,17.918612,59.651945,"array([-1.78616163,  7.28116983])"
28,LTAC,LTAC,32.994999,40.128056,"array([-2.04248639,  7.12513523])"
29,EPKK,EPKK,19.784721,50.077779,"array([-1.76424092,  7.52111366])"
30,ENGM,ENGM,11.083889,60.202779,"array([-1.59949101,  7.44455079])"
31,EKBI,EKBI,9.151666,55.740279,"array([-1.63992194,  7.57519935])"
32,EDDB,EDDB,13.520555,52.378613,"array([-1.84053163,  7.49936617])"
33,LIMC,LIMC,8.723055,45.630001,"array([-1.96711655,  7.48446841])"
34,EPGD,EPGD,18.466111,54.377498,"array([-1.66637544,  7.47730777])"
35,LTFJ,LTFJ,29.309167,40.898332,"array([-1.97821665,  7.20860826])"
36,LEIB,LEIB,1.373055,38.872778,"array([-1.89410043,  7.71029212])"
37,EDDM,EDDM,11.786111,48.35389,"array([-1.91745099,  7.42713872])"
38,LEVT,LEVT,-2.724445,42.88278,"array([-2.11882524,  7.81194655])"
39,LEBL,LEBL,2.078333,41.296944,"array([-2.0199786 ,  7.62870175])"
40,LLBG,LLBG,34.88278,32.009444,"array([-2.03554516,  7.40020375])"
41,EPWA,EPWA,20.967222,52.165833,"array([-1.84556428,  7.55809561])"
42,EDDG,EDDG,7.684722,52.134721,"array([-2.01703   ,  7.29889728])"
43,ESMS,ESMS,13.353334,55.548332,"array([-1.62016503,  7.25155626])"
44,EDDN,EDDN,11.078055,49.498612,"array([-2.07838057,  7.33903293])"
45,LZIB,LZIB,17.212779,48.169999,"array([-1.70725083,  7.65801468])"
46,EHBK,EHBK,5.776945,50.915833,"array([-1.61267662,  7.3346101 ])"
47,LROP,LROP,26.085,44.57111,"array([-1.91390108,  7.32442399])"
48,EINN,EINN,-8.924721,52.701945,"array([-2.02095524,  7.85161862])"
