# index, _pos
0,"[-2.12259821, 7.41517474]"
1,"[-1.87252434, 7.47720007]"
2,"[-1.91745099, 7.42713872]"
3,"[-1.90365726, 7.59281054]"
4,"[-1.91772296, 7.50085079]"
5,"[-1.93228121, 7.37627268]"
6,"[-2.02919765, 7.67227663]"
7,"[-1.84556428, 7.55809561]"
8,"[-1.89694688, 7.6741291]"
9,"[-2.23905499, 7.52008663]"
10,"[-2.20387427, 7.37123375]"
11,"[-2.07997124, 7.43666009]"
12,"[-1.81467657, 7.41782369]"
13,"[-1.95537469, 7.42224177]"
14,"[-1.94492557, 7.54696106]"
15,"[-2.05490961, 7.58875862]"
16,"[-2.01026945, 7.506593]"
17,"[-1.89949573, 7.54254078]"
18,"[-1.79108372, 7.7347969]"
19,"[-1.88247049, 7.74798597]"
20,"[-1.87066741, 7.57375094]"
21,"[-1.95637853, 7.51072654]"
22,"[-2.01776022, 7.23323154]"
23,"[-1.78303216, 7.4843006]"
24,"[-1.78616163, 7.28116983]"
25,"[-1.76424092, 7.52111366]"
26,"[-1.59949101, 7.44455079]"
27,"[-1.63992194, 7.57519935]"
28,"[-1.96711655, 7.48446841]"
29,"[-1.66637544, 7.47730777]"
30,"[-2.0199786, 7.62870175]"
31,"[-2.03554516, 7.40020375]"
32,"[-2.01703, 7.29889728]"
33,"[-2.07838057, 7.33903293]"
34,"[-1.91390108, 7.32442399]"
35,"[-1.98647003, 7.6161936]"
36,"[-1.76235658, 7.56896585]"
37,"[-1.85309479, 7.43478235]"
38,"[-1.9465056, 7.63410496]"
39,"[-2.06045324, 7.51149211]"
40,"[-2.0923393, 7.54542207]"
41,"[-1.91077723, 7.62710969]"
42,"[-1.8774033, 7.52349431]"
43,"[-1.94140532, 7.45504927]"
44,"[-1.96168395, 7.3843857]"
45,"[-1.96382923, 7.32226994]"
46,"[-1.68299545, 7.61083141]"
47,"[-1.72644339, 7.34244477]"
48,"[-1.70486973, 7.46940781]"
49,"[-1.62289135, 7.49030537]"
50,"[-1.82182112, 7.46638068]"
51,"[-1.59480806, 7.53913664]"
52,"[-1.91037444, 7.46806543]"
53,"[-2.09184466, 7.2605971]"
54,"[-1.84548994, 7.61619086]"
55,"[-1.91118124, 7.27229052]"
56,"[-2.03805024, 7.54918824]"
57,"[-1.84264489, 7.65748115]"
58,"[-1.84665478, 7.38411776]"
59,"[-1.99220186, 7.40243182]"
60,"[-1.98882247, 7.71023144]"
61,"[-1.87274523, 7.23862592]"
62,"[-1.81721872, 7.33441607]"
63,"[-1.88258324, 7.45062879]"
64,"[-1.67311482, 7.09710574]"
65,"[-1.98442605, 7.66606671]"
66,"[-1.99076822, 7.44430678]"
67,"[-2.06816199, 7.63104552]"
68,"[-1.48470607, 7.48957046]"
69,"[-1.6652154, 7.53303726]"
70,"[-1.93759111, 7.58201767]"
71,"[-1.538193, 7.52802438]"
72,"[-1.74163645, 7.46294098]"
73,"[-1.99656555, 7.58037855]"
74,"[-1.90996035, 7.20648477]"
75,"[-2.02345179, 7.46617373]"
76,"[-1.67050427, 7.32005468]"
77,"[-1.77946777, 7.34894341]"
78,"[-1.73200575, 7.58987374]"
79,"[-1.71119133, 7.55949422]"
80,"[-2.01380071, 7.34921845]"
81,"[-2.07310505, 7.67880451]"
82,"[-1.62034332, 7.83506007]"
83,"[-1.80856535, 7.70112702]"
84,"[-1.87691378, 7.35017916]"
85,"[-1.80810709, 7.66801265]"
86,"[-1.71933431, 7.51232605]"
87,"[-1.84105197, 7.29189316]"
88,"[-1.9620358, 7.88702556]"
89,"[-2.16528773, 7.63276203]"
90,"[-1.96591934, 7.25103983]"
91,"[-1.81804358, 7.22859116]"
92,"[-1.97821665, 7.20860826]"
93,"[-1.96109958, 7.10502477]"
94,"[-2.21905438, 7.13399982]"
95,"[-1.87422084, 7.63936686]"
96,"[-1.89538651, 7.39802585]"
97,"[-2.08370534, 7.3800295]"
98,"[-1.94036387, 7.67740582]"
99,"[-1.7699198, 7.41879896]"
100,"[-1.87684792, 6.8268402]"
101,"[-1.84053163, 7.49936617]"
102,"[-1.89410043, 7.71029212]"
103,"[-1.77528796, 7.66448759]"
104,"[-2.14279584, 7.34289078]"
105,"[-1.80603913, 7.576394]"
106,"[-1.75165408, 7.626217]"
107,"[-1.90170094, 7.99676467]"
108,"[-2.0006265, 7.17009027]"
109,"[-2.06058056, 7.81057659]"
110,"[-2.26748274, 7.38413994]"
111,"[-1.8996653, 7.79958029]"
112,"[-1.80058885, 7.61725042]"
113,"[-2.13157398, 7.99396019]"
114,"[-1.7331265, 7.74692345]"
115,"[-1.79335882, 7.9096968]"
116,"[-2.04352725, 8.05122369]"
117,"[-1.7208495, 7.98443038]"
118,"[-1.81766132, 8.03206062]"
119,"[-1.8387611, 7.96524434]"
120,"[-2.18612671, 7.89361453]"
121,"[-1.94252209, 7.79111904]"
122,"[-2.11882524, 7.81194655]"
123,"[-2.02095524, 7.85161862]"
124,"[-1.81017587, 7.52751076]"
125,"[-1.92501886, 7.9260332]"
126,"[-2.00262715, 7.76928909]"
127,"[-1.88879811, 7.86274761]"
128,"[-1.96774241, 7.95339843]"
129,"[-1.91664061, 6.92681546]"
130,"[-2.04248639, 7.12513523]"
131,"[-1.9251784, 7.04579608]"
132,"[-2.2706079, 6.97053029]"
133,"[-2.18953167, 6.9798869]"
134,"[-2.14919438, 7.5301771]"
135,"[-2.17403473, 7.07829251]"
136,"[-1.91371688, 6.99078135]"
137,"[-2.04703331, 6.97432177]"
138,"[-2.10875237, 6.95375087]"
139,"[-1.98305674, 6.96081405]"
140,"[-2.11561851, 7.58336449]"
141,"[-1.8506267, 7.77794769]"
142,"[-1.83106036, 7.74185532]"
143,"[-2.07578523, 7.9391743]"
144,"[-2.33355241, 7.43765369]"
145,"[-2.40644021, 7.54931987]"
146,"[-2.38476105, 7.47786127]"
147,"[-1.74819091, 7.22696297]"
148,"[-1.99329915, 7.54097721]"
149,"[-2.18748456, 7.83877313]"
150,"[-1.71476219, 7.8720093]"
151,"[-2.28179236, 7.71929178]"
152,"[-2.34608929, 7.62121357]"
153,"[-1.73851716, 7.91561601]"
154,"[-1.98537079, 7.81793198]"
155,"[-1.85498072, 7.81681554]"
156,"[-2.2156346, 7.6236221]"
157,"[-1.96419759, 7.74763159]"
158,"[-1.83601974, 7.88315338]"
159,"[-2.20368875, 7.47244237]"
160,"[-1.70725083, 7.65801468]"
161,"[-2.58088914, 7.63462633]"
162,"[-1.54152783, 7.46074024]"
163,"[-1.79863359, 7.77955818]"
164,"[-1.85120539, 7.6986896]"
165,"[-1.49198873, 7.66435082]"
166,"[-1.56242587, 7.6405885]"
167,"[-1.92474816, 7.72840384]"
168,"[-1.5680603, 7.59029011]"
169,"[-1.68747073, 7.72410756]"
170,"[-1.74117845, 7.6980737]"
171,"[-1.74287866, 7.79317359]"
172,"[-1.76011533, 7.84161088]"
173,"[-1.6767631, 7.78247248]"
174,"[-1.65267299, 7.68106049]"
175,"[-1.93742185, 7.85342989]"
176,"[-1.69064663, 7.82579255]"
177,"[-1.38615006, 7.75163643]"
178,"[-1.67405595, 7.42300435]"
179,"[-1.40695475, 7.6749655]"
180,"[-2.22415523, 7.77566297]"
181,"[-2.17841546, 7.68690575]"
182,"[-1.62546641, 7.76645949]"
183,"[-1.38291338, 7.83403047]"
184,"[-1.56850005, 7.80763582]"
185,"[-1.78022935, 7.96973093]"
186,"[-1.45267123, 7.86712954]"
187,"[-1.5792849, 7.68394349]"
188,"[-2.0352915, 7.73023074]"
189,"[-1.48950238, 8.0886534]"
190,"[-1.72245517, 7.3962867]"
191,"[-2.17151949, 7.78414703]"
192,"[-1.48419271, 7.75210584]"
193,"[-2.26612536, 7.66108265]"
194,"[-1.47651324, 7.94973415]"
195,"[-1.65554554, 7.89593875]"
196,"[-1.40903349, 8.02156861]"
197,"[-1.52207304, 7.86371466]"
198,"[-1.87512283, 8.1512945]"
199,"[-1.64081883, 7.96533697]"
200,"[-1.71942268, 8.20281433]"
201,"[-1.71497232, 8.09471754]"
202,"[-1.9688762, 8.16204906]"
203,"[-1.53581848, 8.20536557]"
204,"[-1.55726882, 8.00115796]"
205,"[-1.60673494, 8.07002263]"
206,"[-1.61965483, 8.26384548]"
207,"[-2.14675861, 7.47185728]"
208,"[-1.635618, 7.39404568]"
209,"[-2.19648997, 7.56058876]"
210,"[-2.32892896, 7.35078267]"
211,"[-2.36733304, 7.25465476]"
212,"[-2.21440134, 7.24299061]"
213,"[-2.77185922, 7.18505119]"
214,"[-2.5095455, 7.19743848]"
215,"[-2.46137003, 7.29366601]"
216,"[-2.55239406, 7.32226952]"
217,"[-2.26520273, 7.29921492]"
218,"[-2.71654992, 7.37565329]"
219,"[-2.15671266, 7.27469015]"
220,"[-2.60032788, 7.12273597]"
221,"[-2.12583629, 7.02805508]"
222,"[-2.68116893, 7.15333574]"
223,"[-2.59482337, 6.94419043]"
224,"[-2.71872547, 7.07276592]"
225,"[-2.64335835, 7.44165304]"
226,"[-2.72773425, 7.50053184]"
227,"[-2.64627113, 7.02300096]"
228,"[-2.25759923, 7.04577931]"
229,"[-2.62170464, 7.22039985]"
230,"[-2.78888471, 7.42570662]"
231,"[-2.71496308, 7.2519803]"
232,"[-2.5037208, 6.97529323]"
233,"[-2.54868162, 7.05321372]"
234,"[-2.65538816, 7.31911557]"
235,"[-2.78705382, 7.30583417]"
236,"[-2.11098378, 7.63588191]"
237,"[-2.48139675, 7.7139262]"
238,"[-1.39177778, 7.26044772]"
239,"[-2.11482079, 7.69562826]"
240,"[-1.3172304, 7.51344504]"
241,"[-2.16137767, 8.11200625]"
242,"[-1.42528549, 7.55224944]"
243,"[-1.48517283, 7.40352143]"
244,"[-1.61757164, 7.71712738]"
245,"[-2.03798715, 7.98221985]"
246,"[-1.86831042, 7.9224285]"
247,"[-1.98979558, 7.03598358]"
248,"[-2.0852871, 7.76015498]"
249,"[-2.16998898, 7.41633899]"
250,"[-2.0894892, 7.85712995]"
251,"[-1.81338361, 6.92188911]"
252,"[-1.14097236, 7.29091436]"
253,"[-1.55062745, 7.36726098]"
254,"[-1.53047886, 7.09194933]"
255,"[-1.59936366, 7.05624495]"
256,"[-1.62602184, 6.96463684]"
257,"[-1.78799273, 6.65605301]"
258,"[-1.96777775, 8.0209548]"
259,"[-2.01930952, 7.91391271]"
260,"[-1.62163717, 7.63225939]"
261,"[-1.55846627, 7.73977517]"
262,"[-1.89477049, 8.32507719]"
263,"[-2.25298018, 8.05834681]"
264,"[-1.62016503, 7.25155626]"
265,"[-1.54056664, 7.27627899]"
266,"[-1.90129898, 8.07088617]"
267,"[-1.45880018, 7.19002637]"
268,"[-2.36280315, 7.17892858]"
269,"[-1.42057039, 7.48021019]"
270,"[-2.36453275, 7.70469691]"
271,"[-1.68620583, 7.03343751]"
272,"[-1.61267662, 7.3346101]"
273,"[-2.01256177, 6.88883079]"
274,"[-2.15924348, 7.18249051]"
275,"[-1.99319846, 6.80106902]"
276,"[-2.15223728, 6.81923414]"
277,"[-2.11742603, 7.11534396]"
278,"[-2.3173471, 6.72962764]"
279,"[-2.08318278, 6.7641345]"
280,"[-2.06352125, 6.65995084]"
281,"[-2.40564172, 6.89907954]"
282,"[-2.37682646, 6.79643405]"
283,"[-2.08769556, 6.86700638]"
284,"[-2.23313118, 6.70608163]"
285,"[-1.89123127, 7.11739913]"
286,"[-2.18738392, 6.89913143]"
287,"[-2.2383549, 6.82281589]"
288,"[-2.30150111, 6.88766282]"
289,"[-2.15645399, 6.66677838]"
290,"[-1.80396799, 7.13199268]"
291,"[-2.08495454, 7.18773496]"
292,"[-1.29646156, 7.68723814]"
293,"[-2.05727506, 7.04776466]"
294,"[-1.50129172, 6.9817803]"
295,"[-2.32401742, 7.52678969]"
296,"[-1.47657168, 7.28954128]"
297,"[-1.36706971, 7.08231497]"
298,"[-1.34104383, 7.59627092]"
299,"[-1.21525874, 7.64961694]"
300,"[-1.53899027, 6.87827065]"
301,"[-1.51765739, 6.73516038]"
302,"[-1.62166405, 6.70313126]"
303,"[-1.57080482, 6.79899106]"
304,"[-1.65903967, 6.79621109]"
305,"[-1.71535058, 6.72489676]"
306,"[-1.45271849, 6.80488719]"
307,"[-0.97797909, 7.35015242]"
308,"[-1.17963058, 7.47661979]"
309,"[-1.33753455, 7.42735479]"
310,"[-1.15932795, 7.37387798]"
311,"[-1.05081782, 7.4070174]"
312,"[-1.24625271, 7.47170767]"
313,"[-1.2381734, 7.55525199]"
314,"[-1.26211621, 7.38623467]"
315,"[-1.13172155, 7.12564751]"
316,"[-1.09620927, 7.58002591]"
317,"[-1.11067758, 7.21557891]"
318,"[-1.22732572, 7.3023075]"
319,"[-1.25086847, 7.22736391]"
320,"[-1.21386253, 7.14431906]"
321,"[-1.84458635, 7.06402022]"
322,"[-2.13399947, 7.74598295]"
323,"[-2.10021152, 7.47755095]"
324,"[-1.49651993, 7.59753639]"
325,"[-1.95644105, 6.63535418]"
326,"[-2.12201102, 7.90861491]"
327,"[-1.75370982, 6.99122383]"
328,"[-2.28450121, 7.82158586]"
329,"[-2.22483909, 7.71637832]"
330,"[-2.35052859, 7.7870164]"
331,"[-2.37465225, 7.88438573]"
332,"[-2.42683456, 7.80409373]"
333,"[-2.53488732, 7.97039234]"
334,"[-2.32609481, 7.96376328]"
335,"[-2.37520988, 8.12532205]"
336,"[-2.43689879, 8.05758935]"
337,"[-2.23958623, 7.97268984]"
338,"[-2.49982737, 7.57804484]"
339,"[-2.51874194, 7.87040972]"
340,"[-1.6751822, 8.04479963]"
341,"[-1.79144002, 8.11645741]"
342,"[-1.71355879, 7.28136182]"
343,"[-1.83680627, 6.99019777]"
344,"[-2.26733726, 7.47012176]"
345,"[-2.28982163, 7.17966396]"
346,"[-1.58771544, 7.90747362]"
347,"[-2.40223324, 7.38875944]"
348,"[-2.27634191, 7.88465991]"
349,"[-2.16980762, 8.21343861]"
350,"[-2.56924521, 7.52484782]"
351,"[-1.80826296, 7.83840305]"
352,"[-1.7750964, 7.06552678]"
353,"[-1.79439321, 6.80784245]"
354,"[-2.40798672, 7.63120936]"
355,"[-2.26257407, 7.5839725]"
356,"[-1.7430824, 7.16269896]"
357,"[-2.32275076, 7.08315638]"
358,"[-1.71971033, 6.89638964]"
359,"[-1.91925945, 6.73570992]"
360,"[-1.44795955, 7.08776883]"
361,"[-1.35187945, 7.33308964]"
362,"[-1.36636462, 7.17963359]"
363,"[-1.26637508, 7.04409376]"
364,"[-1.4310066, 6.90596698]"
365,"[-1.34937388, 6.87458516]"
366,"[-1.36477987, 6.97599546]"
367,"[-1.2812098, 6.95130055]"
368,"[-1.20278077, 7.7462712]"
369,"[-1.54327184, 7.19161228]"
370,"[-1.59961552, 7.14241096]"
371,"[-2.48487579, 6.84569401]"
372,"[-2.71596806, 7.59940801]"
373,"[-0.60880633, 7.47531858]"
374,"[-0.74578032, 7.47613891]"
375,"[-0.75039557, 7.33491071]"
376,"[-0.81346543, 7.19807721]"
377,"[-0.89996858, 7.24195808]"
378,"[-0.57098864, 7.26550866]"
379,"[-0.59710008, 7.36773175]"
380,"[-0.62763743, 7.19012882]"
381,"[-0.86347706, 7.08121656]"
382,"[-0.97677898, 7.47644777]"
383,"[-0.9002397, 7.46242026]"
384,"[-0.81538296, 6.98913009]"
385,"[-0.96107137, 7.56144676]"
386,"[-0.92684635, 6.94127492]"
387,"[-0.74896132, 7.08019083]"
388,"[-2.57016205, 7.76574876]"
389,"[-2.60512713, 8.11678458]"
390,"[-1.80288299, 8.21972151]"
391,"[-0.42276358, 7.43430342]"
392,"[-0.46604515, 7.57877824]"
393,"[-0.71785051, 7.60383435]"
394,"[-0.29552012, 7.31532191]"
395,"[-0.30619052, 7.48691404]"
396,"[-0.87456399, 7.62855852]"
397,"[-2.01118519, 8.27863901]"
398,"[-1.67022664, 7.18381105]"
399,"[-2.66915687, 7.72144223]"
400,"[-2.6662664, 7.82761273]"
401,"[-1.4232935, 7.35648004]"
402,"[-2.43209484, 7.10087781]"
403,"[-2.48733655, 7.45693998]"
404,"[-1.05665559, 7.75376855]"
405,"[-1.19925438, 7.85566169]"
406,"[-0.94059416, 7.7073296]"
407,"[-1.28979035, 7.93649279]"
408,"[-1.75338584, 8.34351476]"
409,"[-2.44372392, 7.95585365]"
410,"[-2.28010175, 8.14061262]"
411,"[-1.42660445, 8.21980712]"
412,"[-1.33463354, 8.15523055]"
413,"[-3.05211175, 7.44031308]"
414,"[-2.06451917, 8.15403124]"
415,"[-2.10752876, 8.39114926]"
416,"[-3.00170422, 7.98389274]"
