# index, _pos
0,"[2.70329505, 3.55214187]"
1,"[2.72066, 3.50536804]"
2,"[2.66291118, 3.56813989]"
3,"[2.76347222, 3.64022995]"
4,"[2.65088994, 3.45097077]"
5,"[2.80237001, 3.63343117]"
6,"[2.61633796, 3.45779823]"
7,"[2.71154693, 3.32058485]"
8,"[2.65813001, 3.53438257]"
9,"[2.80995244, 3.49620972]"
10,"[2.76900598, 3.77245085]"
11,"[2.74578554, 3.46366057]"
12,"[2.70582828, 3.67272445]"
13,"[2.82933605, 3.79835398]"
14,"[2.79312083, 3.89443131]"
15,"[2.76118391, 3.69665762]"
16,"[2.70490841, 3.81860286]"
17,"[2.75419715, 3.9957428]"
18,"[2.82433767, 4.00421877]"
19,"[2.70400159, 4.04376114]"
20,"[2.73958416, 4.07518809]"
21,"[2.62814121, 4.12291498]"
22,"[2.76637531, 3.92279634]"
23,"[2.63614739, 4.04515133]"
24,"[2.71659327, 4.14397316]"
25,"[2.55383206, 4.15230321]"
26,"[2.63988802, 4.17292904]"
27,"[2.59299037, 4.17902937]"
28,"[2.48782329, 4.17875638]"
29,"[2.57075672, 3.41317513]"
30,"[2.67899131, 3.46502764]"
31,"[2.84948041, 3.72002465]"
32,"[2.88785559, 3.62874435]"
33,"[2.83651046, 3.66262717]"
34,"[2.8080512, 3.69972351]"
35,"[2.85705967, 3.80796934]"
36,"[2.88919213, 3.68928494]"
37,"[2.82270528, 3.87338987]"
38,"[2.71074165, 3.96314413]"
39,"[2.6641528, 4.00142199]"
40,"[2.56991308, 4.06789011]"
41,"[2.51449297, 4.09530564]"
42,"[2.47856373, 4.13402119]"
43,"[2.43884889, 4.21531814]"
44,"[2.27642147, 3.56127079]"
45,"[2.33995609, 3.57573841]"
46,"[2.26642855, 3.50516763]"
47,"[2.41757535, 3.52576102]"
48,"[2.30518335, 3.62277885]"
49,"[2.46421382, 3.55574555]"
50,"[2.50849927, 3.55646962]"
51,"[2.44898596, 3.42386181]"
52,"[2.35585397, 3.51935448]"
53,"[2.53873289, 3.52943336]"
54,"[2.55776716, 3.56252932]"
55,"[2.54965294, 3.48231924]"
56,"[2.5293963, 3.45393478]"
57,"[2.52283166, 3.5973521]"
58,"[2.58384589, 3.47784982]"
59,"[2.61780759, 3.53878869]"
60,"[2.5922194, 3.527032]"
61,"[2.65161658, 3.48934583]"
62,"[2.73971006, 3.48775817]"
63,"[2.69108732, 3.41163832]"
64,"[2.80236316, 3.46002397]"
65,"[2.85706932, 3.51955263]"
66,"[2.83214784, 3.53586005]"
67,"[2.74908584, 3.39341785]"
68,"[2.8637654, 3.4315784]"
69,"[2.89490301, 3.47336732]"
70,"[2.88238339, 3.37416596]"
71,"[2.98166185, 3.41994516]"
72,"[2.86768326, 3.54719922]"
73,"[2.93573047, 3.47261072]"
74,"[2.98582175, 3.48736725]"
75,"[2.94422006, 3.36673485]"
76,"[3.0509959, 3.42904696]"
77,"[3.03499302, 3.34043502]"
78,"[2.9223848, 3.52729033]"
79,"[3.04586317, 3.49578251]"
80,"[2.94624107, 3.5671922]"
81,"[2.90365473, 3.58682978]"
82,"[2.81592008, 3.42833882]"
83,"[2.97307006, 3.622328]"
84,"[3.04486912, 3.67648577]"
85,"[3.08407736, 3.72471534]"
86,"[3.10458541, 3.68312815]"
87,"[3.13879399, 3.73939042]"
88,"[3.15819742, 3.77858542]"
89,"[3.21374215, 3.70652901]"
90,"[3.10193914, 3.79349605]"
91,"[3.29932615, 3.79521261]"
92,"[2.99803552, 3.79693678]"
93,"[2.47740697, 3.38845831]"
94,"[2.38307164, 3.41507007]"
95,"[2.4048749, 3.35230237]"
96,"[2.44379141, 3.29454113]"
97,"[2.38160689, 3.37710065]"
98,"[2.30910938, 3.45396236]"
99,"[2.35338509, 3.46795405]"
100,"[2.44107199, 3.34805651]"
101,"[2.50892883, 3.32549991]"
102,"[2.56946346, 3.27814845]"
103,"[2.58773062, 3.24869527]"
104,"[2.7091779, 3.27382565]"
105,"[2.539332, 3.36643973]"
106,"[2.62294907, 3.26864405]"
107,"[2.52345604, 3.26483372]"
108,"[2.47894425, 3.19521981]"
109,"[2.81248716, 3.28891391]"
110,"[2.69708551, 3.21738434]"
111,"[2.78302251, 3.29469887]"
112,"[2.77893491, 3.24390252]"
113,"[2.65936017, 3.31046653]"
114,"[2.89639507, 3.31612824]"
115,"[2.951657, 3.26255848]"
116,"[2.98105908, 3.3675459]"
117,"[3.09461206, 3.47965063]"
118,"[3.15564392, 3.50665024]"
119,"[3.21459352, 3.52406976]"
120,"[3.24784395, 3.56022736]"
121,"[3.25422987, 3.49773053]"
122,"[3.2583437, 3.60112042]"
123,"[3.24836723, 3.64353825]"
124,"[3.21316437, 3.66295515]"
125,"[3.29174902, 3.67686087]"
126,"[3.29729561, 3.62267714]"
127,"[3.15593063, 3.63813305]"
128,"[3.36142856, 3.66582841]"
129,"[3.40486824, 3.63037614]"
130,"[3.40566444, 3.68550231]"
131,"[3.36409206, 3.72568521]"
132,"[3.40345306, 3.5255388]"
133,"[3.47731948, 3.62501171]"
134,"[3.3971922, 3.76547141]"
135,"[3.41005674, 3.8437394]"
136,"[3.31016164, 3.84201592]"
137,"[0.80737571, 2.13490064]"
138,"[0.76919937, 2.14572173]"
139,"[0.73203406, 2.16597255]"
140,"[0.69862145, 2.19092119]"
141,"[0.65055834, 2.24662239]"
142,"[0.64546967, 2.12553442]"
143,"[0.78426614, 2.21084079]"
144,"[0.60382779, 2.30343914]"
145,"[0.56111196, 2.36676843]"
146,"[0.57142616, 2.45608765]"
147,"[0.62418853, 2.37331348]"
148,"[0.47527245, 2.3514638]"
149,"[2.06506541, 3.17314461]"
150,"[2.10535641, 3.19027535]"
151,"[2.16426597, 3.15683865]"
152,"[2.06523729, 3.23449857]"
153,"[2.23040026, 3.12588581]"
154,"[2.30637988, 3.09923962]"
155,"[2.39176386, 3.07913691]"
156,"[2.48682049, 3.06299555]"
157,"[2.53159679, 3.12247901]"
158,"[2.56370963, 2.93372901]"
159,"[2.44643698, 3.00795761]"
160,"[2.59186026, 3.16034977]"
161,"[2.52263071, 3.19969615]"
162,"[2.54801918, 3.06263302]"
163,"[2.66440425, 3.19695523]"
164,"[2.7832149, 3.19375231]"
165,"[2.89486015, 3.20961942]"
166,"[2.96660525, 3.14808422]"
167,"[3.00561773, 3.2174032]"
168,"[3.09667216, 3.1630113]"
169,"[2.87084861, 3.2220103]"
170,"[3.00038958, 3.05650449]"
171,"[2.89637081, 3.08449581]"
172,"[3.02940396, 3.11600428]"
173,"[3.18395852, 3.17505608]"
174,"[3.21649479, 3.08642348]"
175,"[3.07837108, 3.25900021]"
176,"[3.0726883, 3.10197503]"
177,"[3.14422621, 3.20565556]"
178,"[3.13452739, 3.11163938]"
179,"[3.25840552, 3.20817684]"
180,"[3.20778599, 3.13381767]"
181,"[3.302994, 3.27286158]"
182,"[3.28281986, 3.16511623]"
183,"[3.36946876, 3.2885556]"
184,"[3.32793252, 3.32574771]"
185,"[3.28803046, 3.31760855]"
186,"[3.26535702, 3.29583357]"
187,"[3.25281024, 3.25282425]"
188,"[3.41978664, 3.30584407]"
189,"[3.42982004, 3.38317079]"
190,"[3.41264031, 3.22941898]"
191,"[3.42545178, 3.4574364]"
192,"[3.48416046, 3.39379182]"
193,"[3.54152921, 3.61758901]"
194,"[3.58846958, 3.70150485]"
195,"[3.51944249, 3.50534787]"
196,"[3.54927853, 3.68514076]"
197,"[3.6135209, 3.79075966]"
198,"[3.63194318, 3.87157598]"
199,"[3.65341994, 3.93672257]"
200,"[3.60681483, 3.91552997]"
201,"[3.68473362, 4.0030164]"
202,"[3.73699617, 4.03921561]"
203,"[3.64868786, 4.045682]"
204,"[3.78499382, 4.04057399]"
205,"[3.75396353, 4.08465205]"
206,"[0.57247241, 2.72305592]"
207,"[0.61271554, 2.70341207]"
208,"[0.60567764, 2.77570167]"
209,"[0.62080117, 2.61721316]"
210,"[0.64888543, 2.73079422]"
211,"[0.59804411, 2.83918647]"
212,"[0.59184239, 2.89817894]"
213,"[0.56523576, 2.94417744]"
214,"[0.62458621, 2.92767094]"
215,"[0.54783681, 2.98486365]"
216,"[2.48986816, 2.96193344]"
217,"[2.44567489, 2.9373546]"
218,"[2.67066142, 2.89567157]"
219,"[2.52176232, 2.85600287]"
220,"[2.61605133, 2.8131536]"
221,"[2.58204508, 3.01028293]"
222,"[2.62561931, 2.95271138]"
223,"[2.50945858, 2.91225297]"
224,"[2.78026972, 2.89646306]"
225,"[2.69862973, 2.84092245]"
226,"[2.90214751, 2.89152144]"
227,"[2.74534534, 2.956169]"
228,"[2.7590337, 2.84183824]"
229,"[3.02662248, 2.88530403]"
230,"[3.1017848, 2.94564147]"
231,"[3.00708806, 2.85000382]"
232,"[3.12017099, 2.81731295]"
233,"[3.03811286, 2.96568263]"
234,"[2.988817, 2.93540705]"
235,"[3.00881485, 2.80034601]"
236,"[3.17892959, 2.99403397]"
237,"[3.21461486, 3.02796676]"
238,"[3.20413736, 2.90004019]"
239,"[3.15680615, 3.05227204]"
240,"[3.34745535, 3.07432637]"
241,"[3.26408414, 3.11941145]"
242,"[3.42007142, 3.11604995]"
243,"[3.41629569, 3.0363806]"
244,"[3.38435292, 3.1537322]"
245,"[3.36408208, 2.97668289]"
246,"[3.47662983, 3.16234499]"
247,"[3.51672274, 3.21081392]"
248,"[3.55310508, 3.03484303]"
249,"[3.55231738, 3.75495071]"
250,"[3.48745433, 3.80565886]"
251,"[3.62443205, 3.75255649]"
252,"[3.47676804, 3.91498995]"
253,"[3.50625803, 3.98768783]"
254,"[3.54297656, 3.92023112]"
255,"[3.50792859, 4.03393438]"
256,"[3.54721741, 4.03799285]"
257,"[4.34021749, 2.35083101]"
258,"[4.4041155, 2.40062092]"
259,"[4.26684725, 2.30414324]"
260,"[4.46182897, 2.45088461]"
261,"[4.46927726, 2.5037192]"
262,"[4.52247695, 2.47599527]"
263,"[4.4912127, 2.54953212]"
264,"[4.53020064, 2.57694014]"
265,"[4.57748766, 2.57122335]"
266,"[0.57958226, 2.63330263]"
267,"[0.59192039, 2.53892499]"
268,"[0.6549163, 2.64534487]"
269,"[0.67271877, 2.57276419]"
270,"[2.36002087, 2.77937334]"
271,"[2.40642542, 2.78896243]"
272,"[2.4655828, 2.79979219]"
273,"[2.46685927, 2.74005116]"
274,"[2.56242583, 2.82374561]"
275,"[2.6692399, 2.79993955]"
276,"[2.67900884, 2.69766793]"
277,"[2.73488447, 2.78779984]"
278,"[2.79243137, 2.79355671]"
279,"[2.75945905, 2.70739523]"
280,"[2.84907801, 2.80704378]"
281,"[2.90584482, 2.81932695]"
282,"[2.96520173, 2.83437133]"
283,"[2.96951235, 2.88748472]"
284,"[3.14255396, 2.73993217]"
285,"[3.21517846, 2.80403463]"
286,"[3.18438273, 2.68730892]"
287,"[3.13697456, 2.64847962]"
288,"[3.05363682, 2.73192546]"
289,"[3.17332677, 2.75910246]"
290,"[3.25312967, 2.70790468]"
291,"[3.05792042, 2.67650033]"
292,"[3.25526306, 2.62156836]"
293,"[3.20696579, 2.58632437]"
294,"[3.2220735, 2.66564303]"
295,"[3.32140337, 2.72351082]"
296,"[3.37986964, 2.73041433]"
297,"[3.43278627, 2.72985055]"
298,"[3.47812066, 2.72285589]"
299,"[3.52829752, 2.74808569]"
300,"[3.53670157, 2.79276863]"
301,"[3.40758227, 2.64787338]"
302,"[3.5734421, 2.74379989]"
303,"[3.59702395, 2.84874314]"
304,"[3.51868022, 2.92098037]"
305,"[3.60581643, 2.65598327]"
306,"[3.45529357, 2.85877632]"
307,"[3.62212501, 2.9161278]"
308,"[3.6483368, 2.83643787]"
309,"[3.68199579, 2.80723371]"
310,"[3.67304969, 2.94236056]"
311,"[3.73689897, 2.69190115]"
312,"[3.76732911, 2.62536385]"
313,"[3.78110395, 2.59033683]"
314,"[3.79752545, 2.55515643]"
315,"[3.79381748, 2.52234899]"
316,"[3.79677065, 2.47872187]"
317,"[3.83030371, 2.64573808]"
318,"[3.75695031, 2.50788392]"
319,"[3.86853525, 2.40682231]"
320,"[3.73706111, 2.38318326]"
321,"[3.94158743, 2.40775106]"
322,"[3.80846304, 2.36866336]"
323,"[3.93205594, 2.35091002]"
324,"[4.00926828, 2.39723205]"
325,"[4.06881234, 2.37575304]"
326,"[4.11859346, 2.34177273]"
327,"[4.15775732, 2.29692201]"
328,"[4.19154459, 2.24540957]"
329,"[4.25053359, 2.20194823]"
330,"[4.1011206, 2.18998095]"
331,"[4.28327985, 2.16728364]"
332,"[4.3267262, 2.16032998]"
333,"[4.1756633, 2.18881006]"
334,"[4.2614876, 2.25622632]"
335,"[4.29240372, 2.2171367]"
336,"[4.37310269, 2.11413067]"
337,"[4.32089023, 2.11494824]"
338,"[4.39332436, 2.17252974]"
339,"[4.41129721, 2.07506364]"
340,"[4.44456021, 2.04360725]"
341,"[4.57291169, 2.51382168]"
342,"[4.62312527, 2.50239767]"
343,"[4.60630476, 2.61683053]"
344,"[1.74596154, 2.1724618]"
345,"[1.77054652, 2.13962629]"
346,"[1.79551289, 2.10655515]"
347,"[1.7113427, 2.07359061]"
348,"[1.93206717, 2.11269687]"
349,"[1.69366138, 2.12619885]"
350,"[1.62701704, 2.04861153]"
351,"[1.54660778, 2.01883775]"
352,"[1.47212386, 1.97970905]"
353,"[1.41399752, 1.97115024]"
354,"[1.43606636, 1.9236132]"
355,"[1.37256064, 1.93940707]"
356,"[1.48533139, 1.90980073]"
357,"[1.25810389, 1.95755721]"
358,"[1.58822606, 1.88240706]"
359,"[1.53678793, 1.9144044]"
360,"[1.6798676, 1.88273851]"
361,"[1.54797327, 1.83113943]"
362,"[1.65680287, 1.91814677]"
363,"[1.76646129, 1.90637342]"
364,"[1.84585287, 1.9505894]"
365,"[1.74926181, 1.93938137]"
366,"[1.85044116, 1.91007674]"
367,"[1.97000492, 1.99571803]"
368,"[2.5909721, 2.61191195]"
369,"[2.65886316, 2.64493464]"
370,"[2.53793915, 2.56101859]"
371,"[2.64835207, 2.59150296]"
372,"[2.53463447, 2.64745483]"
373,"[2.72803353, 2.63681449]"
374,"[2.80013783, 2.63650846]"
375,"[2.93415607, 2.64566513]"
376,"[2.71194576, 2.58664438]"
377,"[2.8895761, 2.64182732]"
378,"[2.91703693, 2.57550192]"
379,"[2.99374873, 2.68625987]"
380,"[3.33045197, 2.57615877]"
381,"[3.29079259, 2.6176769]"
382,"[3.42481775, 2.49934839]"
383,"[3.31413732, 2.66191975]"
384,"[3.32297324, 2.49845448]"
385,"[3.2627403, 2.51859496]"
386,"[3.42428562, 2.58470665]"
387,"[3.51822006, 2.51745161]"
388,"[3.44141022, 2.39623739]"
389,"[3.59579317, 2.51268805]"
390,"[3.56261946, 2.56226132]"
391,"[3.66890301, 2.51403802]"
392,"[3.61472973, 2.44720084]"
393,"[3.76280173, 2.54700629]"
394,"[3.62137586, 2.32664118]"
395,"[3.81987648, 2.2480539]"
396,"[3.81850194, 2.3073436]"
397,"[3.99336016, 2.29918147]"
398,"[4.05099674, 2.2463142]"
399,"[4.07432949, 2.08749657]"
400,"[4.00750006, 2.20424826]"
401,"[2.53774436, 2.45277483]"
402,"[2.59806192, 2.45541385]"
403,"[2.48457312, 2.45174726]"
404,"[2.62664782, 2.43832189]"
405,"[2.49347195, 2.3419577]"
406,"[2.57672659, 2.39956837]"
407,"[2.68525821, 2.38447832]"
408,"[2.62292211, 2.50520578]"
409,"[2.58344286, 2.48344182]"
410,"[2.74032062, 2.33329924]"
411,"[2.80574135, 2.29209835]"
412,"[2.87227251, 2.25723627]"
413,"[2.93907253, 2.22774032]"
414,"[3.00386429, 2.20570329]"
415,"[2.98027613, 2.28127945]"
416,"[2.90546736, 2.1678799]"
417,"[3.06638031, 2.1880588]"
418,"[3.12621137, 2.17155179]"
419,"[3.21399142, 2.12212626]"
420,"[3.12426429, 2.27512842]"
421,"[3.06176838, 2.1039787]"
422,"[3.30309089, 2.07661741]"
423,"[3.41696378, 2.081535]"
424,"[3.25146652, 2.01717949]"
425,"[3.48441718, 2.04400434]"
426,"[3.42978313, 2.12080222]"
427,"[3.38335777, 1.98135812]"
428,"[3.49414633, 2.14251201]"
429,"[3.46820392, 2.16863337]"
430,"[3.55268058, 2.02513126]"
431,"[3.62124606, 2.02631586]"
432,"[3.54621199, 1.98203238]"
433,"[3.61423332, 1.96285068]"
434,"[3.68085186, 2.07308569]"
435,"[3.65518791, 1.92256336]"
436,"[3.5513328, 1.94315386]"
437,"[3.65379076, 1.97059548]"
438,"[3.73079965, 1.94675661]"
439,"[3.58696963, 1.89781915]"
440,"[3.68285321, 1.88865557]"
441,"[3.79912489, 1.97753881]"
442,"[3.8647703, 2.01185702]"
443,"[3.93796533, 2.03918001]"
444,"[4.00738899, 2.0636619]"
445,"[4.08557086, 1.99236099]"
446,"[2.34694553, 2.14703156]"
447,"[2.47589245, 2.22898581]"
448,"[2.47239801, 2.09613593]"
449,"[2.20575199, 2.1358506]"
450,"[2.36893051, 2.21546928]"
451,"[2.22128197, 2.09017868]"
452,"[2.6106201, 2.23501097]"
453,"[2.71959526, 2.1294861]"
454,"[2.61982735, 2.36765944]"
455,"[2.84571404, 2.03277558]"
456,"[2.63726355, 2.08004269]"
457,"[2.63009935, 2.03090916]"
458,"[2.7929693, 2.2424225]"
459,"[2.79659927, 2.1574046]"
460,"[2.95318158, 2.02030075]"
461,"[2.95794743, 1.98149917]"
462,"[2.79924833, 1.95234662]"
463,"[2.78326611, 1.05986668]"
464,"[2.78857606, 1.01534755]"
465,"[2.77794664, 1.11287333]"
466,"[2.52593345, 2.10194173]"
467,"[2.54798588, 2.0581718]"
468,"[2.43088876, 2.08520513]"
469,"[2.51250864, 1.94793728]"
470,"[2.4846236, 1.99661354]"
471,"[2.55048323, 2.29766409]"
472,"[2.41773337, 1.9851813]"
473,"[2.48600305, 2.18093098]"
474,"[2.39182283, 2.02176002]"
475,"[2.58381309, 2.09814402]"
476,"[2.57378525, 2.01038349]"
477,"[2.06813052, 2.12344403]"
478,"[2.64441512, 1.98534348]"
479,"[2.58209573, 1.92094661]"
480,"[2.65379729, 1.94226173]"
481,"[2.65588203, 1.90320745]"
482,"[2.59552741, 1.85228635]"
483,"[2.44393896, 1.83062256]"
484,"[2.67253359, 1.85512003]"
485,"[2.6394575, 1.75388589]"
486,"[2.67615447, 1.56971245]"
487,"[2.71003725, 1.49673266]"
488,"[2.59134128, 1.57412931]"
489,"[2.7324084, 1.63686436]"
490,"[2.74907489, 1.42927037]"
491,"[2.79945588, 1.36385351]"
492,"[2.84385825, 1.30270984]"
493,"[2.88096464, 1.24116192]"
494,"[2.93551866, 1.17443859]"
495,"[2.91493419, 1.28136328]"
496,"[2.81409748, 1.2521616]"
497,"[2.99530576, 1.14544607]"
498,"[2.94263957, 1.11302245]"
499,"[3.04519638, 1.11267597]"
500,"[3.08688383, 1.08079314]"
501,"[3.12138519, 1.05115362]"
