# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
1,3
1,16
1,17
1,19
1,87
1,18
1,20
1,11
1,45
1,2
1,8
1,12
1,15
1,146
1,4
1,7
1,13
1,46
1,10
1,14
1,5
1,6
1,147
2,3
2,17
2,19
2,18
2,20
2,10
2,11
2,45
2,8
2,12
2,15
2,146
2,4
2,7
2,13
2,46
2,44
2,314
2,14
2,6
2,147
3,44
3,4
3,5
3,19
3,7
3,8
3,10
3,12
3,45
3,13
3,46
3,15
3,16
3,11
3,18
3,6
3,20
4,65
4,16
4,17
4,19
4,87
4,18
4,20
4,10
4,5
4,11
4,45
4,12
4,7
4,13
4,254
4,14
4,6
4,147
4,8
4,15
4,146
4,44
4,314
5,16
5,17
5,19
5,283
5,18
5,20
5,10
5,44
5,14
5,6
5,7
5,146
5,12
5,45
5,13
5,15
5,147
6,16
6,17
6,19
6,18
6,10
6,11
6,45
6,12
6,7
6,13
6,254
6,14
6,46
6,147
6,15
7,16
7,19
7,18
7,20
7,10
7,11
7,45
7,12
7,15
7,8
7,146
7,13
7,147
8,65
8,17
8,19
8,18
8,20
8,10
8,11
8,45
8,12
8,14
8,147
8,44
8,146
9,79
9,119
9,80
9,189
9,113
9,221
9,39
9,68
9,71
9,40
9,191
9,187
9,99
10,16
10,17
10,19
10,87
10,18
10,20
10,11
10,45
10,12
10,15
10,146
10,292
10,13
10,44
10,14
10,147
11,66
11,17
11,19
11,87
11,18
11,20
11,92
11,45
11,12
11,68
11,146
11,13
11,44
11,96
11,14
11,147
12,65
12,16
12,17
12,19
12,18
12,20
12,45
12,15
12,13
12,46
12,44
12,314
13,16
13,17
13,19
13,18
13,20
13,44
13,46
13,146
13,14
13,147
14,17
14,19
14,18
14,20
14,44
14,15
14,146
14,147
15,16
15,151
15,175
15,17
15,19
15,50
15,83
15,87
15,18
15,20
15,39
15,71
15,45
15,319
15,254
15,54
15,147
15,48
15,153
15,146
15,55
15,44
16,44
16,19
16,146
16,45
16,87
16,17
16,18
16,147
16,20
17,65
17,45
17,254
17,146
17,46
17,18
17,20
17,147
18,65
18,19
18,87
18,45
18,146
18,46
18,20
18,44
18,254
18,147
19,65
19,45
19,146
19,87
19,46
19,20
19,44
19,254
19,147
20,65
20,45
20,146
20,46
20,254
20,147
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
21,31
21,32
21,33
21,34
22,126
22,134
22,157
22,23
22,129
22,131
22,136
22,128
22,32
22,154
22,127
22,130
22,156
22,142
22,31
22,133
22,143
22,132
22,138
22,141
22,155
22,137
22,27
22,33
22,139
22,26
22,30
22,135
22,29
22,34
23,159
23,157
23,161
23,154
23,127
23,130
23,27
23,31
23,26
23,265
23,242
23,241
23,140
23,34
23,143
23,135
23,30
23,266
23,244
23,131
23,132
23,28
23,29
23,138
23,141
23,245
23,24
23,155
24,131
24,31
24,28
24,135
24,29
24,34
25,159
25,154
25,29
25,162
26,134
26,157
26,266
26,244
26,131
26,245
26,154
26,127
26,130
26,31
26,265
26,241
26,143
26,140
26,243
26,28
26,138
26,141
26,27
26,242
26,30
26,135
26,29
26,139
26,34
27,157
27,129
27,266
27,244
27,245
27,128
27,220
27,154
27,127
27,130
27,31
27,140
27,243
27,28
27,138
27,141
27,155
27,33
27,29
28,159
28,244
28,245
28,154
28,127
28,130
28,31
28,269
28,140
28,155
28,135
28,29
28,30
28,34
29,126
29,159
29,157
29,161
29,266
29,244
29,245
29,128
29,285
29,162
29,154
29,127
29,130
29,142
29,31
29,160
29,133
29,143
29,269
29,140
29,243
29,132
29,138
29,141
29,155
29,33
29,30
29,34
29,135
29,242
29,139
30,159
30,157
30,129
30,266
30,244
30,245
30,32
30,154
30,127
30,130
30,31
30,265
30,241
30,143
30,140
30,243
30,132
30,138
30,155
30,212
30,139
30,34
31,126
31,159
31,157
31,129
31,266
31,244
31,131
31,136
31,245
31,128
31,32
31,154
31,127
31,130
31,156
31,33
31,242
31,133
31,241
31,140
31,34
31,135
31,143
31,243
31,132
31,138
31,139
31,141
31,155
32,126
32,134
32,129
32,244
32,136
32,128
32,127
32,156
32,132
32,141
32,130
32,143
32,138
32,139
33,245
33,142
33,133
33,243
33,155
34,159
34,157
34,129
34,266
34,244
34,131
34,245
34,154
34,127
34,130
34,143
34,140
34,132
34,138
34,141
34,242
34,135
35,36
35,37
35,38
35,39
35,40
35,41
35,42
35,43
36,39
36,302
37,41
37,43
37,39
37,42
38,41
38,43
38,39
38,40
38,42
39,66
39,72
39,41
39,120
39,64
39,79
39,119
39,175
39,80
39,236
39,259
39,83
39,189
39,87
39,92
39,196
39,209
39,98
39,43
39,113
39,86
39,221
39,67
39,111
39,237
39,40
39,69
39,302
39,199
39,73
39,74
39,303
39,291
39,95
39,238
39,68
39,82
39,187
39,42
39,122
39,77
39,165
39,99
39,89
39,121
39,261
39,90
39,93
39,163
39,94
39,239
39,197
39,280
39,112
39,84
39,191
40,72
40,41
40,175
40,80
40,246
40,189
40,43
40,113
40,302
40,291
40,82
40,42
40,197
40,99
40,187
40,199
40,195
40,191
40,90
40,95
41,42
41,43
43,302
45,65
45,146
45,147
46,146
47,48
47,49
47,50
47,51
47,52
47,53
47,54
47,55
48,54
48,258
48,55
49,80
49,171
49,218
49,220
49,86
49,214
49,216
49,217
49,326
49,75
49,211
49,57
50,151
50,257
50,153
50,54
50,152
50,55
50,258
51,53
51,52
51,257
51,55
51,327
52,55
53,298
53,299
53,327
53,55
54,151
54,153
55,152
55,258
55,257
55,327
56,57
56,58
56,59
57,80
57,218
57,220
57,86
57,68
57,317
57,324
57,216
57,217
57,326
57,219
57,58
57,325
57,75
57,318
57,59
57,211
57,90
57,212
58,75
58,59
60,61
60,62
60,63
60,64
61,100
61,108
61,64
61,227
61,103
61,62
61,183
61,235
61,293
61,228
61,98
61,170
61,105
61,63
61,179
61,287
61,106
61,240
61,102
61,233
61,177
61,109
61,185
62,182
62,264
62,185
62,63
63,264
63,185
64,108
64,72
64,111
64,68
64,74
64,173
64,174
64,175
64,80
64,105
64,110
64,82
64,176
64,85
64,177
64,87
64,178
64,139
64,90
64,179
64,98
66,67
66,68
66,69
66,70
66,71
66,72
66,73
66,74
66,75
66,76
66,77
66,78
66,79
66,80
66,81
66,82
66,83
66,84
66,85
66,86
66,87
66,88
66,89
66,90
66,91
66,92
66,93
66,94
66,95
66,96
66,97
66,98
66,99
67,204
67,83
67,87
67,93
67,94
67,205
67,95
67,69
67,74
67,90
67,96
67,68
67,206
67,89
67,99
67,81
68,72
68,76
68,78
68,79
68,204
68,80
68,83
68,85
68,87
68,171
68,92
68,97
68,98
68,113
68,86
68,69
68,70
68,71
68,73
68,74
68,75
68,81
68,82
68,206
68,165
68,99
68,89
68,90
68,93
68,94
68,95
68,96
68,112
68,88
69,72
69,78
69,79
69,194
69,80
69,83
69,215
69,85
