# index, _pos
0,"[-5.11450384, -1.34872904]"
1,"[-5.30912238, -1.55115744]"
2,"[-5.02864096, -1.75717836]"
3,"[-5.01386927, -1.55238386]"
4,"[-5.25877477, -1.64665076]"
5,"[-4.79304476, -1.67426114]"
6,"[-5.00871091, -1.43628]"
7,"[-5.16965948, -1.7167682]"
8,"[-4.99683507, -1.85463687]"
9,"[-5.70932565, -0.82467503]"
10,"[-5.16417858, -1.59535753]"
11,"[-5.42603351, -1.43429313]"
12,"[-5.11800196, -1.82772379]"
13,"[-4.90078114, -1.74153779]"
14,"[-4.91290743, -1.36611661]"
15,"[-5.06853903, -1.18103485]"
16,"[-5.24366993, -1.3833983]"
17,"[-4.88758632, -1.59824059]"
18,"[-5.12438407, -1.48358234]"
19,"[-5.2141077, -1.49606268]"
20,"[-4.96099792, -1.66123345]"
21,"[-7.10412741, 1.31505914]"
22,"[-7.31047709, 0.76836802]"
23,"[-7.16377216, 1.19536601]"
24,"[-6.96543728, 1.39269256]"
25,"[-7.46874513, 1.64088273]"
26,"[-7.24964712, 0.93034044]"
27,"[-7.01397875, 0.83524851]"
28,"[-7.23986332, 1.32737713]"
29,"[-7.36183657, 1.16552817]"
30,"[-7.01246889, 0.94544665]"
31,"[-7.31471713, 1.01266438]"
32,"[-7.19971638, 0.68451247]"
33,"[-7.63083587, 1.19289766]"
34,"[-7.25864224, 1.16492144]"
35,"[-5.78510177, 0.21068551]"
36,"[-5.70541969, 0.35731804]"
37,"[-5.84849447, 0.41502695]"
38,"[-5.74065208, 0.05001567]"
39,"[-6.16048814, -0.4214351]"
40,"[-5.97096767, -0.31377226]"
41,"[-5.93764871, 0.24616973]"
42,"[-5.88285677, 0.08683354]"
43,"[-6.02184333, 0.12411398]"
44,"[-4.78280615, -1.52842485]"
45,"[-5.25584783, -1.78633537]"
46,"[-4.81570246, -1.86839156]"
47,"[-4.30630802, -0.67125387]"
48,"[-4.2265138, -0.94702314]"
49,"[-5.57949498, -0.45978541]"
50,"[-4.09655151, -1.11921338]"
51,"[-3.71147459, -0.63818153]"
52,"[-3.88068262, -0.48153969]"
53,"[-3.59015125, -0.80505076]"
54,"[-4.39776434, -1.06138772]"
55,"[-3.96613911, -0.90072846]"
56,"[-4.77538777, -0.30576092]"
57,"[-5.5415721, -0.24222456]"
58,"[-5.15241385, -0.42591064]"
59,"[-4.85164302, -0.11680413]"
60,"[-7.97508924, -1.53443331]"
61,"[-7.89448449, -1.78729612]"
62,"[-8.52949124, -1.78509867]"
63,"[-8.47377229, -1.60247594]"
64,"[-6.94159414, -1.13532183]"
65,"[-5.10284733, -2.0154413]"
66,"[-6.22239324, -1.03147316]"
67,"[-6.37796551, -1.16580728]"
68,"[-6.20966666, -0.94575054]"
69,"[-6.50389053, -0.95634409]"
70,"[-5.98476643, -1.28036738]"
71,"[-5.68789466, -1.2141026]"
72,"[-6.13797967, -0.86596469]"
73,"[-5.97410485, -1.10436914]"
74,"[-6.67037564, -0.65809656]"
75,"[-5.93230129, -0.76180297]"
76,"[-6.74563965, -0.92859788]"
77,"[-5.70798264, -1.01748796]"
78,"[-6.49839776, -0.85721969]"
79,"[-6.20394491, -0.62781271]"
80,"[-6.30553744, -0.60153827]"
81,"[-6.74170339, -0.81770477]"
82,"[-6.18448754, -0.77284926]"
83,"[-6.30828065, -0.97090719]"
84,"[-6.06483129, -0.72131416]"
85,"[-6.49146778, -1.08891053]"
86,"[-6.30213206, -0.74127153]"
87,"[-6.05150792, -0.9985151]"
88,"[-6.01601536, -0.8860089]"
89,"[-6.28198337, -1.12096567]"
90,"[-6.38378704, -0.7946499]"
91,"[-6.01075048, -1.47687258]"
92,"[-6.10858736, -1.09654187]"
93,"[-6.59938456, -0.90848708]"
94,"[-6.40934762, -1.0326754]"
95,"[-6.39662826, -0.92227372]"
96,"[-6.11692865, -1.21403598]"
97,"[-6.54624479, -0.60852709]"
98,"[-7.18045277, -0.98092296]"
99,"[-6.26183653, -0.85891874]"
100,"[-7.91758905, -2.16165543]"
101,"[-7.49201257, -2.65059243]"
102,"[-8.26764801, -2.14040646]"
103,"[-7.81164745, -2.34342529]"
104,"[-8.02791224, -2.31407043]"
105,"[-7.38859964, -1.88501316]"
106,"[-7.69735255, -2.07307563]"
107,"[-5.92496932, -1.99879649]"
108,"[-7.43655147, -1.42017972]"
109,"[-7.71564066, -1.23152579]"
110,"[-7.52453102, -1.23240177]"
111,"[-6.40688883, -0.66654714]"
112,"[-5.85716225, -0.88133937]"
113,"[-5.74188932, -0.70140295]"
114,"[-6.24691548, 2.12770071]"
115,"[-6.13531205, 2.48578715]"
116,"[-6.35092786, 2.55246411]"
117,"[-6.56082397, 1.46692494]"
118,"[-6.31096462, -0.43057395]"
119,"[-5.6759644, -0.5834263]"
120,"[-6.40007512, 0.24050431]"
121,"[-6.22731369, 0.36492848]"
122,"[-6.44404587, 0.0468634]"
123,"[-7.77737854, -0.32244371]"
124,"[-6.80387103, -0.67451333]"
125,"[-8.44206345, -0.08948899]"
126,"[-7.40404565, 0.69100242]"
127,"[-7.43243464, 0.87262566]"
128,"[-7.34792454, 0.60499678]"
129,"[-7.132866, 0.87785207]"
130,"[-7.37410503, 0.94639002]"
131,"[-7.10468467, 0.75780324]"
132,"[-6.97129223, 1.15499296]"
133,"[-7.5643617, 0.68347209]"
134,"[-7.55333839, 0.53883492]"
135,"[-7.23533893, 1.04635667]"
136,"[-7.42803112, 0.49839091]"
137,"[-7.69605123, 0.68501829]"
138,"[-7.33761496, 0.85777441]"
139,"[-7.04646516, 0.31580171]"
140,"[-7.05037681, 1.04444628]"
141,"[-7.16778742, 0.57115132]"
142,"[-7.76619325, 0.88917931]"
143,"[-7.44447629, 0.78764667]"
144,"[-8.80365096, -1.05970153]"
145,"[-8.15505389, -1.11665567]"
146,"[-5.06979964, -1.64775872]"
147,"[-4.91033571, -1.48433444]"
148,"[-6.26426654, -1.81645526]"
149,"[-6.08398322, -1.73172038]"
150,"[-6.46569506, -1.85001364]"
151,"[-4.24015549, -1.36101413]"
152,"[-3.82020893, -1.33313504]"
153,"[-4.40776905, -1.27056699]"
154,"[-7.42050007, 1.06550785]"
155,"[-7.58227136, 0.92704726]"
156,"[-7.59666012, 0.79168037]"
157,"[-7.48826262, 0.96856661]"
158,"[-7.15069973, 0.11817126]"
159,"[-7.24057289, 1.54429461]"
160,"[-7.40835734, 1.90301757]"
161,"[-7.1339997, 1.75724335]"
162,"[-7.61617286, 1.81459394]"
163,"[-6.928984, -0.56477846]"
164,"[-6.87713489, -0.77006457]"
165,"[-6.63546698, -0.79734749]"
166,"[-7.14292963, -0.74898899]"
167,"[-6.84669797, -1.19368118]"
168,"[-6.91915043, -0.92591314]"
169,"[-6.64149422, -1.19873595]"
170,"[-7.5737278, -0.80399156]"
171,"[-6.52034871, -0.73321328]"
172,"[-6.65638224, -1.04520654]"
173,"[-6.96890639, -1.75334064]"
174,"[-7.23546283, -1.99486311]"
175,"[-5.85613257, -0.40972056]"
176,"[-7.35661531, -0.9614781]"
177,"[-7.38113546, -2.00951567]"
178,"[-7.31051691, -1.78189566]"
179,"[-7.5069401, -2.09594558]"
180,"[-6.73360622, -1.369985]"
181,"[-6.73300274, -1.12920563]"
182,"[-9.08169154, -2.05428076]"
183,"[-8.78248585, -2.09885318]"
184,"[-9.619574, -2.12867037]"
185,"[-8.71267922, -1.80217719]"
186,"[-8.85688842, -2.4339246]"
187,"[-5.72708122, -0.48070344]"
188,"[-6.48529193, -0.31362995]"
189,"[-5.8684137, -0.6402481]"
190,"[-6.60372866, -0.21761915]"
191,"[-5.92143277, -0.53646215]"
192,"[-6.38517368, -0.15087946]"
193,"[-5.27811618, -0.71307531]"
194,"[-6.84044649, -1.02874823]"
195,"[-5.33148588, -0.36576141]"
196,"[-6.1935484, -0.20385272]"
197,"[-5.46767521, -0.13510074]"
198,"[-5.15872391, -0.15471611]"
199,"[-5.56960703, -0.02076801]"
200,"[-5.06805354, -0.58440578]"
201,"[-5.2868813, 0.24565149]"
202,"[-5.1078419, 0.04728308]"
