# source, target
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,84
0,205
1,1
1,2
1,73
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,13
1,14
1,16
1,74
1,17
1,18
1,19
1,20
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,75
1,31
1,32
1,33
1,76
1,77
1,78
1,34
1,79
1,80
1,35
1,36
1,37
1,81
1,82
1,83
1,84
1,39
1,45
1,46
1,47
1,85
1,48
1,86
1,54
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,103
1,104
1,15
1,205
2,2
2,73
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,74
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,27
2,28
2,29
2,30
2,75
2,105
2,32
2,76
2,77
2,78
2,34
2,106
2,79
2,80
2,35
2,107
2,36
2,37
2,81
2,82
2,84
2,39
2,40
2,108
2,41
2,46
2,85
2,49
2,109
2,50
2,86
2,54
2,87
2,91
2,110
2,60
2,92
2,111
2,63
2,112
2,96
2,113
2,114
2,115
2,98
2,116
2,117
2,68
2,118
2,119
2,69
2,120
2,121
2,122
2,123
2,124
2,125
2,103
2,126
2,31
2,205
3,3
3,4
3,5
3,6
3,7
3,9
3,11
3,13
3,14
3,16
3,17
3,18
3,24
3,26
3,27
3,28
3,30
3,75
3,32
3,33
3,106
3,79
3,80
3,107
3,81
3,45
3,46
3,85
3,127
3,88
3,91
3,110
3,92
3,63
3,64
3,97
3,67
3,128
3,69
3,121
3,72
3,123
3,103
3,8
3,22
3,77
3,205
4,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,14
4,15
4,16
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,26
4,28
4,30
4,105
4,31
4,32
4,77
4,35
4,36
4,84
4,39
4,40
4,129
4,44
4,45
4,46
4,85
4,109
4,130
4,51
4,86
4,55
4,88
4,131
4,132
4,133
4,134
4,111
4,62
4,93
4,63
4,94
4,112
4,64
4,95
4,135
4,98
4,136
4,101
4,118
4,137
4,138
4,103
4,139
4,140
4,141
4,47
4,73
4,205
5,73
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,74
5,17
5,18
5,20
5,24
5,25
5,27
5,30
5,75
5,105
5,31
5,32
5,76
5,77
5,78
5,34
5,106
5,79
5,80
5,107
5,142
5,37
5,82
5,38
5,84
5,40
5,42
5,45
5,47
5,49
5,109
5,143
5,53
5,56
5,144
5,89
5,57
5,131
5,134
5,92
5,63
5,145
5,146
5,97
5,66
5,117
5,119
5,147
5,123
5,125
5,103
5,148
5,140
5,21
5,22
5,29
5,36
5,39
5,113
5,205
6,73
6,6
6,7
6,8
6,9
6,11
6,12
6,14
6,15
6,16
6,17
6,18
6,20
6,21
6,22
6,23
6,24
6,25
6,29
6,30
6,75
6,105
6,31
6,33
6,77
6,34
6,80
6,35
6,36
6,81
6,84
6,39
6,41
6,42
6,43
6,149
6,51
6,52
6,86
6,144
6,89
6,110
6,150
6,61
6,93
6,112
6,145
6,151
6,95
6,96
6,98
6,100
6,152
6,119
6,69
6,137
6,123
6,148
6,153
6,205
7,9
7,11
7,13
7,14
7,74
7,22
7,24
7,29
7,30
7,32
7,33
7,34
7,107
7,38
7,39
7,40
7,44
7,85
7,127
7,53
7,87
7,91
7,61
7,93
7,63
7,94
7,68
7,102
7,154
7,155
7,103
7,12
7,16
7,28
7,37
7,97
8,8
8,9
8,10
8,11
8,13
8,14
8,16
8,17
8,19
8,22
8,23
8,24
8,25
8,26
8,27
8,75
8,31
8,32
8,33
8,77
8,34
8,106
8,35
8,107
8,81
8,82
8,84
8,39
