# index, _pos
0,"[6.57647167, 18.58947548]"
1,"[6.53065467, 18.56177027]"
2,"[6.55180761, 18.59771437]"
3,"[6.49388369, 18.50284415]"
4,"[6.58516132, 18.5658164]"
5,"[6.52942756, 18.58598889]"
6,"[6.56580638, 18.53336447]"
7,"[6.51611388, 18.47220109]"
8,"[6.57446172, 18.62878692]"
9,"[6.52457349, 18.61760524]"
10,"[6.4825972, 18.59532676]"
11,"[6.60029953, 18.61187965]"
12,"[6.60105991, 18.69183335]"
13,"[6.49470569, 18.61446917]"
14,"[6.56738475, 18.46338796]"
15,"[6.5706305, 18.49982181]"
16,"[6.56706471, 18.65936142]"
17,"[6.63840831, 18.59132726]"
18,"[6.63391048, 18.50966285]"
19,"[6.60218359, 18.534304]"
20,"[6.54216756, 18.72283189]"
21,"[6.67257611, 18.69263687]"
22,"[6.53325412, 18.66375079]"
23,"[6.6354209, 18.63060127]"
24,"[6.60562605, 18.58693349]"
25,"[6.54099617, 18.63589619]"
26,"[6.45627048, 18.64087051]"
27,"[6.41947233, 18.51889489]"
28,"[6.45845287, 18.6091182]"
29,"[6.45735695, 18.68954945]"
30,"[6.51973502, 18.42994741]"
31,"[6.50246627, 18.68167192]"
32,"[6.49930343, 18.57337257]"
33,"[6.53777185, 18.49812292]"
34,"[6.53134364, 18.52922848]"
35,"[6.69636641, 18.54431247]"
36,"[6.62522717, 18.71157677]"
37,"[6.57620015, 18.72137599]"
38,"[6.42459635, 18.72323563]"
39,"[6.42091903, 18.60482893]"
40,"[6.67019755, 18.52451028]"
41,"[6.65709645, 18.72931072]"
42,"[6.3925416, 18.67794572]"
43,"[6.33781807, 18.58992765]"
44,"[6.63810249, 18.36662206]"
45,"[6.65226021, 18.46237875]"
46,"[6.44558902, 18.47005552]"
47,"[6.68097811, 18.61185902]"
48,"[6.46395773, 18.85633858]"
49,"[6.44300707, 18.54375055]"
50,"[6.44391491, 18.58139602]"
51,"[6.78173569, 18.52087448]"
52,"[6.83400563, 18.54007836]"
53,"[6.66912588, 18.56813658]"
54,"[6.44073207, 18.38864761]"
55,"[6.58908087, 18.79040814]"
56,"[6.39530584, 18.71106989]"
57,"[6.34099359, 18.70706595]"
58,"[6.71782004, 18.39593037]"
59,"[6.63340006, 18.55055191]"
60,"[6.83604562, 18.59044742]"
61,"[6.31399506, 18.62605203]"
62,"[6.50879946, 18.73973765]"
63,"[6.49981969, 18.53464719]"
64,"[6.67368635, 18.65204965]"
65,"[6.52300152, 18.82181299]"
66,"[6.48454322, 18.82007982]"
67,"[6.44872412, 18.22756117]"
68,"[6.73499812, 18.71277247]"
69,"[6.56873328, 18.83136768]"
70,"[6.23138112, 18.7615195]"
71,"[6.64749771, 18.41751788]"
72,"[6.20671518, 18.52182004]"
73,"[6.47322832, 18.54998507]"
74,"[6.60509764, 18.65137892]"
75,"[6.38016537, 18.57272616]"
76,"[6.34034081, 18.54906373]"
77,"[6.4740306, 18.6724324]"
78,"[6.48457098, 18.64320714]"
79,"[6.42444142, 18.64121476]"
80,"[6.56931303, 18.42575191]"
81,"[6.52111648, 18.70121532]"
82,"[6.39104682, 18.60921887]"
83,"[6.70829954, 18.63287697]"
84,"[6.66637371, 18.49300052]"
85,"[6.6010394, 18.49862352]"
86,"[6.67973163, 18.77162471]"
87,"[6.71312856, 18.67283067]"
88,"[6.38751525, 18.64224251]"
89,"[6.4853873, 18.7147034]"
90,"[6.76262802, 18.64713188]"
91,"[6.35639635, 18.67233651]"
92,"[6.56001081, 18.68941407]"
93,"[6.54556513, 18.78638846]"
94,"[6.37001911, 18.45304974]"
95,"[6.63159338, 18.6721463]"
96,"[6.68212307, 18.29920621]"
97,"[6.49813147, 18.353679]"
98,"[6.53851956, 18.39539675]"
99,"[6.52894866, 18.20867086]"
100,"[6.74489085, 18.42763691]"
101,"[6.2715179, 18.6194679]"
102,"[6.33376705, 18.50450835]"
103,"[6.47905914, 18.46212149]"
104,"[6.52332374, 18.86338335]"
105,"[6.51432519, 18.64627229]"
106,"[6.45428986, 18.74237587]"
107,"[6.40919777, 18.46621492]"
108,"[6.59861819, 18.75638637]"
109,"[6.32253145, 18.6705734]"
110,"[6.60931037, 18.45184484]"
111,"[6.78444558, 18.74137621]"
112,"[6.31985673, 18.46740925]"
113,"[6.42992638, 18.77155403]"
114,"[6.81912459, 18.47952758]"
115,"[6.36952826, 18.73246901]"
116,"[6.75350257, 18.48916867]"
117,"[6.50981898, 18.77359227]"
118,"[6.42657235, 18.92097742]"
119,"[6.6773815, 18.38686854]"
120,"[6.34781942, 18.63231588]"
121,"[6.39926331, 18.36446944]"
122,"[6.85416968, 18.64120867]"
123,"[6.71564189, 18.58411233]"
124,"[6.65819306, 18.85493198]"
125,"[6.34969118, 18.81638341]"
126,"[6.31379946, 18.90382047]"
127,"[6.42760158, 18.67405138]"
128,"[6.45789186, 18.31789259]"
129,"[6.40260563, 18.80470259]"
130,"[6.45512918, 18.50497794]"
131,"[6.41350669, 18.56325384]"
132,"[6.73946448, 18.54424721]"
133,"[6.71869989, 18.49572471]"
134,"[6.72000083, 18.4551181]"
135,"[6.32567967, 18.74692707]"
136,"[6.77849579, 18.68965122]"
137,"[6.38084315, 18.5321854]"
138,"[6.51478361, 18.92689016]"
139,"[6.8173359, 18.67279898]"
140,"[6.75737132, 18.60595185]"
141,"[6.60859411, 18.31239157]"
142,"[6.63344728, 18.76348136]"
143,"[6.77747067, 18.44850064]"
144,"[6.35346955, 18.77109324]"
145,"[6.39087717, 18.29637517]"
146,"[6.88506319, 18.46632976]"
147,"[6.29935621, 18.70949279]"
148,"[6.54676995, 18.3447961]"
149,"[6.58941258, 18.36444269]"
150,"[6.61164988, 18.82481992]"
151,"[6.39305633, 18.75841902]"
152,"[6.40238892, 18.42318255]"
153,"[6.69563951, 18.74055621]"
154,"[6.63615254, 18.15385267]"
155,"[6.21532142, 18.60597023]"
156,"[6.44720389, 18.81695524]"
157,"[6.37177357, 18.91709349]"
158,"[6.28791563, 18.83987523]"
159,"[6.70752932, 18.87198687]"
160,"[6.5589086, 18.75754279]"
161,"[6.37304821, 18.48874772]"
162,"[6.41792154, 18.85216131]"
163,"[6.2123424, 18.65946712]"
164,"[6.29299427, 18.77085348]"
165,"[6.5655443, 18.88697653]"
166,"[6.85302741, 18.78111357]"
167,"[6.64323145, 18.80517524]"
168,"[6.32912702, 18.40767529]"
169,"[6.74630734, 18.770909]"
170,"[6.23186662, 18.44952565]"
171,"[6.45524989, 18.42348955]"
172,"[6.25836411, 18.49210182]"
173,"[6.68745099, 18.43112198]"
174,"[6.24396711, 18.56493597]"
175,"[6.22504006, 18.70253463]"
176,"[6.34975866, 18.34860854]"
177,"[6.71565647, 18.98491067]"
178,"[6.37121098, 18.8601851]"
179,"[6.5316907, 19.01007372]"
180,"[6.41646202, 19.01960672]"
181,"[6.71007497, 18.81111437]"
182,"[6.4842074, 18.40102147]"
183,"[6.4946272, 18.27489868]"
184,"[6.78049997, 18.3642745]"
185,"[6.47224622, 18.91177302]"
186,"[6.29271439, 18.53262362]"
187,"[6.65110356, 18.92948267]"
188,"[6.60869082, 18.87807498]"
189,"[6.46750853, 18.77753055]"
190,"[6.77773272, 18.56971417]"
191,"[6.60274624, 18.40952115]"
192,"[6.57692773, 18.93726107]"
193,"[6.56010065, 18.28995999]"
194,"[6.27551062, 18.66901158]"
195,"[6.10894073, 18.53371625]"
196,"[6.29411617, 18.57914986]"
197,"[6.78558041, 18.84254736]"
198,"[6.83976424, 18.39934632]"
199,"[6.23496313, 18.87837013]"
200,"[6.76447252, 18.30456339]"
201,"[6.23423634, 18.2905471]"
202,"[6.22296582, 18.82122264]"
203,"[6.07939276, 18.77638923]"
204,"[6.27993044, 18.40678368]"
205,"[6.55512246, 18.56542912]"
