# source, target, tip_text
0,1,"make your own sandwich: tuna salad on country white bread, cheddar, lettuce, tomato, cucumber, mayo. yuuuum."
0,218,Get the superman roll. Tuna avocado sala is also great.
0,254,super cute and inviting during the day. i recommend eggs florentine with crispy bacon on the side for brunch.
0,301,really fantastic choices for brunch! try something you normally wouldn't.
0,820,used to stand on this line everyday before the commute to midtown for the much-needed coffee w. milk and sugar
0,851,"whitefish salad on a freshly made bagel. the long line is worth it, but move quickly, know your order, and never *ever* ask to have your bagel toasted (they're freshly made on premises!)"
0,1079,"can't get enough of the avocado panini on sourdough, w\/ home fries on the side, and of course, a cup of mud."
0,1264,brunch served until 5pm!
0,1598,"bacon wrapped dates, fried goat cheese, pulled pork empanadas, even the brussel sprouts are good!"
0,1628,Go to Angelina Cafe and eat a steak sandwich.
0,2073,"soup + 1\/2 sandwich combo for lunch!"
0,2380,"my recs: avocado, tomato, cucumber salad. avocado + shrimp + cucumber appetizer. avocado and chicken sandwich. notice a pattern here?"
0,2474,oysters and steak and wine and happiness
0,2570,royale with cheese. and chips with onion dip.
0,2589,all these hipsters can't be wrong! this place has a great brunch - everything is fresh and pretty cheap too! super long lines so sit at the bar if you don't mind.
0,2607,"keep it basic with eggs, bacon, and a side salad -you won't be disappointed"
0,2690,"Sunday brunch special: coffee, OJ, bloody mary, baked eggs, side of bacon. Happy."
0,2704,"no wifi\/power on the weekends."
0,2738,"highlights: marble soda, pork curry, and The Bathroom."
0,2763,Oysters are bland. Meh.
0,2952,"eurotart. fruit, coconut flakes, and brownie bites. oh my."
0,2996,no cell phones at the counter!
0,2996,"$4.20 for a latte. oh baristas, you so funny."
0,3053,"young baby coconut. drink the deliciousness, then ask for it to be split open and eat the insides. goodbye hangover!"
0,3066,the roast beef sandwich is pretty much my version of lunch heaven.
0,3237,surprisingly great bacon - add it to your egg & cheese in the morning!
0,3353,honey dew melon with tapioca - yum
0,3518,don't mess with the mayor
0,3552,Petisco's Eggs + French Toast. fatfatfat.
