# index, is_user, name, tags, _pos
0,1,24436,[],"array([ 17.750769, -27.424259])"
1,0,15,[],"array([ 16.21999187, -24.50698479])"
2,1,8550,[],"array([ 20.47999019, -29.18395441])"
3,0,20,['andy'],"array([ 18.43875134, -25.91935512])"
4,1,1537,[],"array([ 18.32669941, -23.82201058])"
5,1,59283,[],"array([ 21.69006546, -28.08335051])"
6,1,713,[],"array([ 19.01049459, -24.80000852])"
7,1,40518,[],"array([ 19.95381196, -24.66210093])"
8,1,33560,[],"array([ 16.68732305, -26.37763408])"
9,1,17435,[],"array([ 19.4877919 , -27.12216325])"
10,1,59010,[],"array([ 18.03210705, -23.81684009])"
11,1,37602,[],"array([ 18.23386724, -22.6108199 ])"
12,1,68863,[],"array([ 14.5401152 , -24.14077387])"
13,1,118428,[],"array([ 17.59167595, -23.09423217])"
14,1,105277,[],"array([ 17.64117894, -23.43999717])"
15,1,211609,[],"array([ 18.04984446, -25.95816597])"
16,1,12533,[],"array([ 17.8500194 , -31.60699849])"
17,1,63386,[],"array([ 19.76812364, -27.11637547])"
18,1,72,[],"array([ 18.94762814, -28.72639671])"
19,0,25,"['colombian', 'cupcake', 'fish']","array([ 18.87922245, -31.87758991])"
20,1,19335,[],"array([ 16.52679584, -28.68196819])"
21,1,187984,[],"array([ 19.66225983, -36.63488007])"
22,1,2358,[],"array([ 20.44835311, -34.20075998])"
23,1,68605,[],"array([ 19.25101334, -34.26913653])"
24,1,82113,[],"array([ 21.15137079, -32.15456858])"
25,1,52206,[],"array([ 22.41796938, -28.57431506])"
26,1,13722,[],"array([ 16.80230448, -36.11607997])"
27,1,25807,[],"array([ 17.83818735, -27.15042337])"
28,1,237785,[],"array([ 15.01677957, -28.7687675 ])"
29,1,62764,[],"array([ 19.66941553, -35.01537887])"
30,1,69093,[],"array([ 20.47825426, -32.24718608])"
31,0,26,"['brunch', 'happy']","array([ 21.88051219, -35.02388026])"
32,1,20537,[],"array([ 21.41497531, -29.17224174])"
33,0,36,"['french', 'soho', 'zagat-rated', 'zagats']","array([ 18.78372849, -25.26813149])"
34,1,24074,[],"array([ 15.55488417, -20.16182503])"
35,1,3744,[],"array([ 21.48553889, -28.13196051])"
36,1,20964,[],"array([ 16.34406592, -25.09796827])"
37,1,7067,[],"array([ 21.75643249, -26.53859402])"
38,1,264057,[],"array([ 16.94303471, -27.56202359])"
39,1,29831,[],"array([ 18.06817225, -30.07390555])"
40,0,39,['byob'],"array([ 18.60102835, -29.35626438])"
41,1,23524,[],"array([ 20.25484063, -29.31878707])"
42,1,23420,[],"array([ 16.48212247, -29.563195  ])"
43,1,47683,[],"array([ 16.89779501, -30.35658128])"
44,0,40,['+'],"array([ 17.58768692, -31.95911281])"
45,1,43905,[],"array([ 19.00493683, -30.3631135 ])"
46,1,90814,[],"array([ 25.66456069, -27.79896987])"
47,0,42,"['bar', 'beer', 'brunch', 'burger', 'cozy', 'dinner', 'group', 'happy']","array([ 23.05208766, -27.48099313])"
48,1,11251,[],"array([ 22.08886671, -29.94765975])"
49,1,50730,[],"array([ 20.47715636, -26.5244168 ])"
50,1,24873,[],"array([ 21.29102575, -25.42877802])"
51,1,21214,[],"array([ 26.10582611, -26.9356205 ])"
52,1,5183,[],"array([ 20.28011565, -29.5826646 ])"
53,1,8051,[],"array([ 13.99358284, -29.80019643])"
54,0,46,"['bakery', 'bravo', 'cupcake', 'dessert', 'diner', 'frozen']","array([ 12.16100201, -26.16743878])"
55,1,105313,[],"array([ 15.23916366, -28.84359392])"
56,1,20037,[],"array([  9.30476925, -24.93305828])"
57,1,60700,[],"array([ 12.79764769, -25.2034217 ])"
58,1,180792,[],"array([ 11.57450292, -25.44925928])"
59,1,36206,[],"array([  8.44372238, -24.4904934 ])"
60,1,645,[],"array([ 12.45131787, -28.3367228 ])"
61,1,53381,[],"array([  9.38495859, -24.57219182])"
62,1,16499,[],"array([  9.51760932, -24.26256677])"
63,1,23200,[],"array([  9.15506432, -25.22127825])"
64,1,118710,[],"array([ 13.92957578, -35.02775635])"
65,0,47,"['bagels', 'cafe', 'coffee', 'desserts', 'green']","array([ 15.84509105, -29.97920365])"
66,1,21881,[],"array([ 16.64983656, -28.48782495])"
67,1,33575,[],"array([ 18.32796478, -25.51152843])"
68,1,34450,[],"array([ 17.19605412, -28.50719212])"
69,1,73726,[],"array([ 15.19907957, -25.30127549])"
70,1,54949,[],"array([ 16.65500901, -29.00857852])"
71,1,43127,[],"array([ 17.69437189, -31.36615067])"
72,1,15414,[],"array([ 14.29640625, -34.02929573])"
73,1,69549,[],"array([-33.61962709, -37.95644974])"
74,0,52,['gossip'],"array([-34.22106797, -38.22262682])"
75,1,17874,[],"array([ 15.88376182, -19.74220736])"
76,0,59,['french'],"array([ 15.29510318, -17.05082893])"
77,1,43293,[],"array([ 18.42992164, -33.6910967 ])"
78,0,77,"['american', 'brunch', 'dinner', 'happy']","array([ 19.49003875, -34.33938334])"
79,1,20186,[],"array([ 20.44824539, -30.6540375 ])"
80,1,264033,[],"array([ 19.88828658, -37.31641416])"
81,1,21452,[],"array([ 16.97156403, -32.97736611])"
82,1,117498,[],"array([ 13.24405926, -27.0126441 ])"
83,0,78,['japanese'],"array([ 10.19373992, -25.82681025])"
84,1,198227,[],"array([ 35.38264336, -26.60067301])"
85,0,83,"['lunch', 'salad']","array([ 37.28439377, -26.48728931])"
86,1,78275,[],"array([ 21.05456943, -27.03152797])"
87,0,86,"['bravo', 'michelin']","array([ 22.55418903, -28.16995512])"
88,1,28031,[],"array([ 22.50780554, -30.42915111])"
89,1,196154,[],"array([ 20.05961218, -28.24430011])"
90,0,88,"['desserts', 'ginger']","array([ 17.31439489, -33.07076466])"
91,1,215619,[],"array([ 18.78079043, -31.2096317 ])"
92,0,98,"['momo', 'not']","array([ 19.79935976, -34.09640845])"
93,1,141794,[],"array([ 23.8955286 , -25.56157713])"
94,0,99,['french'],"array([ 27.79972498, -24.56675153])"
95,1,201903,[],"array([ 30.3954227 , -23.52965094])"
96,1,25121,[],"array([ 27.72208605, -26.46925566])"
97,1,258663,[],"array([-11.44136486, -62.2636417 ])"
98,0,102,"['brooklyn', 'food', 'italian']","array([-11.95336814, -61.85159418])"
99,0,105,['moroccan'],"array([ 19.51124474, -23.51826003])"
100,1,116117,[],"array([ 20.05868695, -20.46677541])"
