# index, _pos
0,"[17.750769, -27.424259]"
1,"[16.21999187, -24.50698479]"
2,"[20.47706009, -29.39243685]"
3,"[15.98524099, -28.16543105]"
4,"[19.5598957, -26.65679054]"
5,"[16.17367038, -26.43146752]"
6,"[18.79168042, -28.41362668]"
7,"[16.49055476, -27.64471785]"
8,"[17.28318169, -30.81362426]"
9,"[18.86250022, -27.06712786]"
10,"[15.75551735, -28.31002497]"
11,"[18.53589924, -26.87473104]"
12,"[16.12052388, -24.96086546]"
13,"[20.13766175, -26.82593922]"
14,"[13.78943126, -28.03224964]"
15,"[16.86672934, -28.41766052]"
16,"[19.05046777, -28.25144709]"
17,"[14.6730781, -23.89226536]"
18,"[17.81672507, -30.78267359]"
19,"[21.1886801, -26.6265576]"
20,"[22.02692444, -27.44887349]"
21,"[16.25629446, -28.78999719]"
22,"[16.59144742, -25.94423847]"
23,"[15.69289666, -25.24805764]"
24,"[19.05905342, -26.9915125]"
25,"[21.7574162, -26.98123015]"
26,"[13.30803478, -28.30916395]"
27,"[15.93897213, -23.81175868]"
28,"[19.28721432, -28.27915474]"
29,"[15.07107983, -24.72807665]"
30,"[20.48596439, -30.29937344]"
31,"[19.60271393, -28.78439795]"
32,"[19.4585168, -28.42181394]"
33,"[20.54258353, -31.23548733]"
34,"[20.47999019, -29.18395441]"
35,"[18.43875134, -25.91935512]"
36,"[21.54525678, -29.38056099]"
37,"[25.479472, -29.17653363]"
38,"[16.42611375, -31.9408014]"
39,"[19.09705779, -28.02935998]"
40,"[18.32669941, -23.82201058]"
41,"[19.19354043, -27.82375424]"
42,"[17.68746573, -20.57445514]"
43,"[21.69006546, -28.08335051]"
44,"[24.49975774, -29.66715938]"
45,"[20.89470959, -30.51268796]"
46,"[19.01049459, -24.80000852]"
47,"[15.6300765, -22.07506624]"
48,"[18.04795771, -24.16443792]"
49,"[24.68238688, -26.43147351]"
50,"[18.63398682, -23.03846125]"
51,"[15.67615485, -29.12179362]"
52,"[19.31093764, -21.5783557]"
53,"[19.95381196, -24.66210093]"
54,"[17.49518761, -25.52563337]"
55,"[17.87265865, -25.99977093]"
56,"[18.84427912, -20.06669134]"
57,"[20.99101044, -26.46777304]"
58,"[22.75658205, -24.72338914]"
59,"[20.51303742, -29.6227962]"
60,"[20.52875236, -25.38722267]"
61,"[17.35949765, -23.82455263]"
62,"[22.88396576, -21.81445519]"
63,"[18.57701671, -25.71315804]"
64,"[19.64883706, -25.04047063]"
65,"[20.56836272, -26.71281552]"
66,"[17.00675103, -24.16663389]"
67,"[21.73342562, -25.04421078]"
68,"[22.18195623, -25.57483212]"
69,"[16.68732305, -26.37763408]"
70,"[12.16100201, -26.16743878]"
71,"[14.11549975, -29.53862965]"
72,"[14.78566711, -23.6517293]"
73,"[20.00669602, -28.49125305]"
74,"[14.93791722, -25.33675667]"
75,"[16.74921576, -28.25398643]"
76,"[14.95231635, -23.85407641]"
77,"[18.76855036, -28.65244843]"
78,"[17.19624921, -28.15433123]"
79,"[23.21073074, -26.63320874]"
80,"[13.2913721, -25.56588607]"
81,"[15.87198514, -23.17199059]"
82,"[13.29603107, -26.47327657]"
83,"[13.73775332, -22.95521281]"
84,"[20.98205959, -29.15100355]"
85,"[18.42138501, -29.25562521]"
86,"[18.52517106, -25.46100523]"
87,"[20.48988106, -27.51908252]"
88,"[13.02639642, -23.25226677]"
89,"[13.95602291, -32.142485]"
90,"[16.04992945, -29.57951558]"
91,"[18.73651564, -25.58933359]"
92,"[18.12955463, -22.96952637]"
93,"[19.48304444, -31.71945002]"
94,"[18.59245829, -21.67953594]"
95,"[13.70821007, -24.91045111]"
96,"[15.31094505, -24.88295429]"
97,"[14.5717501, -25.1801481]"
98,"[15.91802328, -25.09967781]"
99,"[21.97581054, -25.74973199]"
100,"[18.3954051, -27.79308802]"
101,"[19.43766598, -27.39210291]"
102,"[14.10037031, -24.01608425]"
103,"[18.27139773, -31.76840463]"
104,"[17.58702741, -24.89480754]"
105,"[20.58037448, -27.02762991]"
106,"[13.47972634, -23.22181822]"
107,"[15.54163963, -26.98609913]"
108,"[19.04504622, -27.53818845]"
109,"[14.89415639, -24.48953874]"
110,"[13.10071911, -24.93622635]"
111,"[15.52925483, -24.71904259]"
112,"[18.14570834, -31.32549664]"
113,"[18.80175507, -29.6675406]"
114,"[21.2832423, -22.47695963]"
115,"[14.57141588, -24.7912226]"
116,"[15.09217458, -23.63611303]"
117,"[14.36347875, -23.93815053]"
118,"[19.4877919, -27.12216325]"
119,"[19.48756847, -29.69801421]"
120,"[19.59389314, -29.87579579]"
121,"[19.81177001, -28.50406041]"
122,"[14.50181399, -27.39669043]"
123,"[15.92173995, -27.72030098]"
124,"[20.46430775, -31.07788795]"
125,"[20.07348485, -26.36470876]"
126,"[19.31332504, -28.04455804]"
127,"[18.38174, -30.8583775]"
128,"[24.80999336, -31.09827354]"
129,"[19.49035, -29.44178656]"
130,"[19.0646184, -30.88666531]"
131,"[23.01323026, -28.68757142]"
132,"[22.72476534, -27.93240781]"
133,"[19.44799338, -28.96866184]"
134,"[20.79501476, -27.09855193]"
135,"[21.23052076, -24.56806207]"
136,"[24.70050123, -27.1431826]"
137,"[20.23427655, -23.34779056]"
138,"[18.90893031, -24.23649371]"
139,"[16.88880166, -23.68228575]"
140,"[22.43287367, -24.65753914]"
141,"[21.30277375, -24.08055766]"
142,"[16.32881622, -26.17886878]"
143,"[16.92906193, -30.5326156]"
144,"[21.04233509, -24.30967045]"
145,"[23.7061998, -30.52067424]"
146,"[21.46829959, -24.61457104]"
147,"[19.62281312, -23.95137402]"
148,"[19.77709148, -24.15308662]"
149,"[16.85548751, -29.07101246]"
150,"[19.99825292, -24.27914265]"
151,"[13.35738494, -24.83791258]"
152,"[16.77446447, -25.31185722]"
153,"[19.33585533, -24.38941394]"
154,"[14.5567409, -28.25512704]"
155,"[22.89147045, -24.88409598]"
156,"[18.03210705, -23.81684009]"
157,"[18.23386724, -22.6108199]"
158,"[14.5401152, -24.14077387]"
159,"[11.67180325, -24.18898604]"
160,"[17.59167595, -23.09423217]"
161,"[17.64117894, -23.43999717]"
162,"[18.23951375, -24.0746971]"
163,"[18.04984446, -25.95816597]"
164,"[15.09782739, -29.02414948]"
165,"[18.35029286, -22.8283233]"
166,"[14.02230147, -26.01938807]"
167,"[15.847548, -27.37057441]"
168,"[20.63027233, -23.35650714]"
169,"[20.19538056, -25.94496817]"
170,"[18.53376469, -24.88597001]"
171,"[17.48543416, -22.76869761]"
172,"[18.3339261, -28.15463603]"
173,"[15.6052857, -27.67423597]"
174,"[20.02857245, -25.7894133]"
175,"[16.49661785, -21.81015155]"
176,"[22.03604147, -26.57343414]"
177,"[20.80679099, -28.83884373]"
178,"[20.62610496, -24.10653111]"
179,"[19.01098354, -23.91719231]"
180,"[20.16476261, -27.47292248]"
181,"[15.66812436, -25.67495934]"
182,"[15.90179335, -30.54235605]"
183,"[21.04651294, -21.60588569]"
184,"[15.60811221, -31.0330292]"
185,"[17.8500194, -31.60699849]"
186,"[13.51150785, -30.81662561]"
187,"[20.68013488, -29.18119737]"
188,"[19.12298362, -35.50311677]"
189,"[15.06041531, -32.44804165]"
190,"[20.44900409, -30.05818189]"
191,"[17.38929604, -34.50775803]"
192,"[17.99278939, -35.09390563]"
193,"[12.95353384, -31.76287708]"
194,"[15.03488487, -35.176239]"
195,"[21.51226879, -28.56822202]"
196,"[20.00743602, -34.79537192]"
197,"[16.5601845, -34.49306398]"
198,"[19.76812364, -27.11637547]"
199,"[18.91879523, -27.87665169]"
200,"[21.18736547, -24.85032535]"
201,"[17.34382143, -27.81996639]"
202,"[20.12681968, -32.7089032]"
203,"[19.21782156, -29.24511476]"
204,"[20.00391997, -24.01749607]"
205,"[19.70189278, -29.27033638]"
206,"[20.22669489, -24.15059965]"
207,"[18.23784335, -29.31260939]"
208,"[15.90242426, -26.39510516]"
209,"[19.09937492, -25.95808728]"
210,"[19.29833013, -26.89710568]"
211,"[17.05909105, -31.33932161]"
212,"[20.14321741, -23.63207055]"
213,"[17.83770395, -28.75944566]"
214,"[20.47118333, -23.89020139]"
215,"[24.08518339, -28.4277073]"
216,"[20.38450338, -24.49216054]"
217,"[20.44220405, -24.22054163]"
218,"[18.91184596, -30.15882972]"
219,"[17.05227, -26.89322307]"
220,"[21.45764194, -25.10044563]"
221,"[23.17887613, -25.21506599]"
222,"[18.94762814, -28.72639671]"
223,"[18.87922245, -31.87758991]"
224,"[19.6795319, -29.62026401]"
225,"[20.00627124, -27.99240592]"
226,"[17.90524306, -28.94189884]"
227,"[21.02757298, -26.7866147]"
228,"[21.38685673, -25.79980822]"
229,"[17.03145913, -27.3261898]"
230,"[15.30013033, -29.46871754]"
231,"[20.06443257, -33.3131425]"
232,"[18.32229597, -24.91460273]"
233,"[18.14963715, -29.86017008]"
234,"[18.08715159, -30.27075316]"
235,"[19.32804151, -31.43826144]"
236,"[23.33352677, -27.1042522]"
237,"[20.77295327, -26.5542361]"
238,"[17.15745571, -24.68428761]"
239,"[16.20188185, -27.97790011]"
240,"[21.24669888, -27.00867826]"
241,"[19.59790165, -30.99448629]"
242,"[16.47530724, -28.85700123]"
243,"[21.01006216, -29.99822661]"
244,"[14.51546908, -25.68849031]"
245,"[19.75674126, -26.36745249]"
246,"[17.70510129, -27.92951207]"
247,"[21.3735573, -30.98722686]"
248,"[21.59645885, -25.61322686]"
249,"[16.70382766, -26.80287666]"
250,"[22.49887336, -26.8693819]"
251,"[23.11481097, -31.1074233]"
252,"[16.25719861, -30.22449303]"
253,"[20.86294598, -27.58703321]"
254,"[17.2079016, -28.96807245]"
255,"[16.24174602, -30.41934888]"
256,"[18.08879115, -26.19871499]"
257,"[21.04883466, -31.36809732]"
258,"[15.89567842, -27.02820301]"
259,"[23.12815799, -25.53216508]"
260,"[21.59034059, -29.9482536]"
261,"[14.67487186, -27.27489822]"
262,"[18.99349907, -29.5587387]"
263,"[18.84559394, -26.84817608]"
264,"[16.36178597, -31.64824275]"
265,"[22.73245694, -31.3034144]"
266,"[18.03096082, -24.84496544]"
267,"[17.6067878, -26.41050319]"
268,"[14.30581796, -29.71741734]"
269,"[21.16636156, -27.24829064]"
270,"[19.1119325, -30.70114254]"
271,"[19.87764078, -29.00479732]"
272,"[23.53273632, -26.64546563]"
273,"[14.23509269, -31.2611035]"
274,"[19.61186629, -26.21195016]"
275,"[19.73052812, -30.60435689]"
276,"[22.53146115, -28.37525729]"
277,"[17.44460607, -30.07885316]"
278,"[21.29854154, -28.49426197]"
279,"[19.62950757, -27.83048512]"
280,"[18.59281023, -27.04656252]"
281,"[17.42813044, -26.33232585]"
282,"[16.74989607, -26.58753985]"
283,"[17.30160197, -29.95946774]"
284,"[18.46729657, -29.01507107]"
285,"[16.65300309, -31.05853007]"
286,"[23.06781907, -30.23440673]"
287,"[18.02961774, -28.67841079]"
288,"[18.0789554, -26.95981012]"
289,"[17.25783171, -29.49988133]"
290,"[20.70911154, -32.25813024]"
291,"[17.84004329, -32.0068637]"
292,"[21.24976175, -28.25510472]"
293,"[21.55536341, -27.64931802]"
294,"[18.71423323, -31.74108376]"
295,"[19.53153397, -26.86531123]"
296,"[17.75522092, -28.18152745]"
297,"[22.0640873, -26.98255049]"
298,"[18.89389999, -23.22472964]"
299,"[16.41288448, -27.92954927]"
300,"[14.60209788, -29.75957392]"
301,"[14.7271171, -30.79487054]"
302,"[25.38246116, -28.85882997]"
303,"[19.29178203, -28.85863973]"
