# index, _pos
0,"array([-1.48229138,  2.48403679])"
1,"array([-1.42322063,  2.37851042])"
2,"array([-1.35195164,  2.50740918])"
3,"array([-1.38001409,  2.68591574])"
4,"array([-1.4397331 ,  2.47774236])"
5,"array([-1.35505827,  2.31514435])"
6,"array([-1.38583019,  2.37734511])"
7,"array([-1.28886892,  2.3083478 ])"
8,"array([-1.29462288,  2.33473218])"
9,"array([-1.69097998,  2.46170382])"
10,"array([-1.47078365,  2.32154142])"
11,"array([-1.16769226,  2.14390407])"
12,"array([-1.00601927,  1.99214808])"
13,"array([-1.43744877,  2.28051012])"
14,"array([-1.59334919,  2.27582674])"
15,"array([-1.61310099,  2.21984801])"
16,"array([-1.38286134,  2.40136178])"
17,"array([-1.29653644,  2.61484724])"
18,"array([-1.28103305,  2.61274367])"
19,"array([-1.40182826,  2.42711751])"
20,"array([-1.7899865 ,  2.14161955])"
21,"array([-1.44712824,  2.45111979])"
22,"array([-1.6238862 ,  2.41904011])"
23,"array([-1.56090593,  2.29606447])"
24,"array([-1.52514709,  2.38224404])"
25,"array([-1.59383771,  2.35870022])"
26,"array([-1.31848594,  2.12183124])"
27,"array([-1.30610519,  2.25546493])"
28,"array([-1.68193401,  2.41795798])"
29,"array([-0.89702941,  1.89241234])"
30,"array([-1.29391829,  2.16734712])"
31,"array([-1.75875885,  2.11780647])"
32,"array([-1.29789625,  2.20119015])"
33,"array([-1.4863623 ,  2.26164041])"
34,"array([-1.45979726,  2.453242  ])"
35,"array([-1.48173914,  2.50336725])"
36,"array([-1.72731223,  2.40055544])"
37,"array([-1.57517863,  2.52493967])"
38,"array([-1.31111141,  2.14721627])"
39,"array([-1.07515913,  2.29432816])"
40,"array([-1.16910843,  2.27539498])"
41,"array([-1.73464507,  2.47785027])"
42,"array([-1.30887875,  2.19738559])"
43,"array([-1.42717136,  2.04070801])"
44,"array([-1.42783358,  2.20649939])"
45,"array([-1.16524533,  2.32028592])"
46,"array([-1.24644   ,  2.43000506])"
47,"array([-1.31365028,  2.22665838])"
48,"array([-1.46919553,  2.39168171])"
49,"array([-1.26515329,  2.4119008 ])"
50,"array([-1.38950343,  2.20032766])"
51,"array([-1.38538956,  2.31712475])"
52,"array([-1.39696981,  2.58645815])"
53,"array([-1.397791  ,  2.77164405])"
54,"array([-1.74697723,  2.48892048])"
55,"array([-1.38114934,  2.15674531])"
56,"array([-1.48495831,  2.35098669])"
57,"array([-1.44382031,  2.41871033])"
58,"array([-1.74473661,  2.13178649])"
59,"array([-1.17089952,  2.43932897])"
60,"array([-0.98169375,  2.50154264])"
61,"array([-1.29756424,  2.30156976])"
62,"array([-1.18558556,  2.43040103])"
63,"array([-1.26093897,  2.43553819])"
64,"array([-1.62413383,  2.14450262])"
65,"array([-1.46318038,  2.25635018])"
66,"array([-1.54641382,  2.19156035])"
67,"array([-1.59875955,  2.255222  ])"
68,"array([-1.30575969,  2.58460478])"
69,"array([-1.18862797,  2.48392776])"
70,"array([-1.48692761,  2.30402867])"
71,"array([-1.56214506,  2.38465973])"
72,"array([-1.27904794,  2.23819712])"
73,"array([-1.24416629,  2.1840701 ])"
74,"array([-1.41612892,  2.49612301])"
75,"array([-1.38407421,  2.47679408])"
76,"array([-1.48091629,  2.44709423])"
77,"array([-1.36898394,  2.43359858])"
78,"array([-1.4195535 ,  2.16064087])"
79,"array([-1.64435095,  2.44873315])"
80,"array([-1.65358609,  2.6347752 ])"
81,"array([-1.33968991,  2.10514892])"
82,"array([-1.3944089 ,  2.75055042])"
83,"array([-1.32636233,  2.34548186])"
84,"array([-1.13767279,  2.21692176])"
85,"array([-1.10886968,  2.3547655 ])"
86,"array([-1.09402019,  2.36311666])"
87,"array([-1.37605432,  2.72527331])"
88,"array([-1.39301254,  2.86302878])"
89,"array([-1.28252361,  2.52414695])"
90,"array([-1.17754362,  2.52944563])"
91,"array([-1.23367739,  2.42077979])"
92,"array([-1.36989001,  2.30108156])"
93,"array([-1.47740061,  2.21850063])"
