# index, _pos
0,"[-1.48229138, 2.48403679]"
1,"[-1.42322063, 2.37851042]"
2,"[-1.38583019, 2.37734511]"
3,"[-1.44712824, 2.45111979]"
4,"[-1.5853236, 2.5819198]"
5,"[-1.4048752, 2.52586275]"
6,"[-1.5707402, 2.62760499]"
7,"[-1.40182826, 2.42711751]"
8,"[-1.51467719, 2.36289496]"
9,"[-1.40303046, 2.31327998]"
10,"[-1.55349651, 2.63546361]"
11,"[-1.37795401, 2.38860488]"
12,"[-1.50653794, 2.48855012]"
13,"[-1.45760089, 2.41385938]"
14,"[-1.57553867, 2.59735885]"
15,"[-1.53645662, 2.39284348]"
16,"[-1.41821762, 2.30378708]"
17,"[-1.44146997, 2.464839]"
18,"[-1.47027029, 2.41159562]"
19,"[-1.56299771, 2.61267245]"
20,"[-1.41612895, 2.35815193]"
21,"[-1.53886495, 2.45857408]"
22,"[-1.37851276, 2.37049608]"
23,"[-1.53093547, 2.66338086]"
24,"[-1.41814046, 2.42897577]"
25,"[-1.54515347, 2.65182351]"
26,"[-1.42990863, 2.57439901]"
27,"[-1.35195164, 2.50740918]"
28,"[-1.38001409, 2.68591574]"
29,"[-1.57779215, 2.49815695]"
30,"[-1.38407421, 2.47679408]"
31,"[-1.316678, 2.43610773]"
32,"[-1.31907442, 2.32715443]"
33,"[-1.31525264, 2.35028767]"
34,"[-1.29359424, 2.49500488]"
35,"[-1.26093897, 2.43553819]"
36,"[-1.31913433, 2.75353879]"
37,"[-1.29017208, 2.50769764]"
38,"[-1.32705837, 2.37550706]"
39,"[-1.30467866, 2.41330312]"
40,"[-1.28697832, 2.38813368]"
41,"[-1.29262243, 2.53436927]"
42,"[-1.4397331, 2.47774236]"
43,"[-1.35505827, 2.31514435]"
44,"[-1.38538956, 2.31712475]"
45,"[-1.46812828, 2.58760692]"
46,"[-1.42734742, 2.28409267]"
47,"[-1.34445661, 2.31193708]"
48,"[-1.37632894, 2.31246369]"
49,"[-1.30106516, 2.52121101]"
50,"[-1.38928525, 2.28391485]"
51,"[-1.45428603, 2.30583566]"
52,"[-1.37009031, 2.28015791]"
53,"[-1.48141271, 2.57649993]"
54,"[-1.38654324, 2.3603677]"
55,"[-1.31437319, 2.51407974]"
56,"[-1.34720019, 2.3455238]"
57,"[-1.4697668, 2.65897083]"
58,"[-1.4900027, 2.66935484]"
59,"[-1.54446014, 2.5906443]"
60,"[-1.43473996, 2.63992293]"
61,"[-1.45235108, 2.63257271]"
62,"[-1.50769913, 2.65990933]"
63,"[-1.50020816, 2.64425845]"
64,"[-1.4119878, 2.32549038]"
65,"[-1.37525661, 2.26839209]"
66,"[-1.51909039, 2.61828538]"
67,"[-1.4932496, 2.40446082]"
68,"[-1.54823919, 2.37842716]"
69,"[-1.4693768, 2.63955011]"
70,"[-1.3940137, 2.25925827]"
71,"[-1.52012061, 2.64247091]"
72,"[-1.50652271, 2.60401358]"
73,"[-1.50583214, 2.62905133]"
74,"[-1.47983622, 2.60781951]"
75,"[-1.45258735, 2.64982528]"
76,"[-1.4844103, 2.65073434]"
77,"[-1.48484742, 2.63012607]"
78,"[-1.28886892, 2.3083478]"
79,"[-1.29462288, 2.33473218]"
80,"[-1.22726897, 2.40525889]"
81,"[-1.30826541, 2.36194437]"
82,"[-1.24282621, 2.46940348]"
83,"[-1.35332772, 2.2589055]"
84,"[-1.33682322, 2.35150028]"
85,"[-1.12357721, 2.318825]"
86,"[-1.46356974, 2.28777771]"
87,"[-1.29885696, 2.37868673]"
88,"[-1.09846817, 2.3401958]"
89,"[-1.39535533, 2.24082136]"
90,"[-1.29510632, 2.36821957]"
91,"[-1.47078365, 2.32154142]"
92,"[-1.29861722, 2.35912416]"
93,"[-1.32440749, 2.29047477]"
94,"[-1.32367651, 2.30152214]"
95,"[-1.3734488, 2.22991274]"
96,"[-1.46318038, 2.25635018]"
97,"[-1.47605783, 2.26763073]"
98,"[-1.24272506, 2.35855864]"
99,"[-1.27517946, 2.43976173]"
100,"[-1.31389114, 2.33850494]"
101,"[-1.10583865, 2.30831132]"
102,"[-1.29419039, 2.21287026]"
103,"[-1.19821521, 2.44252718]"
104,"[-1.36495915, 2.24645497]"
105,"[-1.26706032, 2.24629289]"
106,"[-1.22887433, 2.25327854]"
107,"[-1.27622017, 2.45350044]"
108,"[-1.26566011, 2.38253202]"
109,"[-1.28923897, 2.29579384]"
110,"[-1.36862688, 2.3368632]"
111,"[-1.30940211, 2.37301977]"
112,"[-1.26169747, 2.37226458]"
113,"[-1.2426223, 2.24137963]"
114,"[-1.47934901, 2.22981192]"
115,"[-1.17418554, 2.38993078]"
116,"[-1.267934, 2.23158966]"
117,"[-1.35446364, 2.24609476]"
118,"[-1.21604113, 2.41906778]"
119,"[-1.17265032, 2.42082596]"
120,"[-1.18706959, 2.41273897]"
121,"[-1.34320824, 2.27743205]"
122,"[-1.33571196, 2.30018156]"
123,"[-1.20474171, 2.34091892]"
124,"[-1.30027403, 2.43721839]"
125,"[-1.31378747, 2.28376937]"
126,"[-1.24704106, 2.44448461]"
127,"[-1.33356477, 2.25439588]"
128,"[-1.21948564, 2.27408893]"
129,"[-1.27305903, 2.09994849]"
130,"[-1.45023037, 2.25213146]"
131,"[-1.19215411, 2.46762087]"
132,"[-1.30772196, 2.26640844]"
133,"[-1.22745981, 2.20516218]"
134,"[-1.36390364, 2.22470323]"
135,"[-1.30185755, 2.29202633]"
136,"[-1.13572036, 2.33428304]"
137,"[-1.26200545, 2.35746009]"
138,"[-1.08834442, 2.31023129]"
139,"[-1.35041879, 2.37950188]"
140,"[-1.3984296, 2.32438446]"
141,"[-1.30170602, 2.24538118]"
142,"[-1.25289499, 2.45762231]"
143,"[-1.21985103, 2.23178577]"
144,"[-1.34907282, 2.23731447]"
145,"[-1.2543297, 2.2097266]"
146,"[-1.3811066, 2.21028461]"
147,"[-1.33813377, 2.22033283]"
148,"[-1.34414097, 2.28970124]"
149,"[-1.2592783, 2.33575765]"
150,"[-1.25906678, 2.28838983]"
151,"[-1.30617725, 2.2184564]"
152,"[-1.39473932, 2.30569595]"
153,"[-1.28639351, 2.2053769]"
154,"[-1.09733344, 2.29397659]"
155,"[-1.3794184, 2.35432116]"
156,"[-1.40327016, 2.25233253]"
157,"[-1.21815593, 2.2605022]"
158,"[-1.23988498, 2.21216639]"
159,"[-1.33716901, 2.3371222]"
160,"[-1.25837206, 2.47507398]"
161,"[-1.23571207, 2.3731087]"
162,"[-1.33196623, 2.20870415]"
163,"[-1.27678438, 2.41366144]"
164,"[-1.35217823, 2.20769661]"
165,"[-1.41002803, 2.20603417]"
166,"[-1.36845782, 2.36012583]"
167,"[-1.33356877, 2.28257279]"
168,"[-1.23125906, 2.19137368]"
169,"[-1.1157227, 2.33513326]"
170,"[-1.10287491, 2.32300868]"
171,"[-1.41559571, 2.38842925]"
172,"[-1.21371226, 2.216566]"
173,"[-1.24518757, 2.22539983]"
174,"[-1.46919553, 2.39168171]"
175,"[-1.23194332, 2.33062693]"
176,"[-1.22617414, 2.21761465]"
177,"[-1.29040569, 2.25042694]"
178,"[-1.40182382, 2.27816518]"
179,"[-1.28469273, 2.22356022]"
180,"[-1.32369109, 2.22640438]"
181,"[-1.30475895, 2.16893712]"
182,"[-1.69097998, 2.46170382]"
183,"[-1.6238862, 2.41904011]"
184,"[-1.59383771, 2.35870022]"
185,"[-1.72731223, 2.40055544]"
186,"[-1.73464507, 2.47785027]"
187,"[-1.74697723, 2.48892048]"
188,"[-1.73286793, 2.44229648]"
189,"[-1.72005809, 2.42433928]"
190,"[-1.83756565, 2.44985183]"
191,"[-1.74800261, 2.43535167]"
192,"[-1.76725573, 2.51425684]"
193,"[-1.53415856, 2.47323978]"
194,"[-1.67864973, 2.49100987]"
195,"[-1.62721557, 2.46018784]"
196,"[-1.68073563, 2.47477676]"
197,"[-1.8137567, 2.41215556]"
198,"[-1.86868036, 2.46977485]"
199,"[-1.74878687, 2.40389098]"
200,"[-1.70594646, 2.45578594]"
201,"[-1.58179766, 2.35062714]"
202,"[-1.68866013, 2.44353433]"
203,"[-1.66447945, 2.41050138]"
204,"[-1.79700282, 2.40463947]"
205,"[-1.69097958, 2.56973907]"
206,"[-1.73329952, 2.46180371]"
207,"[-1.59387403, 2.33552523]"
208,"[-1.65412858, 2.37979459]"
209,"[-1.63210877, 2.37267188]"
210,"[-1.69906282, 2.47761481]"
211,"[-1.78254399, 2.56650712]"
212,"[-1.75882722, 2.42119559]"
213,"[-1.89224446, 2.44024493]"
214,"[-1.68663783, 2.53096115]"
215,"[-1.58308792, 2.45331793]"
216,"[-1.73154682, 2.49678297]"
217,"[-1.57224778, 2.45164936]"
218,"[-1.75440779, 2.52911572]"
219,"[-1.73894582, 2.54156568]"
220,"[-1.83683269, 2.50322179]"
221,"[-1.86986341, 2.43399198]"
222,"[-1.43762174, 2.50900727]"
223,"[-1.79806532, 2.42269081]"
224,"[-1.76877873, 2.60477237]"
225,"[-1.78630305, 2.38917012]"
226,"[-1.76133156, 2.44288318]"
227,"[-1.51563121, 2.24576944]"
228,"[-1.78058822, 2.44775152]"
229,"[-1.70059187, 2.42863274]"
230,"[-1.79819079, 2.43889686]"
231,"[-1.73896839, 2.42023949]"
232,"[-1.74941371, 2.51017458]"
233,"[-1.63506914, 2.49434974]"
234,"[-1.53098744, 2.42710264]"
235,"[-1.53044349, 2.34659213]"
236,"[-1.64730513, 2.40725256]"
237,"[-1.73679123, 2.38219365]"
238,"[-1.80471097, 2.47074668]"
239,"[-1.83167407, 2.47048741]"
240,"[-1.84747781, 2.43366856]"
241,"[-1.70864714, 2.40504947]"
242,"[-1.70390623, 2.51953742]"
243,"[-1.86062163, 2.5391172]"
244,"[-1.70385456, 2.54649324]"
245,"[-1.88276166, 2.53702792]"
246,"[-1.63893703, 2.55058534]"
247,"[-1.54141098, 2.4120968]"
248,"[-1.44384824, 2.37581281]"
249,"[-1.71206888, 2.44255612]"
250,"[-1.7782069, 2.48359176]"
251,"[-1.72214059, 2.55809058]"
252,"[-1.58105397, 2.43658571]"
253,"[-1.79902666, 2.55979022]"
254,"[-1.74737326, 2.45503697]"
255,"[-1.53333118, 2.44205054]"
256,"[-1.88264126, 2.48156008]"
257,"[-1.874112, 2.55631423]"
258,"[-1.86969436, 2.52092844]"
259,"[-1.66320764, 2.51223566]"
260,"[-1.79760506, 2.5418493]"
261,"[-1.84992673, 2.52263288]"
262,"[-1.57517863, 2.52493967]"
263,"[-1.83163267, 2.52019207]"
264,"[-1.7887679, 2.58802473]"
265,"[-1.64711433, 2.46391996]"
266,"[-1.71677552, 2.46922029]"
267,"[-1.88342105, 2.41814044]"
268,"[-1.78994993, 2.60770956]"
269,"[-1.89000398, 2.5173433]"
270,"[-1.83447871, 2.60448883]"
271,"[-1.6856187, 2.5521259]"
272,"[-1.80438854, 2.57905464]"
273,"[-1.76174534, 2.46099514]"
274,"[-1.33572987, 2.22948142]"
275,"[-1.46834953, 2.30250377]"
276,"[-1.81190253, 2.45118794]"
277,"[-1.82356999, 2.4883457]"
278,"[-1.81616806, 2.54970934]"
279,"[-1.55000968, 2.42876915]"
280,"[-1.80425307, 2.38911713]"
281,"[-1.77989149, 2.43011444]"
282,"[-1.83398646, 2.55508404]"
283,"[-1.81522851, 2.43149152]"
284,"[-1.66755752, 2.3681434]"
285,"[-1.71742791, 2.50896109]"
286,"[-1.83941994, 2.53788699]"
287,"[-1.52514709, 2.38224404]"
288,"[-1.5518631, 2.49955764]"
289,"[-1.77481145, 2.62681165]"
290,"[-1.57748161, 2.47270759]"
291,"[-1.67084135, 2.53026703]"
292,"[-1.73647743, 2.52187354]"
293,"[-1.80405424, 2.52151076]"
294,"[-1.51007134, 2.42270971]"
295,"[-1.52385987, 2.33344557]"
296,"[-1.76864013, 2.37775277]"
297,"[-1.76996878, 2.39842601]"
298,"[-1.85004044, 2.46719553]"
299,"[-1.63158034, 2.47704609]"
300,"[-1.81964441, 2.53215055]"
301,"[-1.6735208, 2.56818117]"
302,"[-1.84965941, 2.59096441]"
303,"[-1.71605934, 2.38451374]"
304,"[-1.58353458, 2.39729785]"
305,"[-1.89597809, 2.46630547]"
306,"[-1.85512055, 2.5052973]"
307,"[-1.87533267, 2.50256111]"
308,"[-1.50929071, 2.54500573]"
309,"[-1.68731029, 2.5116877]"
310,"[-1.67995669, 2.58422455]"
311,"[-1.8202161, 2.56809599]"
312,"[-1.83966536, 2.5732815]"
313,"[-1.72995995, 2.5977314]"
314,"[-1.39696192, 2.40156584]"
315,"[-1.79587438, 2.48605063]"
316,"[-1.81556958, 2.50705627]"
317,"[-1.87935392, 2.45419174]"
318,"[-1.85820122, 2.4497268]"
319,"[-1.4566042, 2.31771801]"
320,"[-1.817107, 2.61671761]"
321,"[-1.79551626, 2.45687177]"
322,"[-1.71785924, 2.57758621]"
323,"[-1.80767536, 2.59871478]"
324,"[-1.70656944, 2.56393258]"
325,"[-1.85327599, 2.55596124]"
326,"[-1.78034601, 2.41233223]"
327,"[-1.86287223, 2.57373473]"
328,"[-1.76972768, 2.58427501]"
329,"[-1.69791063, 2.49530349]"
330,"[-1.82457299, 2.58693071]"
331,"[-1.86302983, 2.41483413]"
332,"[-1.55067212, 2.40169294]"
333,"[-1.84126981, 2.41611935]"
334,"[-1.7859948, 2.50138408]"
335,"[-1.70031272, 2.58549677]"
336,"[-1.78264788, 2.46758576]"
337,"[-1.48112544, 2.31992126]"
338,"[-1.37833907, 2.4169903]"
339,"[-1.79814315, 2.62658827]"
340,"[-1.76468294, 2.49619092]"
341,"[-1.8963532, 2.49545811]"
342,"[-1.61311111, 2.47709753]"
343,"[-1.55555717, 2.34970092]"
344,"[-1.86266041, 2.4872118]"
345,"[-1.56548218, 2.48538307]"
346,"[-1.84421496, 2.48554763]"
347,"[-1.16769226, 2.14390407]"
348,"[-1.00601927, 1.99214808]"
349,"[-1.03246661, 2.02969834]"
350,"[-1.22363935, 2.05627698]"
351,"[-1.34850189, 2.17091854]"
352,"[-1.02129946, 2.05148812]"
353,"[-1.00537104, 2.07156638]"
354,"[-1.04682873, 2.00866155]"
355,"[-1.32168676, 2.23663671]"
356,"[-1.2822961, 2.1674652]"
357,"[-1.43744877, 2.28051012]"
358,"[-1.59334919, 2.27582674]"
359,"[-1.5765916, 2.22321223]"
360,"[-1.56322038, 2.19761863]"
361,"[-1.57579646, 2.27864208]"
362,"[-1.56214506, 2.38465973]"
363,"[-1.40112895, 2.28837201]"
