# source, target
0,1
0,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
2,252
2,258
2,1295
2,1296
2,1297
2,1298
2,925
2,1299
2,1300
2,739
3,1542
5,1356
7,337
7,749
8,265
8,295
8,1439
9,1157
11,53
11,305
11,705
11,706
13,789
13,994
13,1592
14,15
14,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
16,72
16,285
16,124
16,358
16,944
16,565
16,945
16,946
16,126
16,169
16,947
16,948
16,445
16,949
16,132
16,282
16,950
16,951
16,678
16,952
17,124
17,1004
17,363
18,228
18,612
18,843
19,124
19,440
20,251
20,516
22,1157
23,137
23,263
23,705
23,956
23,205
23,377
23,1318
25,26
25,27
25,28
25,29
25,30
25,31
25,32
25,33
25,34
25,35
25,36
28,874
28,769
28,378
29,573
30,836
30,280
30,1153
30,1154
30,1155
30,1156
31,170
31,135
31,230
32,413
32,337
32,896
32,309
32,897
32,898
33,129
33,124
33,265
33,50
33,128
33,1015
33,126
33,974
33,390
33,580
33,1016
33,1017
35,137
35,252
35,263
35,358
35,357
35,258
36,395
36,471
36,463
36,1410
36,1411
36,82
36,991
36,1412
36,1413
36,1414
36,1415
36,1416
36,1417
36,1371
36,1418
37,38
37,39
37,40
37,41
37,42
37,43
37,44
37,45
37,46
37,47
37,48
37,49
37,50
37,51
38,52
38,53
38,54
38,55
38,50
38,56
38,38
39,57
39,60
39,61
39,62
39,63
39,64
39,65
39,66
39,67
39,68
39,69
39,70
39,71
40,129
40,228
40,135
40,132
40,230
42,264
42,186
42,120
42,381
42,172
42,1181
42,144
42,348
42,1053
42,444
42,169
42,1039
42,661
42,218
42,76
42,500
42,1182
42,1183
42,1184
43,323
44,374
44,545
44,186
44,341
44,80
44,105
44,102
44,110
44,111
44,486
44,696
44,578
44,706
44,199
44,103
44,1105
44,501
44,550
44,579
44,808
44,885
44,320
44,1106
44,662
44,600
44,113
44,392
44,156
44,438
44,1107
44,801
44,513
44,169
44,107
44,487
44,197
44,1039
44,174
44,983
44,1108
45,773
46,137
46,129
46,170
46,263
46,526
46,92
46,597
46,598
46,455
46,599
46,600
46,80
46,493
46,155
46,368
46,110
46,601
46,602
46,603
46,604
46,605
46,197
46,122
46,537
46,606
46,607
46,404
46,193
46,82
46,46
46,608
46,96
47,80
49,79
49,341
49,196
49,339
49,172
49,117
49,145
49,169
49,328
49,75
49,487
49,77
49,319
49,343
49,93
50,73
50,503
50,121
50,446
50,98
50,782
50,110
50,498
50,85
50,80
50,86
50,315
50,501
50,67
50,332
50,352
50,95
50,96
50,101
50,579
50,502
50,94
50,783
50,784
50,92
50,93
50,341
50,113
50,404
50,117
50,103
50,438
50,348
50,104
50,785
50,241
50,709
50,65
50,388
50,786
50,711
50,111
50,115
50,491
50,82
50,74
50,88
50,76
51,466
51,697
51,52
51,745
51,746
52,844
52,223
52,874
52,875
52,876
52,645
52,877
52,878
52,378
52,779
52,879
53,221
53,231
53,232
53,233
53,234
53,235
53,236
53,172
53,76
53,237
53,238
53,239
53,192
53,240
53,86
53,80
53,120
53,241
53,93
53,242
53,243
53,244
53,245
54,128
54,132
55,417
55,836
55,947
55,1176
55,1177
55,1178
56,138
56,264
56,481
56,346
56,113
56,321
56,117
56,156
56,482
56,140
56,348
56,416
56,199
56,164
56,483
56,484
56,194
56,485
56,350
56,160
56,388
56,486
56,172
56,352
56,487
56,488
56,489
56,120
56,347
56,490
56,491
56,492
56,493
56,494
56,495
56,349
56,496
56,83
56,334
56,497
56,498
56,85
56,76
56,499
56,500
56,86
56,501
56,315
56,87
56,190
56,351
56,502
56,503
56,504
56,505
56,506
56,143
56,507
56,508
56,509
56,224
56,93
56,88
56,510
57,58
57,59
62,614
63,228
63,513
63,87
63,1185
63,1468
63,542
63,938
64,128
64,1449
65,72
65,129
65,372
65,974
65,1526
67,72
67,129
67,80
67,974
67,914
67,1110
68,1032
68,1022
68,597
68,480
68,1503
68,1504
68,1505
71,1602
72,73
72,74
72,75
72,76
72,77
72,78
72,79
72,80
72,81
72,82
72,83
72,84
72,85
72,86
72,87
72,88
72,89
72,90
72,91
72,92
72,93
72,94
72,95
72,96
72,97
72,98
72,99
72,100
72,101
72,102
72,103
72,104
72,105
72,106
72,107
72,108
72,109
72,110
72,111
72,112
72,113
72,114
72,115
72,116
72,117
72,118
72,119
72,120
72,121
72,122
73,123
73,124
73,125
73,126
73,127
73,128
73,129
73,130
73,131
73,132
73,133
73,134
73,135
73,136
74,263
74,79
74,383
74,74
74,914
75,129
75,358
76,129
76,124
76,133
76,128
76,228
76,611
76,135
76,358
76,132
76,974
76,134
76,127
76,130
76,914
76,126
76,131
76,1129
76,1100
76,951
76,369
77,789
77,1100
77,1321
77,152
78,263
78,358
79,137
79,129
79,400
79,268
79,127
79,905
79,906
79,130
79,134
79,907
80,137
80,129
80,400
80,170
80,229
80,263
80,124
80,133
80,128
80,845
80,135
80,676
80,134
80,908
80,907
80,909
80,910
80,911
80,86
80,380
80,358
80,912
80,127
80,144
80,126
80,381
80,143
80,131
80,913
80,136
80,914
80,915
80,132
82,263
82,911
83,229
83,1247
83,83
83,1424
83,1283
85,129
85,133
85,128
86,129
86,124
86,133
86,136
86,914
87,129
87,229
87,263
87,124
87,133
87,789
87,135
87,358
87,134
87,130
87,131
87,143
87,1390
88,124
89,263
90,358
90,127
90,1100
91,199
91,91
92,263
92,124
92,993
92,914
93,129
93,124
93,133
93,128
93,611
93,135
93,358
93,132
93,974
93,134
93,127
93,130
93,914
93,126
93,131
93,1100
93,1129
93,724
93,951
94,263
94,133
94,135
94,126
95,494
95,228
95,507
95,914
96,263
96,124
96,914
96,1157
97,124
97,611
97,135
97,358
97,132
97,126
97,131
97,951
97,383
98,723
98,358
98,724
100,219
100,697
100,362
100,381
100,100
100,1238
100,1175
101,129
101,124
101,133
101,226
102,358
102,177
102,381
103,229
103,124
103,128
103,135
103,132
103,381
103,131
103,1482
104,129
104,124
105,129
105,380
105,381
105,127
106,129
106,263
106,133
106,128
106,228
106,136
106,127
106,951
106,911
107,1566
108,917
108,918
108,919
109,1605
110,137
110,977
110,978
110,131
110,377
110,979
110,381
110,835
110,980
111,229
111,989
111,416
111,990
111,991
111,381
111,992
112,204
113,129
113,229
113,263
113,124
113,128
113,228
113,135
113,136
113,132
113,381
113,131
113,377
114,1113
114,772
115,132
115,914
115,187
115,131
116,170
116,464
116,133
116,208
117,137
117,129
117,133
117,128
117,135
117,132
117,974
117,127
117,130
117,914
117,126
117,131
117,1100
118,137
118,263
118,135
118,358
118,126
118,223
119,367
119,942
120,137
120,129
120,124
120,133
120,128
120,228
120,135
120,358
120,132
120,974
120,134
120,127
120,130
120,1100
120,131
120,381
120,377
120,125
120,126
120,558
121,129
121,124
122,915
122,1055
122,1056
122,843
122,1057
122,1058
122,1059
122,1060
122,1061
123,313
123,773
124,313
124,356
124,481
124,503
124,372
124,164
124,174
124,539
124,496
124,513
