# index, _pos
0,"array([ 8.8792675 , 19.65000703])"
1,"array([ 8.96810069, 19.76218458])"
2,"array([ 9.52952468, 20.07590602])"
3,"array([ 9.36863926, 20.17661997])"
4,"array([ 9.00938129, 19.68701769])"
5,"array([ 8.75816833, 19.70848983])"
6,"array([ 9.50185197, 19.46863512])"
7,"array([ 9.3076315 , 19.66836621])"
8,"array([ 9.31506   , 18.79377232])"
9,"array([ 9.38953123, 19.1890496 ])"
10,"array([ 9.5537832 , 19.66908071])"
11,"array([ 9.58819055, 19.89088963])"
12,"array([ 9.81440539, 19.8503852 ])"
13,"array([ 9.86803976, 19.91113664])"
14,"array([10.02029678, 19.59378743])"
15,"array([10.20971616, 19.46419273])"
16,"array([ 9.30784444, 19.90045299])"
17,"array([ 9.38224959, 19.96632428])"
18,"array([ 9.81935512, 20.26006455])"
19,"array([ 9.62004737, 20.10809324])"
20,"array([ 8.99647685, 20.24044052])"
21,"array([ 9.21666128, 19.65322765])"
22,"array([10.0426023, 19.8421077])"
23,"array([10.31091683, 19.87089186])"
24,"array([ 9.60464507, 19.39888205])"
25,"array([ 9.89406476, 19.66197585])"
26,"array([10.22246366, 19.79401962])"
27,"array([ 9.36258182, 20.45594817])"
28,"array([ 9.63841097, 20.57546601])"
29,"array([ 9.51483748, 19.86065637])"
30,"array([ 9.49324473, 19.82685938])"
31,"array([ 9.36163332, 19.99252339])"
32,"array([ 9.38948682, 19.80453788])"
33,"array([ 9.55962943, 19.33621026])"
34,"array([ 9.53120843, 19.57510045])"
35,"array([ 9.19112283, 19.98235292])"
36,"array([ 8.99970122, 20.14572015])"
37,"array([ 9.29979995, 19.34197987])"
38,"array([ 9.49577497, 19.52406747])"
39,"array([ 9.74624923, 19.72138469])"
40,"array([ 9.58646126, 19.66015794])"
41,"array([10.30939795, 18.8086328 ])"
42,"array([10.164535  , 19.02409812])"
43,"array([ 8.64621149, 19.57251407])"
44,"array([ 9.52939592, 19.92295367])"
45,"array([10.43862101, 20.03109323])"
46,"array([10.21156801, 19.99370172])"
47,"array([ 8.89469322, 20.13262196])"
48,"array([ 8.63422492, 20.16936427])"
49,"array([ 9.61217947, 20.03026567])"
50,"array([ 9.66622975, 20.24034375])"
51,"array([ 8.98873575, 18.91016817])"
52,"array([ 9.09849927, 19.32946975])"
53,"array([ 9.54928888, 19.94257871])"
54,"array([ 9.68912826, 20.09259226])"
55,"array([ 9.51137441, 19.94686643])"
56,"array([ 9.70623067, 20.05840909])"
57,"array([ 9.47793783, 19.05266453])"
58,"array([ 9.43701355, 19.29228312])"
59,"array([ 9.47073509, 19.87966828])"
60,"array([ 9.80247541, 19.66023694])"
61,"array([ 9.65286146, 20.08173617])"
62,"array([ 9.52922481, 19.82994037])"
63,"array([10.78333558, 18.59929124])"
64,"array([10.88836447, 18.42651736])"
65,"array([ 9.45765901, 20.01165782])"
66,"array([ 9.437165  , 19.94252717])"
67,"array([ 9.22196151, 20.36126294])"
68,"array([ 9.03988666, 20.68199481])"
69,"array([ 9.55408937, 19.54411005])"
70,"array([ 9.72384477, 19.54112057])"
71,"array([ 9.93544016, 19.44581896])"
72,"array([ 9.6261472 , 18.96152622])"
73,"array([ 9.50693088, 18.78130865])"
74,"array([ 8.50980155, 19.75884854])"
75,"array([ 8.87052581, 19.86681551])"
76,"array([ 9.71975278, 19.2807499 ])"
77,"array([ 9.67568969, 18.98111346])"
78,"array([ 9.60501472, 19.79177206])"
