# index, _pos
0,"[8.8792675, 19.65000703]"
1,"[8.96810069, 19.76218458]"
2,"[9.1033478, 19.61847654]"
3,"[8.68849784, 19.91222666]"
4,"[8.72698217, 19.75009513]"
5,"[9.01737566, 19.43454216]"
6,"[8.71685172, 19.69960161]"
7,"[9.15019917, 19.6197652]"
8,"[9.15392012, 20.01070618]"
9,"[8.89820812, 20.01836698]"
10,"[8.7197225, 19.79092091]"
11,"[9.33011273, 19.99175741]"
12,"[8.58597039, 19.70823337]"
13,"[9.34184624, 19.52667659]"
14,"[9.52952468, 20.07590602]"
15,"[9.36863926, 20.17661997]"
16,"[9.66109236, 19.79395406]"
17,"[9.38958743, 19.93691829]"
18,"[9.36533777, 19.91909726]"
19,"[9.24845887, 20.01424346]"
20,"[9.45356328, 20.38101139]"
21,"[9.24537969, 20.40849874]"
22,"[9.14660131, 20.36811062]"
23,"[9.67024497, 19.91343819]"
24,"[9.26041318, 20.44688096]"
25,"[9.00938129, 19.68701769]"
26,"[8.75816833, 19.70848983]"
27,"[8.64621149, 19.57251407]"
28,"[9.09068515, 19.45021631]"
29,"[8.81531507, 19.74517809]"
30,"[9.01320276, 19.33729714]"
31,"[9.26528713, 19.92556613]"
32,"[8.82040233, 19.9909856]"
33,"[9.26674681, 19.97863965]"
34,"[8.75199646, 19.63903121]"
35,"[9.36850832, 19.81454292]"
36,"[9.1328769, 19.30518303]"
37,"[9.50185197, 19.46863512]"
38,"[9.3076315, 19.66836621]"
39,"[9.38953123, 19.1890496]"
40,"[9.39523438, 19.85788368]"
41,"[9.54178778, 19.20168867]"
42,"[9.68029587, 19.70451632]"
43,"[9.37637041, 19.33670746]"
44,"[9.52479575, 19.68254436]"
45,"[9.84698206, 19.45001278]"
46,"[9.55408937, 19.54411005]"
47,"[9.59810035, 19.43560074]"
48,"[9.50450527, 19.19697059]"
49,"[9.57981789, 19.68581621]"
50,"[9.5102922, 19.78015765]"
51,"[9.29673641, 19.13562989]"
52,"[9.24560305, 19.35824873]"
53,"[9.38224959, 19.96632428]"
54,"[9.36038373, 19.68934817]"
55,"[8.97773699, 19.57588281]"
56,"[9.54928888, 19.94257871]"
57,"[9.31506, 18.79377232]"
58,"[9.29112313, 18.58665002]"
59,"[9.23465591, 18.6018032]"
60,"[9.27762565, 18.85636489]"
61,"[9.31461866, 18.93966108]"
62,"[9.41645674, 18.8957521]"
63,"[9.44397607, 19.63179344]"
64,"[9.2698666, 19.40587296]"
65,"[9.34615282, 19.61691652]"
66,"[9.41560899, 18.82243676]"
67,"[9.38920165, 19.63445523]"
68,"[9.73953533, 19.23540802]"
69,"[9.3531678, 18.91725683]"
70,"[9.36989469, 18.8284558]"
71,"[9.27396342, 18.8967011]"
72,"[9.5537832, 19.66908071]"
73,"[9.58819055, 19.89088963]"
74,"[9.60288023, 19.81472999]"
75,"[9.64297588, 19.7058497]"
76,"[9.44387904, 19.82845675]"
77,"[9.84312032, 19.67183022]"
78,"[9.61107193, 19.64527929]"
79,"[9.65308827, 19.86651431]"
80,"[9.56782184, 19.70281043]"
81,"[9.43847189, 19.40477264]"
82,"[9.39713341, 19.55454936]"
83,"[9.34864422, 20.02714847]"
84,"[9.52025216, 19.41826498]"
85,"[9.55272744, 19.79044855]"
86,"[9.44458894, 19.85643703]"
87,"[9.57316094, 19.7392115]"
88,"[9.46123433, 19.81472802]"
89,"[9.55603958, 19.91417849]"
90,"[9.66211821, 19.72170366]"
91,"[9.38122245, 19.66588115]"
92,"[9.32419461, 19.73660405]"
93,"[9.49601786, 19.79277992]"
94,"[9.5253328, 19.89619213]"
95,"[9.57097198, 19.95628896]"
96,"[9.34709279, 19.88672511]"
97,"[9.47877998, 19.745985]"
98,"[9.79011873, 19.72483621]"
99,"[9.41891649, 19.49082985]"
100,"[9.61055335, 19.46549912]"
101,"[9.40363391, 19.88341679]"
102,"[9.61379995, 19.60271381]"
103,"[9.41136479, 19.80196832]"
104,"[9.40084555, 19.73772947]"
105,"[9.49770987, 19.67133031]"
106,"[9.47692462, 19.77111865]"
107,"[9.72050077, 19.47392633]"
108,"[9.89510315, 19.30230283]"
109,"[9.93109048, 19.35001558]"
110,"[9.65629489, 19.55905773]"
111,"[9.49730542, 19.58345454]"
112,"[9.93693134, 19.54576981]"
113,"[9.47738239, 19.83291079]"
114,"[9.35077454, 19.29940002]"
115,"[9.59286811, 19.83717516]"
116,"[9.72968711, 19.85915814]"
117,"[9.56398912, 19.8504044]"
118,"[9.61217965, 19.86628103]"
119,"[9.22289299, 19.58615524]"
120,"[9.53697463, 19.87265578]"
121,"[9.60501472, 19.79177206]"
122,"[9.55460992, 19.24139184]"
123,"[9.83244879, 19.81747753]"
124,"[9.437165, 19.94252717]"
125,"[9.77189577, 20.13003739]"
126,"[9.58618224, 19.86474142]"
127,"[9.53769979, 19.75748865]"
128,"[9.42675392, 19.7753551]"
129,"[9.49324473, 19.82685938]"
130,"[9.4922882, 19.94022237]"
131,"[9.46687647, 19.85375297]"
132,"[9.49020482, 19.86506298]"
133,"[9.50528052, 19.80909478]"
