# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
1,3
1,5
1,6
1,24
1,10
1,11
1,12
1,13
1,14
1,25
1,26
1,27
1,18
1,19
1,28
1,29
1,20
1,22
1,23
1,30
2,3
2,4
2,31
2,5
2,32
2,6
2,7
2,8
2,33
2,9
2,34
2,12
2,13
2,15
2,16
2,35
2,36
2,17
2,19
2,28
2,20
2,22
2,23
2,30
2,37
2,183
2,184
2,155
3,38
3,39
3,5
3,40
3,6
3,41
3,42
3,43
3,44
3,45
3,46
3,7
3,8
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,35
3,47
3,36
3,17
3,48
3,25
3,49
3,50
3,18
3,19
3,51
3,20
3,52
3,22
3,53
3,23
3,54
3,55
3,171
3,179
4,5
4,56
4,9
4,16
4,47
4,50
4,28
4,21
4,37
4,57
5,56
5,6
5,9
5,10
5,11
5,12
5,13
5,14
5,16
5,47
5,50
5,18
5,19
5,20
5,21
5,22
5,23
5,57
6,58
6,41
6,42
6,43
6,44
6,45
6,46
6,59
6,60
6,61
6,8
6,33
6,9
6,62
6,63
6,24
6,34
6,64
6,65
6,10
6,11
6,12
6,13
6,14
6,35
6,47
6,36
6,17
6,48
6,25
6,66
6,67
6,68
6,26
6,27
6,49
6,50
6,69
6,70
6,71
6,72
6,18
6,19
6,51
6,28
6,73
6,29
6,74
6,75
6,76
6,20
6,77
6,78
6,79
6,52
6,22
6,23
6,30
6,54
6,57
6,55
6,80
6,81
6,82
6,83
6,84
6,85
6,86
6,94
6,95
6,132
6,138
6,101
6,166
6,167
6,169
6,157
6,99
6,100
6,170
6,171
6,181
6,182
6,156
6,56
6,155
6,179
6,38
6,39
6,40
6,173
7,8
7,87
7,15
7,16
7,17
7,67
7,68
7,75
7,20
7,78
7,79
7,22
7,23
7,166
7,167
7,158
7,61
8,33
8,34
8,10
8,12
8,13
8,15
8,16
8,17
8,28
8,88
8,20
8,77
8,22
8,23
8,30
8,54
8,37
8,89
8,184
8,155
8,31
9,62
9,11
9,12
9,13
9,14
9,16
9,35
9,47
9,17
9,50
9,18
9,19
9,28
9,75
9,77
9,79
9,53
9,30
9,90
9,37
9,57
9,83
9,84
9,85
9,86
9,138
9,166
9,169
9,99
9,100
9,102
9,183
9,184
9,32
9,56
9,186
9,31
10,11
10,12
10,13
10,14
10,17
10,25
10,66
10,49
10,69
10,70
10,18
10,19
10,51
10,28
10,73
10,29
10,74
10,20
10,77
10,22
10,23
10,30
10,54
10,80
10,81
10,82
10,166
10,59
10,60
10,64
10,65
10,24
10,33
10,34
11,12
11,13
11,14
11,35
11,47
11,36
11,17
11,48
11,25
11,49
11,50
11,18
11,19
11,51
11,28
11,20
11,79
11,22
11,53
11,23
11,30
11,90
11,54
11,37
11,83
11,86
11,62
11,171
11,41
11,186
11,31
11,179
11,38
11,39
11,40
11,42
11,43
11,44
11,45
12,13
12,14
12,35
12,47
12,36
12,17
12,48
12,25
12,26
12,27
12,49
12,50
12,18
12,19
12,51
12,28
12,91
12,20
12,79
12,52
12,22
12,53
12,23
12,30
12,90
12,54
12,37
12,55
12,83
12,86
12,139
12,59
12,60
12,62
12,171
12,41
12,63
12,186
12,31
12,179
12,38
12,39
12,40
12,42
12,43
12,44
12,45
12,46
12,187
12,188
13,14
13,35
13,47
13,36
13,17
13,48
13,25
13,49
13,50
13,18
13,19
13,51
13,28
13,20
13,79
13,22
13,53
13,23
13,30
13,90
13,54
13,37
13,83
13,86
13,62
13,171
13,41
13,186
13,31
13,179
13,38
13,39
13,40
13,42
13,43
13,44
13,45
13,187
14,35
14,47
14,36
14,17
14,48
14,25
14,49
14,50
14,18
14,19
14,51
14,28
14,20
14,79
14,52
14,22
14,53
14,23
14,30
14,90
14,54
14,37
14,55
14,83
14,86
14,62
14,171
14,41
14,186
14,31
14,179
14,38
14,39
14,40
14,42
14,43
14,44
14,45
14,46
15,16
15,17
15,67
15,68
15,75
15,20
15,78
15,79
15,22
15,23
15,90
15,166
15,167
15,102
15,158
15,61
15,62
15,87
16,35
16,36
16,17
16,20
16,21
16,22
16,23
16,183
16,184
16,32
16,34
17,48
17,25
17,66
17,49
17,50
17,69
17,18
17,19
17,51
17,28
17,74
17,20
17,79
17,22
17,53
17,23
17,30
17,90
17,54
17,37
17,80
17,81
17,82
17,83
17,86
17,166
17,59
17,60
17,62
17,64
17,65
17,171
17,35
17,36
17,41
17,186
17,31
17,47
17,179
17,38
17,39
17,40
17,42
17,43
17,44
17,45
18,19
18,51
18,28
18,92
18,20
18,77
18,79
18,22
18,53
18,23
18,30
18,90
18,54
18,37
18,57
18,83
18,85
18,86
18,138
18,100
18,62
18,68
18,49
18,25
18,171
18,182
18,35
18,36
18,41
18,56
18,63
18,186
18,31
18,47
18,50
18,179
18,38
18,39
18,40
18,42
18,43
18,44
18,45
18,48
19,51
19,28
19,73
19,29
19,74
19,20
19,77
19,79
19,52
19,22
19,53
19,23
19,30
19,90
19,54
19,37
19,57
19,55
19,80
19,81
19,82
19,83
19,85
19,86
19,138
19,166
19,100
19,59
19,60
19,62
19,64
19,65
19,66
19,68
19,49
19,69
19,24
19,25
19,26
19,27
19,171
19,182
19,35
19,36
19,41
19,56
19,63
19,186
19,31
19,47
19,50
19,179
19,38
19,39
19,40
19,42
19,43
19,44
19,45
19,48
19,46
20,52
20,22
20,53
20,23
20,54
20,55
20,49
20,25
20,171
20,51
20,35
20,36
20,41
20,47
20,50
20,179
20,38
20,39
20,40
20,42
20,43
20,44
20,45
20,48
20,46
21,84
21,102
21,62
21,51
21,175
21,174
22,53
22,23
22,54
22,55
22,80
22,81
22,82
22,83
22,84
22,95
22,107
22,28
22,166
22,59
22,60
22,158
22,62
22,64
22,65
22,66
22,49
22,69
22,74
22,77
22,25
22,26
22,27
22,29
22,178
22,170
22,171
22,33
22,176
22,177
22,51
22,88
22,34
22,35
22,36
22,41
22,56
22,155
22,47
22,50
22,179
22,38
22,39
22,40
22,42
22,43
22,44
22,45
22,48
22,46
22,52
23,30
23,55
23,80
23,81
23,82
23,28
23,166
23,59
23,60
23,64
23,65
23,66
23,49
23,69
23,70
23,73
23,74
23,77
23,24
23,25
23,29
23,51
23,39
23,46
23,52
24,101
24,62
24,26
24,27
24,70
24,29
24,77
24,30
24,85
24,28
24,73
24,103
25,139
25,59
25,60
25,50
25,51
25,92
25,91
25,53
25,30
25,54
25,37
25,49
25,28
25,171
25,35
25,36
25,41
25,56
25,63
25,47
25,179
25,38
25,39
25,40
25,42
25,43
25,44
25,45
25,48
26,142
26,157
26,59
26,60
26,158
26,62
26,64
26,65
26,66
26,27
26,49
26,88
26,29
26,91
26,107
26,53
26,30
26,162
26,104
26,57
26,80
26,81
26,82
26,83
26,69
26,71
26,28
26,74
26,178
26,176
26,177
26,31
26,187
26,188
26,174
27,101
27,157
27,59
