# index, _pos
0,"[5.4954927, -7.38559978]"
1,"[5.54046101, -7.1719437]"
2,"[5.51767189, -7.34637979]"
3,"[5.57162333, -7.32375881]"
4,"[5.49922528, -7.43471466]"
5,"[5.54478008, -7.37280555]"
6,"[5.43015283, -7.23133417]"
7,"[5.38673032, -7.42510269]"
8,"[5.51135646, -7.30743342]"
9,"[5.42888266, -7.30418691]"
10,"[5.44376295, -7.26806904]"
11,"[5.53531095, -7.24203766]"
12,"[5.51410222, -7.19249224]"
13,"[5.50802858, -7.24529736]"
14,"[5.53819788, -7.2148115]"
15,"[5.38310679, -7.38680198]"
16,"[5.55986954, -7.4361101]"
17,"[5.4883194, -7.27362909]"
18,"[5.47529131, -7.19181667]"
19,"[5.46163184, -7.22011667]"
20,"[5.58778059, -7.29784611]"
21,"[5.45563915, -7.4684054]"
22,"[5.49238105, -7.21899503]"
23,"[5.46524204, -7.29730012]"
24,"[5.38342441, -7.08121632]"
25,"[5.52200809, -7.14381027]"
26,"[5.40253571, -7.1642995]"
27,"[5.4083496, -7.13489202]"
28,"[5.36478881, -7.11450266]"
29,"[5.32094361, -7.15328824]"
30,"[5.37052277, -7.14167772]"
31,"[5.46647972, -7.14375769]"
32,"[5.6960379, -7.43390372]"
33,"[5.55380186, -7.07672917]"
34,"[5.67359953, -7.29099839]"
35,"[5.53519099, -7.27144892]"
36,"[5.62984479, -7.29219102]"
37,"[5.46174292, -7.33069001]"
38,"[5.6336133, -7.233234]"
39,"[5.63966132, -7.20609986]"
40,"[5.6530377, -7.17886499]"
41,"[5.63206158, -7.14826194]"
42,"[5.65827429, -7.2515809]"
43,"[5.61166416, -7.25560796]"
44,"[5.60463734, -7.17919934]"
45,"[5.59903828, -7.21342557]"
46,"[5.6002054, -7.37598615]"
47,"[5.56978513, -7.26612576]"
48,"[5.55120474, -7.30016941]"
49,"[5.49384838, -7.16419518]"
50,"[5.57207767, -7.23363366]"
51,"[5.56679418, -7.19634616]"
52,"[5.69793958, -7.26500762]"
53,"[5.4038036, -7.24861728]"
54,"[5.58956415, -7.15125654]"
55,"[5.66828666, -7.32726848]"
56,"[5.47300749, -7.24730612]"
57,"[5.41254923, -7.21541764]"
58,"[5.27175384, -7.24560371]"
59,"[5.32367688, -7.21870531]"
60,"[5.30237002, -7.19791268]"
61,"[5.26124688, -7.43807975]"
62,"[5.37280184, -7.22727203]"
63,"[5.33625311, -7.03525467]"
64,"[5.3914193, -7.29535205]"
65,"[5.37240426, -7.34802298]"
66,"[5.42994388, -7.17232511]"
67,"[5.23522372, -7.32491789]"
68,"[5.28765303, -7.27085518]"
69,"[5.36461311, -7.26266637]"
70,"[5.27077831, -7.30244751]"
71,"[5.21609367, -7.19310981]"
72,"[5.21259492, -7.27988805]"
73,"[5.30133344, -7.33083821]"
74,"[5.34008924, -7.33447657]"
75,"[5.23554268, -7.24368944]"
76,"[5.22713888, -7.36925565]"
77,"[5.35087649, -7.21146257]"
78,"[5.24571385, -7.27744829]"
79,"[5.33912435, -7.25101238]"
80,"[5.40163502, -7.33300194]"
81,"[5.28201953, -7.2179184]"
82,"[5.36443882, -7.3088909]"
83,"[5.33265843, -7.1855133]"
84,"[5.30964536, -7.24669423]"
85,"[5.29099651, -7.16636836]"
86,"[5.35752815, -7.16894391]"
87,"[5.19958675, -7.31471126]"
88,"[5.49926328, -7.06896827]"
89,"[5.6948984, -7.15504711]"
90,"[5.33949178, -7.12679333]"
91,"[5.41698693, -7.03302449]"
92,"[5.64458311, -7.07298365]"
93,"[5.01053625, -7.3240773]"
94,"[5.16511296, -7.26384287]"
95,"[5.24794312, -7.20762307]"
96,"[5.24349881, -7.03116027]"
97,"[5.11328967, -7.25118708]"
98,"[5.12627925, -7.19659092]"
99,"[5.18759105, -7.1975578]"
100,"[5.29470796, -7.12738965]"
101,"[5.22927373, -7.15915844]"
102,"[5.33969531, -7.28716781]"
103,"[5.27468639, -6.98983061]"
104,"[5.33087963, -7.3804549]"
105,"[5.22929515, -6.66328073]"
106,"[5.2771923, -6.59747142]"
107,"[5.34489787, -6.91992437]"
108,"[5.2292175, -6.85895074]"
109,"[5.21932124, -6.88806523]"
110,"[5.39760326, -6.63041988]"
111,"[5.28965908, -6.33314557]"
112,"[5.21109403, -6.3652543]"
113,"[5.34485169, -6.84020485]"
114,"[5.50370287, -6.8483238]"
115,"[5.08616284, -6.88209621]"
116,"[5.21518696, -6.80939489]"
117,"[5.16895695, -6.82125668]"
118,"[5.14188174, -6.89185234]"
119,"[5.15189251, -6.93046239]"
120,"[5.39762667, -6.93309849]"
121,"[5.30262433, -6.89684508]"
122,"[5.22204688, -6.74765494]"
123,"[5.21370275, -6.96567856]"
124,"[5.30171297, -6.79917942]"
125,"[5.25840763, -6.8369556]"
126,"[5.2938807, -6.85828179]"
127,"[5.33384817, -6.78538997]"
128,"[5.17582468, -6.77397019]"
129,"[5.17401085, -6.8794745]"
130,"[5.2094225, -6.9229646]"
131,"[5.24613663, -6.78846838]"
132,"[5.18395748, -7.14036765]"
133,"[4.90940118, -6.84495788]"
134,"[5.08946697, -6.94643571]"
135,"[5.19794253, -6.84662604]"
136,"[5.18370334, -6.94870105]"
137,"[5.29747365, -6.95822543]"
138,"[5.26674764, -7.17660499]"
139,"[5.33001043, -6.97196157]"
140,"[5.14202544, -6.97526811]"
141,"[5.14894316, -7.04911207]"
142,"[5.21034928, -7.02987379]"
143,"[5.27465457, -6.92424584]"
144,"[5.25003115, -6.9632043]"
145,"[5.33527021, -6.88003859]"
146,"[5.12585688, -6.83853893]"
147,"[5.17065928, -7.00828103]"
148,"[5.24193908, -6.92683431]"
149,"[5.25918797, -6.88372197]"
150,"[5.11618452, -7.0145501]"
151,"[5.27945833, -6.76176087]"
152,"[5.45030856, -6.75748192]"
153,"[5.45233133, -6.68076442]"
154,"[5.01049111, -6.71681274]"
155,"[5.42954771, -7.08122601]"
156,"[5.32772751, -7.09008392]"
157,"[5.26558843, -7.13969305]"
158,"[5.37769029, -7.19336125]"
159,"[5.15692304, -7.30546089]"
160,"[5.15753514, -6.67398041]"
161,"[5.59695829, -7.0930114]"
162,"[5.29635628, -7.3740173]"
163,"[4.92936388, -6.96946429]"
164,"[5.20737509, -6.51633902]"
165,"[5.22842036, -6.20076894]"
166,"[5.30884684, -7.29005656]"
