# index, _pos
0,"array([4.11958188, 8.61693107])"
1,"array([4.31118868, 8.56837996])"
2,"array([4.05432398, 8.50399952])"
3,"array([4.01274643, 8.50998108])"
4,"array([3.99950566, 8.57442746])"
5,"array([3.96211899, 8.51367572])"
6,"array([4.26419421, 8.61198362])"
7,"array([4.26592491, 8.62298187])"
8,"array([4.20845699, 8.46491934])"
9,"array([4.1474144, 8.5148478])"
10,"array([4.29933924, 8.43873073])"
11,"array([4.32001759, 8.53235973])"
12,"array([4.19102923, 8.45434517])"
13,"array([4.19572632, 8.7520963 ])"
14,"array([4.30663986, 8.55530208])"
15,"array([4.16391792, 8.55550466])"
16,"array([4.31463706, 8.52068452])"
17,"array([4.14082948, 8.3398394 ])"
18,"array([4.18158646, 8.53789998])"
19,"array([4.20032548, 8.52174431])"
20,"array([4.11206117, 8.44240452])"
21,"array([4.09454931, 8.42758507])"
22,"array([4.00595046, 8.58329368])"
23,"array([4.248702  , 8.71179325])"
24,"array([4.22794568, 8.63590781])"
25,"array([4.30862148, 8.64339226])"
26,"array([4.17069019, 8.52360807])"
27,"array([4.16425633, 8.48125094])"
28,"array([4.20003379, 8.50501451])"
29,"array([4.15022846, 8.48111412])"
30,"array([4.25801565, 8.61725357])"
31,"array([4.22862467, 8.52337841])"
32,"array([4.05013457, 8.47742998])"
33,"array([4.29194265, 8.58467059])"
34,"array([3.95705637, 8.69597097])"
35,"array([4.2153374 , 8.76568567])"
36,"array([4.31752132, 8.74863362])"
37,"array([4.09593214, 8.64349859])"
38,"array([4.1535668 , 8.70383201])"
39,"array([4.11767098, 8.69355686])"
40,"array([4.21738498, 8.56082772])"
41,"array([4.18237514, 8.49026098])"
42,"array([4.3359746 , 8.67015728])"
43,"array([4.23664276, 8.50869276])"
44,"array([4.28086666, 8.38463872])"
45,"array([4.07302395, 8.55495402])"
46,"array([4.2581859, 8.5041699])"
47,"array([4.1866778 , 8.82481064])"
48,"array([4.27601317, 8.68022759])"
49,"array([4.1809917 , 8.57290371])"
50,"array([4.00583489, 8.54901686])"
51,"array([4.10027866, 8.51241693])"
52,"array([4.27825436, 8.62321833])"
53,"array([4.22770806, 8.42968033])"
54,"array([4.17858105, 8.72931089])"
55,"array([4.20304376, 8.64118281])"
56,"array([4.23264702, 8.58493718])"
57,"array([4.23318228, 8.48668527])"
58,"array([4.17421016, 8.54482529])"
59,"array([4.22639533, 8.68275212])"
60,"array([4.29073353, 8.7123776 ])"
61,"array([4.13524577, 8.65171129])"
62,"array([4.17988058, 8.44483903])"
63,"array([4.33714605, 8.7358296 ])"
64,"array([4.27329691, 8.65417615])"
65,"array([4.16166632, 8.63519755])"
