# index, _pos
0,"[4.11958188, 8.61693107]"
1,"[4.31118868, 8.56837996]"
2,"[4.05432398, 8.50399952]"
3,"[4.01274643, 8.50998108]"
4,"[3.99950566, 8.57442746]"
5,"[3.96211899, 8.51367572]"
6,"[4.26419421, 8.61198362]"
7,"[4.26592491, 8.62298187]"
8,"[4.20845699, 8.46491934]"
9,"[4.1474144, 8.5148478]"
10,"[4.29933924, 8.43873073]"
11,"[4.32001759, 8.53235973]"
12,"[4.19102923, 8.45434517]"
13,"[4.19572632, 8.7520963]"
14,"[4.30663986, 8.55530208]"
15,"[4.16391792, 8.55550466]"
16,"[4.31463706, 8.52068452]"
17,"[4.14082948, 8.3398394]"
18,"[4.18158646, 8.53789998]"
19,"[4.20032548, 8.52174431]"
20,"[4.11206117, 8.44240452]"
21,"[4.09454931, 8.42758507]"
22,"[4.00595046, 8.58329368]"
23,"[4.248702, 8.71179325]"
24,"[4.22794568, 8.63590781]"
25,"[4.30862148, 8.64339226]"
26,"[4.17069019, 8.52360807]"
27,"[4.16425633, 8.48125094]"
28,"[4.20003379, 8.50501451]"
29,"[4.15022846, 8.48111412]"
30,"[4.25801565, 8.61725357]"
31,"[4.22862467, 8.52337841]"
32,"[4.05013457, 8.47742998]"
33,"[4.29194265, 8.58467059]"
34,"[3.95705637, 8.69597097]"
35,"[4.2153374, 8.76568567]"
36,"[4.31752132, 8.74863362]"
37,"[4.09593214, 8.64349859]"
38,"[4.1535668, 8.70383201]"
39,"[4.11767098, 8.69355686]"
40,"[4.21738498, 8.56082772]"
41,"[4.18237514, 8.49026098]"
42,"[4.3359746, 8.67015728]"
43,"[4.23664276, 8.50869276]"
44,"[4.28086666, 8.38463872]"
45,"[4.07302395, 8.55495402]"
46,"[4.2581859, 8.5041699]"
47,"[4.1866778, 8.82481064]"
48,"[4.27601317, 8.68022759]"
49,"[4.1809917, 8.57290371]"
50,"[4.00583489, 8.54901686]"
51,"[4.10027866, 8.51241693]"
52,"[4.27825436, 8.62321833]"
53,"[4.22770806, 8.42968033]"
54,"[4.17858105, 8.72931089]"
55,"[4.20304376, 8.64118281]"
56,"[4.23264702, 8.58493718]"
57,"[4.23318228, 8.48668527]"
58,"[4.17421016, 8.54482529]"
59,"[4.22639533, 8.68275212]"
60,"[4.29073353, 8.7123776]"
61,"[4.13524577, 8.65171129]"
62,"[4.17988058, 8.44483903]"
63,"[4.33714605, 8.7358296]"
64,"[4.27329691, 8.65417615]"
65,"[4.16166632, 8.63519755]"
66,"[4.12077347, 8.63382218]"
67,"[4.32545814, 8.60913584]"
68,"[4.382453, 8.52904888]"
69,"[4.13316771, 8.74281641]"
70,"[4.18614051, 8.5812211]"
71,"[4.10227875, 8.69835686]"
72,"[4.21226352, 8.42426903]"
73,"[4.24442823, 8.42690567]"
74,"[4.19026793, 8.73904804]"
75,"[4.27129808, 8.76642113]"
76,"[4.25297766, 8.58645795]"
77,"[4.30259104, 8.7561744]"
78,"[4.10787228, 8.80422098]"
79,"[4.16017225, 8.51659044]"
80,"[4.05426094, 8.69296645]"
81,"[4.33026291, 8.57475393]"
82,"[4.16885046, 8.49162762]"
83,"[4.19216094, 8.48064979]"
84,"[4.26265959, 8.71015861]"
85,"[4.04690115, 8.49068815]"
86,"[4.06620594, 8.69680478]"
87,"[4.22548881, 8.71391266]"
88,"[4.04265207, 8.77331397]"
89,"[4.23047659, 8.54208495]"
90,"[4.169286, 8.56566855]"
91,"[4.20381922, 8.8280096]"
92,"[4.00985284, 8.7072257]"
93,"[4.17380579, 8.64373247]"
94,"[4.00371769, 8.53926136]"
95,"[4.27479418, 8.66592297]"
96,"[4.05260283, 8.67900058]"
97,"[4.30634344, 8.62284654]"
98,"[4.18531246, 8.71126379]"
99,"[4.1256407, 8.58233707]"
100,"[4.25830067, 8.48904459]"
101,"[4.0991731, 8.49797325]"
102,"[4.22251467, 8.66862012]"
103,"[4.30746133, 8.71825527]"
104,"[4.27341899, 8.47616288]"
105,"[4.08155637, 8.4369585]"
106,"[3.90532488, 8.58731634]"
107,"[4.07820556, 8.69915724]"
108,"[4.23444627, 8.69649663]"
109,"[4.10108533, 8.74593538]"
110,"[4.20528763, 8.58315786]"
111,"[4.20932515, 8.75389718]"
112,"[4.2242613, 8.57506754]"
113,"[4.12627015, 8.56190848]"
114,"[4.23133612, 8.65894564]"
115,"[4.16236625, 8.61993409]"
116,"[4.03708317, 8.61247814]"
117,"[4.05473995, 8.54104422]"
118,"[4.05756109, 8.63730816]"
