# source, target
0,190
0,237
0,265
0,266
0,287
1,174
1,176
2,5
2,50
2,51
2,52
2,53
2,54
2,56
2,66
2,67
2,126
2,128
2,170
2,244
2,260
3,19
3,28
3,37
3,51
3,52
3,53
3,54
3,61
3,67
3,161
3,221
3,222
3,254
3,262
4,11
4,26
4,30
4,31
4,59
5,50
5,51
5,52
5,53
5,54
5,56
5,57
5,66
5,67
5,126
5,128
5,244
5,260
6,7
6,15
6,33
6,34
6,35
6,41
6,44
6,69
6,79
6,80
6,81
6,83
6,93
6,94
6,111
6,135
6,147
6,149
6,151
6,171
6,175
6,207
6,210
6,224
6,225
6,246
6,249
6,264
6,267
6,268
6,269
6,283
6,290
6,291
6,296
6,297
6,298
6,306
7,15
7,33
7,34
7,35
7,41
7,44
7,69
7,79
7,80
7,81
7,83
7,93
7,94
7,135
7,147
7,149
7,151
7,171
7,175
7,207
7,210
7,224
7,225
7,246
7,249
7,264
7,267
7,268
7,269
7,283
7,290
7,291
7,296
7,297
7,298
7,306
8,25
8,27
8,64
8,212
8,213
9,31
10,29
10,30
10,31
10,60
10,61
11,28
11,59
15,41
15,44
15,83
15,107
15,108
15,149
15,151
15,184
15,196
15,197
15,205
15,215
15,236
15,243
15,252
15,253
15,303
16,55
16,62
18,80
18,122
18,123
18,141
18,160
18,165
18,167
18,185
18,186
18,196
18,197
18,206
18,210
18,219
18,247
18,248
18,254
18,258
18,266
18,278
18,298
19,28
19,37
19,58
19,61
19,62
19,63
19,65
19,254
20,70
20,92
20,100
20,122
20,123
20,126
20,128
20,182
20,233
20,239
20,240
20,241
20,244
20,245
20,254
20,256
20,257
20,260
20,262
20,271
20,289
20,299
20,302
20,303
21,80
21,95
21,97
21,141
21,146
21,151
21,163
21,185
21,186
21,196
21,197
21,224
21,225
21,236
21,252
21,253
22,23
22,106
22,194
22,250
23,106
23,194
23,250
24,26
24,27
24,28
24,64
25,281
25,282
26,27
26,28
26,30
26,31
26,59
26,64
27,28
27,64
28,37
28,51
28,52
28,53
28,61
28,64
28,254
29,30
29,31
29,60
29,61
30,31
30,59
31,59
32,68
32,80
32,90
32,107
32,108
32,117
32,118
32,138
32,139
32,148
32,187
32,196
32,197
32,214
32,246
32,263
32,269
32,296
32,297
32,298
32,303
32,305
32,306
33,34
33,35
33,41
33,44
33,69
33,79
33,81
33,93
33,94
33,147
33,210
33,224
33,225
33,246
33,249
33,264
33,269
33,290
33,291
33,296
33,297
33,298
33,306
34,35
34,41
34,44
34,69
34,79
34,81
34,93
34,94
34,147
34,210
34,224
34,225
34,246
34,249
34,264
34,269
34,290
34,291
34,296
34,297
34,298
34,306
35,41
35,44
35,69
35,79
35,81
35,93
35,94
35,147
35,210
35,224
35,225
35,246
35,249
35,264
35,269
35,290
35,291
35,296
35,297
35,298
35,306
36,91
36,135
36,163
36,167
36,237
36,246
36,254
36,266
36,286
37,58
37,61
37,62
37,63
37,65
37,243
37,254
39,106
39,192
39,262
39,264
39,271
39,296
40,77
40,93
40,94
40,99
40,143
40,144
40,147
40,160
40,171
40,175
40,176
40,196
40,197
40,212
40,213
40,239
40,249
40,279
40,296
40,297
40,298
40,304
40,306
41,44
41,69
41,79
41,80
41,81
41,83
41,93
41,94
41,135
41,147
41,149
41,151
41,171
41,175
41,210
41,224
41,225
41,246
41,249
41,264
41,267
41,268
41,269
41,283
41,290
41,291
41,296
41,297
41,298
41,306
42,262
42,271
42,290
42,291
42,306
43,47
43,49
43,255
43,294
44,69
44,79
44,80
44,81
44,83
44,93
44,94
44,135
44,147
44,149
44,151
44,171
44,175
44,210
44,224
44,225
44,246
44,249
44,264
44,267
44,268
44,269
44,283
44,290
44,291
44,296
44,297
44,298
44,306
45,79
45,89
47,49
48,49
48,74
48,92
48,97
48,98
48,120
48,177
48,180
48,191
48,192
48,200
48,211
48,212
48,213
48,227
48,228
48,233
48,240
48,259
48,299
48,300
48,301
48,304
49,92
49,191
49,211
49,212
49,213
49,227
49,228
49,259
49,301
49,304
50,51
50,52
50,53
50,54
50,57
50,66
50,67
51,52
51,53
51,54
51,66
51,67
52,53
52,54
52,66
52,67
53,54
53,56
53,66
53,67
54,66
54,67
55,61
56,60
56,61
57,58
57,65
57,66
57,67
58,62
58,63
58,65
60,61
61,254
62,63
62,65
63,64
63,65
66,67
68,99
68,107
68,108
68,138
68,196
68,197
68,246
68,269
68,277
68,298
68,303
69,77
69,81
69,93
