# source, target
0,1
0,2
0,3
0,4
0,5
1,57
1,142
1,109
1,29
1,288
1,127
1,284
1,30
1,31
1,231
1,2
1,22
1,133
1,134
1,33
1,293
1,198
1,119
1,78
2,164
2,124
2,125
2,283
2,20
2,234
2,291
2,111
2,127
2,264
2,284
2,114
2,285
2,286
2,193
2,194
2,231
2,98
2,22
2,32
2,133
2,134
2,232
3,287
3,267
3,29
3,268
3,189
3,264
3,30
3,31
3,263
3,293
3,5
3,232
3,207
4,105
4,164
4,106
4,107
4,242
4,143
4,110
4,111
4,200
4,116
4,117
4,32
4,263
4,119
5,199
5,287
5,267
5,29
5,268
5,189
5,190
5,264
5,30
5,31
5,206
5,232
6,7
6,8
7,165
7,256
7,222
7,223
7,224
7,271
7,272
7,202
7,243
7,285
7,286
7,245
7,290
7,22
7,136
8,169
8,140
8,171
8,280
8,172
8,173
8,281
8,84
8,85
8,131
8,162
8,175
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
10,11
10,12
10,13
10,14
10,15
10,16
10,40
10,17
10,18
10,19
10,20
10,22
10,23
11,12
11,13
11,14
11,15
11,40
11,17
11,18
12,24
12,26
12,13
12,14
12,15
12,17
12,18
13,24
13,26
13,14
13,15
13,17
13,18
14,24
14,26
14,15
14,16
14,17
14,18
15,24
15,17
15,18
16,89
16,28
17,40
17,18
18,24
18,40
19,123
19,199
19,185
19,233
19,126
19,20
19,222
19,234
19,217
19,172
19,173
19,142
19,59
19,226
19,227
19,29
19,228
19,260
19,110
19,130
19,22
19,133
19,134
19,23
19,33
19,74
19,75
19,232
19,181
19,137
20,123
20,211
20,126
20,215
20,216
20,222
20,234
20,112
20,113
20,130
20,22
20,133
20,134
20,23
20,137
21,268
21,23
22,123
22,126
22,283
22,234
22,111
22,127
22,236
22,284
22,285
22,286
22,265
22,231
22,130
22,98
22,32
22,133
22,134
22,23
22,166
22,137
23,123
23,208
23,126
23,287
23,201
23,281
23,209
23,130
23,67
23,133
23,134
23,195
23,232
23,181
23,77
23,137
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
24,33
25,26
25,27
25,120
25,28
25,104
25,121
25,122
25,32
26,35
26,149
26,36
26,82
26,27
26,28
26,83
26,32
27,120
27,28
27,104
27,121
27,122
27,98
27,32
28,87
28,88
28,103
28,89
28,32
29,199
29,185
29,125
29,233
29,126
29,242
29,222
29,267
29,217
29,142
29,59
29,259
29,235
29,226
29,227
29,228
29,110
29,268
29,219
29,264
29,203
29,269
29,284
29,115
29,245
29,30
29,31
29,193
29,194
29,99
29,100
29,33
29,289
29,166
29,74
29,75
29,232
29,181
29,241
30,244
30,125
30,126
30,90
30,91
30,267
30,268
30,202
30,219
30,264
30,203
30,269
30,245
30,31
30,220
30,193
30,194
30,238
30,221
30,33
30,150
30,151
30,232
30,181
30,241
30,175
31,244
31,125
31,126
31,90
31,91
31,267
31,268
31,202
31,219
31,264
31,203
31,269
31,245
31,220
31,193
31,194
31,238
31,221
31,33
31,150
31,151
31,232
31,181
31,241
31,175
32,105
32,123
32,164
32,283
32,106
32,107
32,217
32,142
32,58
32,258
32,110
32,111
32,284
32,285
32,286
32,231
32,290
32,132
32,116
32,117
32,119
32,136
33,123
33,167
33,176
33,124
33,158
33,114
33,115
33,69
33,135
33,76
34,35
34,36
34,37
34,38
34,39
35,39
36,149
36,82
36,37
36,38
36,39
36,83
37,87
37,88
37,38
37,39
38,86
38,87
38,88
38,39
40,120
40,122
41,42
41,43
41,44
41,45
41,46
41,47
41,48
41,49
41,50
41,51
41,52
41,53
41,54
41,55
41,56
41,57
41,58
41,59
41,60
41,61
41,62
41,63
41,64
41,65
41,66
41,67
41,68
41,69
41,70
41,71
41,72
41,73
41,74
41,75
41,76
41,77
41,78
41,79
42,43
42,44
42,45
42,46
42,47
42,48
42,49
42,50
42,51
42,52
42,53
42,54
42,55
42,57
42,58
42,59
42,60
42,61
42,62
42,63
42,64
42,65
42,66
42,67
42,68
42,69
42,70
42,71
42,72
42,73
42,74
42,75
42,76
42,77
42,78
42,79
43,47
43,48
43,53
43,90
43,91
43,59
43,60
43,92
43,93
43,94
43,95
43,96
43,97
43,98
43,99
43,100
43,101
44,45
44,46
44,47
44,48
44,49
44,50
44,52
44,54
44,55
44,58
44,64
44,65
44,66
44,67
44,68
44,69
44,72
44,74
44,75
44,76
44,77
44,78
44,79
45,46
45,47
45,48
45,49
45,50
45,52
45,54
45,55
45,58
45,64
45,65
45,66
45,67
45,68
45,69
45,72
45,74
45,75
45,76
45,77
45,78
45,79
46,47
46,48
46,49
46,50
46,52
46,54
46,55
46,58
46,64
46,65
46,66
46,67
46,68
46,69
46,72
46,74
46,75
46,76
46,77
46,78
46,79
47,48
47,49
47,50
47,51
47,52
47,53
47,54
47,55
47,57
47,58
47,59
47,60
47,61
47,62
47,64
47,65
47,66
47,67
47,68
47,69
47,70
47,71
47,72
47,73
47,74
47,75
47,76
47,77
47,78
47,79
48,49
48,50
48,51
48,52
48,53
48,54
48,55
48,57
48,58
48,59
48,60
48,61
48,62
48,64
48,65
48,66
48,67
48,68
48,69
48,70
48,71
48,72
48,73
48,74
48,75
48,76
48,77
48,78
48,79
49,170
49,52
49,54
49,55
49,56
49,58
49,67
49,69
49,74
49,75
49,76
49,77
49,78
49,79
50,182
50,183
50,64
50,84
50,85
50,161
50,65
50,66
50,67
50,68
50,72
50,78
50,175
51,105
51,139
51,152
51,52
51,140
51,141
51,108
51,109
51,61
51,62
51,203
51,114
51,115
51,65
51,66
51,221
51,67
51,117
51,118
51,69
52,185
52,54
52,55
52,141
52,186
52,242
52,58
52,235
52,61
52,62
52,168
52,236
52,96
52,245
52,129
52,130
52,132
52,67
52,239
52,206
52,69
52,240
52,74
52,75
52,76
52,77
52,78
52,137
52,196
52,138
52,79
53,90
53,91
53,187
53,249
53,92
53,93
53,94
53,97
53,99
53,100
53,101
54,169
54,55
54,171
54,58
54,109
54,93
54,94
54,230
54,129
54,67
54,68
54,69
54,198
54,74
54,75
54,76
54,77
54,78
54,196
54,79
55,169
55,154
55,171
55,213
55,58
55,259
55,109
55,143
55,260
55,238
55,221
55,67
55,116
55,69
55,74
55,75
55,76
55,77
55,78
55,79
57,164
57,185
57,212
57,186
57,234
57,217
57,61
57,62
57,236
57,96
57,237
57,238
57,239
57,69
57,73
57,77
57,138
58,169
58,171
58,235
58,109
58,268
58,93
58,94
58,230
58,231
58,129
58,67
58,116
58,68
58,118
58,69
58,119
58,74
58,75
58,76
58,77
58,78
58,196
58,79
59,199
59,185
59,233
59,155
59,156
59,222
59,217
59,172
59,173
59,142
59,60
59,270
59,226
59,227
59,228
59,110
59,219
59,63
59,285
59,286
59,265
59,74
59,75
59,232
59,181
60,139
60,154
60,155
60,156
60,258
60,270
60,259
60,143
60,219
60,229
60,63
60,285
60,286
60,261
60,265
60,262
60,99
60,100
60,166
61,169
61,170
61,171
61,146
61,172
