# index, name, CysPoLV, UPS, _pos
0,1,3,1,"array([-1.17536342, -0.04649153])"
1,2,3,1,"array([-0.97570688, -0.07813657])"
2,3,1,1,"array([-1.16904996, -0.12531064])"
3,4,1,1,"array([-1.13405042, -0.08915699])"
4,5,1,1,"array([-0.93745346, -0.51436686])"
5,6,1,1,"array([-1.19917165, -0.13008136])"
6,7,2,1,"array([-1.02905641,  0.34075904])"
7,8,2,1,"array([-1.03067478,  0.31942897])"
8,9,6,-1,"array([-0.87365015, -0.08134622])"
9,10,1,1,"array([-0.97416731, -0.64788178])"
10,11,1,1,"array([-1.08532324, -0.45769469])"
11,12,1,1,"array([-0.98231424, -0.41507476])"
12,13,2,1,"array([-2.0774313 ,  0.75758862])"
13,14,2,1,"array([0.0415631 , 0.01646776])"
14,15,2,2,"array([-0.09615211, -0.44323152])"
15,16,2,1,"array([-1.0052103 ,  0.27130991])"
16,17,1,1,"array([-1.17038686, -0.48794674])"
17,18,2,1,"array([-0.45577928, -0.86257046])"
18,19,3,1,"array([-1.20702205,  0.22345593])"
19,20,1,1,"array([-1.10964627, -0.21945158])"
20,21,3,1,"array([-1.09682902,  0.10308908])"
21,22,3,1,"array([-1.1477672 ,  0.31701352])"
22,23,3,1,"array([-0.76002159,  0.28174799])"
23,24,3,1,"array([-0.74884184,  0.23712859])"
24,25,1,1,"array([-0.93578298, -0.32830379])"
25,26,1,1,"array([-0.99784196, -0.11967925])"
26,27,3,1,"array([-0.94685064, -0.39118715])"
27,28,3,-1,"array([-0.90112778, -0.26312074])"
28,29,1,-1,"array([-1.05249703, -0.2370391 ])"
29,30,1,1,"array([-1.05695466, -0.43041513])"
30,31,1,1,"array([-0.99161102, -0.48327465])"
31,32,1,1,"array([-0.99458033, -0.52677989])"
32,33,3,1,"array([-1.14452198,  0.35596374])"
33,34,2,1,"array([-1.05779815,  0.37500007])"
34,35,2,1,"array([-1.03944179,  0.36364503])"
35,36,2,1,"array([-1.07925719,  0.36713826])"
36,37,3,1,"array([-1.28311664,  0.10716555])"
37,38,3,1,"array([-1.08684613, -0.17752689])"
38,39,1,1,"array([-2.23395353,  0.39513265])"
39,40,2,1,"array([-0.96127168,  0.34955868])"
40,41,3,1,"array([-0.97594243,  0.26749312])"
41,42,2,1,"array([-1.04959462,  0.32789453])"
42,43,3,1,"array([-1.21715128,  0.37431543])"
43,44,3,1,"array([-0.91703544, -0.04243417])"
44,45,2,1,"array([-1.05917254,  0.3437813 ])"
45,46,2,1,"array([-0.79286528,  0.35193765])"
46,47,2,1,"array([-2.27149039,  0.04881236])"
47,48,3,1,"array([-0.76917233, -0.04689173])"
