# index, _pos
0,"[-1.17536342, -0.04649153]"
1,"[-1.19538784, 0.1331638]"
2,"[-1.1376617, 0.05295816]"
3,"[-1.06564329, 0.03310211]"
4,"[-1.25402486, 0.071669]"
5,"[-1.02466134, 0.01086622]"
6,"[-0.97570688, -0.07813657]"
7,"[-1.13976482, 0.00602856]"
8,"[-0.94901546, 0.08596108]"
9,"[-1.16904996, -0.12531064]"
10,"[-1.19917165, -0.13008136]"
11,"[-1.23923916, -0.24655217]"
12,"[-1.16150078, -0.20707416]"
13,"[-1.19163737, -0.19132984]"
14,"[-1.18544104, -0.2315305]"
15,"[-1.24478867, -0.17848267]"
16,"[-1.18545987, -0.28233145]"
17,"[-1.26762625, -0.22288069]"
18,"[-1.2249617, -0.21008644]"
19,"[-1.13529445, 0.09844553]"
20,"[-1.20505553, 0.03446293]"
21,"[-1.05678495, -0.11559491]"
22,"[-1.14612348, 0.03475097]"
23,"[-1.04998115, 0.01568643]"
24,"[-1.13405042, -0.08915699]"
25,"[-1.10964627, -0.21945158]"
26,"[-1.05249703, -0.2370391]"
27,"[-1.08684613, -0.17752689]"
28,"[-1.12565218, -0.26921317]"
29,"[-1.11493571, 0.1354127]"
30,"[-1.06833197, 0.08013547]"
31,"[-1.06619916, 0.09835014]"
32,"[-1.16328192, 0.01723651]"
33,"[-1.14479736, 0.2103534]"
34,"[-0.93745346, -0.51436686]"
35,"[-0.98231424, -0.41507476]"
36,"[-0.94685064, -0.39118715]"
37,"[-0.99161102, -0.48327465]"
38,"[-0.99458033, -0.52677989]"
39,"[-0.91681739, -0.47749455]"
40,"[-1.23106961, -0.29786192]"
41,"[-1.02905641, 0.34075904]"
42,"[-1.03067478, 0.31942897]"
43,"[-1.0052103, 0.27130991]"
44,"[-1.05779815, 0.37500007]"
45,"[-1.03944179, 0.36364503]"
46,"[-1.07925719, 0.36713826]"
47,"[-1.04959462, 0.32789453]"
48,"[-1.05917254, 0.3437813]"
49,"[-1.01770211, 0.36985011]"
50,"[-0.95449523, 0.32154508]"
51,"[-1.10373055, 0.31845077]"
52,"[-1.02180073, 0.25562336]"
53,"[-0.99312177, 0.32832162]"
54,"[-1.07287594, 0.31992794]"
55,"[-1.1267235, 0.30390107]"
56,"[-0.94454717, 0.49554733]"
57,"[-1.11348681, 0.24966333]"
58,"[-1.08048381, 0.2433463]"
59,"[-1.1161856, 0.21652694]"
60,"[-1.16042724, 0.24513031]"
61,"[-0.9622019, 0.29507127]"
62,"[-0.98395035, 0.30401185]"
63,"[-0.95595402, 0.25071335]"
64,"[-1.11515885, 0.35083949]"
65,"[-1.09458633, 0.40030987]"
66,"[-1.06780967, 0.40446094]"
67,"[-1.10683029, 0.29239725]"
68,"[-1.01769747, 0.30357976]"
69,"[-1.03862459, 0.26157417]"
70,"[-0.97165771, 0.40771813]"
71,"[-0.94058092, 0.38452157]"
72,"[-1.07139894, 0.26567907]"
73,"[-1.10530336, 0.18336383]"
74,"[-1.10625192, 0.23664614]"
75,"[-1.13064116, 0.2461828]"
76,"[-1.08888333, 0.30490577]"
77,"[-1.05683439, 0.25031333]"
78,"[-1.07570907, 0.29354161]"
79,"[-1.12605092, 0.32562597]"
80,"[-0.87365015, -0.08134622]"
81,"[-0.99784196, -0.11967925]"
82,"[-0.90112778, -0.26312074]"
83,"[-0.94357514, -0.26621424]"
84,"[-0.89541874, 0.16972481]"
85,"[-0.88777013, 0.1492095]"
86,"[-0.97416731, -0.64788178]"
87,"[-1.08532324, -0.45769469]"
88,"[-1.05695466, -0.43041513]"
89,"[-1.1404455, -0.40255956]"
90,"[-1.1267258, 0.27547507]"
91,"[-1.10973659, 0.27105526]"
92,"[-1.08752839, 0.34226221]"
93,"[-1.09235538, 0.25783183]"
94,"[-1.08814003, 0.27709914]"
95,"[-1.02423531, 0.03666893]"
96,"[-1.07261999, 0.19550488]"
97,"[-1.02798237, 0.2847479]"
98,"[-1.02279377, 0.09265892]"
99,"[-1.05325891, 0.27822808]"
100,"[-1.05277647, 0.29862315]"
101,"[-1.03336037, 0.23652329]"
102,"[-1.17038686, -0.48794674]"
103,"[-1.20432096, -0.42198413]"
104,"[-1.10209568, -0.35229295]"
105,"[-1.20702205, 0.22345593]"
106,"[-1.09183744, 0.14034596]"
107,"[-1.09371193, 0.12335641]"
108,"[-1.15480431, 0.28207207]"
109,"[-1.15044252, 0.26141926]"
110,"[-1.1818468, 0.10262458]"
111,"[-1.22057342, 0.10682522]"
112,"[-1.27737512, 0.19975863]"
113,"[-1.28962163, 0.17940856]"
114,"[-1.12047589, 0.19848858]"
115,"[-1.18331178, 0.29106697]"
116,"[-1.2248407, 0.1543823]"
117,"[-1.19717769, 0.20921493]"
118,"[-1.18307588, 0.22590424]"
119,"[-1.15262365, 0.12671541]"
120,"[-1.14158701, -0.32075386]"
121,"[-1.04591783, -0.30413591]"
122,"[-1.1013583, -0.30803643]"
123,"[-1.09682902, 0.10308908]"
124,"[-1.10633228, 0.15359565]"
125,"[-1.01146425, 0.11809337]"
126,"[-1.11890552, 0.03782799]"
127,"[-1.08529318, 0.05919459]"
128,"[-1.05705836, 0.18810545]"
129,"[-1.03987054, 0.1965755]"
130,"[-1.07415233, 0.14828973]"
131,"[-1.00954532, 0.14372916]"
132,"[-1.031275, 0.1528462]"
133,"[-1.1532842, 0.06818036]"
134,"[-1.17008874, 0.04409313]"
135,"[-1.16464766, 0.30334464]"
136,"[-1.24985415, 0.09618701]"
137,"[-1.03527077, 0.1300428]"
138,"[-1.02422984, 0.21528837]"
139,"[-1.1477672, 0.31701352]"
140,"[-1.07212085, 0.17172428]"
141,"[-0.95464802, 0.22059555]"
142,"[-1.09204977, 0.16561719]"
143,"[-1.16618787, 0.20838978]"
144,"[-0.76002159, 0.28174799]"
145,"[-0.74884184, 0.23712859]"
146,"[-0.85941965, 0.27087818]"
147,"[-0.69312033, 0.29916612]"
148,"[-0.93570691, 0.20426035]"
149,"[-0.93578298, -0.32830379]"
150,"[-1.08891233, 0.01750685]"
151,"[-1.11397469, 0.01665995]"
152,"[-1.14452198, 0.35596374]"
153,"[-1.11770989, 0.37541291]"
154,"[-1.20334353, 0.26897699]"
155,"[-1.2278524, 0.29066]"
156,"[-1.24536782, 0.27773576]"
157,"[-1.16734146, 0.34143967]"
158,"[-1.28471382, 0.30380821]"
159,"[-1.18566255, 0.31995054]"
160,"[-1.03275992, 0.40604594]"
161,"[-0.99064536, 0.35847153]"
162,"[-1.17326908, 0.26515874]"
163,"[-1.15413236, 0.38175074]"
164,"[-1.28311664, 0.10716555]"
165,"[-1.24783281, 0.11942054]"
166,"[-1.19986353, 0.11443602]"
167,"[-0.96127168, 0.34955868]"
168,"[-0.97254276, 0.18970768]"
169,"[-0.97594243, 0.26749312]"
170,"[-0.90881816, 0.29397564]"
171,"[-0.97955297, 0.23039762]"
172,"[-0.99515236, 0.21254292]"
173,"[-0.99468084, 0.19097702]"
174,"[-0.92075021, 0.24988446]"
175,"[-0.91208669, 0.13025255]"
176,"[-1.21715128, 0.37431543]"
177,"[-0.91703544, -0.04243417]"
178,"[-0.76917233, -0.04689173]"
179,"[-0.86553323, 0.06409491]"
180,"[-1.10491082, -0.00893543]"
181,"[-1.04634469, 0.08615969]"
182,"[-0.79286528, 0.35193765]"
183,"[-0.87781742, 0.22573595]"
184,"[-0.92569547, 0.15759288]"
185,"[-1.05001883, 0.16769448]"
186,"[-1.01299316, 0.19656348]"
187,"[-0.96163405, 0.14221943]"
188,"[-1.01173852, 0.16812723]"
189,"[-0.96398554, 0.16012587]"
190,"[-0.94483685, 0.11073538]"
191,"[-0.99088422, 0.13917705]"
192,"[-0.85943421, 0.10509003]"
193,"[-1.00447786, 0.09110189]"
194,"[-0.99879416, 0.10899865]"
195,"[-0.92008293, 0.05711587]"
196,"[-1.05543106, 0.15343829]"
