# index, _pos
0,"[6.71107792, 8.1125964]"
1,"[6.20487188, 7.56457031]"
2,"[10.85869318, 6.80057424]"
3,"[10.44228667, 7.52112385]"
4,"[4.80965652, 11.0734529]"
5,"[4.76390078, 11.48804864]"
6,"[4.21793319, 11.20602743]"
7,"[8.02918082, 8.52633418]"
8,"[7.81836828, 8.41331287]"
9,"[5.22191832, 10.27885604]"
10,"[4.56742541, 10.35592319]"
11,"[8.24230239, 7.11281317]"
12,"[7.92851207, 6.91432997]"
13,"[8.14341993, 6.72932473]"
14,"[8.87798583, 8.66321711]"
15,"[5.59740601, 10.38033409]"
16,"[5.91216989, 9.92198349]"
17,"[9.05506664, 8.62469658]"
18,"[8.63827879, 8.24537329]"
19,"[8.4368347, 8.47660646]"
20,"[9.00652335, 8.37430886]"
21,"[9.14234633, 7.72509045]"
22,"[8.93649458, 7.75991661]"
23,"[9.11182514, 8.1442176]"
24,"[9.44266348, 8.70656093]"
25,"[8.98902124, 8.49227871]"
26,"[9.68754566, 9.19382103]"
27,"[9.44222256, 9.86569476]"
28,"[9.61352358, 9.59460077]"
29,"[9.61917999, 8.22003725]"
30,"[9.65442389, 8.4158697]"
31,"[4.65583975, 9.67078354]"
32,"[5.5493342, 9.72360302]"
33,"[5.69804018, 10.73472745]"
34,"[5.57270963, 8.90428841]"
35,"[6.31312248, 8.61125311]"
36,"[4.90301106, 8.7538737]"
37,"[5.88018333, 10.30266175]"
38,"[6.06608518, 11.64910115]"
39,"[5.51483714, 11.47682017]"
40,"[6.46173152, 9.49145684]"
41,"[5.76845259, 9.34141614]"
42,"[6.51707804, 8.9970979]"
43,"[6.12350486, 9.49463333]"
44,"[6.63885263, 9.25979902]"
45,"[7.00126484, 9.44003053]"
46,"[6.89465023, 10.24273877]"
47,"[6.24056318, 11.12546456]"
48,"[5.17037515, 10.71141927]"
49,"[5.24335676, 9.94520917]"
50,"[5.18347019, 11.20320388]"
51,"[5.47850021, 10.77294581]"
52,"[5.82355992, 11.21157587]"
53,"[6.00604394, 6.29428874]"
54,"[6.41413014, 6.75915191]"
55,"[7.00273573, 7.47766698]"
56,"[7.04876025, 7.88159531]"
57,"[6.56592097, 7.30056433]"
58,"[5.52594701, 11.13579735]"
59,"[5.1102375, 11.69011949]"
60,"[5.11220104, 9.48768718]"
61,"[8.31289724, 10.72248303]"
62,"[8.43797673, 11.47150349]"
63,"[5.69404194, 12.23068788]"
64,"[5.22244601, 7.5308419]"
65,"[5.55182025, 7.92670828]"
66,"[5.49937089, 7.57357286]"
67,"[5.80977809, 7.50184593]"
68,"[5.30726735, 7.04116472]"
69,"[6.32689432, 8.34352458]"
70,"[5.67841386, 8.19244226]"
71,"[7.50896375, 8.45510962]"
72,"[8.89125801, 8.84362113]"
73,"[9.46817252, 9.02718923]"
74,"[6.1345797, 7.93799241]"
75,"[9.1715928, 6.71874401]"
76,"[8.83925256, 6.72346589]"
77,"[8.53966885, 7.63964887]"
78,"[9.29260748, 8.64784995]"
79,"[9.37850336, 8.06068424]"
80,"[9.66729207, 9.3608612]"
81,"[9.21714233, 9.30771117]"
82,"[9.18100365, 9.0765398]"
83,"[8.72439201, 9.59160338]"
84,"[9.1548579, 8.82855151]"
85,"[8.12189121, 8.11570959]"
86,"[9.36413238, 8.55100654]"
87,"[9.53090719, 8.81047776]"
88,"[9.87815113, 10.07333792]"
89,"[9.39064802, 8.90676648]"
90,"[9.33023364, 9.47134158]"
91,"[7.09764226, 9.95424775]"
92,"[7.96503019, 9.65214471]"
93,"[7.43208843, 9.81020346]"
94,"[7.21257794, 9.62746598]"
95,"[7.48339494, 8.78935948]"
96,"[6.70035553, 8.90198574]"
97,"[5.97077565, 8.69980573]"
98,"[6.20709458, 10.15264181]"
99,"[7.76454768, 9.53155331]"
100,"[7.2498043, 8.98262273]"
101,"[8.66236684, 9.99395387]"
102,"[8.89796353, 10.80773302]"
103,"[8.76601651, 9.16482608]"
104,"[8.89100372, 9.8941347]"
105,"[8.99354149, 9.15652935]"
106,"[9.13268669, 9.21480301]"
107,"[9.03137351, 8.94932021]"
108,"[9.25917077, 8.87444079]"
109,"[8.61570912, 9.18743771]"
110,"[8.64719961, 7.7642343]"
111,"[8.78969089, 7.81025703]"
112,"[9.10856356, 9.50869717]"
113,"[8.33374599, 8.86717161]"
114,"[8.80313511, 9.32660778]"
115,"[8.1889137, 8.72665405]"
116,"[7.43130842, 11.2971141]"
117,"[7.31501431, 10.86583375]"
118,"[7.67175308, 10.65422065]"
119,"[7.06774434, 8.40362238]"
120,"[6.875579, 8.90096681]"
121,"[6.49598748, 7.90190107]"
122,"[7.24834251, 8.60460824]"
123,"[7.7928168, 9.2090906]"
124,"[7.62753352, 9.03106856]"
125,"[6.1878619, 9.05443094]"
126,"[7.38645051, 9.48599282]"
127,"[8.59093432, 8.99060302]"
128,"[8.54648402, 8.88195022]"
129,"[8.61899047, 8.12816672]"
130,"[8.44283632, 8.221887]"
131,"[8.67759999, 8.48281985]"
132,"[8.80923465, 8.40246451]"
133,"[4.30117845, 11.8385025]"
134,"[4.05618682, 9.63689457]"
135,"[5.69968318, 11.80109069]"
136,"[6.3040873, 11.8301402]"
137,"[6.01373825, 10.94283904]"
138,"[6.37289057, 10.55741675]"
139,"[6.56580315, 10.68140412]"
140,"[7.10501725, 9.13555595]"
141,"[6.15590652, 10.47277769]"
142,"[6.41407278, 9.94204752]"
143,"[6.85994808, 9.94146257]"
144,"[7.13784401, 10.19459503]"
145,"[6.57028915, 10.1987867]"
146,"[6.13198669, 9.84648858]"
147,"[6.75442529, 9.44257791]"
148,"[7.54895952, 9.65513234]"
149,"[6.81726251, 10.43367169]"
150,"[7.46818382, 10.22869377]"
151,"[7.03855481, 10.49626145]"
152,"[6.71166303, 9.66188962]"
153,"[7.42856597, 9.27436254]"
154,"[8.46210801, 9.99047111]"
155,"[8.15536749, 10.46234835]"
156,"[7.65216634, 10.40757949]"
157,"[8.55816797, 10.34032101]"
158,"[8.71947153, 11.13835104]"
159,"[8.32970154, 9.74177318]"
160,"[7.30364621, 10.53570041]"
161,"[8.1210587, 9.86218658]"
162,"[7.77403733, 10.15278408]"
163,"[7.69092774, 10.99535245]"
164,"[8.81324304, 10.25153878]"
165,"[8.21438606, 10.11033263]"
166,"[7.5998301, 11.6484193]"
167,"[7.55284575, 12.30246472]"
168,"[8.18485401, 7.52288035]"
169,"[7.96039936, 7.49448432]"
170,"[8.10994557, 7.25761008]"
171,"[8.48913584, 7.89966106]"
172,"[8.31371628, 8.03110763]"
173,"[8.52373677, 8.35584241]"
174,"[8.31256621, 8.27622146]"
175,"[9.11593203, 8.29536368]"
176,"[9.33351176, 8.40703168]"
177,"[9.32245432, 9.17848458]"
178,"[7.78927204, 8.91143948]"
179,"[8.1350814, 9.26580408]"
180,"[8.34750925, 9.04444932]"
181,"[8.43137354, 8.69276516]"
182,"[8.48536196, 8.12697083]"
183,"[8.65310977, 8.7279661]"
184,"[8.79635446, 8.9884135]"
185,"[7.64538273, 7.11853624]"
186,"[7.57617263, 6.5739003]"
187,"[8.40112041, 7.75739683]"
188,"[8.70405531, 7.54008461]"
189,"[9.1689128, 7.98759981]"
190,"[9.00783253, 7.91155041]"
191,"[9.98302488, 8.51502871]"
192,"[9.84949288, 8.96794294]"
193,"[9.15624611, 5.99984959]"
194,"[9.16879257, 4.92451747]"
195,"[9.21748256, 7.33698805]"
196,"[9.20353467, 8.57432013]"
197,"[9.81069525, 8.65282003]"
198,"[10.28862731, 8.83386106]"
199,"[7.82721408, 7.67043769]"
200,"[8.54848487, 6.60696403]"
201,"[8.34294978, 6.92525429]"
202,"[8.01786294, 6.17671509]"
203,"[7.74414295, 7.88869014]"
204,"[7.55027609, 7.60655563]"
205,"[8.4348134, 7.12845656]"
206,"[7.99578408, 7.75754371]"
207,"[8.23043846, 7.83415537]"
208,"[8.68710462, 7.97434475]"
209,"[8.96820719, 8.23524508]"
210,"[8.82806158, 8.06378187]"
211,"[8.78634458, 8.1983933]"
212,"[8.16627763, 9.51951923]"
213,"[7.99624006, 9.14129684]"
214,"[7.75120506, 8.64972299]"
215,"[8.00967396, 8.92627901]"
216,"[8.31718751, 8.56628381]"
217,"[8.8807298, 8.30864958]"
218,"[8.5758354, 8.56808935]"
219,"[8.83392134, 8.50716841]"
220,"[8.69322755, 8.36478898]"
221,"[8.74562157, 8.62489484]"
222,"[9.01497603, 8.77151798]"
223,"[8.91276947, 5.18022425]"
224,"[8.67100015, 4.67642357]"
225,"[8.77951252, 5.74635957]"
226,"[9.19171379, 5.66853587]"
227,"[9.29918987, 6.30744848]"
228,"[9.46114972, 6.7157855]"
229,"[9.3307355, 7.55827697]"
230,"[9.18478002, 8.44870007]"
231,"[9.47908102, 8.28886972]"
232,"[9.47850289, 8.47819192]"
233,"[9.80465983, 8.50854542]"
234,"[10.62431402, 8.98190776]"
235,"[10.12844435, 8.99220682]"
236,"[12.62337108, -0.05245775]"
237,"[12.81544019, 0.18064842]"
238,"[12.38768078, 0.34219074]"
239,"[11.86342874, 0.77219127]"
240,"[11.27359401, 1.25398473]"
241,"[10.6384661, 1.81080476]"
242,"[10.02299007, 2.5230928]"
243,"[5.80630623, 1.53099125]"
244,"[5.64668222, 1.79069977]"
245,"[6.06737605, 1.90103215]"
246,"[6.60965212, 2.2510405]"
247,"[7.26652995, 2.56884976]"
248,"[8.00814718, 2.86428664]"
249,"[8.83574825, 3.14783027]"
250,"[7.08312046, 1.40151067]"
251,"[6.96362448, 1.66453067]"
252,"[7.40490306, 1.75895468]"
253,"[7.98358583, 2.09070519]"
254,"[8.63379189, 2.45418758]"
255,"[8.90821838, 2.31268073]"
256,"[9.3326022, 2.47695327]"
257,"[7.82713948, 0.83969128]"
258,"[7.65409697, 1.06682689]"
259,"[8.08092427, 1.20674949]"
260,"[8.58183123, 1.57808919]"
261,"[9.10298511, 2.04960663]"
262,"[9.46465274, 1.8380504]"
263,"[9.68505413, 2.24111688]"
264,"[9.68832819, 3.17396881]"
265,"[9.47271644, 3.91450299]"
266,"[10.28840212, 3.77984404]"
267,"[11.07794248, 3.65309109]"
268,"[11.87454216, 3.52920301]"
269,"[12.56985124, 3.56033895]"
270,"[13.23755884, 3.65538733]"
271,"[13.74185199, 3.91719818]"
272,"[14.02834695, 4.37020098]"
273,"[14.0477405, 4.92094397]"
274,"[13.85504814, 5.50913515]"
275,"[13.50025098, 6.12408251]"
276,"[12.99835385, 6.78342098]"
277,"[12.3500676, 7.54339978]"
278,"[11.7685763, 8.22514934]"
279,"[11.35734509, 8.25583814]"
280,"[11.76947975, 8.68432313]"
281,"[9.45654183, 3.6481534]"
282,"[10.39306936, 3.25137049]"
283,"[11.30512199, 2.87476359]"
284,"[12.14807073, 2.65472146]"
285,"[12.9745397, 2.50252899]"
286,"[13.68761238, 2.58138999]"
287,"[14.28047366, 2.85697882]"
288,"[14.72004159, 3.31368728]"
289,"[14.96278569, 3.91051998]"
290,"[14.99794332, 4.5774552]"
291,"[14.82200428, 5.27160683]"
292,"[14.44786982, 5.94891633]"
293,"[13.88453056, 6.58749233]"
294,"[13.13617482, 7.18853002]"
295,"[12.59416837, 7.72629784]"
296,"[12.29458066, 8.13195021]"
297,"[11.77237844, 8.48975374]"
298,"[9.78327608, 2.65451639]"
299,"[10.40451149, 2.62911469]"
300,"[10.91252524, 2.87477014]"
301,"[11.33710289, 3.28174058]"
302,"[11.59308382, 3.81665457]"
303,"[11.7436725, 4.37562729]"
304,"[11.73739223, 5.01124564]"
305,"[11.59553941, 5.73202168]"
306,"[11.32474568, 6.58941599]"
307,"[10.85691576, 7.61987517]"
308,"[11.23249033, 7.71038957]"
309,"[10.98971424, 8.06930835]"
310,"[11.3568887, 8.72412914]"
311,"[12.05626728, 9.099919]"
312,"[11.86059854, 9.20455528]"
313,"[12.05424207, 9.61114984]"
314,"[10.16621789, 2.31951507]"
315,"[10.9369754, 2.12731312]"
316,"[11.62903297, 2.06733654]"
317,"[12.23450599, 2.23847494]"
318,"[12.635712, 2.74075299]"
319,"[12.87584166, 3.35688245]"
320,"[12.86663485, 4.11122297]"
321,"[12.71769133, 4.88223363]"
322,"[12.42850994, 5.68187339]"
323,"[11.98640507, 6.54630425]"
324,"[11.37529683, 7.51278617]"
325,"[10.75144803, 8.22168089]"
326,"[11.16260085, 8.36047713]"
327,"[11.55699933, 8.96132698]"
328,"[11.91070099, 9.48673634]"
329,"[11.50548128, 9.682451]"
330,"[11.76681527, 10.26274863]"
331,"[8.01913927, 10.99278049]"
332,"[8.06922515, 11.73911103]"
333,"[6.52034461, 11.35597532]"
334,"[6.04375197, 12.30467963]"
335,"[7.84289464, 8.18161063]"
336,"[7.93667622, 8.00800644]"
337,"[7.34354899, 7.99240712]"
338,"[9.42569544, 2.83452385]"
339,"[9.03128094, 2.815581]"
340,"[8.97271019, 8.10225836]"
341,"[8.93163933, 7.25144019]"
342,"[12.59546844, 9.52943961]"
343,"[11.19889114, 9.41075468]"
344,"[12.44215324, 9.83493031]"
345,"[5.56154832, 8.55801811]"
346,"[5.85669283, 9.65712994]"
347,"[7.13158902, 11.03337364]"
348,"[7.89492741, 9.84194476]"
349,"[7.9335565, 10.65624509]"
350,"[6.99530328, 11.72830192]"
351,"[9.66507523, 7.6749167]"
352,"[10.43053151, 7.80906931]"
353,"[9.79778756, 8.33458132]"
354,"[9.9255158, 8.02690013]"
355,"[10.19701126, 8.515864]"
356,"[11.13334986, 8.61079892]"
357,"[10.07440991, 8.09295619]"
358,"[9.95517178, 8.38239644]"
359,"[10.08746294, 7.8227283]"
360,"[10.66541544, 8.46580208]"
361,"[10.30170377, 8.9959328]"
362,"[10.2663585, 7.93628518]"
363,"[10.50094008, 7.99689237]"
364,"[10.28385892, 8.31134591]"
365,"[10.20744178, 7.64191986]"
366,"[9.92988741, 8.65957062]"
367,"[10.48704866, 7.13596032]"
368,"[9.80119145, 9.08333506]"
369,"[10.51680829, 8.31875049]"
370,"[10.48372574, 8.51594568]"
371,"[10.16956878, 9.89703347]"
372,"[10.40794005, 9.97517312]"
373,"[9.79188656, 7.90097773]"
374,"[10.55898727, 8.15534637]"
375,"[10.62810533, 8.65487202]"
376,"[10.4499385, 8.73131145]"
377,"[10.3629254, 8.61401091]"
378,"[10.1135886, 8.81076594]"
379,"[10.10494509, 8.27290867]"
380,"[9.77138074, 8.1706825]"
381,"[9.87436338, 7.66088704]"
382,"[10.19074968, 7.20731847]"
383,"[10.11698035, 9.43976851]"
384,"[10.78713763, 8.87093164]"
385,"[10.57838523, 9.33612516]"
386,"[10.99445575, 8.98073461]"
387,"[10.6996963, 7.77535174]"
388,"[10.33239406, 8.15631343]"
389,"[10.00969899, 8.94856093]"
390,"[9.81212049, 9.30669418]"
391,"[10.17373247, 9.63109709]"
392,"[10.33435734, 9.37622599]"
393,"[10.45223247, 8.93736937]"
394,"[10.27280747, 9.13673967]"
395,"[10.20332414, 9.30349868]"
396,"[10.00455311, 9.10113463]"
397,"[9.92384309, 9.70628446]"
398,"[9.94442373, 9.3680836]"
399,"[10.07023421, 9.23293742]"
400,"[9.95610594, 9.51915344]"
401,"[9.65424166, 8.98192328]"
402,"[9.70800606, 8.82735143]"
403,"[10.19926175, 8.73182282]"
404,"[9.34508544, 8.77554181]"
405,"[9.44648283, 9.1623728]"
406,"[9.59490442, 8.62262034]"
407,"[9.41642996, 9.60183347]"
408,"[9.41890722, 9.33636007]"
409,"[11.98464509, 8.04344763]"
410,"[12.62039698, 8.33029742]"
411,"[10.90698381, 8.51440978]"
412,"[9.81395934, 8.84562709]"
413,"[9.6343432, 8.74193297]"
414,"[9.34714148, 9.01985723]"
415,"[9.89368984, 9.18339994]"
416,"[10.78591819, 9.17527452]"
417,"[9.24101509, 9.78196317]"
418,"[8.93694923, 9.48063579]"
419,"[9.93261807, 8.21072451]"
420,"[9.51928404, 8.91886297]"
421,"[9.60023545, 9.10219817]"
422,"[9.95262836, 8.80069274]"
423,"[9.3267138, 8.25528497]"
424,"[9.63882163, 8.07257466]"
425,"[9.75530751, 9.47625263]"
426,"[9.70767434, 9.95352697]"
427,"[9.74124114, 9.69649855]"
428,"[9.55033161, 9.24796055]"
429,"[9.19229311, 8.96594452]"
430,"[9.55408631, 9.45752449]"
431,"[10.08967558, 8.41830875]"
432,"[10.35655677, 8.42047879]"
433,"[10.09230583, 8.65026903]"
434,"[12.08540269, 8.37600592]"
435,"[12.21051872, 8.5768265]"
436,"[12.28430415, 8.96653469]"
437,"[12.58380819, 9.31144164]"
438,"[12.92060458, 9.71928126]"
439,"[12.51092147, 10.08590883]"
440,"[11.88503473, 10.87455087]"
441,"[12.44948822, 8.74006697]"
442,"[12.05640833, 8.80538259]"
443,"[12.1549731, 9.31944316]"
444,"[12.1775438, 9.83059921]"
445,"[12.74198463, 10.37780983]"
446,"[12.89454922, 10.82888089]"
447,"[12.16945389, 10.08574735]"
448,"[12.32842542, 10.5610579]"
449,"[11.65857431, 10.69685562]"
450,"[11.58033436, 11.24508144]"
451,"[10.98392807, 10.25657444]"
452,"[11.31565181, 9.97459247]"
453,"[11.34600838, 10.22193614]"
454,"[11.03035912, 10.73182723]"
455,"[11.0367848, 11.42814314]"
456,"[11.351164, 11.06663867]"
457,"[11.58792017, 11.72353261]"
458,"[11.90191347, 9.00399078]"
459,"[12.05091537, 10.69345789]"
460,"[12.38355826, 9.54804308]"
461,"[11.65041402, 9.51993496]"
462,"[12.69015377, 9.8928839]"
463,"[12.11540989, 10.33419784]"
464,"[12.50481755, 9.06776572]"
465,"[11.94826804, 10.11512908]"
466,"[10.89182966, 9.58873269]"
467,"[11.6919135, 10.05519929]"
468,"[11.83107297, 9.70844067]"
