# source, target, certainty, references, evidence
6,125,2,"array([ 2,  3,  4, 18, 29], dtype=int16)","array([1, 9], dtype=int16)"
6,136,2,"array([ 2,  3,  4, 12, 22, 29], dtype=int16)","array([1, 9], dtype=int16)"
6,138,2,"array([ 2,  3,  4, 22, 29], dtype=int16)","array([1, 9], dtype=int16)"
6,139,2,"array([ 2,  3,  4, 18, 29], dtype=int16)","array([1, 9], dtype=int16)"
6,215,2,"array([ 2,  3,  4, 22, 29], dtype=int16)","array([1, 9], dtype=int16)"
15,0,3,"array([  3,   4,  46, 190], dtype=int16)","array([1, 5, 9], dtype=int16)"
17,124,2,"array([ 3,  4, 18, 29], dtype=int16)","array([1, 9], dtype=int16)"
17,125,2,"array([ 3,  4, 18, 29], dtype=int16)","array([1, 9], dtype=int16)"
17,137,2,"array([ 2,  4, 18, 29], dtype=int16)","array([1, 9], dtype=int16)"
17,138,2,"array([ 2,  4, 22, 29], dtype=int16)","array([1, 9], dtype=int16)"
17,139,2,"array([ 3,  4, 18, 29], dtype=int16)","array([1, 9], dtype=int16)"
18,0,3,"array([  2,   3,   4,  46, 190], dtype=int16)","array([1, 5, 9], dtype=int16)"
21,5,2,"array([3, 4, 8], dtype=int16)","array([1, 9], dtype=int16)"
21,14,2,"array([3, 4, 8], dtype=int16)","array([1, 9], dtype=int16)"
22,5,2,"array([2, 4, 8], dtype=int16)","array([1, 9], dtype=int16)"
22,11,2,"array([3, 4, 8], dtype=int16)","array([1, 9], dtype=int16)"
23,5,2,"array([3, 4, 8], dtype=int16)","array([1, 9], dtype=int16)"
23,11,2,"array([3, 4, 8], dtype=int16)","array([1, 9], dtype=int16)"
24,5,2,"array([3, 4, 8], dtype=int16)","array([1, 9], dtype=int16)"
24,14,3,"array([3, 4, 8], dtype=int16)","array([1, 5, 9], dtype=int16)"
25,11,2,"array([ 3,  4,  9, 10, 11, 12], dtype=int16)","array([1, 9], dtype=int16)"
25,16,3,"array([3, 4, 8], dtype=int16)","array([1, 5, 9], dtype=int16)"
26,14,2,"array([  2,   3,   4,  22, 191], dtype=int16)","array([1, 9], dtype=int16)"
28,4,3,"array([ 3,  4, 12, 22], dtype=int16)","array([1, 5, 9], dtype=int16)"
29,4,3,"array([ 3,  4,  6, 10, 11, 33], dtype=int16)","array([1, 3, 9], dtype=int16)"
29,7,3,"array([ 6, 10, 11, 33], dtype=int16)","array([1, 3, 9], dtype=int16)"
30,7,3,"array([ 3,  4, 10, 11], dtype=int16)","array([1, 3, 9], dtype=int16)"
220,16,3,"array([18], dtype=int16)","array([1, 3, 9], dtype=int16)"
220,220,3,"array([ 3,  4, 18], dtype=int16)","array([3], dtype=int16)"
221,40,2,"array([12, 18, 62], dtype=int16)","array([1, 4], dtype=int16)"
221,94,2,"array([18], dtype=int16)","array([1, 4], dtype=int16)"
222,104,2,"array([18], dtype=int16)","array([1, 4], dtype=int16)"
223,134,2,"array([10, 18, 22], dtype=int16)","array([1, 4], dtype=int16)"
224,149,3,"array([18, 19, 22], dtype=int16)","array([1, 4, 5], dtype=int16)"
225,80,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
226,66,3,"array([11, 22], dtype=int16)","array([1, 3], dtype=int16)"
227,0,3,"array([ 1,  2, 28], dtype=int16)","array([1, 3, 9], dtype=int16)"
227,152,3,"array([18, 28], dtype=int16)","array([1, 3], dtype=int16)"
228,159,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
