# index, _pos
0,"[-0.70030582, 9.90226247]"
1,"[-0.62358251, 9.95641036]"
2,"[-0.57975359, 9.89131293]"
3,"[-0.65859784, 9.80591387]"
4,"[-0.6448276, 9.89141705]"
5,"[-0.56355527, 9.85553848]"
6,"[-0.86067914, 10.15183954]"
7,"[-0.72767834, 10.10366423]"
8,"[-0.59038718, 9.79285]"
9,"[-0.62952064, 9.94872941]"
10,"[-0.54575304, 9.84697245]"
11,"[-0.83379882, 10.0895605]"
12,"[-0.74236, 10.20425466]"
13,"[-0.80193769, 10.27371599]"
14,"[-0.77297779, 10.29223406]"
15,"[-0.78100478, 10.1871773]"
16,"[-0.82779234, 10.25745937]"
17,"[-0.74874124, 10.19207914]"
18,"[-0.76306512, 10.19275301]"
19,"[-0.75558283, 10.17644819]"
20,"[-0.77950203, 10.13361749]"
21,"[-0.72819325, 10.21695805]"
22,"[-0.78011428, 10.15462941]"
23,"[-0.84929689, 10.2308307]"
24,"[-0.76155872, 10.16356144]"
25,"[-0.82217617, 10.17282421]"
26,"[-0.73576498, 10.16305347]"
27,"[-0.64724528, 10.10844243]"
28,"[-0.7146128, 10.07531515]"
29,"[-0.52997289, 10.13500551]"
30,"[-0.59319963, 9.93884042]"
31,"[-0.79826207, 10.06812296]"
32,"[-0.69998098, 9.99018607]"
33,"[-0.76396928, 10.06953361]"
34,"[-0.70962123, 9.99530631]"
35,"[-0.76708047, 10.01826994]"
36,"[-0.68452729, 9.87614966]"
37,"[-0.74281293, 10.07529797]"
38,"[-0.6642, 10.01174615]"
39,"[-0.72503922, 10.04468313]"
40,"[-0.63932507, 10.00365637]"
41,"[-0.72218076, 10.02419583]"
42,"[-0.60789261, 9.8488403]"
43,"[-0.71012976, 10.02043451]"
44,"[-0.60615121, 9.93912529]"
45,"[-0.54923474, 10.00297715]"
46,"[-0.61945265, 9.93760961]"
47,"[-0.67401192, 10.14293084]"
48,"[-0.55051331, 10.13362426]"
49,"[-0.70767493, 10.09340047]"
50,"[-0.55544364, 10.02762847]"
51,"[-0.81465925, 10.1139336]"
52,"[-0.80301554, 10.12632299]"
53,"[-0.76393546, 10.10594966]"
54,"[-0.80236748, 10.09971682]"
55,"[-0.85091065, 10.10442648]"
56,"[-0.74907418, 10.21883671]"
57,"[-0.76675595, 10.23857382]"
58,"[-0.59788372, 10.11720299]"
59,"[-0.7408177, 10.17558772]"
60,"[-0.75713303, 10.15277725]"
61,"[-0.77521411, 10.17143629]"
62,"[-0.7853948, 10.2066482]"
63,"[-0.78590752, 10.11906992]"
64,"[-0.72746544, 10.18392135]"
65,"[-0.82297471, 10.13078431]"
66,"[-0.76648146, 10.14252094]"
67,"[-0.7273454, 9.97772358]"
68,"[-0.76821652, 10.21271775]"
69,"[-0.80550541, 10.1509816]"
70,"[-0.74184132, 10.14185366]"
71,"[-0.76512167, 10.12288517]"
72,"[-0.80076355, 10.19345081]"
73,"[-0.74605516, 10.12335193]"
74,"[-0.72564926, 10.15193652]"
75,"[-0.67699022, 10.16140445]"
76,"[-0.74236554, 10.10668763]"
77,"[-0.73983512, 10.09297894]"
78,"[-0.77652971, 10.09141587]"
79,"[-0.74599961, 10.15695414]"
80,"[-0.70279751, 10.21882302]"
81,"[-0.65239289, 10.12574091]"
82,"[-0.69098378, 10.17827551]"
83,"[-0.63965214, 10.1455059]"
84,"[-0.62408396, 10.1123285]"
85,"[-0.72252199, 10.16949295]"
86,"[-0.79881606, 10.23070744]"
87,"[-0.7221766, 10.19685891]"
88,"[-0.66193563, 10.0903946]"
89,"[-0.70562671, 10.17440164]"
90,"[-0.69395315, 10.10974345]"
91,"[-0.63513534, 10.01255545]"
92,"[-0.66306182, 10.02598206]"
93,"[-0.6466248, 10.04225887]"
94,"[-0.66772128, 10.07184741]"
95,"[-0.67850296, 10.04929601]"
96,"[-0.68075782, 10.03668649]"
97,"[-0.6060714, 9.98254116]"
98,"[-0.72099883, 9.98989925]"
99,"[-0.67190632, 9.9529242]"
100,"[-0.65510302, 9.93552126]"
101,"[-0.73922359, 9.97059898]"
102,"[-0.62542002, 9.92544078]"
103,"[-0.75060727, 10.02733735]"
