# source, target, _graphml_edge_id, weight
0,518,,2
0,978,,1
1,789,,1
1,218,,1
1,1052,,1
1,117,,4
1,1118,,1
2,108,,1
2,297,,1
2,117,,2
2,41,,1
2,1118,,1
3,352,,1
3,218,,5
3,1308,,1
3,914,,1
3,1288,,1
3,657,,1
3,49,,2
3,587,,1
4,283,,1
4,518,,4
4,436,,2
5,1185,,1
6,352,,2
6,440,,1
6,117,,1
6,297,,2
6,470,,1
7,390,,1
7,283,,3
7,518,,1
7,1161,,1
7,482,,1
7,657,,3
7,1072,,1
7,117,,2
7,218,,1
7,1118,,2
8,283,,22
8,197,,1
8,1421,,1
8,218,,4
8,792,,1
8,169,,1
9,352,,1
9,518,,1
10,896,,1
11,117,,1
11,1161,,1
12,940,,1
12,1025,,1
12,117,,1
12,932,,1
13,657,,2
14,733,,2
14,352,,2
15,641,,1
15,218,,1
15,518,,2
15,482,,3
15,1155,,2
15,659,,1
16,117,,1
17,218,,1
17,117,,1
17,1161,,2
18,303,,1
18,518,,1
19,297,,2
20,297,,3
20,218,,1
20,117,,4
20,514,,2
21,117,,1
22,57,,1
22,218,,1
22,518,,1
23,218,,1
24,1325,,1
24,833,,1
24,1346,,2
24,518,,4
24,1008,,1
24,1237,,1
24,1324,,1
24,661,,1
24,133,,2
24,654,,2
24,841,,2
24,1228,,2
24,919,,2
24,117,,8
24,995,,1
24,1178,,1
24,218,,1
24,733,,4
24,480,,1
24,239,,1
24,173,,1
24,44,,4
24,349,,1
24,1440,,1
24,944,,3
25,283,,1
26,802,,1
26,117,,1
27,1195,,1
27,1004,,1
28,1360,,1
28,218,,1
28,876,,2
28,580,,1
28,1177,,1
28,779,,1
28,1000,,3
29,1360,,1
30,1360,,1
30,117,,1
30,1484,,3
30,1142,,1
30,657,,1
30,1428,,1
30,454,,1
30,733,,1
30,218,,1
30,81,,2
30,349,,3
30,443,,3
30,696,,1
30,827,,1
31,443,,1
32,1360,,1
33,120,,1
33,533,,1
33,218,,1
33,967,,3
33,440,,1
33,1135,,1
33,86,,2
34,657,,2
35,657,,1
35,117,,1
35,1161,,4
36,1288,,1
36,134,,1
36,674,,1
37,1288,,1
38,218,,1
38,674,,1
38,914,,2
38,352,,1
38,657,,1
38,117,,1
38,623,,1
38,836,,1
39,117,,1
39,1161,,1
40,186,,1
40,218,,1
41,108,,1
41,117,,2
41,297,,1
41,1118,,1
42,1086,,1
42,117,,2
43,766,,3
43,578,,1
43,94,,1
43,1049,,1
43,406,,1
43,212,,1
43,769,,1
43,581,,3
43,1428,,6
43,489,,66
43,1447,,2
43,1360,,18
43,218,,82
43,442,,1
43,492,,1
43,586,,1
43,778,,1
43,592,,4
43,1433,,1
43,1441,,1
43,1335,,1
43,227,,2
43,1066,,1
43,1427,,1
43,1068,,2
43,880,,1
43,602,,1
43,117,,272
43,49,,47
43,700,,1
43,240,,1
43,125,,1
43,713,,1
