# source, target
0,1
0,2
1,21
1,27
1,37
1,46
1,52
1,58
1,61
1,128
1,79
1,19
1,295
1,342
1,356
1,382
1,7
1,498
1,155
1,789
1,438
1,810
1,813
1,819
1,826
1,828
1,832
1,835
1,714
1,33
1,569
1,5
1,1018
1,386
1,575
1,215
1,258
1,180
1,264
1,1045
1,1048
1,642
1,22
1,1078
1,340
1,11
1,53
1,981
1,231
1,217
1,349
1,987
1,1108
1,436
1,80
1,571
1,14
1,747
1,1159
1,216
1,654
1,28
1,1169
1,410
1,193
1,1175
1,1162
1,1177
1,307
1,1190
1,846
1,428
1,23
1,25
1,103
1,1170
1,1224
1,1225
1,192
1,1231
1,1232
1,211
1,30
1,483
1,137
1,140
1,384
1,1264
1,1269
1,62
1,136
1,1241
1,330
1,877
1,15
1,20
1,105
1,1273
1,880
1,595
1,1274
1,1275
1,232
1,111
1,29
1,392
1,237
1,1276
1,2
1,1277
1,426
1,67
1,385
1,885
1,121
1,1278
1,1279
1,1280
1,74
1,892
1,270
1,439
1,95
1,626
1,741
1,553
1,888
1,306
1,88
1,1281
1,1282
1,961
1,446
1,963
1,865
1,638
1,159
1,1283
1,1284
1,273
1,348
1,1129
1,1285
1,1286
1,1287
1,70
1,651
1,63
1,453
1,1288
1,18
1,857
1,201
1,202
1,1289
1,764
1,122
1,1217
1,1290
1,761
1,285
1,1176
1,1046
1,1291
1,478
1,481
1,675
1,914
1,100
1,228
1,1292
1,90
1,1293
1,1294
1,1295
1,901
1,1296
1,1233
1,690
1,1297
1,1298
1,468
1,983
1,495
1,696
1,81
1,1299
1,703
1,705
1,1008
1,1300
1,680
1,240
1,1301
1,48
1,1302
1,482
1,1246
1,912
1,175
1,1303
1,1304
1,254
1,383
1,526
1,235
1,996
1,850
1,1305
1,918
1,1306
1,1037
1,17
1,739
1,1307
1,738
1,16
1,195
1,1004
1,8
1,550
1,186
1,554
1,1308
1,1309
1,708
1,557
1,927
1,42
1,1260
1,1310
1,1311
1,729
1,173
1,292
1,361
1,1312
1,45
1,40
1,1270
1,1313
1,1314
2,128
2,19
2,388
2,7
2,199
2,836
2,665
2,5
2,22
2,80
2,14
2,307
2,429
2,103
2,184
2,211
2,30
2,1220
2,702
2,18
2,1111
2,1406
2,741
2,45
2,411
2,431
2,1419
2,996
2,100
2,1435
2,90
2,205
2,17
2,1377
2,738
2,761
2,1407
2,1303
2,1278
3,4
3,5
3,6
3,7
3,8
4,7
4,5
4,6
4,8
5,13
5,27
5,32
5,46
5,51
5,55
5,58
5,60
5,61
5,89
5,97
5,108
5,120
5,124
5,128
5,222
5,224
5,19
5,267
5,295
5,296
5,297
5,59
5,310
5,321
5,323
5,324
5,327
5,328
5,337
5,342
5,343
5,345
5,346
5,347
5,355
5,364
5,356
5,382
5,388
5,402
5,7
5,438
5,792
5,802
5,803
5,663
5,805
5,806
5,810
5,813
5,36
5,821
5,828
5,572
5,199
5,555
5,125
5,559
5,33
5,862
5,864
5,573
5,774
5,665
5,299
5,28
5,368
5,135
5,876
5,877
5,408
5,878
5,447
5,193
5,879
5,880
5,48
5,416
5,881
5,302
5,307
5,172
5,421
5,237
5,882
5,94
5,158
5,426
5,883
5,884
5,428
5,429
5,885
5,628
5,886
5,359
5,23
5,887
5,88
5,866
5,25
5,103
5,741
5,888
5,889
5,890
5,719
5,891
5,14
5,63
5,892
5,893
5,273
5,26
5,192
5,455
5,29
5,458
5,894
5,849
5,462
5,895
5,841
5,202
5,465
5,122
5,469
5,471
5,472
5,380
5,896
5,285
5,211
5,897
5,475
5,30
5,898
5,478
5,479
5,899
5,483
5,381
5,485
5,486
5,900
5,90
5,901
5,488
5,600
5,384
5,301
5,493
5,902
5,495
5,834
5,903
5,350
5,501
5,91
5,904
5,298
5,905
5,240
5,906
5,907
5,908
5,303
5,909
5,910
5,171
5,911
5,912
5,175
5,913
5,914
5,915
5,489
5,526
5,110
5,916
5,917
5,918
5,530
5,17
5,535
5,187
5,829
5,919
5,920
5,73
5,226
5,550
5,921
5,922
5,865
5,923
5,924
5,925
5,926
5,927
5,928
5,42
5,929
5,208
5,930
5,361
5,40
5,931
5,932
5,933
5,62
5,92
5,934
5,935
5,936
5,357
5,15
5,20
5,590
5,937
5,938
5,143
5,939
5,940
5,595
5,360
5,941
5,942
5,601
5,943
5,111
5,944
5,945
5,386
5,946
5,317
5,606
5,392
5,534
5,157
5,159
5,137
5,612
5,947
5,948
5,949
5,614
5,385
5,950
5,951
5,121
5,952
5,619
5,953
5,289
5,575
5,954
5,174
5,794
5,270
5,955
5,624
5,95
5,626
5,956
5,306
5,180
5,957
5,958
5,959
5,960
5,41
5,961
5,101
5,962
5,963
5,636
5,872
5,964
5,638
5,965
5,189
5,641
5,348
5,362
5,22
5,966
5,644
5,967
5,968
5,651
5,18
5,653
5,49
5,969
5,654
5,473
5,970
5,971
5,204
5,282
5,972
5,973
5,974
5,16
5,11
5,688
5,668
5,975
5,80
5,287
5,976
5,93
5,118
5,674
5,977
5,592
5,6
5,978
5,100
5,793
5,634
5,681
5,764
5,979
5,635
5,980
5,981
5,666
5,982
5,983
5,231
5,723
5,707
5,441
5,984
5,235
5,705
5,985
5,349
5,986
5,987
5,988
5,989
5,990
5,436
5,991
5,247
5,248
5,305
5,992
5,993
5,251
5,724
5,994
5,995
5,383
5,370
5,996
5,997
5,998
5,999
5,223
5,1000
5,545
5,740
5,269
5,742
5,558
5,1001
5,747
5,1002
5,749
5,1003
5,752
5,753
5,1004
5,8
5,279
5,1005
5,1006
5,1007
5,1008
5,759
5,280
5,1009
5,662
5,1010
5,418
5,527
5,452
5,771
5,173
5,773
5,1011
5,45
5,1012
5,522
5,1013
5,1014
5,778
6,7
6,8
7,9
7,24
7,27
7,38
7,39
7,50
7,51
7,55
7,57
7,61
7,84
7,97
7,115
7,120
7,123
7,12
7,126
7,128
7,79
7,221
7,222
7,19
7,293
7,297
7,59
7,308
7,313
7,316
7,323
7,327
7,329
7,333
7,337
7,113
7,343
7,345
7,346
7,353
7,355
7,356
7,382
7,387
7,10
7,394
7,399
7,401
7,368
7,302
7,405
7,330
7,406
7,407
7,25
7,62
7,408
7,409
7,410
7,411
7,105
7,94
7,412
7,413
7,414
7,415
7,416
7,417
7,418
7,307
7,378
7,136
7,419
7,420
7,421
7,422
7,341
7,423
7,237
7,269
7,424
7,425
7,158
7,426
7,67
7,427
7,428
7,429
7,241
7,85
7,430
7,167
7,431
7,432
7,359
7,23
7,433
7,169
7,304
7,434
7,88
7,435
7,436
7,437
7,438
7,103
7,439
7,176
7,440
7,15
7,441
7,442
7,443
7,444
7,14
7,445
7,446
7,184
7,447
7,63
7,448
7,449
7,450
7,451
7,452
7,453
7,454
7,192
7,455
7,29
7,456
7,457
7,458
7,459
7,460
7,461
7,462
7,463
7,26
7,464
7,465
7,466
7,122
7,205
7,467
7,468
7,469
7,470
7,471
7,472
7,380
7,473
7,285
7,211
7,474
7,475
7,30
7,476
7,477
