# index, _graphml_vertex_id, _pos
0,TS-dot Engineering Ltd.,"array([2.74286065, 3.03090657])"
1,HealthWEST,"array([2.59316329, 3.10844431])"
2,Guardian Health Care (Bupa),"array([2.56670813, 3.11524895])"
3,Otago Museum,"array([2.66556114, 2.97979468])"
4,Dynamic Controls Ltd.,"array([2.6623534 , 3.02264571])"
5,Education House,"array([2.96514131, 3.76836074])"
6,Anglesea Medical Properties Ltd,"array([2.62953719, 3.04354107])"
7,Fisher and Paykel Healthcare Ltd.,"array([2.61774164, 3.03376015])"
8,High Performance Sport New Zealand,"array([2.54134809, 3.00281366])"
9,Greerton Early Childhood Centre,"array([2.75995452, 3.0007096 ])"
10,Crown Fibre Holdings Limited,"array([2.56731279, 2.2035709 ])"
11,QE Health,"array([2.53885949, 3.09813974])"
12,Eli Lilly and Company (New Zealand) Limited,"array([2.60840549, 3.10983152])"
13,Global Action for Health Equity Network (HealthGAEN),"array([2.55588978, 2.85248102])"
14,Amalgamates Solutions and Research Ltd.,"array([2.76321454, 2.95489452])"
15,New Zealand Institute of Community Health Care,"array([2.6938214 , 3.08197939])"
16,Fisher and Paykel Appliances,"array([2.51107429, 3.16188972])"
17,Quay Park Medical Centre,"array([2.61298455, 3.11685826])"
18,Harker Underground Construction Limited,"array([2.80429121, 3.04531536])"
19,Green Lane Hospital,"array([2.58682586, 3.19732021])"
20,Te Pou,"array([2.58330167, 3.1237405 ])"
21,Alcohol Healthwatch Trust,"array([2.48052879, 3.09053607])"
22,Otago Community Hospice,"array([2.70954773, 3.06487083])"
23,Akaroa Medical Centre,"array([2.64961245, 3.19861484])"
24,Beca,"array([2.68747325, 3.03156732])"
25,New Zealand Cricket,"array([2.47786017, 2.9863939 ])"
26,Cape Kidnappers and Ocean Beach Wildlife Preserve,"array([2.44898136, 3.06690684])"
27,Wicksteed Medical Services Whanganui Regional PHO,"array([2.52360282, 2.9685311 ])"
28,Cameron Medical Clinic,"array([2.68345226, 3.08315911])"
29,Edmund Lawler and Associates Limited,"array([2.7956311 , 3.00216005])"
30,Meteorological Service of New Zealand Ltd.,"array([2.68495917, 2.98766049])"
31,Carson Associates Ltd.,"array([2.78427905, 2.878952  ])"
32,The Breast Centre,"array([2.77283458, 2.99447777])"
33,Pathlab,"array([2.57445679, 3.10495263])"
34,Livestock Solutions and Services,"array([2.55913206, 2.89020095])"
35,Mental Health Foundation of New Zealand,"array([2.55516697, 3.0141205 ])"
36,Cambridge Veterinary Services,"array([2.58260453, 2.89470246])"
37,Mt. Aspiring Geochemical Ltd.,"array([2.68825287, 2.82426937])"
38,Hamilton Zoo,"array([2.61571168, 2.9921012 ])"
39,Roche Products Limited,"array([2.55885129, 3.12344454])"
40,The Life Flight Trust,"array([2.68666561, 3.13295686])"
41,AC Research Associates,"array([2.55772473, 3.10323042])"
42,Crawford Medical Centre,"array([2.4883345 , 3.02076435])"
43,Plant and Food Research,"array([2.59250392, 2.9471293 ])"
44,New Zealand Transport Agency,"array([2.70683178, 3.0931181 ])"
45,Eastland Veterinary Services Ltd.,"array([2.52893535, 2.92083746])"
46,IPENZ,"array([2.6716991 , 3.03493509])"
47,PHARMAC,"array([2.60211301, 3.08385186])"
48,Energy Efficiency and Conservation Authority,"array([2.67894241, 3.03094063])"
49,Landcare Research,"array([2.66662905, 2.95002504])"
50,HEB Construction,"array([2.76728244, 3.15126653])"
51,StretchSense Ltd,"array([2.50915922, 3.11509205])"
52,CH and Associates,"array([2.67885101, 2.91962297])"
53,OSPRI,"array([2.63223189, 2.96188038])"
54,LightBox Psychology Services,"array([2.74019479, 3.09163878])"
55,West Coast Primary Health Organisation,"array([2.74584545, 3.12213672])"
56,South Canterbury District Health Board,"array([2.61819396, 3.08831219])"
57,Otago Polytechnic,"array([2.64495358, 3.03348086])"
58,New Zealand Heart and Lung Transplant Service,"array([2.54445998, 3.09166269])"
59,Agri-Optic NZ Ltd.,"array([2.58767419, 2.84084069])"
60,Symes de Silva House,"array([2.74855779, 3.13173268])"
61,Syngenta Crop Protection Ltd.,"array([2.54792056, 2.95208973])"
62,Common Ground Ltd,"array([2.67162577, 2.92703562])"
63,Auckland Heart Group,"array([2.55923739, 3.0840176 ])"
64,Western Springs College,"array([2.77144314, 3.02288642])"
65,Aorangi Veterinary Services,"array([2.46351427, 2.9126753 ])"
66,Nielsen Company,"array([2.51656309, 3.06409897])"
67,Dairy Production Systems Ltd.,"array([2.71064991, 2.74346191])"
68,Oritain Global Ltd.,"array([2.7463262 , 3.16898034])"
69,Applied Research Associates New Zealand,"array([2.78415777, 2.98018775])"
70,Rotorua General Practice Group,"array([2.62180822, 3.12725638])"
71,Whatever It Takes (WIT),"array([2.73433145, 3.15603184])"
72,Upper Hutt City Library,"array([2.74673685, 3.05982108])"
73,PriceWaterhouse Coopers (PwC),"array([2.64631945, 3.0093402 ])"
74,Ruaimoko Productions and Consultancy Ltd.,"array([2.71885115, 3.18780934])"
75,Air Quality Ltd.,"array([2.56889679, 3.04154161])"
76,AgriQuality Limited,"array([2.50425555, 2.87833066])"
77,Occupational Medicine Specialists,"array([2.57483915, 2.86717561])"
78,Supporters of Tiritiri Matangi,"array([2.68628937, 2.89277439])"
79,Pinnacle Group Ltd,"array([2.54738539, 3.0088919 ])"
80,Orca Research Trust,"array([2.55252103, 2.82068963])"
81,Interpine,"array([2.75501166, 2.94450523])"
82,Turanga Health,"array([2.6433159 , 3.07923564])"
83,Te Puna Hauora Medical Centre,"array([2.61718355, 3.20597077])"
84,NZ Strong Construction,"array([2.77481018, 3.20067526])"
85,PollenPlus Ltd.,"array([1.88295957, 2.65870267])"
86,Skin Centre,"array([2.53612387, 3.07430704])"
87,Hospice Palliative Care Education,"array([2.71632739, 3.07173275])"
88,New Zealand Police,"array([2.59409165, 3.02414406])"
89,The Boardroom Practice Limited,"array([2.4656977 , 2.96299029])"
90,Tipu Ora Community Dental Service,"array([2.59150906, 3.12372617])"
91,Genesis Research & Development Corporation Ltd,"array([2.60997462, 3.13697351])"
92,Samantha Gray Consulting,"array([2.5584095 , 2.90120569])"
93,Magic Sparks Early Learning and Development Centre,"array([2.68905203, 3.0454631 ])"
94,Environment Protection Authority(EPA),"array([2.64275391, 2.94272629])"
95,Enviro Research,"array([2.68156762, 2.83376105])"
96,Earthtech Consulting Limited,"array([2.48451289, 3.12399385])"
97,Tairawhiti District Health Board,"array([2.61941049, 3.06263069])"
98,DNA Investments Ltd.,"array([2.66247292, 2.85251998])"
99,New Zealand Olympic Committee,"array([2.69533116, 3.17006718])"
100,Market Economics Ltd.,"array([2.60205658, 2.84709385])"
101,New Zealand Merino Company Ltd.,"array([2.63027693, 2.84431879])"
102,MidCentral District Health Board,"array([2.6101475, 3.0744492])"
103,New Zealand Brain Research Institute,"array([2.64346197, 3.05384608])"
104,Blue Water Marine Research,"array([2.57479371, 2.99021343])"
105,Dairy Goat Co-operative (NZ) Ltd.,"array([2.62256314, 2.9582552 ])"
106,International Society for Skiing Safety,"array([2.54296964, 3.01797226])"
107,Cropmark Seeds Limited,"array([2.66404037, 2.89832873])"
108,Erin Park,"array([2.55976187, 3.11129958])"
109,PipeTechnologies,"array([2.5688248 , 3.14966503])"
110,Visitor Solutions,"array([2.64012109, 2.91600234])"
111,New Zealand Tertiary College,"array([2.52445936, 3.01351487])"
112,W. M. Consultancy Ltd,"array([2.70978744, 2.82780826])"
113,Raukatauri Music Therapy Centre,"array([2.49029954, 3.11578371])"
114,Te Whare o Ngati Kahu Hauora,"array([2.72630099, 3.17109048])"
