# index, _pos
0,"[2.74286065, 3.03090657]"
1,"[2.70138831, 3.04292854]"
2,"[2.66740883, 2.99681276]"
3,"[2.59316329, 3.10844431]"
4,"[2.59343673, 3.1161535]"
5,"[2.65822878, 3.07489312]"
6,"[2.60056752, 3.11312037]"
7,"[2.57192375, 3.05780982]"
8,"[2.59662629, 3.06400344]"
9,"[2.56670813, 3.11524895]"
10,"[2.55976187, 3.11129958]"
11,"[2.60593934, 3.08967618]"
12,"[2.55772473, 3.10323042]"
13,"[2.66556114, 2.97979468]"
14,"[2.69165745, 2.97974099]"
15,"[2.66048343, 3.00074364]"
16,"[2.6515426, 2.98417074]"
17,"[2.65261127, 2.93072317]"
18,"[2.60938654, 2.94488663]"
19,"[2.66662905, 2.95002504]"
20,"[2.66593925, 2.98902819]"
21,"[2.6623534, 3.02264571]"
22,"[2.58190671, 3.00256356]"
23,"[2.63672395, 2.9893646]"
24,"[2.62953719, 3.04354107]"
25,"[2.59191566, 3.0345056]"
26,"[2.62295856, 3.0428624]"
27,"[2.61774164, 3.03376015]"
28,"[2.66734329, 3.02637423]"
29,"[2.59433457, 3.07942097]"
30,"[2.65381694, 3.05441661]"
31,"[2.56199802, 3.05612796]"
32,"[2.54134809, 3.00281366]"
33,"[2.63981338, 2.96378549]"
34,"[2.44050179, 2.97963966]"
35,"[2.44482431, 2.96471854]"
36,"[2.56840807, 3.0498407]"
37,"[2.75995452, 3.0007096]"
38,"[2.53885949, 3.09813974]"
39,"[2.60840549, 3.10983152]"
40,"[2.63067578, 3.05030764]"
41,"[2.62963685, 3.09072514]"
42,"[2.642585, 3.08566221]"
43,"[2.55588978, 2.85248102]"
44,"[2.76321454, 2.95489452]"
45,"[2.70129491, 2.9846605]"
46,"[2.6938214, 3.08197939]"
47,"[2.73070313, 3.08321384]"
48,"[2.70039598, 3.06915891]"
49,"[2.65286159, 3.03670207]"
50,"[2.51107429, 3.16188972]"
51,"[2.61298455, 3.11685826]"
52,"[2.80429121, 3.04531536]"
53,"[2.79470619, 3.05346569]"
54,"[2.58682586, 3.19732021]"
55,"[2.58330167, 3.1237405]"
56,"[2.55680333, 3.15531191]"
57,"[2.48052879, 3.09053607]"
58,"[2.70954773, 3.06487083]"
59,"[2.64495358, 3.03348086]"
60,"[2.64961245, 3.19861484]"
61,"[2.68747325, 3.03156732]"
62,"[2.70645385, 3.00851749]"
63,"[2.65756926, 2.98552649]"
64,"[2.73230957, 3.00594852]"
65,"[2.74733611, 3.00241994]"
66,"[2.72378454, 3.01077068]"
67,"[2.67743905, 3.00176741]"
68,"[2.69192674, 3.03773288]"
69,"[2.73446233, 3.01385798]"
70,"[2.67002568, 3.05096483]"
71,"[2.73921875, 3.02065209]"
72,"[2.74197079, 3.01068394]"
73,"[2.64845586, 2.99551524]"
74,"[2.67580883, 3.05454048]"
75,"[2.68067072, 2.99225464]"
76,"[2.71897759, 2.99066724]"
77,"[2.72669368, 2.99833988]"
78,"[2.62935833, 3.12149192]"
79,"[2.70683178, 3.0931181]"
80,"[2.67166216, 2.97533259]"
81,"[2.66566189, 3.07553578]"
82,"[2.69321786, 3.00645263]"
83,"[2.47786017, 2.9863939]"
84,"[2.44898136, 3.06690684]"
85,"[2.45913958, 3.08014458]"
86,"[2.52360282, 2.9685311]"
87,"[2.5179543, 2.97625887]"
88,"[2.61115828, 3.01969408]"
89,"[2.68345226, 3.08315911]"
90,"[2.6817245, 3.02091606]"
91,"[2.64403077, 3.07237266]"
92,"[2.67162951, 3.10777852]"
93,"[2.68188654, 3.09132358]"
94,"[2.65154029, 3.07128897]"
95,"[2.63025925, 3.0560203]"
96,"[2.7956311, 3.00216005]"
97,"[2.68495917, 2.98766049]"
98,"[2.73721997, 2.95312083]"
99,"[2.73061863, 2.93559124]"
100,"[2.62857281, 2.99226078]"
101,"[2.7389607, 3.00060106]"
102,"[2.75501166, 2.94450523]"
103,"[2.69665512, 2.95594186]"
104,"[2.74067394, 2.93525652]"
105,"[2.65079395, 3.01696771]"
106,"[2.78427905, 2.878952]"
107,"[2.77283458, 2.99447777]"
108,"[2.57445679, 3.10495263]"
109,"[2.56067248, 3.03802136]"
110,"[2.63056187, 3.13065275]"
111,"[2.6138461, 3.05808812]"
112,"[2.52049057, 3.1977682]"
113,"[2.53612387, 3.07430704]"
114,"[2.55913206, 2.89020095]"
115,"[2.55516697, 3.0141205]"
116,"[2.58260453, 2.89470246]"
117,"[2.57878478, 2.90185449]"
118,"[2.56168442, 2.95543892]"
119,"[2.68825287, 2.82426937]"
120,"[2.61571168, 2.9921012]"
121,"[2.66461768, 2.97239874]"
122,"[2.62687849, 3.00001382]"
123,"[2.55885129, 3.12344454]"
124,"[2.68666561, 3.13295686]"
125,"[2.64725235, 3.06593708]"
126,"[2.4883345, 3.02076435]"
127,"[2.49738804, 3.02341395]"
128,"[2.59250392, 2.9471293]"
129,"[2.53928204, 2.89383156]"
130,"[2.50624721, 2.8667258]"
131,"[2.64275391, 2.94272629]"
132,"[2.51799721, 2.86374353]"
133,"[2.58468417, 2.86782672]"
134,"[2.62613605, 2.88843057]"
135,"[2.59779431, 3.01097818]"
136,"[2.64109461, 2.97672157]"
137,"[2.62861862, 3.01641833]"
138,"[2.55158626, 2.92149495]"
139,"[2.6302877, 2.90633341]"
140,"[2.65167316, 2.94033045]"
141,"[2.55619968, 2.91018916]"
142,"[2.60044732, 2.90848543]"
143,"[2.61265477, 3.04065566]"
144,"[2.51007018, 2.89769031]"
145,"[2.52863261, 2.98847585]"
146,"[2.51959088, 2.85031063]"
147,"[2.57617425, 2.91212323]"
148,"[2.58554959, 2.91106831]"
149,"[2.55261138, 2.96741838]"
150,"[2.61876693, 2.91779845]"
151,"[2.56732618, 2.90336813]"
152,"[2.60764213, 2.970901]"
153,"[2.49462131, 2.88496109]"
154,"[2.52299711, 2.88407294]"
155,"[2.63674366, 3.00127866]"
156,"[2.53187199, 2.94337006]"
157,"[2.64791924, 2.96358735]"
158,"[2.60691534, 2.99093044]"
159,"[2.65245313, 3.01167112]"
160,"[2.59362105, 2.86525602]"
161,"[2.50240526, 2.89089017]"
162,"[2.5055972, 2.9081054]"
163,"[2.51483789, 2.87459224]"
164,"[2.49220582, 2.90885224]"
165,"[2.5848815, 2.85011442]"
166,"[2.62225612, 2.90966927]"
167,"[2.57822977, 2.96877708]"
168,"[2.50966418, 2.85603993]"
169,"[2.58979535, 3.00223964]"
170,"[2.51190323, 2.88536406]"
171,"[2.6029455, 3.00396341]"
172,"[2.58677342, 3.05185863]"
173,"[2.66078561, 2.99313613]"
174,"[2.6098797, 2.97945568]"
175,"[2.64304814, 2.95913494]"
176,"[2.61660168, 2.97732657]"
177,"[2.56842435, 2.89466211]"
178,"[2.66976041, 2.96627071]"
179,"[2.49631582, 2.87183278]"
180,"[2.66085336, 2.96736363]"
181,"[2.6309103, 2.86384528]"
182,"[2.5213873, 2.98495606]"
183,"[2.52081868, 2.89254888]"
184,"[2.58848714, 2.98077191]"
185,"[2.64369819, 2.92513705]"
186,"[2.67699396, 2.96173439]"
187,"[2.63590658, 2.97255949]"
188,"[2.50346274, 2.91805196]"
189,"[2.58792231, 3.01038535]"
190,"[2.59826463, 2.89922005]"
191,"[2.56682668, 2.91367325]"
192,"[2.64280584, 2.9686792]"
193,"[2.66987763, 2.96063618]"
194,"[2.59040249, 2.90225555]"
195,"[2.63541374, 2.98048973]"
196,"[2.52935054, 2.89905647]"
197,"[2.60617544, 2.89318125]"
198,"[2.63959909, 2.86558069]"
199,"[2.62750696, 3.00914454]"
200,"[2.49832619, 2.90038329]"
201,"[2.65466507, 2.95591394]"
202,"[2.6735636, 2.99404149]"
203,"[2.48921357, 2.89693762]"
204,"[2.62284126, 2.97273527]"
205,"[2.61858685, 2.98413643]"
206,"[2.50425555, 2.87833066]"
207,"[2.49222755, 2.91970697]"
208,"[2.57486828, 3.01999851]"
209,"[2.60148113, 2.95794124]"
210,"[2.60407785, 2.94065692]"
211,"[2.64235854, 2.98369277]"
212,"[2.58241158, 2.98622598]"
213,"[2.5584095, 2.90120569]"
214,"[2.74920101, 3.07356721]"
215,"[2.67422065, 3.07834451]"
216,"[2.70082104, 3.01345848]"
217,"[2.67299332, 3.0988185]"
218,"[2.77687563, 3.16748943]"
219,"[2.78868854, 3.15492675]"
220,"[2.52893535, 2.92083746]"
221,"[2.6716991, 3.03493509]"
222,"[2.60211301, 3.08385186]"
223,"[2.62218554, 3.05581198]"
224,"[2.67894241, 3.03094063]"
225,"[2.74314725, 3.04035326]"
226,"[2.61836049, 3.07429895]"
227,"[2.7389545, 2.86245143]"
228,"[2.64707368, 2.98850967]"
229,"[2.72182772, 2.84889367]"
230,"[2.7008305, 2.90913917]"
231,"[2.65792048, 3.01605477]"
232,"[2.73949129, 2.97166759]"
233,"[2.65370317, 2.92312861]"
234,"[2.72773987, 2.85998072]"
235,"[2.65637192, 2.97464575]"
236,"[2.64486062, 2.88279962]"
237,"[2.61911579, 3.01960003]"
238,"[2.73453664, 2.96363754]"
239,"[2.71630966, 2.85862118]"
240,"[2.65532857, 3.02261862]"
241,"[2.62907037, 2.94128644]"
242,"[2.65322786, 2.88395755]"
243,"[2.63831921, 2.90453593]"
244,"[2.71166013, 2.93484638]"
245,"[2.73349066, 2.85070616]"
246,"[2.62535109, 2.93220895]"
247,"[2.6758345, 2.98699427]"
248,"[2.69404402, 2.99740111]"
249,"[2.67799344, 2.89472854]"
250,"[2.64897835, 2.89222286]"
251,"[2.70094487, 3.00252195]"
252,"[2.62485984, 2.98794389]"
253,"[2.74114697, 2.87479896]"
254,"[2.67212968, 2.95414576]"
255,"[2.64811012, 2.9782849]"
256,"[2.7312624, 2.87139078]"
257,"[2.67644813, 2.94909073]"
258,"[2.6595507, 2.97923836]"
259,"[2.70866226, 2.95027604]"
260,"[2.68463099, 2.87232608]"
261,"[2.72186374, 2.86787351]"
262,"[2.7015935, 2.92481655]"
263,"[2.61074544, 2.91051025]"
264,"[2.68400028, 2.97237005]"
265,"[2.69613757, 2.8562627]"
266,"[2.67885101, 2.91962297]"
267,"[2.63223189, 2.96188038]"
268,"[2.73430779, 2.92689051]"
269,"[2.65507516, 2.9989327]"
270,"[2.6877385, 2.99680771]"
271,"[2.67214698, 2.8763519]"
272,"[2.70948028, 2.85025342]"
273,"[2.71110035, 2.99324398]"
