# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,101
1,7
1,8
1,9
1,10
1,11
1,12
1,93
2,13
2,14
2,15
2,10
2,11
2,12
2,23
2,111
3,16
3,17
3,18
3,5
3,4
3,48
3,66
3,95
3,69
3,75
3,115
4,13
4,19
4,20
4,21
4,22
4,23
4,5
4,24
4,52
4,7
4,27
5,64
5,18
5,75
6,56
7,49
7,79
7,11
7,25
8,13
8,11
8,39
8,51
8,29
8,84
8,85
8,25
8,28
8,19
8,22
8,100
8,32
8,21
8,27
8,56
9,24
9,13
9,27
9,28
9,23
9,52
9,20
9,15
9,99
9,82
9,105
9,84
9,56
9,107
10,50
10,64
10,13
10,86
10,22
10,99
10,84
10,92
10,75
11,24
11,13
11,29
11,25
11,30
11,87
11,98
11,81
11,89
11,27
11,108
11,84
12,83
12,15
12,101
12,17
12,105
12,92
12,93
13,24
13,26
13,19
13,22
13,99
13,104
13,21
13,27
14,52
14,71
14,22
14,89
14,34
14,17
14,56
15,19
15,27
15,92
15,78
15,25
15,101
16,61
16,87
16,67
16,41
16,88
16,89
16,66
16,104
17,34
17,29
17,36
17,37
17,58
17,28
17,71
17,88
17,33
17,31
17,89
17,45
17,72
17,107
17,115
18,49
18,60
18,77
18,30
18,53
18,66
18,108
19,25
20,44
20,87
20,77
20,40
20,82
20,80
20,101
20,102
20,108
21,104
21,79
22,52
22,86
22,54
22,78
22,25
22,85
22,81
22,89
22,108
22,75
23,83
23,105
23,84
23,78
24,25
25,30
25,31
25,32
25,29
25,38
25,77
25,85
25,45
25,107
26,79
26,27
26,41
26,40
26,62
26,86
27,32
27,82
27,90
27,59
28,29
28,61
28,51
28,39
28,100
28,85
28,110
28,70
28,114
29,33
29,34
29,35
29,37
29,39
29,48
29,62
29,65
29,68
29,51
29,87
29,76
29,95
29,88
29,97
29,98
29,102
29,57
29,105
29,110
29,114
30,60
30,67
30,37
30,64
30,31
30,65
30,100
31,63
31,45
31,58
31,64
31,76
32,34
32,49
32,40
32,102
32,38
32,82
32,92
33,34
33,35
33,36
33,37
33,38
33,48
33,63
33,87
33,77
33,95
33,98
33,103
33,53
34,36
34,37
34,55
34,43
34,71
35,36
35,38
35,40
35,48
35,61
35,62
35,68
35,77
35,76
35,88
35,53
35,110
36,38
36,41
36,42
36,48
36,77
37,43
37,58
37,98
37,103
38,44
38,45
38,40
39,46
39,47
39,48
39,40
39,54
39,55
39,56
39,50
39,62
39,65
39,68
39,51
39,102
39,114
40,44
40,97
40,62
40,55
40,91
40,57
40,103
41,63
41,66
41,104
41,73
41,85
41,89
41,106
42,67
42,77
42,97
43,71
43,83
44,47
44,79
44,80
44,81
44,87
44,67
44,77
44,72
45,77
45,81
45,78
45,72
46,47
46,48
46,49
46,50
46,109
46,111
46,116
47,51
47,52
47,50
47,109
47,116
48,53
49,57
49,58
49,59
49,53
49,108
50,54
50,61
50,51
50,108
50,109
50,78
50,111
50,116
52,79
52,82
52,83
52,103
53,58
53,66
53,106
53,107
54,78
55,74
55,85
55,69
55,113
56,84
56,111
57,82
57,104
58,65
58,68
58,78
58,70
58,75
60,61
60,62
60,63
60,64
60,65
60,74
60,97
60,75
61,66
61,63
62,68
62,69
62,70
62,71
62,72
62,74
62,112
63,73
63,66
63,69
64,74
64,75
64,76
64,88
65,68
65,88
65,75
66,73
66,89
66,103
66,84
67,87
67,74
67,80
69,83
70,89
71,86
72,103
73,83
73,85
74,76
74,90
74,91
74,115
76,86
76,92
77,87
77,81
78,84
78,92
79,101
79,80
79,103
79,89
79,94
83,93
83,94
85,100
85,101
86,99
88,95
88,112
88,113
89,96
89,106
91,115
92,101
95,96
100,101
104,105
106,107
108,111
108,112
109,116
