# index, _pos
0,"array([-5.09617461,  0.16026783])"
1,"array([-5.02258343,  0.20839804])"
2,"array([-5.06827554,  0.18718954])"
3,"array([-5.1615406 ,  0.31351257])"
4,"array([-5.05113635,  0.23459082])"
5,"array([-5.16602462,  0.21068716])"
6,"array([-5.10428138,  0.07486212])"
7,"array([-5.05026188,  0.16743835])"
8,"array([-5.03068146,  0.23867698])"
9,"array([-5.06983562,  0.24698432])"
10,"array([-5.08543535,  0.26850518])"
11,"array([-5.10322428,  0.2820547 ])"
12,"array([-5.19178047,  0.37363322])"
13,"array([-5.1428112 ,  0.35233978])"
14,"array([-5.18664367,  0.3077615 ])"
15,"array([-5.2207907 ,  0.35667858])"
16,"array([-5.20657762,  0.4064809 ])"
17,"array([-5.12610321,  0.33660659])"
18,"array([-5.16962635,  0.35961606])"
19,"array([-5.23547843,  0.21454261])"
20,"array([-5.19375706,  0.21842766])"
21,"array([-5.24295361,  0.31158574])"
22,"array([-5.20507058,  0.25250041])"
23,"array([-5.10508934,  0.30804934])"
24,"array([-5.21972189,  0.18927882])"
25,"array([-5.24755087,  0.34642512])"
26,"array([-5.22569726,  0.33133681])"
27,"array([-5.17213   ,  0.29493332])"
28,"array([-5.19215518,  0.3512482 ])"
29,"array([-5.17783765,  0.42605634])"
30,"array([-5.2018496 ,  0.28141296])"
31,"array([-5.19989609,  0.32318384])"
32,"array([-5.26730561,  0.28947091])"
33,"array([-5.27875414,  0.32233222])"
34,"array([-5.21190292,  0.30189871])"
35,"array([-5.09354686,  0.36126273])"
36,"array([-5.18874177,  0.19024805])"
37,"array([-5.05623979,  0.29182775])"
38,"array([-5.00998874,  0.28019381])"
39,"array([-5.10020734,  0.23845896])"
40,"array([-5.11221396,  0.20961474])"
41,"array([-5.01161822,  0.25136563])"
42,"array([-5.10623702,  0.38850926])"
43,"array([-5.12228418,  0.4439112 ])"
44,"array([-5.07054887,  0.31774109])"
45,"array([-5.15292523,  0.41141803])"
46,"array([-5.14249874,  0.3920972 ])"
47,"array([-5.18321136,  0.39661474])"
48,"array([-5.15029992,  0.29002431])"
49,"array([-5.04100313,  0.44410606])"
50,"array([-5.22455803,  0.38013499])"
51,"array([-5.16650238,  0.48933946])"
52,"array([-5.0491456 ,  0.33358834])"
53,"array([-5.18466249,  0.25366926])"
54,"array([-5.12460304,  0.37568118])"
55,"array([-5.04568024,  0.38427886])"
56,"array([-5.10133768,  0.33119739])"
57,"array([-4.98431395,  0.33801855])"
58,"array([-5.26474263,  0.38960525])"
59,"array([-5.26943596,  0.35895453])"
60,"array([-5.24229132,  0.45942993])"
61,"array([-5.2476969 ,  0.42018426])"
62,"array([-5.14634458,  0.37138807])"
63,"array([-5.20236887,  0.48431121])"
64,"array([-5.16867856,  0.2715131 ])"
65,"array([-5.02126619,  0.17131785])"
66,"array([-5.04165988,  0.19660174])"
67,"array([-5.05116839,  0.25809249])"
68,"array([-5.12224541,  0.24216836])"
69,"array([-4.9948291 ,  0.19110206])"
70,"array([-5.14154186,  0.22076919])"
71,"array([-5.06233764,  0.21911549])"
72,"array([-5.12611483,  0.29592603])"
73,"array([-5.15733984,  0.33745924])"
74,"array([-5.08402146,  0.29878695])"
75,"array([-5.02347849,  0.4010481 ])"
76,"array([-4.99494967,  0.30963779])"
77,"array([-5.01618914,  0.33797745])"
78,"array([-5.07553891,  0.34116939])"
79,"array([-5.14237238,  0.25835447])"
80,"array([-5.05307729,  0.35706445])"
81,"array([-5.01654871,  0.36279944])"
82,"array([-5.03259183,  0.27935847])"
83,"array([-5.09937448,  0.41475671])"
84,"array([-4.97959814,  0.26733206])"
85,"array([-5.07145092,  0.3974672 ])"
86,"array([-5.12058382,  0.35488092])"
87,"array([-4.91301316,  0.36341661])"
88,"array([-5.02550456,  0.30440721])"
89,"array([-4.9702975 ,  0.36938385])"
90,"array([-5.00173389,  0.22605315])"
91,"array([-5.16568979,  0.38403201])"
92,"array([-5.16955288,  0.23804477])"
93,"array([-5.08907917,  0.21816974])"
94,"array([-5.28152014,  0.16256642])"
95,"array([-5.28615621,  0.2652831 ])"
96,"array([-5.13654193,  0.31838965])"
97,"array([-5.13419237,  0.19407632])"
98,"array([-5.06840524,  0.42231327])"
99,"array([-5.17793751,  0.33097378])"
100,"array([-5.11303885,  0.26614233])"
101,"array([-5.12814482,  0.16382152])"
102,"array([-5.09094668,  0.18932808])"
103,"array([-5.12388502,  0.41105897])"
104,"array([-5.24028981,  0.28110496])"
105,"array([-5.14618342,  0.43596443])"
106,"array([-5.09628668,  0.4536048 ])"
107,"array([-5.08242604,  0.37808322])"
108,"array([-5.2276738 ,  0.24748032])"
109,"array([-4.935546  ,  0.27036451])"
110,"array([-5.19959151,  0.16046575])"
111,"array([-5.16996058,  0.13949905])"
112,"array([-5.30200921,  0.29850811])"
113,"array([-5.32950685,  0.4089765 ])"
114,"array([-5.27399585,  0.2265537 ])"
115,"array([-5.20572977,  0.44088966])"
116,"array([-5.25522471,  0.13808087])"
117,"array([-5.34946612,  0.91275382])"
118,"array([-5.40711636,  0.94347754])"
119,"array([-5.37965888,  0.92387587])"
120,"array([-5.43118863,  0.93728018])"
121,"array([-5.3018377 ,  1.00291457])"
122,"array([-5.30556397,  0.92955587])"
123,"array([-5.29068615,  0.9611459 ])"
124,"array([-5.38320062,  0.9508665 ])"
125,"array([-5.34923818,  0.94315179])"
126,"array([-5.46517543,  0.93061582])"
127,"array([-5.49096403,  0.89415538])"
128,"array([-5.48358069,  0.94970347])"
129,"array([-5.51676116,  1.01915263])"
130,"array([-5.45150778,  0.8730747 ])"
131,"array([-5.4496899 ,  0.91434864])"
132,"array([-5.52792392,  0.88104348])"
133,"array([-5.45895844,  0.9771263 ])"
134,"array([-5.38639196,  1.03133784])"
135,"array([-5.41292183,  0.97190191])"
136,"array([-5.37665758,  0.98231651])"
137,"array([-5.48923241,  0.99010258])"
138,"array([-5.49286292,  0.92092683])"
139,"array([-5.47533144,  1.04291453])"
140,"array([-5.5188131 ,  0.97595098])"
141,"array([-5.41424409,  0.91256479])"
142,"array([-5.43682629,  0.99378722])"
