# index, _pos
0,"[-5.09617461, 0.16026783]"
1,"[-5.02258343, 0.20839804]"
2,"[-5.06827554, 0.18718954]"
3,"[-5.1615406, 0.31351257]"
4,"[-5.05113635, 0.23459082]"
5,"[-5.16602462, 0.21068716]"
6,"[-5.10428138, 0.07486212]"
7,"[-5.00998874, 0.28019381]"
8,"[-5.10020734, 0.23845896]"
9,"[-5.06983562, 0.24698432]"
10,"[-5.11221396, 0.20961474]"
11,"[-5.08543535, 0.26850518]"
12,"[-5.01161822, 0.25136563]"
13,"[-5.03068146, 0.23867698]"
14,"[-5.11303885, 0.26614233]"
15,"[-5.04165988, 0.19660174]"
16,"[-5.15292523, 0.41141803]"
17,"[-5.15733984, 0.33745924]"
18,"[-5.19989609, 0.32318384]"
19,"[-5.02126619, 0.17131785]"
20,"[-5.07054887, 0.31774109]"
21,"[-4.97959814, 0.26733206]"
22,"[-5.12224541, 0.24216836]"
23,"[-5.00173389, 0.22605315]"
24,"[-5.05026188, 0.16743835]"
25,"[-5.10322428, 0.2820547]"
26,"[-5.0491456, 0.33358834]"
27,"[-5.02550456, 0.30440721]"
28,"[-5.18466249, 0.25366926]"
29,"[-5.18664367, 0.3077615]"
30,"[-5.17213, 0.29493332]"
31,"[-5.17793751, 0.33097378]"
32,"[-5.08402146, 0.29878695]"
33,"[-5.19178047, 0.37363322]"
34,"[-5.1428112, 0.35233978]"
35,"[-5.2207907, 0.35667858]"
36,"[-5.20657762, 0.4064809]"
37,"[-5.12610321, 0.33660659]"
38,"[-5.16962635, 0.35961606]"
39,"[-5.20507058, 0.25250041]"
40,"[-5.14634458, 0.37138807]"
41,"[-5.09937448, 0.41475671]"
42,"[-5.20236887, 0.48431121]"
43,"[-5.04568024, 0.38427886]"
44,"[-5.09354686, 0.36126273]"
45,"[-5.13654193, 0.31838965]"
46,"[-5.23547843, 0.21454261]"
47,"[-5.19375706, 0.21842766]"
48,"[-5.24295361, 0.31158574]"
49,"[-5.10508934, 0.30804934]"
50,"[-5.21972189, 0.18927882]"
51,"[-5.18874177, 0.19024805]"
52,"[-5.05623979, 0.29182775]"
53,"[-5.16568979, 0.38403201]"
54,"[-5.19959151, 0.16046575]"
55,"[-5.22455803, 0.38013499]"
56,"[-5.12814482, 0.16382152]"
57,"[-5.05307729, 0.35706445]"
58,"[-5.21190292, 0.30189871]"
59,"[-4.9702975, 0.36938385]"
60,"[-5.24755087, 0.34642512]"
61,"[-5.22569726, 0.33133681]"
62,"[-5.19215518, 0.3512482]"
63,"[-5.17783765, 0.42605634]"
64,"[-5.2018496, 0.28141296]"
65,"[-5.26730561, 0.28947091]"
66,"[-5.12460304, 0.37568118]"
67,"[-5.12228418, 0.4439112]"
68,"[-5.27875414, 0.32233222]"
69,"[-5.12388502, 0.41105897]"
70,"[-5.24028981, 0.28110496]"
71,"[-5.10133768, 0.33119739]"
72,"[-5.14618342, 0.43596443]"
73,"[-5.06840524, 0.42231327]"
74,"[-5.18321136, 0.39661474]"
75,"[-5.2276738, 0.24748032]"
76,"[-5.15029992, 0.29002431]"
77,"[-5.14249874, 0.3920972]"
78,"[-5.13419237, 0.19407632]"
79,"[-5.01618914, 0.33797745]"
80,"[-5.02347849, 0.4010481]"
81,"[-5.07553891, 0.34116939]"
82,"[-4.99494967, 0.30963779]"
83,"[-4.98431395, 0.33801855]"
84,"[-5.08907917, 0.21816974]"
85,"[-5.12611483, 0.29592603]"
86,"[-5.05116839, 0.25809249]"
87,"[-5.10623702, 0.38850926]"
88,"[-5.26943596, 0.35895453]"
89,"[-5.12058382, 0.35488092]"
90,"[-5.04100313, 0.44410606]"
91,"[-5.16650238, 0.48933946]"
92,"[-5.09094668, 0.18932808]"
93,"[-4.935546, 0.27036451]"
94,"[-4.91301316, 0.36341661]"
95,"[-5.26474263, 0.38960525]"
96,"[-5.24229132, 0.45942993]"
97,"[-5.2476969, 0.42018426]"
98,"[-5.16867856, 0.2715131]"
99,"[-4.9948291, 0.19110206]"
100,"[-5.14154186, 0.22076919]"
101,"[-5.06233764, 0.21911549]"
102,"[-5.14237238, 0.25835447]"
103,"[-5.07145092, 0.3974672]"
104,"[-5.01654871, 0.36279944]"
105,"[-5.03259183, 0.27935847]"
106,"[-5.09628668, 0.4536048]"
107,"[-5.08242604, 0.37808322]"
108,"[-5.16955288, 0.23804477]"
109,"[-5.28152014, 0.16256642]"
110,"[-5.28615621, 0.2652831]"
111,"[-5.16996058, 0.13949905]"
112,"[-5.30200921, 0.29850811]"
113,"[-5.32950685, 0.4089765]"
114,"[-5.27399585, 0.2265537]"
115,"[-5.20572977, 0.44088966]"
116,"[-5.25522471, 0.13808087]"
