# source, target
0,1
1,12
1,48
1,66
1,103
1,108
1,128
1,142
1,149
1,167
1,238
1,243
1,285
1,318
1,334
1,335
1,383
1,384
1,390
1,398
1,408
1,438
1,442
1,444
1,455
1,458
1,469
1,472
1,474
1,476
1,481
1,497
1,522
1,530
1,533
1,545
1,584
1,596
1,605
1,630
1,632
1,637
1,655
1,667
1,675
1,707
1,756
1,757
1,758
1,760
2,3
3,16
3,29
3,38
3,52
3,53
3,54
3,55
3,61
3,76
3,85
3,86
3,88
3,89
3,198
3,209
3,210
3,223
3,257
3,269
3,273
3,285
3,301
3,351
3,383
3,387
3,390
3,395
3,416
3,424
3,451
3,453
3,463
3,472
3,474
3,491
3,492
3,511
3,513
3,514
3,519
3,521
3,524
3,545
3,546
3,554
3,571
3,572
3,597
3,598
3,599
3,613
3,632
3,641
3,653
3,658
3,667
3,670
3,671
3,674
3,692
3,698
3,703
3,722
3,739
3,755
4,5
4,6
5,15
5,52
5,54
5,55
5,61
5,70
5,75
5,82
5,83
5,84
5,85
5,87
5,88
5,89
5,91
5,92
5,95
5,99
5,100
5,101
5,110
5,111
5,112
5,113
5,114
5,115
5,117
5,118
5,119
5,127
5,137
5,138
5,187
5,196
5,200
5,203
5,205
5,208
5,217
5,218
5,235
5,242
5,248
5,250
5,264
5,265
5,266
5,267
5,268
5,283
5,285
5,286
5,287
5,304
5,309
5,311
5,312
5,314
5,317
5,320
5,321
5,332
5,336
5,338
5,339
5,340
5,341
5,342
5,343
5,345
5,346
5,347
5,349
5,350
5,351
5,352
5,353
5,354
5,355
5,356
5,359
5,362
5,363
5,366
5,367
5,368
5,369
5,370
5,371
5,373
5,377
5,378
5,383
5,387
5,392
5,400
5,406
5,408
5,411
5,420
5,422
5,423
5,426
5,439
5,440
5,447
5,450
5,452
5,462
5,472
5,474
5,480
5,484
5,485
5,486
5,487
5,488
5,489
5,494
5,498
5,504
5,505
5,506
5,509
5,511
5,513
5,514
5,519
5,527
5,532
5,537
5,538
5,539
5,545
5,547
5,548
5,549
5,551
5,552
5,553
5,555
5,556
5,557
5,572
5,573
5,582
5,602
5,607
5,609
5,613
5,627
5,628
5,633
5,636
5,638
5,645
5,646
5,647
5,649
5,651
5,657
5,658
5,661
5,667
5,674
5,679
5,681
5,690
5,694
5,696
5,697
5,699
5,701
5,702
5,703
5,704
5,719
5,724
5,725
5,726
5,727
5,728
5,729
5,730
5,731
5,733
5,765
5,766
6,15
6,17
6,31
6,32
6,52
6,61
6,74
6,76
6,82
6,85
6,88
6,93
6,116
6,197
6,258
6,261
6,268
6,285
6,311
6,325
6,331
6,333
6,337
6,352
6,383
6,387
6,406
6,432
6,463
6,472
6,474
6,494
6,500
6,501
6,505
6,519
6,528
6,545
6,550
6,565
6,617
6,656
6,662
6,710
6,745
7,8
7,9
8,69
8,84
8,149
8,216
8,230
8,246
8,250
8,290
8,348
8,381
8,383
8,387
8,414
8,425
8,518
8,524
8,568
8,594
8,640
9,42
9,103
9,108
9,167
9,178
9,184
9,211
9,224
9,225
9,228
9,230
9,290
9,331
9,381
9,419
9,430
9,433
9,434
9,463
9,479
9,481
9,543
9,583
9,666
9,709
9,720
9,747
9,749
10,11
11,20
11,32
11,67
11,120
11,136
11,230
11,246
11,344
11,360
11,365
11,385
11,387
11,396
11,477
11,532
11,545
11,558
11,713
11,760
12,13
12,14
13,18
13,20
13,123
13,141
13,167
13,207
13,236
13,249
13,256
13,276
13,326
13,327
13,328
13,329
13,387
13,401
13,405
13,412
13,417
13,427
13,429
13,446
13,461
13,474
13,478
13,479
13,574
13,584
13,585
13,587
13,605
13,610
13,614
13,624
13,625
13,632
13,658
13,660
13,761
14,164
14,167
14,296
14,383
14,428
14,456
14,472
14,481
14,497
14,632
14,737
18,19
19,72
19,76
19,94
19,103
19,129
19,142
19,193
19,228
19,230
19,239
19,253
19,255
19,319
19,462
19,494
19,536
19,613
19,648
20,21
21,98
21,103
21,108
21,142
21,240
21,293
21,322
21,387
21,389
21,394
21,417
21,484
21,516
21,632
21,634
21,639
21,682
21,683
21,689
21,747
22,23
22,24
23,134
23,140
23,292
23,300
23,402
23,461
23,478
23,479
23,493
23,588
23,610
23,616
23,650
23,658
23,663
23,718
24,31
24,121
24,195
24,215
24,246
24,249
24,254
24,264
24,282
24,352
24,359
24,421
24,445
24,490
24,494
24,608
24,609
24,622
24,642
24,711
24,723
24,743
25,26
25,27
26,38
26,48
26,49
26,66
26,68
26,82
26,97
26,103
26,122
26,124
26,135
26,141
26,142
26,149
26,167
26,204
26,212
26,214
26,237
26,239
26,259
26,271
26,277
26,285
26,294
26,299
26,303
26,310
26,330
26,374
26,387
26,389
26,390
26,391
26,394
26,397
26,401
26,405
26,408
26,409
26,413
26,457
26,459
26,474
26,479
26,484
26,503
26,507
26,545
26,560
26,563
26,577
26,584
26,586
26,588
26,590
26,592
26,604
26,605
26,606
26,611
26,618
26,621
26,643
