# index, _pos
0,"[-0.56541095, -2.76309565]"
1,"[-0.40025748, -2.66074327]"
2,"[-0.63223248, -2.40234299]"
3,"[-0.51546393, -2.43974064]"
4,"[-0.43413974, -2.21909686]"
5,"[-0.39090413, -2.13981384]"
6,"[-0.49056522, -2.33187807]"
7,"[0.00344004, -2.41288263]"
8,"[-0.12463866, -2.40415496]"
9,"[-0.06037901, -2.49413818]"
10,"[-0.58904878, -2.53636672]"
11,"[-0.45276712, -2.47257477]"
12,"[-0.28042435, -2.70720254]"
13,"[-0.11014363, -2.69273383]"
14,"[-0.33552319, -2.59445954]"
15,"[-0.48379349, -2.22687859]"
16,"[-0.72822626, -2.46858724]"
17,"[-0.66435208, -2.23279731]"
18,"[-0.16469178, -2.57093325]"
19,"[-0.26024958, -2.44594526]"
20,"[-0.29935785, -2.62563198]"
21,"[-0.29616391, -2.68151585]"
22,"[0.02692111, -2.32054556]"
23,"[0.04565705, -2.53922419]"
24,"[-0.11401224, -2.16184329]"
25,"[-0.3775112, -2.62612406]"
26,"[-0.31597762, -2.75406202]"
27,"[-0.40673299, -2.45206471]"
28,"[-0.53878174, -2.4638196]"
29,"[-0.54480122, -2.3699234]"
30,"[-0.4568922, -2.37854748]"
31,"[-0.30143002, -2.22141482]"
32,"[-0.50600742, -2.54371206]"
33,"[-0.53708806, -2.77527824]"
34,"[-0.4909048, -2.67868607]"
35,"[-0.15875006, -2.60183947]"
36,"[-0.16885434, -2.73391629]"
37,"[-0.21394308, -2.45247527]"
38,"[-0.46353124, -2.62230621]"
39,"[-0.36604341, -2.58424891]"
40,"[-0.33280717, -2.51690708]"
41,"[-0.35864766, -2.55487214]"
42,"[-0.193294, -2.51566529]"
43,"[-0.19930353, -2.22893358]"
44,"[-0.29789154, -2.32086342]"
45,"[-0.11753148, -2.25802547]"
46,"[-0.22238553, -3.03392287]"
47,"[-0.25292307, -2.8575501]"
48,"[-0.37032407, -2.76561825]"
49,"[-0.20304287, -2.8278008]"
50,"[-0.85484771, -2.41392024]"
51,"[-0.73098403, -2.34264617]"
52,"[-0.42210001, -2.34559787]"
53,"[-0.6733449, -2.55658257]"
54,"[-0.34091083, -2.27052861]"
55,"[-0.37506188, -2.32704738]"
56,"[-0.28546129, -2.35407034]"
57,"[-0.02938036, -2.28915381]"
58,"[-0.18226986, -2.38830296]"
59,"[-0.37031329, -2.26505363]"
60,"[-0.22831798, -2.30185481]"
61,"[-0.41285612, -2.37192068]"
62,"[-0.35974546, -2.52418499]"
63,"[-0.0411039, -2.37925362]"
64,"[-0.20496239, -2.41017397]"
65,"[-0.06040723, -2.3990873]"
66,"[-0.39415485, -2.79492411]"
67,"[-0.57584597, -2.51028129]"
68,"[-0.26479727, -2.95244599]"
69,"[0.0334925, -2.3544876]"
70,"[-0.17543688, -2.25188349]"
71,"[0.05206675, -2.31003872]"
72,"[-0.1722441, -2.3342592]"
73,"[0.19224747, -2.2990059]"
74,"[-0.59320509, -2.2833265]"
75,"[-0.338039, -1.93559275]"
76,"[-0.42623546, -2.43886343]"
77,"[-0.27211832, -2.56029629]"
78,"[-0.16500442, -2.52169447]"
79,"[-0.04501087, -2.46753751]"
80,"[-0.14808824, -2.62647384]"
81,"[-0.000979455638, -2.19106535]"
82,"[-0.39677806, -2.43077562]"
83,"[-0.36248586, -2.0853205]"
84,"[-0.15087135, -2.24262957]"
85,"[-0.44310926, -2.36061584]"
86,"[-0.70635647, -2.37925808]"
87,"[-0.48627312, -2.10846443]"
88,"[-0.49773639, -2.28756695]"
89,"[-0.49332053, -2.26010662]"
90,"[-0.88215391, -2.38261499]"
91,"[-0.60553535, -2.18790288]"
92,"[-0.47785783, -2.16422703]"
93,"[-0.66517686, -2.28623249]"
94,"[-0.15624454, -2.40292706]"
95,"[-0.48649862, -1.9804192]"
96,"[-0.82194244, -2.27712256]"
97,"[-0.30965203, -2.84856403]"
98,"[-0.29148703, -2.81280631]"
99,"[-0.4907147, -1.95441795]"
100,"[-0.38527659, -2.17510266]"
101,"[-0.34960749, -2.31330922]"
102,"[-0.49029637, -2.56510624]"
103,"[-0.19534651, -2.59052701]"
104,"[-0.09585551, -2.54323175]"
105,"[-0.01222444, -2.60625059]"
106,"[-0.18996298, -2.65203018]"
107,"[-0.1043581, -2.64404165]"
108,"[-0.22359754, -2.56650862]"
109,"[-0.83861528, -2.37743745]"
110,"[-0.41131926, -2.18912766]"
111,"[-0.3016265, -2.07275816]"
