# index, label, source, value, _pos
0,100monkeystyping.com,Blogarama,0,"array([ 19.03671634, -10.42473   ])"
1,12thharmonic.com/wordpress,BlogCatalog,0,"array([ 18.10776658, -11.24572572])"
2,40ozblog.blogspot.com,"Blogarama,BlogCatalog",0,"array([69.56083707,  8.50116954])"
3,4lina.tblog.com,Blogarama,0,"array([ 71.3610143, -36.0253674])"
4,750volts.blogspot.com,Blogarama,0,"array([12.55226328, -4.49266626])"
5,95theses.blogspot.com,Blogarama,0,"array([ 27.34851662, -14.05935072])"
6,abbadabbaduo.blogspot.com,"Blogarama,LeftyDirectory",0,"array([ 14.2559397 , -17.11646864])"
7,aboutpolitics.blogspot.com,"Blogarama,eTalkingHead",0,"array([15.68918031, -9.54420276])"
8,achingandspinning.blogspot.com,Blogarama,0,"array([22.45196943, -8.29877728])"
9,ackackack.com,BlogCatalog,0,"array([15.77978718, -7.4362979 ])"
10,adamtalib.blogspot.com,Blogarama,0,"array([11.30708489,  1.07526455])"
11,adviceforlefty.blogspot.com,"Blogarama,BlogCatalog,CampaignLine",0,"array([ 16.72749701, -15.56440971])"
12,agonist.org,LeftyDirectory,0,"array([17.01062742, -8.20113141])"
13,aintnobaddude.com,"LeftyDirectory,CampaignLine",0,"array([18.40513595, -7.11659796])"
14,ajbenjaminjr.blogspot.com,LabeledManually,0,"array([ 17.5129314, -10.7155202])"
15,alicublog.blogspot.com,LeftyDirectory,0,"array([19.53765657, -7.99377726])"
16,allanjenkins.typepad.com,BlogCatalog,0,"array([ 11.38486362, -12.4110038 ])"
17,allspinzone.blogspot.com,Blogarama,0,"array([16.90352338, -9.75290703])"
18,alphapredator.com/wdtgw.htm,Blogarama,0,"array([11.96781268, -9.2627743 ])"
19,alternateworlds.blogspot.com,Blogarama,0,"array([15.23925249, -8.25406155])"
20,althippo.blogspot.com,Blogarama,0,"array([16.94802665, -7.49708618])"
21,alvintostig.typepad.com,eTalkingHead,0,"array([20.06780199, -7.80509047])"
22,americablog.blogspot.com,LabeledManually,0,"array([18.3342749 , -9.71211819])"
23,americablog.org,"eTalkingHead,CampaignLine",0,"array([19.23471601, -9.38670917])"
24,americandreamslost.blogspot.com,Blogarama,0,"array([38.7428973 , 51.87426051])"
25,americanmuslim.blogs.com,Blogarama,0,"array([ 21.85088861, -16.41428642])"
26,americanpolitics.com,CampaignLine,0,"array([20.34715119, -9.61478209])"
27,americansforbayh.blogspot.com,"Blogarama,CampaignLine",0,"array([14.60771217, -7.22602895])"
28,amleft.blogspot.com,"LeftyDirectory,LabeledManually",0,"array([ 17.82886886, -11.5529215 ])"
