# index, _pos
0,"[19.03671634, -10.42473]"
1,"[17.40347451, -8.84167393]"
2,"[20.36044509, -4.92437135]"
3,"[18.17998242, -8.70510355]"
4,"[18.3342749, -9.71211819]"
5,"[19.59511711, -3.6038209]"
6,"[18.63858813, -8.01682101]"
7,"[17.52884693, -9.61105163]"
8,"[18.1110964, -8.41222742]"
9,"[15.41337339, -13.95014268]"
10,"[17.01264729, -11.68689937]"
11,"[18.17522188, -9.24363867]"
12,"[18.46700072, -8.82291557]"
13,"[18.14173424, -8.96706976]"
14,"[18.63585976, -9.59439321]"
15,"[17.67925571, -8.7607662]"
16,"[18.10776658, -11.24572572]"
17,"[17.82886886, -11.5529215]"
18,"[19.91372914, -10.90965015]"
19,"[19.32028906, -11.01720133]"
20,"[16.94583178, -10.72378516]"
21,"[16.90352338, -9.75290703]"
22,"[19.05112134, -9.15561192]"
23,"[19.23471601, -9.38670917]"
24,"[18.37130875, -8.59835148]"
25,"[18.08023376, -9.50349746]"
26,"[17.77757828, -9.59529225]"
27,"[17.61467417, -9.39061939]"
28,"[18.66735104, -11.09072785]"
29,"[19.10425068, -8.798727]"
30,"[18.29971294, -12.11924609]"
31,"[18.06538889, -10.78809073]"
32,"[17.9145701, -9.04947443]"
33,"[17.22247819, -9.12141876]"
34,"[18.18307387, -6.76584422]"
35,"[16.77409387, -10.07075984]"
36,"[17.2530335, -10.11046483]"
37,"[17.19303948, -9.3700515]"
38,"[19.5526618, -11.46913969]"
39,"[18.5139185, -7.73939428]"
40,"[19.97003482, -9.673928]"
41,"[17.75101997, -6.73045327]"
42,"[18.95673832, -8.06291996]"
43,"[18.73690317, -8.67147514]"
44,"[17.13615338, -8.81363767]"
45,"[17.25407065, -8.23747856]"
46,"[17.12060982, -11.21563377]"
47,"[17.59250536, -8.48638577]"
48,"[18.76191338, -9.2913864]"
49,"[18.54583233, -10.20683144]"
50,"[20.18039349, -18.41793973]"
51,"[12.55226328, -4.49266626]"
52,"[11.31348965, -2.29456496]"
53,"[17.68930418, -7.72338856]"
54,"[19.34991343, -3.65644007]"
55,"[27.34851662, -14.05935072]"
56,"[20.88960688, -10.29171256]"
57,"[15.68918031, -9.54420276]"
58,"[18.5972259, -8.4266909]"
59,"[16.9350324, -9.35774437]"
60,"[15.44743946, -9.24413082]"
61,"[19.96599299, -9.08214961]"
62,"[15.83990869, -7.09624219]"
63,"[17.10400973, -7.88113829]"
64,"[16.27782129, -7.13510349]"
65,"[17.46742106, -10.40134344]"
66,"[18.82030117, -9.74686969]"
67,"[19.41551446, -8.84901663]"
68,"[16.71118769, -8.84959905]"
69,"[17.49855715, -11.01848533]"
70,"[18.24151205, -10.27616499]"
71,"[13.91057722, -5.25822419]"
72,"[22.45196943, -8.29877728]"
73,"[18.27479032, -9.95093245]"
74,"[19.82837024, -10.23831649]"
75,"[17.82939081, -7.38699137]"
76,"[22.27545472, -2.6714581]"
77,"[15.77978718, -7.4362979]"
78,"[17.84999525, -8.52580965]"
79,"[16.70834709, -8.19822342]"
80,"[17.97776897, -5.30693999]"
81,"[17.68302014, -9.02671443]"
82,"[19.53211739, -8.59099351]"
83,"[18.96674645, -8.50135906]"
84,"[11.30708489, 1.07526455]"
85,"[18.41406318, -3.2397015]"
86,"[16.72749701, -15.56440971]"
87,"[20.25361424, -13.23798609]"
88,"[17.01062742, -8.20113141]"
89,"[13.02001349, -6.20835369]"
90,"[18.32150543, -7.46534988]"
91,"[18.34069066, -8.27972206]"
92,"[16.37906196, -7.98640235]"
93,"[17.84026585, -7.94408988]"
94,"[18.40513595, -7.11659796]"
95,"[17.79446223, -10.69674238]"
96,"[17.85138188, -9.31510914]"
97,"[18.5738143, -5.23130921]"
98,"[18.39446964, -9.42717153]"
99,"[18.31171506, -4.46441106]"
100,"[19.04596212, -4.11720075]"
101,"[18.76893863, -5.96325895]"
102,"[19.50301172, -5.74318108]"
103,"[17.35979525, -7.62765397]"
104,"[18.37556099, -8.05969891]"
105,"[17.9012919, -8.76046622]"
106,"[17.53606379, -9.90158014]"
107,"[19.63905246, -4.32659357]"
108,"[17.74286225, -4.71177652]"
109,"[16.96057692, -10.29132462]"
110,"[17.94046099, -4.95689257]"
111,"[18.00537712, -7.09790533]"
112,"[16.96224977, -4.73781984]"
113,"[18.77491276, -5.01011693]"
114,"[18.8594049, -4.36731]"
115,"[17.2605071, -9.63160419]"
116,"[19.25528596, -8.43276071]"
117,"[17.32220081, -8.54912744]"
118,"[18.04081054, -7.5451647]"
119,"[17.54050117, -10.11288867]"
120,"[17.46272427, -9.1675581]"
121,"[18.56621871, -4.26854445]"
122,"[18.1408654, -4.69930662]"
123,"[20.02848288, -3.53061272]"
124,"[19.19949081, -4.87436723]"
125,"[18.93204595, -3.24286907]"
126,"[19.18631236, -6.08920883]"
127,"[17.5129314, -10.7155202]"
128,"[20.34715119, -9.61478209]"
129,"[17.81666407, -11.03350586]"
130,"[19.59445747, -10.70127654]"
131,"[19.00375597, -11.72171895]"
132,"[15.97361362, -10.90111297]"
133,"[16.58505112, -8.54026661]"
134,"[21.43576058, -8.54371915]"
135,"[17.23659236, -10.83493874]"
136,"[19.17443044, -11.33476527]"
137,"[18.15887081, -11.70915391]"
138,"[17.6836246, -11.88451954]"
139,"[19.74481797, -9.36217337]"
140,"[18.32486975, -10.94329981]"
141,"[19.23956241, -10.17188963]"
142,"[17.93421262, -12.13497326]"
143,"[11.37109703, -9.5237869]"
144,"[19.73383789, -11.8720021]"
145,"[19.85122127, -6.07267579]"
146,"[15.67734646, -8.60854376]"
147,"[18.38801897, -11.32641767]"
148,"[19.53765657, -7.99377726]"
149,"[19.20066313, -7.79528946]"
150,"[18.17387363, -7.81881453]"
151,"[18.40202531, -9.1814608]"
152,"[17.44819208, -7.97584724]"
153,"[19.50892181, -10.38633461]"
154,"[19.93579348, -4.52055422]"
155,"[11.38486362, -12.4110038]"
156,"[18.71055676, -3.28319431]"
157,"[18.62860972, -9.05049656]"
158,"[18.63377096, -10.77459507]"
159,"[18.82470674, -8.28581229]"
160,"[11.96781268, -9.2627743]"
161,"[12.42696625, -13.56502835]"
162,"[15.75823305, -4.226638]"
163,"[15.23925249, -8.25406155]"
164,"[16.72641822, -7.83410661]"
165,"[18.92699035, -10.13918955]"
166,"[19.24044759, -8.11937182]"
167,"[19.30633849, -4.27925736]"
168,"[16.94802665, -7.49708618]"
169,"[19.55029509, -3.03348223]"
170,"[15.62074139, -10.17226352]"
171,"[16.69809427, -9.18407722]"
172,"[18.82941516, -8.95188608]"
173,"[8.83187809, -7.45696348]"
174,"[13.15924887, -13.46836533]"
175,"[17.01878505, -8.56420582]"
176,"[15.44166978, -7.29565885]"
177,"[18.85993776, -2.73058719]"
178,"[20.06780199, -7.80509047]"
179,"[20.60880771, -3.04169218]"
180,"[16.78451081, -5.5768804]"
181,"[23.53391768, -5.25347769]"
182,"[18.8661552, -7.42502697]"
183,"[17.76554121, -10.2969162]"
184,"[21.60295747, -13.74132965]"
185,"[19.78048437, -7.52620105]"
186,"[16.49504197, -9.83296082]"
187,"[19.51949328, -6.98064351]"
188,"[20.77016548, -13.11243157]"
189,"[18.90891287, -3.44691459]"
190,"[21.85088861, -16.41428642]"
191,"[17.15933442, -9.91382445]"
192,"[20.61184911, -11.51579164]"
193,"[14.60771217, -7.22602895]"
194,"[16.10857352, -8.99767118]"
195,"[14.50086776, -10.76754913]"
196,"[16.43552032, -6.66115787]"
197,"[19.77269875, -4.04261683]"
198,"[18.05059454, -12.5287091]"
199,"[17.62047419, -14.9054493]"
200,"[18.54053401, -12.48165645]"
201,"[20.50055361, -12.10984455]"
202,"[16.38422991, -9.23981391]"
203,"[17.40199655, -11.51499581]"
204,"[17.85086959, -8.21187511]"
205,"[20.32090572, -10.29221138]"
206,"[20.040943, -10.02458048]"
207,"[18.5619941, -11.77324942]"
208,"[17.56374235, -17.15290173]"
209,"[17.54571201, -8.19059912]"
210,"[17.42552917, -15.5644236]"
211,"[19.63574477, -0.3751932]"
212,"[20.82140574, -9.94550845]"
213,"[20.38569081, -10.79079081]"
214,"[20.75283427, -0.83119077]"
215,"[23.01000104, -10.55183138]"
216,"[19.4602815, -9.17375428]"
217,"[15.89784844, -6.19584328]"
218,"[19.03839905, -5.74244819]"
219,"[18.10790199, -4.20682287]"
220,"[18.83438839, -5.33664944]"
221,"[16.74553397, -13.50715795]"
222,"[14.64557323, -6.57102613]"
223,"[19.55347276, -3.35009001]"
224,"[25.88337549, -9.21634836]"
