# index, _pos
0,"[-0.47636353, 0.84697391]"
1,"[-0.46103965, 0.87625013]"
2,"[-0.44286497, 0.86248309]"
3,"[-0.51394334, 0.80726772]"
4,"[-0.54091005, 0.78653983]"
5,"[-0.62515378, 1.21771892]"
6,"[-0.64033359, 1.2279699]"
7,"[-0.62225221, 1.25290839]"
8,"[-0.68733234, 1.23912697]"
9,"[-0.60276396, 1.24048325]"
10,"[-0.67496422, 1.27106322]"
11,"[-0.69772971, 1.27278825]"
12,"[-0.74383364, 1.09164436]"
13,"[-0.73577977, 1.11615716]"
14,"[-0.75267267, 1.02395625]"
15,"[-0.71575518, 1.20589668]"
16,"[-0.79844258, 0.73898561]"
17,"[-0.81635608, 0.7226469]"
18,"[-0.83142904, 0.7609491]"
19,"[-0.76415418, 0.86092761]"
20,"[-0.76195365, 0.83764807]"
21,"[-0.78779406, 0.84473496]"
22,"[-0.7880513, 0.86914743]"
23,"[-0.53279558, 0.89476036]"
24,"[-0.56336493, 1.00034152]"
25,"[-0.69554032, 0.89417637]"
26,"[-0.68442922, 0.91311592]"
27,"[-0.70903819, 0.91429828]"
28,"[-0.80311205, 0.90750019]"
29,"[-0.57027991, 0.77202865]"
30,"[-0.65288573, 1.16567864]"
31,"[-0.66721109, 1.19584214]"
32,"[-0.27689742, 0.84327002]"
33,"[-0.29142353, 0.80504661]"
34,"[-0.5837504, 1.03957295]"
35,"[-0.60279962, 1.07153132]"
36,"[-0.61812182, 1.04313012]"
37,"[-0.64935267, 1.02538418]"
38,"[-0.48270783, 0.79526572]"
39,"[-0.65035063, 0.99646077]"
40,"[-0.62739637, 0.97912947]"
41,"[-1.08162864, 0.68113048]"
42,"[-1.07670176, 0.65069626]"
43,"[-1.09857982, 0.65258329]"
44,"[-1.11143389, 0.67043281]"
45,"[-0.94213437, 0.67035605]"
46,"[-0.93014788, 0.65061007]"
47,"[-0.7292878, 0.62999765]"
48,"[-0.75316979, 0.62827766]"
49,"[-0.23803604, 0.89547518]"
50,"[-0.236534, 0.92793713]"
51,"[-0.55182057, 0.8347731]"
52,"[-0.59762678, 0.8545123]"
53,"[-0.52597735, 0.97972457]"
54,"[-0.50855976, 1.04104922]"
55,"[-0.84734134, 1.03951053]"
56,"[-0.83704853, 1.10280357]"
57,"[-0.8535124, 0.97216034]"
58,"[-0.45537265, 0.76087421]"
59,"[-0.42108822, 0.72664177]"
60,"[-0.58563512, 1.1609715]"
61,"[-0.49330832, 1.08672677]"
62,"[-0.46104723, 1.11897662]"
63,"[-0.81906583, 0.97243919]"
64,"[-0.82671079, 0.94841537]"
65,"[-0.80399764, 0.95328827]"
66,"[-0.84692543, 0.94673244]"
67,"[-0.86276372, 0.92629448]"
68,"[-0.83548145, 0.97998093]"
69,"[-0.2105101, 0.87550826]"
70,"[-0.53207092, 0.8545965]"
71,"[-0.50616331, 0.84870413]"
72,"[-0.57608033, 0.82140589]"
73,"[-0.50878943, 0.89514092]"
74,"[-0.59252409, 0.88123697]"
75,"[-0.51082797, 0.872674]"
76,"[-0.45850129, 0.84522751]"
77,"[-0.75693245, 0.72996318]"
78,"[-0.71294232, 0.72174613]"
79,"[-0.49754122, 0.79194488]"
80,"[-0.48515221, 0.76764657]"
81,"[-0.44448603, 0.74022983]"
82,"[-0.46488627, 0.78768384]"
83,"[-0.49086651, 0.71954282]"
84,"[-0.4795671, 0.64801215]"
85,"[-0.61799182, 0.88484123]"
86,"[-0.62179267, 0.94637136]"
87,"[-0.62780307, 0.83610197]"
88,"[-0.79599962, 0.9334757]"
89,"[-0.515161, 0.59081095]"
90,"[-0.81367036, 1.15445631]"
91,"[-0.7828995, 1.19655262]"
92,"[-0.51109364, 1.07163574]"
93,"[-0.80519739, 1.06343117]"
94,"[-0.82969851, 1.05228786]"
95,"[-0.2155533, 0.92499593]"
96,"[-0.20222043, 0.89282127]"
97,"[-0.54877461, 0.73307475]"
98,"[-0.56029436, 0.71326194]"
99,"[-0.44180041, 0.60993711]"
100,"[-0.41793874, 0.61804213]"
101,"[-0.44829183, 0.63477255]"
102,"[-0.85345714, 1.06753222]"
103,"[-0.87004922, 1.03729521]"
104,"[-0.64137278, 1.19841414]"
105,"[-0.64291813, 0.81188243]"
106,"[-0.65229887, 0.78707203]"
107,"[-0.64122613, 0.84606456]"
108,"[-0.67330334, 0.82908208]"
109,"[-0.49795312, 0.82503015]"
110,"[-0.33400096, 0.79223751]"
111,"[-0.34989067, 0.81620485]"
112,"[-0.35615752, 0.7908938]"
113,"[-0.31724067, 0.80885984]"
114,"[-0.73362338, 1.15160904]"
115,"[-0.56390616, 0.81627175]"
116,"[-0.53217821, 0.8210464]"
117,"[-0.63376619, 1.08196318]"
118,"[-0.60985184, 0.79235545]"
119,"[-0.63473772, 0.76080665]"
120,"[-0.67396684, 0.79756496]"
121,"[-0.69929555, 0.78931715]"
122,"[-0.75782281, 0.77879938]"
123,"[-0.79637397, 0.7723986]"
124,"[-0.61825243, 0.70919615]"
125,"[-0.78409073, 1.08511485]"
126,"[-0.80453732, 1.10499686]"
127,"[-0.68509857, 1.12480207]"
128,"[-0.69421876, 1.0838764]"
129,"[-0.66782947, 1.06535591]"
130,"[-0.74279578, 1.22811522]"
131,"[-0.82487149, 1.08543909]"
132,"[-0.86439957, 1.01772108]"
133,"[-0.58516875, 0.84044655]"
134,"[-0.56251325, 0.6705646]"
135,"[-0.50502182, 0.63423478]"
136,"[-0.881968, 1.0152385]"
137,"[-0.69004967, 1.02862545]"
138,"[-0.65019908, 1.05942628]"
139,"[-0.68584947, 1.00103925]"
140,"[-0.67915926, 0.97143181]"
141,"[-0.65906112, 0.94575458]"
142,"[-0.66841615, 0.99873444]"
143,"[-0.72610441, 0.9589017]"
144,"[-0.70497434, 1.05189298]"
145,"[-0.70910988, 1.01046488]"
146,"[-0.72702851, 1.24348239]"
147,"[-0.72045179, 1.184655]"
148,"[-0.73250629, 1.21115535]"
149,"[-0.50004136, 0.92800437]"
150,"[-0.46861624, 0.95487261]"
151,"[-0.47411636, 0.93347771]"
152,"[-0.44345142, 0.96976005]"
153,"[-0.71043565, 1.22821259]"
154,"[-0.56196923, 1.02892424]"
155,"[-0.51120323, 0.97084867]"
156,"[-0.47392272, 1.01126555]"
157,"[-0.47896487, 1.02880364]"
158,"[-0.56432399, 0.89881026]"
159,"[-0.82784309, 1.014975]"
160,"[-0.66976501, 1.03612406]"
161,"[-0.62958176, 0.92691018]"
162,"[-0.8782785, 1.06694409]"
163,"[-0.68415972, 1.21851557]"
164,"[-0.77561769, 0.93382241]"
165,"[-0.72934634, 0.90062089]"
166,"[-0.675936, 0.87251906]"
167,"[-0.74545392, 0.88642064]"
168,"[-0.55773621, 0.87181583]"
169,"[-0.90858899, 0.92590627]"
170,"[-0.99351691, 0.84036158]"
171,"[-0.9155537, 0.90399331]"
172,"[-0.93020939, 0.93448649]"
173,"[-0.4880135, 1.06144903]"
174,"[-0.65776824, 0.82044319]"
175,"[-0.47441661, 1.08224564]"
176,"[-0.51043123, 0.77019645]"
177,"[-0.648249, 0.96476]"
178,"[-0.71220388, 1.10848069]"
179,"[-0.54347141, 0.91344482]"
180,"[-0.77346469, 1.04953581]"
181,"[-0.74867416, 1.00403225]"
182,"[-0.65641091, 1.11656402]"
183,"[-0.80818226, 1.00849684]"
184,"[-0.70016865, 1.15925756]"
185,"[-0.85268311, 0.99603943]"
186,"[-0.76101883, 0.95113574]"
187,"[-0.88544967, 0.96283352]"
188,"[-0.80082865, 0.98041179]"
189,"[-0.78268286, 0.9954184]"
190,"[-0.66746337, 0.71468469]"
191,"[-0.59418561, 0.80563783]"
192,"[-0.80366828, 1.03886671]"
193,"[-0.53948942, 0.75948397]"
194,"[-0.57399188, 0.79081514]"
195,"[-0.47030527, 0.71209206]"
196,"[-0.48379672, 0.81807219]"
197,"[-0.45002514, 0.80681771]"
198,"[-0.59181707, 0.92983893]"
199,"[-0.5747252, 0.95906618]"
200,"[-0.59493319, 0.95754537]"
201,"[-0.56676798, 0.94038492]"
202,"[-0.22465789, 0.951752]"
203,"[-0.20873389, 0.97306263]"
204,"[-0.57087052, 1.08485996]"
205,"[-0.56279104, 1.11328035]"
206,"[-0.55376323, 1.19226395]"
207,"[-0.54540063, 1.22215389]"
208,"[-0.61277591, 0.91196658]"
209,"[-0.60284991, 0.87534606]"
210,"[-0.41400113, 1.06518524]"
211,"[-0.42057289, 1.09175078]"
212,"[-0.42655799, 1.12807405]"
213,"[-0.41171011, 1.15501661]"
214,"[-0.52073679, 1.1904735]"
215,"[-0.49748486, 1.16739904]"
216,"[-0.43916041, 1.0406073]"
217,"[-0.48568619, 1.12993394]"
218,"[-0.44594066, 1.05774784]"
219,"[-0.43903258, 1.08271037]"
220,"[-0.45263211, 1.09867091]"
221,"[-0.26095924, 0.87402582]"
222,"[-0.60478178, 1.03040454]"
223,"[-0.63654916, 0.68956855]"
224,"[-0.65477928, 0.67382286]"
225,"[-0.33020794, 0.82593814]"
226,"[-0.57030998, 0.84883665]"
227,"[-0.60032722, 0.83412368]"
228,"[-2.2532622, -1.95189758]"
229,"[-2.30260568, -2.00364423]"
230,"[-2.17302875, -1.88028197]"
231,"[-2.22800947, -1.860216]"
232,"[-2.14796793, -2.08745909]"
233,"[-2.14115932, -2.11476754]"
234,"[-2.18392927, -2.07877897]"
235,"[-2.09874104, -1.9595926]"
236,"[-2.07577561, -1.97545856]"
237,"[-2.1371827, -1.95009276]"
238,"[-2.35818402, -1.80376899]"
239,"[-2.27448223, -1.74995616]"
240,"[-2.41774248, -1.80095179]"
241,"[-2.34906055, -1.87996474]"
242,"[-2.11324714, -1.99273005]"
243,"[-2.1116648, -1.97434416]"
244,"[-2.18810468, -2.02592111]"
245,"[-2.21180678, -2.04767497]"
246,"[-2.23382814, -2.05910761]"
247,"[-2.34112065, -1.86620048]"
248,"[-2.3701692, -1.8774539]"
249,"[-2.3006015, -1.90605766]"
250,"[-2.37616046, -1.85457786]"
251,"[-2.40517539, -1.85480118]"
252,"[-2.23410757, -2.23182986]"
253,"[-2.25708151, -2.25340874]"
254,"[-2.1815802, -2.22839132]"
255,"[-2.19336067, -2.25915094]"
256,"[-2.17336129, -2.2523648]"
257,"[-2.17232909, -2.27449292]"
258,"[-2.15671063, -2.22587045]"
259,"[-2.15324716, -2.24875395]"
260,"[-2.14515258, -1.93668933]"
261,"[-2.12841997, -1.90045706]"
262,"[-2.33725829, -1.79912936]"
263,"[-2.35012559, -1.7891784]"
264,"[-2.10855141, -1.8977237]"
265,"[-2.11603945, -1.91626447]"
266,"[-2.08636926, -1.91470252]"
267,"[-2.05453896, -1.93169736]"
268,"[-2.26568947, -1.80002639]"
269,"[-2.27210804, -1.82266434]"
270,"[-2.32355783, -1.86116308]"
271,"[-2.39202739, -1.79472628]"
272,"[-2.22879755, -1.71446564]"
273,"[-2.25202552, -1.70411227]"
274,"[-2.2047125, -2.20177912]"
275,"[-2.22351793, -2.21375189]"
276,"[-2.12319003, -1.88543246]"
277,"[-2.13718424, -1.87701039]"
278,"[-2.2155388, -2.09065004]"
279,"[-2.21452674, -2.11934543]"
280,"[-2.23672914, -2.10433952]"
281,"[-2.1759492, -2.04761124]"
282,"[-2.17985025, -1.99031971]"
283,"[-2.29873146, -2.48490747]"
284,"[-2.30264397, -2.51240041]"
285,"[-2.29578595, -2.44908179]"
286,"[-2.10981507, -1.87826846]"
287,"[-2.09996784, -1.84931568]"
288,"[-2.12880349, -1.93643123]"
289,"[-2.15998189, -1.9468204]"
290,"[-2.12647044, -1.95991018]"
291,"[-2.22280241, -1.92816795]"
292,"[-2.20456057, -1.94381021]"
293,"[-2.31445581, -2.43688291]"
294,"[-2.32956788, -2.46227326]"
295,"[-2.21377147, -1.99872098]"
296,"[-2.23234461, -1.9646882]"
297,"[-2.1546082, -1.9240129]"
298,"[-2.13106615, -1.9136034]"
299,"[-2.28423335, -2.01661194]"
300,"[-2.29363245, -2.05212452]"
301,"[-2.24118445, -1.99870354]"
302,"[-2.17904285, -1.9574781]"
303,"[-2.18433811, -1.70461485]"
304,"[-2.08821753, -1.6196823]"
305,"[-2.45449836, -1.82750428]"
306,"[-2.50578216, -1.86452684]"
307,"[-2.55141233, -1.90589207]"
308,"[-2.59232043, -1.90876695]"
309,"[-2.40827767, -1.81741293]"
310,"[-2.34175163, -2.43977685]"
311,"[-2.20665479, -2.23765914]"
312,"[-2.22008802, -2.26783334]"
313,"[-2.32438977, -2.01004048]"
314,"[-2.29688809, -1.95593015]"
315,"[-2.32321107, -1.96780095]"
316,"[-2.11341432, -2.02428908]"
317,"[-2.11987783, -2.06770658]"
