# index, pid, community, size, pos, leamer, name, _pos
0,3822,0,17.45947265625,"array([1327.59594727, 2131.48754883])","Composite diagnostic or laboratory reagents, nes","#9c219c
","array([ 6.54160581, -1.87785142])"
1,8307,0,15.205078125,"array([1637.95837402, 2680.02758789])","Tubing,flexible, with/without fittings, iron or steel","#299fff
","array([ 6.4040196 , -1.91479855])"
2,8601,0,15.02392578125,"array([1842.53051758, 2671.22460938])","Rail locomotives, externally electrically powered","#299fff
","array([ 6.27457028, -2.08599432])"
3,8901,0,31.50048828125,"array([1929.01843262, 2142.74682617])","Cruise ships, excursion boats, ferry boats","#299fff
","array([ 6.11195433, -2.1196367 ])"
4,9015,0,16.233154296875,"array([1655.44604492, 2040.54943848])",Rangefinders,"#299fff
","array([ 6.38008535, -2.21037601])"
5,8429,0,23.2703857421875,"array([1673.91912842, 2745.16650391])","Bulldozers and angledozers, crawler type","#299fff
","array([ 6.47008019, -2.07411351])"
6,8410,0,15.080078125,"array([1938.62231445, 2602.89428711])","Hydraulic turbines, water wheels, power < 1000 kW","#299fff
","array([ 6.1584103, -2.0263503])"
7,8411,0,29.3427734375,"array([1341.78442383, 2810.60571289])",Turbo-jet engines of a thrust < 25 KN,"#0576a6
","array([ 7.12372281, -2.07422446])"
8,9111,0,15.014892578125,"array([1375.30383301, 2782.47875977])","Watch cases of, or clad with, precious metal","#0576a6
","array([ 7.05482932, -2.09932861])"
9,9703,0,15.2054443359375,"array([1324.24542236, 2855.22753906])","Original sculptures and statuary, in any material","#0576a6
","array([ 7.18782429, -2.05300549])"
10,9014,0,15.912109375,"array([1494.68432617, 2545.16015625])",Direction finding compasses,"#299fff
","array([ 6.49717341, -2.0171387 ])"
11,5111,0,15.05126953125,"array([1814.89489746, 2052.95458984])","Woven fabric, >85% carded wool or fine hair, <300 g/m","#299fff
","array([ 6.28022566, -2.28310404])"
12,5112,0,15.36083984375,"array([1796.06689453, 2122.33129883])","Woven fabric, >85% combed wool or fine hair, <300 g/m","#299fff
","array([ 6.27674704, -2.21808013])"
13,8466,0,17.611083984375,"array([1761.30249023, 2390.4675293 ])","Tool holders, self-opening dieheads, for machine tool","#299fff
","array([ 6.28577007, -1.97211559])"
14,6115,0,16.423095703125,"array([2643.6607666 , 2262.04455566])","Panty hose etc, synthetic fibre yarn <67 dtex/sy, kni","#33cc00
","array([ 6.08718274, -1.68334475])"
15,4823,0,15.813232421875,"array([2133.39245605, 2414.60888672])","Paper, self-adhesive, cut to size, in strips or rolls","#ff0000
","array([ 6.19679708, -1.84313965])"
16,6902,0,15.544677734375,"array([1747.53393555, 2522.90209961])","Refractory bricks, etc with >50% Mg, Ca or Cr as oxid","#299fff
","array([ 6.29252172, -2.0594576 ])"
17,7602,0,16.578369140625,"array([2382.58947754, 2316.62780762])","Waste or scrap, aluminium","#330000
","array([ 5.98591766, -1.72135737])"
18,9010,0,15.09716796875,"array([1322.38208008, 2428.58447266])",Equipment for automatic development of photo film,"#99ffff
","array([ 6.55578195, -1.91882868])"
19,7315,0,15.49609375,"array([1582.17492676, 2319.52587891])","Chain, roller, iron or steel","#299fff
","array([ 6.36854597, -1.97815015])"
20,7612,0,15.6044921875,"array([2308.7421875 , 2244.78015137])","Aluminium containers, collapsible tubular","#299fff
","array([ 6.02173139, -1.8979021 ])"
21,6105,0,15.96826171875,"array([2717.49047852, 2394.27001953])","Mens, boys shirts, of cotton, knit","#33cc00
","array([ 6.07910971, -1.61962868])"
22,6110,0,21.924072265625,"array([2691.75915527, 2298.49926758])","Pullovers, cardigans etc of wool or hair, knit","#33cc00
","array([ 6.09127968, -1.62883788])"
23,6101,0,15.099853515625,"array([2671.9654541 , 2374.24291992])","Mens, boys overcoats, etc, of wool or hair, knit","#33cc00
","array([ 6.09528835, -1.63960405])"
24,6104,0,17.241455078125,"array([2644.9263916 , 2409.48657227])","Womens, girls suits, of wool or hair, knit","#33cc00
","array([ 6.07802574, -1.65188619])"
25,8605,0,15.004150390625,"array([1679.27893066, 2527.70898438])",Railway passenger and special purpose coaches,"#299fff
","array([ 6.3353378 , -2.05332623])"
26,8406,0,15.8427734375,"array([1727.9107666 , 2415.22900391])",Steam and vapour turbines for marine propulsion,"#299fff
","array([ 6.32854762, -1.98071476])"
27,3801,0,15.1143798828125,"array([1693.83343506, 2644.51757812])",Artificial graphite,"#299fff
","array([ 6.38365933, -2.0678164 ])"
28,9019,0,15.991943359375,"array([1488.26147461, 2765.74902344])",Massage and psychological aptitude-test apparatus,"#299fff
","array([ 6.67269253, -2.13974545])"
29,7217,0,16.118896484375,"array([2203.1114502 , 2340.63549805])","Wire, iron or non-alloy steel, not plated or coated, <0.25%C","#299fff
","array([ 6.15559796, -1.78458959])"
30,3816,0,15.15576171875,"array([1783.42993164, 2509.76171875])","Refractory cements, mortars, concretes except graphit","#299fff
","array([ 6.25540466, -2.01842816])"
31,5007,0,15.1728515625,"array([1412.3527832 , 2605.56298828])",Woven fabric of noil silk,"#9c9a87
","array([ 6.65997749, -2.04376595])"
32,3815,0,16.752197265625,"array([1296.65625   , 2263.20874023])","Supported catalysts, nickel based","#9c219c
","array([ 6.60737465, -1.92643473])"
33,5101,0,15.351806640625,"array([2068.65270996, 1777.78710938])","Greasy shorn wool, not carded or combed","#6e451e
","array([ 5.86215052, -2.8009578 ])"
34,511,0,15.117919921875,"array([2174.04455566, 2735.1451416 ])",Semen bovine,"#d1ff00
","array([ 5.75787927, -1.9885884 ])"
35,404,0,15.39501953125,"array([2126.56884766, 2687.98632812])",Whey,"#d1ff00
","array([ 5.95183661, -2.01928633])"
36,304,0,17.58935546875,"array([2140.27294922, 2774.21142578])","Fish fillet or meat, fresh or chilled, not liver, roe","#d1ff00
","array([ 5.61474112, -2.02762852])"
37,5107,0,15.107421875,"array([2122.71191406, 2279.32763672])","Yarn of combed wool, >85% wool, not retail","#299fff
","array([ 6.19949339, -1.73940355])"
38,102,0,15.82861328125,"array([2176.16113281, 2455.51904297])","Bovine animals, live pure-bred breeding","#730049
","array([ 6.17186207, -1.82692889])"
39,201,0,17.59228515625,"array([2213.99121094, 2690.2331543 ])","Bovine carcasses and half carcasses, fresh or chilled","#d1ff00
","array([ 5.90060498, -1.95382697])"
40,401,0,15.96337890625,"array([2224.73095703, 2493.4440918 ])",Milk not concentrated nor sweetened < 1% fat,"#730049
","array([ 6.12365467, -1.86144916])"
41,4907,0,15.504150390625,"array([2906.4732666 , 2565.62207031])","Documents of title (bonds etc), unused stamps etc","#9c9a87
","array([ 6.17627759, -1.17432716])"
42,303,0,17.578125,"array([2104.87255859, 2781.86083984])","Salmon, Pacific, frozen, whole","#d1ff00
","array([ 5.58321927, -2.05459964])"
43,305,0,15.626953125,"array([2145.18212891, 2825.64282227])","Flours, meals & pellets of fish for human consumption","#d1ff00
","array([ 5.56314637, -2.04900735])"
44,7103,0,15.427490234375,"array([2876.62609863, 2514.86096191])","Precious, semi-precious stones unworked, partly worke","#330000
","array([ 6.14956938, -1.2112463 ])"
45,4908,0,15.009765625,"array([1493.42077637, 2336.86157227])","Transfers (decalcomanias), vitrifiable","#299fff
","array([ 6.4309313 , -2.06842612])"
46,1502,0,15.12451171875,"array([2098.2199707 , 2756.84619141])","Bovine, sheep and goat fats, raw or rendered","#d1ff00
","array([ 5.73955454, -2.1321116 ])"
47,1007,0,15.175537109375,"array([2070.6998291, 2755.8671875])",Grain sorghum,"#d1ff00
","array([ 5.75895326, -2.16122964])"
48,202,0,16.876953125,"array([2091.77856445, 2723.38134766])","Bovine carcasses and half carcasses, frozen","#d1ff00
","array([ 5.78843005, -2.12060072])"
49,1108,0,15.25244140625,"array([2230.77612305, 2728.19946289])","Wheat, starch","#d1ff00
","array([ 5.84945812, -1.96826674])"
50,206,0,15.560546875,"array([2208.19042969, 2740.00976562])","Bovine edible offal, fresh or chilled","#d1ff00
","array([ 5.813532  , -1.98272178])"
51,4909,0,15.05615234375,"array([1495.09655762, 2815.51489258])","Postcards, printed or illustrated, greeting cards","#9c9a87
","array([ 6.70538686, -2.18682847])"
52,4106,0,15.01171875,"array([2350.74560547, 2709.76928711])","Goat or kid skin leather, vegetable pre-tanned","#d1ff00
","array([ 5.62704097, -1.7730111 ])"
53,104,0,15.048828125,"array([2360.22363281, 2757.6953125 ])","Sheep, live","#d1ff00
","array([ 5.58304385, -1.75735703])"
