# index, _pos
0,"[6.54160581, -1.87785142]"
1,"[6.64128407, -1.86359418]"
2,"[6.56081502, -1.84991834]"
3,"[6.38216384, -1.92758152]"
4,"[6.461289, -1.91157998]"
5,"[6.62747586, -1.87085402]"
6,"[6.52113953, -1.8945932]"
7,"[6.59445294, -1.87225935]"
8,"[6.52794112, -1.82710624]"
9,"[6.5665931, -1.88912639]"
10,"[6.4040196, -1.91479855]"
11,"[6.34425727, -1.95484308]"
12,"[6.1584103, -2.0263503]"
13,"[6.19470295, -1.97450103]"
14,"[7.12372281, -2.07422446]"
15,"[7.18782429, -2.05300549]"
16,"[7.05482932, -2.09932861]"
17,"[6.92297444, -2.05005456]"
18,"[7.14834723, -2.12999857]"
19,"[6.28022566, -2.28310404]"
20,"[6.27674704, -2.21808013]"
21,"[6.27752806, -2.12078328]"
22,"[6.28577007, -1.97211559]"
23,"[6.21598503, -1.95011336]"
24,"[6.31517911, -1.98383592]"
25,"[6.3728865, -2.01512555]"
26,"[6.26756624, -1.91933723]"
27,"[6.29812412, -1.94346114]"
28,"[6.32469713, -1.99730408]"
29,"[6.30065008, -1.95442049]"
30,"[6.32283752, -1.93122524]"
31,"[6.3286137, -1.95693632]"
32,"[6.08718274, -1.68334475]"
33,"[6.06243007, -1.63476171]"
34,"[6.09490462, -1.74170896]"
35,"[6.1028136, -1.72983409]"
36,"[6.08720823, -1.64776834]"
37,"[6.09664412, -1.65000708]"
38,"[6.10649441, -1.64654597]"
39,"[6.10523683, -1.63383575]"
40,"[6.1021174, -1.65974852]"
41,"[6.10850077, -1.80516264]"
42,"[6.06203561, -1.65579731]"
43,"[6.10923541, -1.68102745]"
44,"[6.08009408, -1.67399181]"
45,"[6.0659151, -1.67840714]"
46,"[6.04614171, -1.70397126]"
47,"[6.09580974, -1.69163944]"
48,"[6.19679708, -1.84313965]"
49,"[6.19743457, -1.88683883]"
50,"[6.18612913, -1.8935335]"
51,"[6.13947693, -1.8600814]"
52,"[6.29252172, -2.0594576]"
53,"[6.37010705, -2.03035974]"
54,"[6.2832183, -2.00271918]"
55,"[6.25543732, -1.9768841]"
56,"[6.55578195, -1.91882868]"
57,"[6.54499835, -1.9706709]"
58,"[6.36854597, -1.97815015]"
