# source, target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,30
0,10
0,161
0,24
0,72
0,47
0,33
1,9
1,10
1,11
1,12
1,3
1,4
1,13
1,14
1,15
1,16
1,17
1,18
1,6
1,7
1,19
1,20
1,21
1,8
1,22
1,5
1,35
1,26
1,55
1,25
1,36
1,28
1,91
1,213
1,215
2,9
2,23
2,24
2,10
2,25
2,3
2,26
2,27
2,13
2,5
2,28
2,29
2,30
2,6
2,7
2,31
2,32
2,33
2,34
2,8
2,4
2,12
2,11
2,73
2,74
2,72
3,9
3,35
3,24
3,10
3,11
3,36
3,37
3,4
3,13
3,16
3,38
3,39
3,40
4,9
4,24
4,41
4,10
4,11
4,12
4,42
4,36
4,26
4,43
4,17
4,19
4,44
4,23
5,43
5,17
5,28
5,45
5,8
5,46
5,24
5,213
5,214
6,26
6,47
6,28
6,7
6,48
6,49
6,31
6,25
6,29
6,72
6,95
6,33
7,10
7,50
7,30
7,48
7,51
7,26
7,25
7,83
7,87
7,111
7,167
7,28
7,95
8,17
8,45
8,24
8,28
8,47
8,213
8,214
9,35
9,41
9,12
9,26
9,52
9,53
9,30
9,54
9,55
9,56
9,57
9,31
9,58
9,59
9,20
9,39
9,77
10,12
10,24
10,26
10,28
10,29
10,23
11,12
11,26
11,30
11,25
11,24
11,29
11,48
11,23
11,28
11,173
12,41
12,67
12,13
12,68
12,69
12,70
12,39
12,31
12,71
12,33
12,20
12,58
12,21
12,59
12,105
12,118
12,185
13,54
13,55
13,31
13,67
13,25
13,36
13,154
13,155
13,60
13,61
13,32
13,34
13,66
13,59
13,39
13,33
13,71
13,49
14,57
14,69
14,43
14,102
14,156
14,82
14,157
14,103
14,15
14,16
14,17
14,68
14,18
14,60
14,158
14,21
14,159
14,97
14,202
14,161
14,165
14,85
14,135
15,25
15,101
15,90
15,126
15,102
15,160
15,157
15,103
15,161
15,162
15,22
15,202
15,164
15,72
15,114
15,119
15,122
15,150
15,82
15,147
15,148
15,143
16,55
16,36
16,37
16,98
16,163
16,60
16,100
16,203
16,102
16,161
16,43
16,150
16,156
17,67
17,43
17,164
17,45
17,75
17,206
18,30
18,55
18,57
18,36
18,80
18,69
18,79
18,91
18,115
18,81
18,77
18,19
18,21
18,22
18,97
18,75
18,165
18,68
18,118
18,85
18,160
19,30
19,57
19,36
19,69
19,165
19,92
19,71
19,20
19,21
19,122
19,159
19,22
19,97
19,94
19,115
19,119
19,85
19,91
20,35
20,112
20,154
20,43
20,143
20,85
20,71
20,134
20,94
20,21
20,62
20,22
20,166
20,59
20,97
20,124
20,116
20,23
20,81
20,136
20,144
21,57
21,69
21,43
21,31
21,49
21,148
21,136
21,122
21,159
21,154
21,94
21,165
21,71
21,215
22,30
22,67
22,25
22,93
22,103
22,92
22,71
22,40
22,46
22,131
22,119
22,167
22,168
22,114
22,118
22,120
22,95
22,85
22,159
22,160
22,91
22,151
22,88
23,43
23,165
23,75
23,68
23,79
23,80
23,54
23,81
23,158
23,134
23,213
23,141
23,216
24,26
24,25
24,35
24,72
24,29
24,30
24,48
24,39
24,70
25,26
25,31
25,105
25,50
25,72
25,120
25,121
25,47
25,28
25,29
25,73
25,108
25,56
25,48
25,93
25,95
25,122
25,51
25,123
25,124
25,36
25,131
25,92
26,72
26,29
26,73
26,31
26,49
26,74
26,69
26,28
26,124
26,70
26,205
27,31
27,100
27,37
27,125
27,98
27,82
27,29
27,85
27,169
27,116
27,112
27,74
27,150
27,104
27,78
27,139
27,73
27,167
27,189
27,191
28,55
28,31
28,87
28,191
28,72
28,105
28,120
28,47
28,29
28,86
28,80
28,133
28,155
28,69
28,48
28,39
28,49
28,93
28,95
28,40
28,122
28,151
28,51
28,152
28,140
29,30
29,31
29,100
29,98
29,73
29,94
29,74
29,72
29,150
30,82
30,83
30,84
30,85
30,86
30,54
30,87
30,56
30,77
30,48
30,32
30,88
30,89
30,59
30,105
30,95
30,71
30,91
31,72
31,98
31,47
31,73
32,55
32,56
32,59
32,94
32,97
32,118
32,90
32,155
32,122
32,205
32,85
32,91
32,88
33,112
33,116
33,145
33,168
33,94
33,114
33,118
33,101
33,156
33,143
33,107
33,108
33,170
33,146
33,147
33,49
33,148
33,93
33,136
33,122
33,150
33,151
33,152
33,78
33,173
33,119
33,140
33,153
34,58
34,161
34,64
34,65
34,66
34,99
34,61
34,138
34,184
34,166
34,119
34,70
34,185
34,212
35,53
35,60
35,61
35,58
35,62
35,63
35,39
36,105
36,50
36,126
36,38
36,39
36,127
36,106
36,130
37,100
37,98
37,146
37,149
37,74
37,150
37,73
37,167
37,168
37,189
38,39
38,70
38,88
39,41
39,58
39,42
39,43
39,45
39,99
39,70
39,65
39,94
39,40
39,66
39,88
39,59
39,64
39,216
40,55
40,69
40,93
40,116
40,94
40,47
40,75
40,53
40,201
40,145
40,58
40,166
40,152
40,205
40,206
40,212
41,42
41,64
41,65
41,58
41,66
41,61
41,70
41,181
41,206
42,58
42,205
42,64
42,65
42,166
42,70
43,168
43,100
43,102
43,164
43,193
43,45
43,197
43,146
43,136
43,159
43,124
43,165
43,101
43,149
43,90
43,133
43,151
43,206
43,99
43,144
44,94
44,124
44,180
44,181
44,204
44,179
44,199
44,130
44,123
44,89
44,136
44,211
45,67
45,206
45,49
45,141
46,167
46,168
46,154
46,101
46,103
46,164
46,186
46,147
46,104
46,177
46,152
46,130
46,178
46,123
46,187
46,89
46,131
46,173
46,119
46,153
46,96
46,72
46,124
46,148
46,151
46,199
46,185
46,172
47,191
47,95
48,50
48,83
48,87
48,109
48,204
48,89
48,118
48,120
48,95
48,86
49,72
49,55
49,122
49,152
49,216
50,105
50,125
50,107
50,108
50,87
50,111
50,93
50,95
50,51
50,109
50,72
51,105
51,107
51,108
51,87
51,111
51,93
51,95
52,75
52,54
52,76
52,77
52,61
52,78
52,58
52,212
53,68
53,79
53,80
53,81
53,57
53,60
53,63
53,59
53,94
53,134
53,118
54,56
54,77
54,55
54,75
54,81
54,178
55,90
55,80
55,91
55,77
55,57
55,92
55,93
55,94
55,95
55,96
55,88
55,97
55,115
55,118
55,206
56,90
56,77
56,60
56,105
56,106
56,97
56,165
56,103
56,91
57,69
57,61
57,62
57,63
57,94
58,99
58,64
58,65
58,61
58,66
58,70
58,166
59,100
59,101
59,90
59,102
59,103
59,68
59,84
59,85
59,91
59,65
59,94
59,104
59,97
59,194
59,206
59,88
60,154
60,163
60,92
60,147
60,136
60,122
60,62
60,177
60,152
60,63
60,96
60,131
60,97
60,61
60,165
60,200
60,213
60,88
60,216
61,94
61,99
61,64
61,65
61,201
61,62
61,184
61,185
61,66
61,63
61,78
61,70
62,94
62,96
62,101
62,156
62,164
62,186
62,163
62,147
62,159
62,177
62,63
62,178
62,71
62,88
63,96
63,159
63,178
63,88
64,99
64,70
64,65
64,184
64,66
65,94
65,99
65,184
65,66
65,70
65,185
66,94
66,100
66,68
66,99
66,70
66,184
66,104
66,185
66,119
66,117
66,118
