# index, _pos
0,"array([  0.56252854, -11.00906493])"
1,"array([  0.49721144, -11.13227171])"
2,"array([  0.51786933, -11.030958  ])"
3,"array([  0.52560808, -11.07912515])"
4,"array([  0.57260361, -11.05443134])"
5,"array([  0.64733007, -11.06042331])"
6,"array([  0.52119014, -10.8652485 ])"
7,"array([  0.57494511, -10.86816372])"
8,"array([  0.70514096, -11.03006485])"
9,"array([  0.54577113, -11.22007085])"
10,"array([  0.54131872, -11.3323798 ])"
11,"array([  0.65088988, -11.17451486])"
12,"array([  0.53935065, -11.17076484])"
13,"array([  0.50605476, -10.98284291])"
14,"array([  0.45277401, -11.35657533])"
15,"array([  0.47288101, -11.44879856])"
16,"array([  0.45644945, -11.09502337])"
17,"array([  0.51178549, -11.39503648])"
18,"array([  0.44191293, -11.17873795])"
19,"array([  0.42977689, -11.24384454])"
20,"array([  0.40440193, -11.39072595])"
21,"array([  0.53800171, -10.95784461])"
22,"array([  0.68855972, -11.25094032])"
23,"array([  0.34016613, -11.27886304])"
24,"array([  0.45349769, -10.93947568])"
25,"array([  0.41736025, -11.14736177])"
26,"array([  0.398747 , -10.9438015])"
27,"array([  0.46303526, -10.78324551])"
28,"array([  0.41837329, -11.06674004])"
29,"array([  0.22547232, -10.94855875])"
30,"array([  0.39574474, -10.87340777])"
31,"array([  0.49208644, -11.35516873])"
32,"array([  0.54943018, -10.78806264])"
33,"array([  0.51801898, -10.7354463 ])"
34,"array([  0.60628763, -10.90845214])"
35,"array([  0.39837527, -11.19046972])"
36,"array([  0.46797746, -10.70344756])"
37,"array([  0.14050796, -10.84951369])"
38,"array([  0.63516464, -10.82969834])"
39,"array([  0.49673276, -10.93341482])"
40,"array([  0.19963015, -11.04901241])"
41,"array([  0.61982143, -10.77217566])"
42,"array([  0.65210933, -10.9746425 ])"
43,"array([  0.58059792, -10.96871915])"
44,"array([  0.49696367, -11.17017749])"
45,"array([  0.27777421, -11.32242344])"
46,"array([  0.19084319, -11.26655366])"
47,"array([  0.26077537, -11.12526452])"
48,"array([  0.49816549, -11.22249006])"
49,"array([  0.41080046, -11.33192919])"
50,"array([  0.33912747, -11.23441498])"
51,"array([  0.37808018, -11.22303126])"
52,"array([  0.36998039, -11.25670678])"
53,"array([  0.33371561, -11.11654047])"
54,"array([  0.34613486, -10.97557998])"
55,"array([  0.2699806 , -10.86051073])"
56,"array([  0.27645049, -10.9212874 ])"
57,"array([  0.34287555, -10.86381676])"
58,"array([  0.45093416, -10.90131221])"
59,"array([  0.39125352, -10.81572948])"
60,"array([  0.28467089, -11.05620954])"
61,"array([  0.24782877, -11.07510048])"
62,"array([  0.33201736, -10.93577001])"
63,"array([  0.31295668, -10.89760839])"
64,"array([  0.15807531, -10.96141234])"
65,"array([  0.17564988, -10.80999546])"
66,"array([  0.31891077, -11.34040888])"
67,"array([  0.39162102, -11.44540668])"
68,"array([  0.29304297, -11.27496055])"
69,"array([  0.3044693 , -11.17742228])"
70,"array([  0.20972352, -11.08867299])"
71,"array([  0.19982687, -11.31823076])"
72,"array([  0.24729887, -11.22072768])"
73,"array([  0.08838248, -10.82674123])"
74,"array([  0.03679611, -10.73400891])"
75,"array([  0.02741397, -10.86450133])"
76,"array([  0.1161671 , -10.74840443])"
77,"array([ -0.10939675, -11.01972506])"
78,"array([ -0.03838787, -10.82930351])"
79,"array([  0.11389755, -10.9125997 ])"
80,"array([ -0.03825135, -11.00325235])"
81,"array([ -0.08804631, -10.92411901])"
82,"array([  0.17406049, -10.92866598])"
83,"array([  0.17662945, -10.72547592])"
84,"array([  0.09550878, -11.11892483])"
85,"array([  0.07764481, -10.77478471])"
86,"array([  0.52121981, -11.2696951 ])"
87,"array([  0.25378997, -11.35738077])"
88,"array([  0.28594474, -11.45804263])"
89,"array([ 8.86027411e-03, -1.14272383e+01])"
90,"array([ -0.08009376, -11.35164711])"
91,"array([  0.1043351 , -11.33908681])"
92,"array([  0.17174371, -11.40391517])"
93,"array([  0.0714809 , -11.30563757])"
94,"array([ -0.04145256, -11.22037329])"
95,"array([  0.20648106, -11.35106354])"
96,"array([  0.56157218, -11.2908527 ])"
97,"array([  0.29762639, -11.15056279])"
98,"array([  0.33733936, -11.45064466])"
99,"array([  0.44395343, -11.41159399])"
100,"array([  0.57077877, -11.5283525 ])"
101,"array([  0.54836045, -11.47092216])"
102,"array([  0.4016656 , -11.50806367])"
103,"array([  0.65138197, -11.40173045])"
104,"array([  0.61455452, -11.00681155])"
105,"array([  0.37747461, -11.02103442])"
106,"array([  0.44316388, -10.82743938])"
107,"array([  0.58713491, -11.16443338])"
108,"array([  0.77244156, -11.16591635])"
109,"array([  0.75133684, -11.2602945 ])"
110,"array([  0.64076395, -11.28075039])"
111,"array([  0.58150957, -11.24726468])"
112,"array([  0.46416661, -10.98575329])"
113,"array([  0.30130604, -11.38666006])"
114,"array([  0.21926505, -11.25068997])"
115,"array([  0.25619641, -11.17845914])"
116,"array([  0.61812438, -11.1337844 ])"
117,"array([  0.35999435, -11.37736755])"
118,"array([  0.45018409, -11.30806715])"
119,"array([  0.36573522, -11.17654319])"
120,"array([  0.38415778, -11.12687104])"
121,"array([  0.18701447, -10.88422517])"
122,"array([  0.47413611, -10.85675872])"
123,"array([  0.53780357, -10.90550789])"
124,"array([  0.22054118, -11.12960765])"
125,"array([  0.15695992, -11.01441864])"
126,"array([  0.45909462, -11.21378706])"
127,"array([  0.30996285, -11.03119363])"
128,"array([  0.59069588, -11.20713091])"
129,"array([  0.7093873 , -11.19063681])"
130,"array([  0.28728352, -11.21765937])"
131,"array([  0.67809586, -11.13291664])"
132,"array([  0.46142686, -11.13790676])"
133,"array([  0.02930981, -10.82549145])"
134,"array([  0.14601599, -10.89515178])"
135,"array([  0.61578893, -11.08882221])"
136,"array([  0.56808877, -11.09044669])"
137,"array([  0.05334863, -11.16445608])"
138,"array([  0.10758693, -11.00626626])"
139,"array([  0.47269969, -11.0530746 ])"
140,"array([  0.15147942, -11.2368989 ])"
141,"array([  0.10473333, -11.26644256])"
142,"array([  0.04063962, -11.2666544 ])"
143,"array([  0.07130826, -10.99575146])"
144,"array([  0.08005214, -10.96109995])"
145,"array([  0.29528745, -10.9797947 ])"
146,"array([  0.1903979 , -11.21444579])"
147,"array([  0.33351398, -11.14898016])"
148,"array([  0.32150698, -11.0741619 ])"
149,"array([  0.24876919, -11.02834125])"
150,"array([  0.01246623, -11.07142404])"
151,"array([ -0.05741285, -10.87435755])"
152,"array([ -0.06781534, -11.06203066])"
153,"array([ -0.10952613, -11.07345173])"
154,"array([  0.43981065, -11.02521509])"
155,"array([  0.16557973, -11.07169024])"
156,"array([  0.22737584, -10.83183532])"
157,"array([  0.18993877, -10.98161365])"
158,"array([  0.73584623, -11.09691715])"
159,"array([  0.57384845, -11.38233164])"
160,"array([  0.09312924, -11.17611302])"
161,"array([  0.15373042, -11.32088981])"
162,"array([  0.23371972, -11.29342611])"
163,"array([ 5.65518497e-03, -1.11451843e+01])"
164,"array([  0.17714555, -11.13940734])"
165,"array([  0.10117406, -11.21990875])"
166,"array([  0.16308756, -11.18619708])"
167,"array([ -0.06915634, -11.12081459])"
168,"array([  0.15535602, -11.10346613])"
169,"array([  0.26473471, -11.26027319])"
170,"array([  0.41649828, -10.98685001])"
171,"array([  0.12554772, -11.19495681])"
172,"array([  0.04706529, -11.11369039])"
173,"array([ -0.08360992, -10.98729734])"
174,"array([ -0.015072  , -11.27589891])"
175,"array([ -0.0240004 , -11.05515485])"
176,"array([  0.15836015, -11.45859337])"
177,"array([  0.12434472, -11.14286755])"
178,"array([  0.40236175, -11.28205894])"
179,"array([ -0.04203088, -10.91906143])"
180,"array([  0.02565977, -10.95106271])"
181,"array([ -0.01992958, -10.95832247])"
182,"array([ 2.84507274e-03, -1.09048618e+01])"
183,"array([  0.09398194, -11.04007976])"
184,"array([  0.11527567, -10.96469545])"
185,"array([ 5.82636243e-03, -1.12029578e+01])"
186,"array([ -0.0302153, -11.1570206])"
187,"array([ -0.02265619, -11.1038204 ])"
188,"array([  0.21950198, -11.43211627])"
189,"array([ -0.12510283, -11.1479636 ])"
190,"array([  0.67032524, -11.33153581])"
191,"array([  0.54774135, -11.13440715])"
192,"array([  0.05895465, -11.21960762])"
193,"array([  0.1402697 , -11.28354872])"
194,"array([ 1.04354317e-02, -1.09950734e+01])"
195,"array([  0.10513762, -11.07464671])"
196,"array([  0.93042687, -10.97798686])"
197,"array([  0.57845723, -10.73853401])"
198,"array([  0.47381191, -11.26854686])"
199,"array([  0.48105335, -11.52202493])"
200,"array([  0.37347892, -11.3104211 ])"
201,"array([  0.23100048, -10.78257875])"
202,"array([  0.34381001, -10.80306482])"
203,"array([  0.29483336, -11.10592979])"
204,"array([  0.05861508, -10.90830132])"
205,"array([  0.63145746, -11.2337908 ])"
206,"array([  0.61005635, -11.31782138])"
207,"array([  0.25703815, -10.68914209])"
208,"array([  0.03152556, -11.03594384])"
209,"array([  0.13013372, -10.68068863])"
210,"array([  0.36840137, -11.06257136])"
211,"array([  0.25055815, -10.98584513])"
212,"array([  0.51040637, -11.30772619])"
213,"array([  0.08152401, -10.8765738 ])"
214,"array([  0.20790509, -11.17305512])"
215,"array([  0.23662398, -10.89961045])"
216,"array([  0.72274086, -11.30940126])"
