# index, _pos
0,"[0.56252854, -11.00906493]"
1,"[0.49721144, -11.13227171]"
2,"[0.51786933, -11.030958]"
3,"[0.52560808, -11.07912515]"
4,"[0.57260361, -11.05443134]"
5,"[0.64733007, -11.06042331]"
6,"[0.52119014, -10.8652485]"
7,"[0.57494511, -10.86816372]"
8,"[0.70514096, -11.03006485]"
9,"[0.54577113, -11.22007085]"
10,"[0.65210933, -10.9746425]"
11,"[0.58059792, -10.96871915]"
12,"[0.53935065, -11.17076484]"
13,"[0.49696367, -11.17017749]"
14,"[0.27777421, -11.32242344]"
15,"[0.19084319, -11.26655366]"
16,"[0.26077537, -11.12526452]"
17,"[0.49816549, -11.22249006]"
18,"[0.41080046, -11.33192919]"
19,"[0.33912747, -11.23441498]"
20,"[0.37808018, -11.22303126]"
21,"[0.36998039, -11.25670678]"
22,"[0.33371561, -11.11654047]"
23,"[0.56157218, -11.2908527]"
24,"[0.61455452, -11.00681155]"
25,"[0.398747, -10.9438015]"
26,"[0.50605476, -10.98284291]"
27,"[0.27645049, -10.9212874]"
28,"[0.46416661, -10.98575329]"
29,"[0.45093416, -10.90131221]"
30,"[0.45644945, -11.09502337]"
31,"[0.53800171, -10.95784461]"
32,"[0.45909462, -11.21378706]"
33,"[0.30996285, -11.03119363]"
34,"[0.59069588, -11.20713091]"
35,"[0.54131872, -11.3323798]"
36,"[0.41837329, -11.06674004]"
37,"[0.2699806, -10.86051073]"
38,"[0.67809586, -11.13291664]"
39,"[0.58713491, -11.16443338]"
40,"[0.46142686, -11.13790676]"
41,"[0.65088988, -11.17451486]"
42,"[0.77244156, -11.16591635]"
43,"[0.29762639, -11.15056279]"
44,"[0.22737584, -10.83183532]"
45,"[0.61812438, -11.1337844]"
46,"[0.20972352, -11.08867299]"
47,"[0.47413611, -10.85675872]"
48,"[0.44316388, -10.82743938]"
49,"[0.47269969, -11.0530746]"
50,"[0.46303526, -10.78324551]"
51,"[0.61982143, -10.77217566]"
52,"[0.45277401, -11.35657533]"
53,"[0.47288101, -11.44879856]"
54,"[0.51178549, -11.39503648]"
55,"[0.44191293, -11.17873795]"
56,"[0.42977689, -11.24384454]"
57,"[0.40440193, -11.39072595]"
58,"[0.68855972, -11.25094032]"
59,"[0.34016613, -11.27886304]"
60,"[0.29304297, -11.27496055]"
61,"[0.52121981, -11.2696951]"
62,"[0.25378997, -11.35738077]"
63,"[0.28594474, -11.45804263]"
64,"[0.75133684, -11.2602945]"
65,"[0.64076395, -11.28075039]"
66,"[0.58150957, -11.24726468]"
67,"[0.41736025, -11.14736177]"
68,"[0.44395343, -11.41159399]"
69,"[0.39837527, -11.19046972]"
70,"[0.7093873, -11.19063681]"
71,"[0.28728352, -11.21765937]"
72,"[0.37747461, -11.02103442]"
73,"[0.39125352, -10.81572948]"
74,"[0.33201736, -10.93577001]"
75,"[0.39162102, -11.44540668]"
76,"[0.10473333, -11.26644256]"
77,"[0.57384845, -11.38233164]"
78,"[0.24876919, -11.02834125]"
79,"[0.57077877, -11.5283525]"
80,"[0.49208644, -11.35516873]"
81,"[0.54836045, -11.47092216]"
82,"[0.1903979, -11.21444579]"
83,"[0.39574474, -10.87340777]"
84,"[0.21950198, -11.43211627]"
85,"[0.33351398, -11.14898016]"
86,"[0.57845723, -10.73853401]"
87,"[0.60628763, -10.90845214]"
88,"[0.37347892, -11.3104211]"
89,"[0.23100048, -10.78257875]"
90,"[0.23371972, -11.29342611]"
91,"[0.40236175, -11.28205894]"
92,"[0.29483336, -11.10592979]"
93,"[0.49673276, -10.93341482]"
94,"[0.3044693, -11.17742228]"
95,"[0.53780357, -10.90550789]"
96,"[0.19982687, -11.31823076]"
97,"[0.24729887, -11.22072768]"
98,"[0.34287555, -10.86381676]"
99,"[0.63145746, -11.2337908]"
100,"[0.34613486, -10.97557998]"
101,"[0.15147942, -11.2368989]"
102,"[0.1043351, -11.33908681]"
103,"[0.21926505, -11.25068997]"
104,"[0.32150698, -11.0741619]"
105,"[0.45349769, -10.93947568]"
106,"[0.22547232, -10.94855875]"
107,"[0.54943018, -10.78806264]"
108,"[0.51801898, -10.7354463]"
109,"[0.46797746, -10.70344756]"
110,"[0.14050796, -10.84951369]"
111,"[0.63516464, -10.82969834]"
112,"[0.19963015, -11.04901241]"
113,"[0.30130604, -11.38666006]"
114,"[0.25619641, -11.17845914]"
115,"[0.35999435, -11.37736755]"
116,"[0.28467089, -11.05620954]"
117,"[0.45018409, -11.30806715]"
118,"[0.36573522, -11.17654319]"
119,"[0.38415778, -11.12687104]"
120,"[0.18701447, -10.88422517]"
121,"[0.1161671, -10.74840443]"
122,"[0.22054118, -11.12960765]"
123,"[0.17564988, -10.80999546]"
124,"[0.15695992, -11.01441864]"
125,"[0.08838248, -10.82674123]"
126,"[0.05334863, -11.16445608]"
127,"[0.10758693, -11.00626626]"
128,"[0.01246623, -11.07142404]"
129,"[-0.06781534, -11.06203066]"
130,"[0.18993877, -10.98161365]"
131,"[0.10513762, -11.07464671]"
132,"[0.17662945, -10.72547592]"
133,"[0.41649828, -10.98685001]"
134,"[0.65138197, -11.40173045]"
135,"[0.04706529, -11.11369039]"
136,"[0.15535602, -11.10346613]"
137,"[-0.08804631, -10.92411901]"
138,"[0.17406049, -10.92866598]"
139,"[0.07764481, -10.77478471]"
140,"[0.11527567, -10.96469545]"
141,"[0.54774135, -11.13440715]"
142,"[-0.015072, -11.27589891]"
143,"[0.12554772, -11.19495681]"
144,"[0.20790509, -11.17305512]"
145,"[0.24782877, -11.07510048]"
146,"[0.07130826, -10.99575146]"
147,"[0.10117406, -11.21990875]"
148,"[0.16308756, -11.18619708]"
149,"[0.08005214, -10.96109995]"
150,"[0.29528745, -10.9797947]"
151,"[0.09398194, -11.04007976]"
152,"[0.16557973, -11.07169024]"
153,"[0.12434472, -11.14286755]"
154,"[0.31891077, -11.34040888]"
155,"[0.73584623, -11.09691715]"
156,"[0.09312924, -11.17611302]"
157,"[0.17174371, -11.40391517]"
158,"[0.4016656, -11.50806367]"
159,"[0.15373042, -11.32088981]"
160,"[0.26473471, -11.26027319]"
161,"[0.20648106, -11.35106354]"
162,"[0.15836015, -11.45859337]"
163,"[0.05895465, -11.21960762]"
164,"[0.0714809, -11.30563757]"
165,"[0.33733936, -11.45064466]"
166,"[0.56808877, -11.09044669]"
167,"[0.31295668, -10.89760839]"
168,"[0.15807531, -10.96141234]"
169,"[-0.03838787, -10.82930351]"
170,"[0.17714555, -11.13940734]"
171,"[0.08152401, -10.8765738]"
172,"[0.23662398, -10.89961045]"
173,"[0.25055815, -10.98584513]"
174,"[0.03679611, -10.73400891]"
175,"[-0.01992958, -10.95832247]"
176,"[0.00284507274, -10.9048618]"
177,"[0.09550878, -11.11892483]"
178,"[0.1402697, -11.28354872]"
179,"[0.13013372, -10.68068863]"
180,"[0.02930981, -10.82549145]"
181,"[0.14601599, -10.89515178]"
182,"[0.00582636243, -11.2029578]"
183,"[0.02565977, -10.95106271]"
184,"[0.61005635, -11.31782138]"
185,"[0.51040637, -11.30772619]"
186,"[0.04063962, -11.2666544]"
187,"[0.0104354317, -10.9950734]"
188,"[-0.02265619, -11.1038204]"
189,"[0.02741397, -10.86450133]"
190,"[-0.10939675, -11.01972506]"
191,"[0.11389755, -10.9125997]"
192,"[-0.03825135, -11.00325235]"
193,"[-0.10952613, -11.07345173]"
194,"[-0.0302153, -11.1570206]"
195,"[-0.08360992, -10.98729734]"
196,"[-0.12510283, -11.1479636]"
197,"[-0.06915634, -11.12081459]"
198,"[-0.04145256, -11.22037329]"
199,"[0.05861508, -10.90830132]"
200,"[0.00565518497, -11.1451843]"
201,"[0.43981065, -11.02521509]"
202,"[0.00886027411, -11.4272383]"
203,"[-0.08009376, -11.35164711]"
204,"[0.25703815, -10.68914209]"
205,"[0.61578893, -11.08882221]"
206,"[0.47381191, -11.26854686]"
207,"[-0.05741285, -10.87435755]"
208,"[0.03152556, -11.03594384]"
209,"[-0.04203088, -10.91906143]"
210,"[-0.0240004, -11.05515485]"
211,"[0.34381001, -10.80306482]"
212,"[0.72274086, -11.30940126]"
213,"[0.67032524, -11.33153581]"
214,"[0.93042687, -10.97798686]"
215,"[0.48105335, -11.52202493]"
216,"[0.36840137, -11.06257136]"
