# index, _pos
0,"[-1.99611808, 0.70907996]"
1,"[-2.20157979, 0.6106443]"
2,"[-1.55002715, 0.79089158]"
3,"[-1.67952374, 0.79083199]"
4,"[-1.73854101, 0.90462323]"
5,"[-1.7166219, 0.92926508]"
6,"[-1.48887752, 1.10039651]"
7,"[-1.52449221, 0.90072306]"
8,"[-1.60540735, 0.65655115]"
9,"[-1.53146088, 0.65715787]"
10,"[-1.81599109, 1.13727616]"
11,"[-1.70039585, 0.63186122]"
12,"[-1.47765796, 1.00395442]"
13,"[-1.70857507, 0.51855081]"
14,"[-1.92629531, 0.9590215]"
15,"[-1.31551416, 0.70013143]"
16,"[-1.24608636, 0.79804482]"
17,"[-1.19986138, 0.59581806]"
18,"[-1.68048761, 0.8511703]"
19,"[-1.30954482, 0.57334651]"
20,"[-1.3489245, 0.82194701]"
21,"[-1.91882715, 0.64858865]"
22,"[-1.7181395, 0.81301351]"
23,"[-1.85361383, 1.07106329]"
24,"[-1.76890453, 0.78647749]"
25,"[-1.47941904, 0.70736796]"
26,"[-1.92221282, 0.75185816]"
27,"[-1.81940222, 0.52275896]"
28,"[-1.47816689, 0.85057661]"
29,"[-1.59769466, 0.52075897]"
30,"[-1.46130876, 1.0779246]"
31,"[-1.34318978, 0.65159984]"
32,"[-1.67026333, 0.84223509]"
33,"[-1.89168768, 0.58924002]"
34,"[-1.66671956, 0.6524551]"
35,"[-1.67403868, 0.98972959]"
36,"[-1.87750526, 0.75086386]"
37,"[-1.79931516, 0.75774448]"
38,"[-1.32575254, 0.7184572]"
39,"[-1.55667073, 0.94049284]"
40,"[-1.49609689, 0.85461775]"
41,"[-1.36293985, 0.58958748]"
42,"[-1.33513685, 0.93110676]"
43,"[-1.75095238, 0.52508754]"
44,"[-1.33683151, 0.70375279]"
45,"[-1.50906737, 1.40700504]"
46,"[-1.70904522, 0.97824733]"
47,"[-1.69435175, 0.91604453]"
48,"[-1.60512557, 0.88113365]"
49,"[-1.73072454, 0.91120729]"
50,"[-1.62962518, 0.80753657]"
51,"[-1.82093669, 0.64529183]"
52,"[-1.35042402, 0.94251294]"
53,"[-1.46543859, 0.95593871]"
54,"[-1.74712986, 0.96986806]"
55,"[-1.63660546, 0.9739506]"
56,"[-1.4033246, 1.47844552]"
57,"[-1.67703454, 1.144247]"
58,"[-1.85145709, 0.90521746]"
59,"[-1.72521262, 0.53412721]"
60,"[-1.43418591, 1.21772939]"
61,"[-1.58189094, 1.16483441]"
62,"[-1.75000291, 0.98126054]"
63,"[-1.46548631, 1.00916921]"
64,"[-1.53969256, 1.39986794]"
65,"[-1.86568531, 0.91475526]"
66,"[-1.1824779, 1.46792557]"
67,"[-1.42409803, 1.24980983]"
68,"[-1.62997875, 1.2039167]"
69,"[-1.67403117, 1.34562314]"
70,"[-1.34683685, 1.25158971]"
71,"[-1.40410622, 0.78146567]"
72,"[-1.45459115, 0.70501289]"
73,"[-1.50095854, 0.91194206]"
74,"[-1.70274234, 0.64988983]"
75,"[-1.7150313, 0.79888349]"
76,"[-1.4595227, 0.80830483]"
77,"[-1.54585367, 0.90313267]"
78,"[-1.52292713, 0.54620836]"
79,"[-1.75101739, 0.47341901]"
80,"[-1.3945579, 0.74568267]"
81,"[-1.53024232, 0.86675876]"
82,"[-1.63351095, 0.79559493]"
83,"[-1.36142298, 0.71803259]"
84,"[-1.61799139, 0.4472963]"
85,"[-1.58673525, 0.72444902]"
86,"[-1.57774918, 0.6720542]"
87,"[-1.57742432, 0.77442164]"
88,"[-1.66739333, 0.94055426]"
89,"[-1.56976978, 0.61699862]"
90,"[-1.42598164, 0.73697436]"
91,"[-1.70246634, 0.72942151]"
92,"[-1.51613719, 0.77043687]"
93,"[-1.42915425, 0.61608924]"
94,"[-1.74138744, 0.8412312]"
95,"[-1.58244236, 0.85009596]"
96,"[-1.39568279, 0.69469917]"
97,"[-1.24629771, 0.61546391]"
98,"[-1.24529425, 0.78119398]"
99,"[-1.38983529, 1.21330034]"
100,"[-1.19272919, 0.6768471]"
101,"[-1.43922519, 0.43029813]"
102,"[-1.78615237, 1.11522606]"
103,"[-1.46061098, 0.84065763]"
104,"[-1.64988703, 0.46209007]"
105,"[-1.5962414, 1.0302302]"
106,"[-1.28130965, 0.59909089]"
107,"[-1.68597964, 0.59536199]"
108,"[-1.51241047, 0.52035655]"
109,"[-1.38676958, 0.66071891]"
110,"[-1.53630545, 0.544031]"
111,"[-1.53141479, 0.51875737]"
112,"[-1.5659323, 0.32808874]"
113,"[-1.29247259, 0.62771919]"
114,"[-1.27243321, 0.62291038]"
