# source, target
0,1
0,2
0,3
0,4
1,5
1,6
1,7
1,8
1,9
1,43
2,123
2,124
2,125
3,10
3,4
5,19
5,43
5,22
5,44
5,45
5,46
6,43
6,9
7,51
7,55
7,8
7,101
8,55
8,101
9,43
10,139
10,140
11,12
11,13
11,14
12,13
12,14
12,127
13,14
15,16
15,17
15,18
15,19
16,17
16,19
17,19
18,20
18,21
18,40
18,41
19,22
20,135
20,136
20,137
21,40
21,41
21,119
21,115
22,44
22,47
22,48
22,85
23,24
23,25
23,26
24,25
24,26
24,131
25,26
25,76
27,28
27,29
27,30
27,31
28,30
28,29
28,59
29,30
30,97
32,33
32,34
32,35
32,36
32,37
33,133
33,134
34,38
34,117
35,36
35,37
36,37
37,39
38,117
39,77
39,63
39,78
40,41
41,42
42,138
44,45
44,46
45,46
47,55
47,85
47,48
48,85
49,50
49,51
49,52
49,53
49,54
49,55
49,56
50,53
50,56
51,54
51,57
52,132
52,100
52,62
53,56
53,126
54,58
54,59
54,112
54,114
55,60
55,61
55,62
55,63
55,101
57,108
58,112
58,115
58,114
59,72
59,131
59,76
60,98
60,99
60,100
60,67
61,101
61,105
61,118
61,119
62,132
62,100
63,77
64,65
64,66
65,67
65,68
65,69
65,66
65,70
67,81
67,98
67,99
68,69
68,70
69,106
69,70
71,72
71,73
71,74
71,75
72,76
72,79
72,131
73,74
73,75
74,75
76,131
78,94
78,95
78,96
78,97
79,80
79,81
79,82
80,81
80,82
81,82
81,83
81,84
81,126
83,110
83,84
84,110
86,87
86,88
86,89
86,90
87,88
87,89
88,89
90,91
90,92
90,93
91,135
91,92
91,93
92,93
94,95
94,96
95,96
97,127
97,116
97,130
98,99
100,132
102,103
102,104
103,104
104,138
105,118
105,119
106,107
106,108
106,109
106,110
107,108
107,109
108,109
110,111
111,120
111,121
111,122
112,113
112,114
113,126
113,128
113,129
114,116
114,117
116,117
116,127
116,130
118,119
120,122
120,121
121,122
123,124
123,125
124,125
126,127
126,128
126,129
127,130
128,129
133,134
135,136
135,137
136,137
139,140
