# index, _pos
0,"[4.16986365, 1.10702693]"
1,"[4.35698269, 0.92573765]"
2,"[4.0044201, 1.14748055]"
3,"[4.09388685, 1.27371653]"
4,"[4.15425877, 1.2108123]"
5,"[4.46399074, 1.08159499]"
6,"[4.26141409, 0.99414027]"
7,"[4.48268682, 0.69338635]"
8,"[4.45520707, 0.77877316]"
9,"[4.26345873, 0.92095187]"
10,"[4.00784824, 1.41268542]"
11,"[4.10143599, -0.17260401]"
12,"[4.21081276, -0.0726935]"
13,"[4.1658525, -0.14369663]"
14,"[4.09416107, -0.09691286]"
15,"[4.80393384, 1.13378803]"
16,"[4.75791036, 1.19974179]"
17,"[4.69992323, 1.21619809]"
18,"[4.97601254, 1.06132408]"
19,"[4.6402795, 1.13077902]"
20,"[5.1737151, 1.15673401]"
21,"[4.93510692, 0.87627793]"
22,"[4.55494528, 1.05329484]"
23,"[4.64741843, -0.46455281]"
24,"[4.64678882, -0.37752941]"
25,"[4.70329254, -0.35165807]"
26,"[4.71933834, -0.45583368]"
27,"[4.39182916, -0.21051886]"
28,"[4.49339395, -0.12641287]"
29,"[4.40967582, -0.14396671]"
30,"[4.36696137, -0.06778894]"
31,"[4.35553234, -0.32291097]"
32,"[3.93685369, 0.24273026]"
33,"[3.781071, 0.17202529]"
34,"[4.07814961, 0.20499074]"
35,"[3.86881173, 0.2940295]"
36,"[3.87984184, 0.36029213]"
37,"[3.97778764, 0.3648096]"
38,"[4.13246239, 0.13912887]"
39,"[4.17429033, 0.44719786]"
40,"[4.99092734, 0.95113381]"
41,"[5.03114928, 1.02511988]"
42,"[5.04422536, 1.20064364]"
43,"[4.3474681, 1.00104883]"
44,"[4.49840085, 1.13690645]"
45,"[4.46933554, 1.21665158]"
46,"[4.40770867, 1.17719968]"
47,"[4.56225739, 0.87374248]"
48,"[4.60798499, 0.97265017]"
49,"[4.5549523, 0.42912794]"
50,"[4.4550432, 0.37085766]"
51,"[4.62792136, 0.45492358]"
52,"[4.63540935, 0.53892459]"
53,"[4.53979872, 0.33177992]"
54,"[4.61868067, 0.24708723]"
55,"[4.56557869, 0.64962499]"
56,"[4.46884594, 0.43508577]"
57,"[4.81599945, 0.34433486]"
58,"[4.65560456, 0.37490418]"
59,"[4.65897171, -0.06809638]"
60,"[4.805103, 0.50396602]"
61,"[4.68731893, 0.77569118]"
62,"[4.64523054, 0.61611685]"
63,"[4.33992107, 0.56402841]"
64,"[5.21450449, 0.49927855]"
65,"[5.18168314, 0.38655586]"
66,"[5.27603204, 0.47950703]"
67,"[4.9589354, 0.35623513]"
68,"[5.28492387, 0.37347414]"
69,"[5.23561855, 0.28318104]"
70,"[5.31323487, 0.31426584]"
71,"[4.90198621, -0.32152833]"
72,"[4.77184482, -0.16663024]"
73,"[4.99602406, -0.36552663]"
74,"[4.92581751, -0.42657895]"
75,"[4.99588654, -0.43679393]"
76,"[4.68949726, -0.1802952]"
77,"[4.22304036, 0.55108096]"
78,"[4.17500429, 0.31912696]"
79,"[4.8536375, -0.04864894]"
80,"[4.85999544, 0.02908039]"
81,"[4.8872344, 0.11398971]"
82,"[4.9260277, -0.00240379299]"
83,"[5.06576535, 0.06393719]"
84,"[5.02716762, 0.02172263]"
85,"[4.52827043, 0.96293165]"
86,"[5.6201275, 1.58180019]"
87,"[5.61376648, 1.66006042]"
88,"[5.68672627, 1.68268833]"
89,"[5.70401774, 1.62079653]"
90,"[5.54248748, 1.46467894]"
91,"[5.44053586, 1.3509385]"
92,"[5.46683626, 1.43570484]"
93,"[5.53571255, 1.37559311]"
94,"[4.12374156, 0.37980712]"
95,"[4.06447868, 0.41268076]"
96,"[4.07199829, 0.32402274]"
97,"[4.27889325, 0.11686134]"
98,"[4.89386194, 0.43330285]"
99,"[4.94243753, 0.4820873]"
100,"[4.7255797, 0.55027148]"
101,"[4.55879545, 0.73992067]"
102,"[5.0704847, 1.57845687]"
103,"[5.15001037, 1.58997618]"
104,"[5.08937765, 1.4977346]"
105,"[4.75826021, 0.8666539]"
106,"[5.15205722, 0.18152536]"
107,"[5.0715957, 0.18994346]"
108,"[5.00328812, 0.25677718]"
109,"[5.10780784, 0.25878872]"
110,"[5.16498477, 0.02764068]"
111,"[5.31355491, -0.08284678]"
112,"[4.5652768, 0.24095103]"
113,"[4.6484335, 0.17168237]"
114,"[4.4669186, 0.24544949]"
115,"[4.82151125, 0.62775005]"
116,"[4.35103029, 0.15616617]"
117,"[4.23561293, 0.20376087]"
118,"[4.76836685, 0.78882447]"
119,"[4.82266029, 0.84318041]"
120,"[5.41633999, -0.16692275]"
121,"[5.41818049, -0.09638003]"
122,"[5.34326657, -0.14833055]"
123,"[3.91261574, 1.12731988]"
124,"[3.93808462, 1.21992719]"
125,"[3.87459108, 1.18934131]"
126,"[4.61348043, 0.12829775]"
127,"[4.38741723, 0.05567795]"
128,"[4.7004886, 0.09368135]"
129,"[4.6272824, 0.06184716]"
130,"[4.30748249, 0.05054573]"
131,"[4.67200929, -0.2362102]"
132,"[4.71521424, 0.62340906]"
133,"[3.69761943, 0.09633999]"
134,"[3.66704515, 0.16944963]"
135,"[5.31257883, 1.24314581]"
136,"[5.2634292, 1.17365944]"
137,"[5.22576694, 1.24445675]"
138,"[5.06247122, 1.3570503]"
139,"[3.91216184, 1.4800734]"
140,"[3.98031639, 1.52390047]"
